Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.57913493475525,-0.236656960520502,-0.259495845470913,0,0,0
1,-9.58009104978732,-0.235357535886986,-0.251142195499463,0,0,0
2,-9.56875342672176,-0.226351587599939,-0.257837780598694,0,0,0
3,-9.57058260661612,-0.239612369535029,-0.264500864333342,0,0,0
4,-9.57019169069931,-0.241487487708704,-0.261949290834469,0,0,0
5,-9.56577689948567,-0.257673388354054,-0.266743348349065,0,0,0
6,-9.5696701306152,-0.263784444457593,-0.263990289864233,0,0,0
7,-9.57440958730794,-0.259404035832838,-0.26192739003777,0,0,0
8,-9.57417826620878,-0.263706166549268,-0.268504437247014,0,0,0
9,-9.57311025688922,-0.260369785220988,-0.271544245808651,0,0,0
10,-9.57440494227715,-0.268568221521799,-0.280180023358795,0,0,0
11,-9.58124655407783,-0.254791485850209,-0.266444825418278,0,0,0
12,-9.57967637854019,-0.248674113920249,-0.239738408546571,0,0,0
13,-9.58020642099452,-0.256037839047729,-0.188075140848337,0,0,0
14,-9.58571057708318,-0.261566687442588,-0.169317707714763,0,0,0
15,-9.59016566608472,-0.275190577990165,-0.153684506298525,0,0,0
16,-9.57727542717294,-0.273724877387324,-0.153985887503211,0,0,0
17,-9.58135148838917,-0.275534627171159,-0.144752933963356,0,0,0
18,-9.57669675281177,-0.2846078492349,-0.140229284629518,0,0,0
19,-9.5864689317202,-0.276023581196838,-0.145040230760369,0,0,0
20,-9.58558739504682,-0.270599836030311,-0.133171630804775,0,0,0
21,-9.58546746114509,-0.268158097894813,-0.137497380024911,0,0,0
22,-9.5794489042298,-0.278171254838448,-0.16753095254701,0,0,0
23,-9.57856435099288,-0.284143092763763,-0.189625197258803,0,0,0
24,-9.58373154496439,-0.277867380138818,-0.208085044256012,0,0,0
25,-9.58398647776555,-0.273524076619735,-0.239806218640376,0,0,0
26,-9.58815198266513,-0.268554265717147,-0.262199795489658,0,0,0
27,-9.57052357814738,-0.269242424211319,-0.244336819103216,0,0,0
28,-9.57737219956956,-0.266957293203992,-0.174319910402331,0,0,0
29,-9.58210742272105,-0.264798783133485,-0.197001599808073,0,0,0
30,-9.5839983822417,-0.259834696464512,-0.24875779703984,0,0,0
31,-9.57900380064736,-0.275421294411943,-0.287042472185852,0,0,0
32,-9.58022713251249,-0.249146436098878,-0.325853764932224,0,0,0
33,-9.58192627855089,-0.23491920212259,-0.275791008910794,0,0,0
