Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.55857915390718,-0.734090704145897,-0.700019536770049,0,0,0
1,-9.55828449170499,-0.752080206464674,-0.702259048580161,0,0,0
2,-9.55366066553639,-0.758895909946132,-0.706771837885677,0,0,0
3,-9.55619559511857,-0.761494140849857,-0.693605472686455,0,0,0
4,-9.55603925474967,-0.75213363841004,-0.686451060753573,0,0,0
5,-9.54727975289534,-0.736547291406701,-0.677439541876973,0,0,0
6,-9.55471242804128,-0.723477399055356,-0.700616976944933,0,0,0
7,-9.55721008240641,-0.698504093747794,-0.711739880015018,0,0,0
8,-9.55458603151172,-0.691206797257849,-0.738267660340124,0,0,0
9,-9.54553781273041,-0.691310938095176,-0.778926334277186,0,0,0
10,-9.55083370420058,-0.671545795504184,-0.788561627241301,0,0,0
11,-9.552890107914,-0.673557433793358,-0.801914462396908,0,0,0
12,-9.54788275875724,-0.684493840674369,-0.810550859320507,0,0,0
13,-9.53661535309882,-0.693864551502392,-0.806226008295617,0,0,0
14,-9.54538243634592,-0.700292629908427,-0.792467787259806,0,0,0
15,-9.5457040871064,-0.709858839917118,-0.781748724478825,0,0,0
16,-9.54524288169445,-0.718470664044483,-0.79264311000118,0,0,0
17,-9.53649187789887,-0.712068735236235,-0.781557901564105,0,0,0
18,-9.55174596305592,-0.715751174320247,-0.780960050540915,0,0,0
19,-9.54987840907631,-0.711674019137779,-0.770062379304354,0,0,0
20,-9.54259064562206,-0.724915666730382,-0.760630007250679,0,0,0
21,-9.54285982087381,-0.727534332241225,-0.763274675699208,0,0,0
22,-9.54725377224138,-0.725025805176336,-0.763079850059755,0,0,0
23,-9.54510532453382,-0.718310806886466,-0.767605409960494,0,0,0
24,-9.5431105198739,-0.711781903893305,-0.772325254650689,0,0,0
25,-9.5517562015985,-0.715767850542186,-0.765150631184236,0,0,0
26,-9.55229485228299,-0.711835268316134,-0.758962727604919,0,0,0
27,-9.55008015200656,-0.718800242462074,-0.76366833740337,0,0,0
28,-9.54988572233459,-0.711685930747,-0.758769915934785,0,0,0
29,-9.55437585763114,-0.723057680160207,-0.745398435103056,0,0,0
30,-9.54348317782007,-0.728292684879798,-0.750500778864041,0,0,0
31,-9.54328703194892,-0.730346096714939,-0.759338136807676,0,0,0
32,-9.55212330467232,-0.723099200545557,-0.740882906453427,0,0,0
33,-9.55701780813678,-0.718904619928808,-0.736756244643975,0,0,0
34,-9.55909735810994,-0.730124540854553,-0.725450426052211,0,0,0
35,-9.55439194681431,-0.723083885724827,-0.720554992620871,0,0,0
36,-9.55255519127443,-0.716748237188226,-0.718693547285929,0,0,0
37,-9.54952705925838,-0.715847487858639,-0.724499299440023,0,0,0
38,-9.55498368351125,-0.705450039951921,-0.734513442016391,0,0,0
39,-9.55689373487676,-0.707287630627434,-0.73637960330172,0,0,0
40,-9.5525378954767,-0.707549637547991,-0.734318280146463,0,0,0
41,-9.54996367296143,-0.698024915531851,-0.740521954836624,0,0,0
42,-9.54603650995058,-0.701101539543544,-0.732265531782736,0,0,0
