Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.04622169017457,-0.648013792072334,-2.86528566886268,0,0,0
1,-9.06366171154705,-0.647162573925178,-2.86497617526079,0,0,0
2,-9.05971264245079,-0.65003231352247,-2.87430880362918,0,0,0
3,-9.06661053302815,-0.654609679732973,-2.86988181327172,0,0,0
4,-9.06635695463138,-0.67035453275596,-2.86534806744106,0,0,0
5,-9.04983516149438,-0.665372136478798,-2.86496596311685,0,0,0
6,-9.04605090910927,-0.670675819285334,-2.87439549713139,0,0,0
7,-9.05710972340913,-0.670277835960593,-2.90139173289664,0,0,0
8,-9.05515535673522,-0.663737772125332,-2.91730960498958,0,0,0
9,-9.04852057174497,-0.654829884013236,-2.93990917929792,0,0,0
10,-9.0527796104311,-0.670503604741217,-2.93311394128384,0,0,0
11,-9.04127901840094,-0.659068380105305,-2.93745157530502,0,0,0
12,-9.03903807369825,-0.659128961357798,-2.91486737550106,0,0,0
13,-9.03708150283079,-0.64118640232534,-2.90585354980936,0,0,0
14,-9.05324792000511,-0.629859965856661,-2.91724733154115,0,0,0
15,-9.05054976215629,-0.631768962941354,-2.92156491443503,0,0,0
16,-9.04173190773928,-0.632106552864746,-2.91715294711069,0,0,0
17,-9.03955547434902,-0.627655628249285,-2.90812488817547,0,0,0
18,-9.03773952782033,-0.625815432011319,-2.90832733869651,0,0,0
19,-9.0419700477923,-0.630043752379509,-2.91725463631556,0,0,0
20,-9.05358576523296,-0.621034756063624,-2.93316612933962,0,0,0
21,-9.04422927776449,-0.641411894527138,-2.93992633431737,0,0,0
22,-9.04149741822454,-0.645574363289038,-2.93972437462423,0,0,0
23,-9.04228659112086,-0.634891061971439,-2.93777567781562,0,0,0
24,-9.03665804319723,-0.640781541008226,-2.93727480354792,0,0,0
25,-9.04221184197113,-0.639385825921764,-2.9400295058371,0,0,0
26,-9.05313652657373,-0.636603368105627,-2.91949878312664,0,0,0
27,-9.06205913251701,-0.643218800348177,-2.90367584550941,0,0,0
28,-9.05975296223357,-0.659188530998285,-2.89698429501412,0,0,0
29,-9.05032537161168,-0.672667673977059,-2.87203235731779,0,0,0
30,-9.04564789859861,-0.670304601446132,-2.87419694224279,0,0,0
31,-9.05922607640618,-0.654141453528633,-2.88991545274356,0,0,0
32,-9.05557301717084,-0.664132871235519,-2.89492249557051,0,0,0
33,-9.05292903358292,-0.663822177548579,-2.87213966054437,0,0,0
34,-9.06207665520656,-0.668353168055494,-2.8767454926793,0,0,0
35,-9.05925536712087,-0.676986863306473,-2.90138315535435,0,0,0
36,-9.05280301366166,-0.670541723200335,-2.89697681696234,0,0,0
37,-9.04992381345467,-0.672298856672982,-2.86957524299264,0,0,0
38,-9.04817241439718,-0.665946734623767,-2.88333377572457,0,0,0
39,-9.05674333038637,-0.667657998291444,-2.90119550027524,0,0,0
40,-9.05021185170675,-0.665700521864436,-2.90581868981097,0,0,0
41,-9.03937801801703,-0.664014132800343,-2.89925126952547,0,0,0
42,-9.05800742697517,-0.652846154945082,-2.90170861881101,0,0,0
43,-9.05755525640683,-0.668410006002408,-2.8925584211672,0,0,0
44,-9.04847800168491,-0.659377082552427,-2.89247445925725,0,0,0
45,-9.05039945857333,-0.654464640381417,-2.89905485262011,0,0,0
46,-9.05731421137161,-0.645362328056657,-2.89680139251411,0,0,0
47,-9.05603249742465,-0.64858102806672,-2.89277982097232,0,0,0
48,-9.05413231027635,-0.63982124400776,-2.88159717211376,0,0,0
49,-9.06290625692412,-0.641720336376727,-2.89729970765969,0,0,0
50,-9.04681822884347,-0.634850900865874,-2.9061527427567,0,0,0
51,-9.05644216864843,-0.635256433876085,-2.9109619779924,0,0,0
52,-9.06518824628604,-0.639418350547964,-2.91311065477942,0,0,0
53,-9.06042353221724,-0.630130827738946,-2.90840729371915,0,0,0
54,-9.05805655990586,-0.63691092226152,-2.91066021052616,0,0,0
55,-9.06005488564571,-0.641214153174057,-2.88345185086839,0,0,0
56,-9.06207814762418,-0.643249771567451,-2.87431445926171,0,0,0
57,-9.05132933597259,-0.659883005935868,-2.90632234151635,0,0,0
58,-9.03226111972001,-0.659222556342271,-2.93068172089031,0,0,0
59,-9.03960965588515,-0.648233543721933,-2.93766356940754,0,0,0
60,-9.0488253597026,-0.661965992329391,-2.92203214418641,0,0,0
61,-9.04597257470189,-0.661457713343579,-2.91044279914586,0,0,0
62,-9.05062364867515,-0.666086077295475,-2.89246588174752,0,0,0
63,-9.05497285590071,-0.66358310302361,-2.88784890140153,0,0,0
64,-9.0501730074801,-0.656546628565746,-2.8808846684161,0,0,0
65,-9.05529972269208,-0.643340984269299,-2.89238738750956,0,0,0
66,-9.05094612576637,-0.645836908999804,-2.90378008275717,0,0,0
67,-9.05507626834127,-0.643119508389763,-2.92616658465864,0,0,0
68,-9.05316293124681,-0.634338096411766,-2.93531113253274,0,0,0
69,-9.05717428136725,-0.640660304842903,-2.91477535077072,0,0,0
70,-9.0418871736043,-0.648232522428005,-2.90378355439947,0,0,0
71,-9.04142844254056,-0.65238688767711,-2.87647740788272,0,0,0
72,-9.06387790943737,-0.670169946448368,-2.89912878185909,0,0,0
73,-9.04842819396764,-0.661604224949973,-2.91279921950374,0,0,0
74,-9.03244069890845,-0.636574548221464,-2.90802047373713,0,0,0
75,-9.06465256699639,-0.634356767923839,-2.91959316982963,0,0,0
76,-9.07095318470319,-0.638388820091616,-2.90357544164437,0,0,0
77,-9.05828148075527,-0.637134807564479,-2.87462233036741,0,0,0
78,-9.04890521969844,-0.646080833421396,-2.88355369726086,0,0,0
79,-9.02779622605773,-0.643355794065094,-2.94415330263986,0,0,0
80,-9.04013370297729,-0.625862054475893,-3.00554379848431,0,0,0
81,-9.04202147050106,-0.623202671669753,-3.00760447981896,0,0,0
82,-9.04412885668091,-0.65957193269524,-2.95355812952624,0,0,0
83,-9.05246955262286,-0.679374318921456,-2.87428234794839,0,0,0
84,-9.05020512591384,-0.681704936737679,-2.83136864142238,0,0,0
85,-9.06142512259349,-0.672336407151376,-2.83578872007683,0,0,0
86,-9.0688748864301,-0.654587216805791,-2.85632893069449,0,0,0
87,-9.07066512384063,-0.64498702506878,-2.86733199707664,0,0,0
88,-9.06454402364571,-0.643413046543104,-2.86086085406977,0,0,0
89,-9.06922884239661,-0.645788135368727,-2.84740339075828,0,0,0
90,-9.06667282256705,-0.638695744001725,-2.85850630453325,0,0,0
91,-9.06204004134669,-0.645495984049452,-2.87657065523881,0,0,0
92,-9.06215365032249,-0.650155055122041,-2.89925089306497,0,0,0
93,-9.05578702463055,-0.650631967650442,-2.90397102639717,0,0,0
94,-9.05791583782602,-0.645914744597615,-2.9016164323654,0,0,0
95,-9.05771139463594,-0.645724254548058,-2.90603427015728,0,0,0
96,-9.05807339954478,-0.64833711825362,-2.91300623545633,0,0,0
97,-9.06642224439381,-0.652137282871487,-2.90592200298933,0,0,0
98,-9.05276783296348,-0.67279268963483,-2.89471587450789,0,0,0
99,-9.04760527201629,-0.67454134732979,-2.91022848333847,0,0,0
100,-9.03225662991231,-0.684321160262779,-2.93762999732787,0,0,0
101,-9.03267212898243,-0.6710057327742,-2.94677785635207,0,0,0
102,-9.02103098191549,-0.643468448107176,-2.94189912151532,0,0,0
103,-9.02831058070003,-0.636983874441065,-2.94210053535934,0,0,0
104,-9.03813016185012,-0.61245978573128,-2.95587090039985,0,0,0
105,-9.04684836355201,-0.618884532062401,-2.94446573574443,0,0,0
106,-9.05750407674316,-0.62042275554326,-2.91479670073903,0,0,0
107,-9.06280734860498,-0.634776994239434,-2.90850039757565,0,0,0
108,-9.04689371361505,-0.641756159206927,-2.93108925245766,0,0,0
109,-9.0324480888824,-0.634278283691449,-2.95319412552607,0,0,0
110,-9.042343135831,-0.61665943225271,-2.99190100551408,0,0,0
111,-9.05622981745766,-0.619037739504653,-3.01241581095267,0,0,0
112,-9.04647907999968,-0.639057463439837,-3.00542578337778,0,0,0
113,-9.03716290095369,-0.645793106332996,-2.978222293523,0,0,0
114,-9.05104802020219,-0.650476897424008,-2.94452894587338,0,0,0
115,-9.05350803867016,-0.650630606559447,-2.9401096787891,0,0,0
