Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.58050170818481,1.65197333330442,-1.75178994124367,0,0,0
1,-9.5851328399107,1.65499563060241,-1.75179422164799,0,0,0
2,-9.58441112145011,1.65648167192979,-1.76071909978672,0,0,0
3,-9.59174338283582,1.64637771928258,-1.76966749031129,0,0,0
4,-9.59787218172785,1.64159160378389,-1.77638267679676,0,0,0
5,-9.59542572432907,1.63414810344915,-1.7763866103192,0,0,0
6,-9.59765118708022,1.63514850256936,-1.77638669001465,0,0,0
7,-9.59246199808147,1.64418224538038,-1.780830437554,0,0,0
8,-9.59180879428445,1.64622197243311,-1.78306102980157,0,0,0
9,-9.59268102407863,1.65144314645698,-1.78603259868458,0,0,0
10,-9.58806283626627,1.65233605375056,-1.78379001980365,0,0,0
11,-9.59022507804804,1.65409295135765,-1.78153362615573,0,0,0
12,-9.58665946210957,1.65511979405689,-1.78453052820272,0,0,0
13,-9.58880933039437,1.64919765972382,-1.77784466884051,0,0,0
14,-9.59105553388016,1.64778500981167,-1.78603311132902,0,0,0
15,-9.59029998244517,1.64537219982641,-1.78380442451938,0,0,0
16,-9.59110335693158,1.64524596602307,-1.78306333081136,0,0,0
17,-9.5902450216401,1.64551977755942,-1.77710679561172,0,0,0
18,-9.59179196376279,1.64547099010677,-1.78008598535868,0,0,0
19,-9.58798547615626,1.64465047635316,-1.78380092990623,0,0,0
20,-9.58789550003208,1.64334944652918,-1.78454419140022,0,0,0
21,-9.59012293774084,1.64805955641096,-1.7785650265617,0,0,0
22,-9.5911781839243,1.65451402669545,-1.78007376182698,0,0,0
23,-9.59121549728722,1.65993857049466,-1.7778336427476,0,0,0
24,-9.59052552189461,1.66129504904445,-1.77857631553779,0,0,0
25,-9.59123467827296,1.6567099040593,-1.77858387434985,0,0,0
26,-9.58810965961184,1.65372301491559,-1.76965406239399,0,0,0
27,-9.58187588856883,1.64773645572884,-1.76221032698334,0,0,0
28,-9.57636832325062,1.64484005908359,-1.76217958666897,0,0,0
29,-9.58804582033734,1.65071636543202,-1.75998585779376,0,0,0
30,-9.58595225811709,1.65643736508131,-1.75997832629265,0,0,0
31,-9.57912403802666,1.65866226704933,-1.75847606177015,0,0,0
32,-9.58901554671419,1.66044610914767,-1.7785757171275,0,0,0
33,-9.58903257952683,1.65961628526289,-1.78304144096129,0,0,0
34,-9.58812416825874,1.65447581069407,-1.77114112472265,0,0,0
35,-9.59032162544219,1.65004473496576,-1.77933324911712,0,0,0
36,-9.59263712096336,1.64836860278781,-1.77487725972806,0,0,0
37,-9.59256164364059,1.64782043885754,-1.7771075945528,0,0,0
38,-9.59195564509746,1.65206322431503,-1.77189635923248,0,0,0
39,-9.59273345324613,1.65440632416,-1.77412590984151,0,0,0
40,-9.58289108215513,1.65492888598188,-1.7763423987489,0,0,0
41,-9.57451342620292,1.6587852510422,-1.76888228295275,0,0,0
42,-9.5708011374447,1.66242350575906,-1.77184856895799,0,0,0
43,-9.56610503050655,1.65486721493859,-1.77705773635699,0,0,0
44,-9.56847831635633,1.65778293207001,-1.77705932224355,0,0,0
45,-9.58063886942067,1.65639853943851,-1.77856897682975,0,0,0
46,-9.59196681310375,1.65919350784726,-1.78006771996558,0,0,0
47,-9.5936251740028,1.6666989430162,-1.77634179515568,0,0,0
48,-9.59083622136282,1.67459679507955,-1.78005116037965,0,0,0
49,-9.58465620856029,1.67244161887603,-1.78227384082432,0,0,0
50,-9.58310153408896,1.67331318067391,-1.78078085608377,0,0,0
51,-9.58382557155779,1.67182529623846,-1.77334397428125,0,0,0
52,-9.58286843720183,1.65816021741912,-1.77336019623303,0,0,0
53,-9.57892808414336,1.64898650299586,-1.76295027579251,0,0,0
54,-9.57815916491301,1.64582001116522,-1.75997849575253,0,0,0
55,-9.58345049330981,1.64679723826001,-1.76221616040413,0,0,0
56,-9.57891647476477,1.64899557026026,-1.75551036213661,0,0,0
57,-9.57834370381472,1.66187956647432,-1.75698067742015,0,0,0
58,-9.57988386480357,1.66423321042547,-1.7606993989362,0,0,0
59,-9.58765140239749,1.67334236817152,-1.75995707812162,0,0,0
60,-9.59014118381249,1.6806466646799,-1.75921083198276,0,0,0
61,-9.59088629472086,1.68306794602869,-1.7547436164868,0,0,0
62,-9.59996499088847,1.67861050187495,-1.76071614854818,0,0,0
63,-9.59758548309781,1.67335498910975,-1.76592612365246,0,0,0
64,-9.59664282844344,1.66442074665579,-1.77114221466208,0,0,0
65,-9.57753474526223,1.65492360257196,-1.76740534286628,0,0,0
66,-9.55711297424711,1.65904731224784,-1.76960062461721,0,0,0
67,-9.55399511928557,1.65447425354143,-1.7666254308892,0,0,0
68,-9.55633978071963,1.65670057084484,-1.77034704036813,0,0,0
69,-9.56848488472371,1.65696128388141,-1.77482911942429,0,0,0
70,-9.5791288767734,1.65707786464456,-1.76294270071273,0,0,0
71,-9.58057328170316,1.65813518232234,-1.7636847541763,0,0,0
72,-9.59057275473201,1.6595203208334,-1.76742168678343,0,0,0
73,-9.59421942313804,1.65609047639208,-1.76519684553234,0,0,0
74,-9.59796771917556,1.64997460655696,-1.76595582283245,0,0,0
75,-9.59412076802349,1.65005450927333,-1.76446021275986,0,0,0
76,-9.59119985640744,1.65520885353598,-1.77188979162168,0,0,0
77,-9.58584622678197,1.65601796738004,-1.77113487593856,0,0,0
78,-9.57665498875485,1.65292197232532,-1.77112347098336,0,0,0
79,-9.57443914463266,1.65425850238466,-1.76814381060912,0,0,0
80,-9.57375301180582,1.65795675677204,-1.76218694431441,0,0,0
81,-9.5707382518675,1.65701896123003,-1.7577208621487,0,0,0
82,-9.56997650604366,1.66174999086679,-1.75250368392545,0,0,0
83,-9.5706783049501,1.66033189698644,-1.74506595891961,0,0,0
84,-9.57376713428408,1.66339944538392,-1.74506702417439,0,0,0
85,-9.58217205271989,1.66181405258685,-1.74657241464316,0,0,0
86,-9.58384357421642,1.66614771434807,-1.75401171652182,0,0,0
87,-9.58082223898913,1.67000941433415,-1.75548866947435,0,0,0
88,-9.58221789484647,1.66804853793884,-1.75623441380521,0,0,0
89,-9.58598704256442,1.66742239254459,-1.75847239063706,0,0,0
90,-9.5883603545384,1.67033801887978,-1.75847396125443,0,0,0
91,-9.58302687282036,1.66399222409507,-1.7696354336415,0,0,0
92,-9.58207494505345,1.65904301103245,-1.77261239622682,0,0,0
93,-9.57816245835358,1.64984744153921,-1.78005826220522,0,0,0
94,-9.5751475193752,1.65049047660168,-1.7741015240987,0,0,0
95,-9.57291273495213,1.65745263052109,-1.77557511159857,0,0,0
96,-9.57835570729879,1.65320292358441,-1.77931479810944,0,0,0
97,-9.57131705262872,1.64897692073528,-1.78451245155313,0,0,0
98,-9.58195154483379,1.64517563651265,-1.777096308364,0,0,0
99,-9.58657145101609,1.64902319758083,-1.77635483444677,0,0,0
100,-9.58740188952283,1.65274871083529,-1.76816836290248,0,0,0
101,-9.59116094503853,1.65692463759909,-1.77411736972511,0,0,0
102,-9.58747807071474,1.6644130600103,-1.77112627950417,0,0,0
103,-9.58600799161083,1.67131209431362,-1.77705781456388,0,0,0
104,-9.58618227063384,1.66690285864271,-1.783774059066,0,0,0
105,-9.58985219649433,1.66100544801903,-1.77709056092289,0,0,0
106,-9.59058781979117,1.66348635946743,-1.78080638431132,0,0,0
107,-9.5928162723364,1.65576513005318,-1.78305368205765,0,0,0
108,-9.59042590971648,1.65367920774848,-1.77858636736847,0,0,0
109,-9.5911420333186,1.64908868222751,-1.78305787615296,0,0,0
110,-9.58894823112912,1.65591394233165,-1.78230119264187,0,0,0
111,-9.58673820494435,1.65724589086795,-1.78304149781326,0,0,0
112,-9.58296788248497,1.65787297542859,-1.78005953418068,0,0,0
113,-9.58527985455516,1.66415504568018,-1.78079716179058,0,0,0
114,-9.58395926187471,1.66982545222407,-1.77483976301162,0,0,0
115,-9.58761737042429,1.66796761607749,-1.77856414710546,0,0,0
116,-9.58093193333679,1.66976638126482,-1.78301894055753,0,0,0
117,-9.58024386731896,1.67030464468606,-1.77855543942232,0,0,0
118,-9.58611087399991,1.66711592695803,-1.78079552374707,0,0,0
119,-9.58985373802824,1.66182076302874,-1.78452870757621,0,0,0
120,-9.58533694120264,1.66160844930008,-1.78377931129779,0,0,0
121,-9.58983572215011,1.66504856721041,-1.78452245896212,0,0,0
122,-9.58686799716356,1.66636634551084,-1.78674956302272,0,0,0
123,-9.58323618313131,1.67289320776393,-1.78152997872562,0,0,0
124,-9.58623467768739,1.67384384280765,-1.77558015689528,0,0,0
125,-9.57397701638034,1.67153602941773,-1.7651463537175,0,0,0
126,-9.57390061798308,1.66940824033213,-1.76812337906178,0,0,0
127,-9.57543284581817,1.6701874016003,-1.76812483147926,0,0,0
128,-9.57621355573674,1.66931447574927,-1.76068872318416,0,0,0
129,-9.58222795197815,1.67120212748576,-1.75994899567158,0,0,0
130,-9.58531350921256,1.66718525524644,-1.77112159491363,0,0,0
131,-9.58622927172332,1.6706866930319,-1.77484154905716,0,0,0
132,-9.58373620346086,1.66578204571411,-1.77855926784251,0,0,0
133,-9.58878802949259,1.65935261065927,-1.78003683626924,0,0,0
134,-9.59127919019194,1.65657037834681,-1.77858558233541,0,0,0
135,-9.58753400266717,1.6618673298075,-1.7733644176556,0,0,0
136,-9.5807682822693,1.6607249378199,-1.77187008404063,0,0,0
137,-9.57009390698571,1.66068450490973,-1.77854770668422,0,0,0
138,-9.56473739346421,1.66226005278581,-1.76811997296242,0,0,0
139,-9.56707955459447,1.66606897780635,-1.76886292407349,0,0,0
140,-9.57167587930353,1.67003987844399,-1.78151158972117,0,0,0
141,-9.57346012107775,1.6763677821392,-1.7807676779175,0,0,0
142,-9.56961496395939,1.68118876974562,-1.77628800360271,0,0,0
143,-9.56648492439926,1.67586108704618,-1.77331373091596,0,0,0
144,-9.56863056759799,1.6707589918514,-1.7703460596599,0,0,0
145,-9.57167063175312,1.66683013041063,-1.76663799500997,0,0,0
146,-9.58219160581984,1.65787339539707,-1.76964245599816,0,0,0
147,-9.58666623979637,1.65424563288896,-1.76816533725084,0,0,0
