Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.65536522424464,-1.07981066345883,-4.83459028846965,0,0,0
1,-8.64697883473081,-1.08458879263449,-4.83681894523486,0,0,0
2,-8.63859249872982,-1.08225335711898,-4.85241855518139,0,0,0
3,-8.63319661955061,-1.08453304367032,-4.8412510263742,0,0,0
4,-8.6325561041534,-1.07936875521027,-4.83529567482927,0,0,0
5,-8.64770898386991,-1.08604196290961,-4.84723576777768,0,0,0
6,-8.6641199026177,-1.09993006810346,-4.83908910168164,0,0,0
7,-8.67069202730884,-1.11726339993953,-4.81903734033026,0,0,0
8,-8.66443247024842,-1.12241334067067,-4.81456195685228,0,0,0
9,-8.65385367097713,-1.11652022654172,-4.7914742607911,0,0,0
10,-8.6457719756773,-1.10243313312253,-4.79367988348223,0,0,0
11,-8.64902272001136,-1.09345794149647,-4.80706962914828,0,0,0
12,-8.65338904838795,-1.10224486560209,-4.83237512395255,0,0,0
13,-8.64960026379248,-1.10541090383618,-4.85692669961853,0,0,0
14,-8.64429199183363,-1.11020874808398,-4.86957812563415,0,0,0
15,-8.63961208086645,-1.10838539934765,-4.87476228199775,0,0,0
16,-8.63610380732732,-1.09974127777238,-4.88442993030148,0,0,0
17,-8.63013616552305,-1.09618558527382,-4.8896280398528,0,0,0
18,-8.62316431060227,-1.09985627627621,-4.90002934477035,0,0,0
19,-8.62015233918323,-1.09920259388446,-4.89630585055476,0,0,0
20,-8.6207748720527,-1.10358891862623,-4.88291645405012,0,0,0
21,-8.62530099323008,-1.11048378594027,-4.88963414756525,0,0,0
22,-8.63518887616885,-1.10872327161757,-4.90675528486133,0,0,0
23,-8.63146827289762,-1.10502614108328,-4.91864862223047,0,0,0
24,-8.63005327079875,-1.09978389102045,-4.93128767004037,0,0,0
25,-8.63380026490489,-1.10354098238117,-4.92237243851152,0,0,0
26,-8.62999952966214,-1.10520878659433,-4.90972475158536,0,0,0
27,-8.6404680957408,-1.11560031091642,-4.90901024120031,0,0,0
28,-8.64047098406135,-1.11873753628015,-4.91422613978204,0,0,0
29,-8.642669273545,-1.11534473816706,-4.91421320496635,0,0,0
30,-8.6396851712173,-1.11165624630363,-4.89709418884442,0,0,0
31,-8.64280559727483,-1.10720314615202,-4.85990017057002,0,0,0
32,-8.65591983316741,-1.09729117978753,-4.85470465158272,0,0,0
33,-8.65896368089104,-1.08940700102109,-4.84873770917536,0,0,0
34,-8.65358490053776,-1.09021125316514,-4.81897065924323,0,0,0
35,-8.65204076256256,-1.09102050113602,-4.7973955356745,0,0,0
36,-8.64960983439683,-1.09299551255512,-4.80779807410523,0,0,0
37,-8.6534412780511,-1.09922916365887,-4.83460341892504,0,0,0
38,-8.65499064312524,-1.10393025345525,-4.85842537143383,0,0,0
39,-8.65198710866506,-1.1017155670329,-4.85841786769726,0,0,0
40,-8.64527860683422,-1.09979399914159,-4.86362083869136,0,0,0
41,-8.63992829796805,-1.09817071782356,-4.88443402130884,0,0,0
42,-8.63541600071056,-1.10145625192435,-4.90452477084722,0,0,0
43,-8.62945650072555,-1.09400770586055,-4.90376209120022,0,0,0
44,-8.62338304252057,-1.08940828562817,-4.90299669698668,0,0,0
45,-8.62803225251117,-1.08791541085054,-4.9305318314926,0,0,0
46,-8.62640136507587,-1.09473036915397,-4.92979374454155,0,0,0
47,-8.62777633657021,-1.10376181619681,-4.93055114651626,0,0,0
48,-8.62313204749103,-1.10911850340338,-4.93129446080039,0,0,0
49,-8.62381609240399,-1.11049646389403,-4.92608525697453,0,0,0
50,-8.6216041859354,-1.10756939550033,-4.92459217562977,0,0,0
51,-8.622581736897,-1.1010074793716,-4.93798552756193,0,0,0
52,-8.59986999355586,-1.08592654343602,-4.92229484993272,0,0,0
53,-8.58653116974068,-1.06899771889906,-4.9058930583609,0,0,0
54,-8.58130952075382,-1.06389101762369,-4.88653875069601,0,0,0
55,-8.62083484826966,-1.10146149533565,-4.85613634060872,0,0,0
56,-8.66534089218266,-1.16401595204638,-4.82429100097799,0,0,0
57,-8.69113827159896,-1.21037283862477,-4.77975210100279,0,0,0
58,-8.70537013681199,-1.22147711618489,-4.74928681629368,0,0,0
59,-8.69657347592264,-1.19421385396661,-4.73137541153827,0,0,0
60,-8.69901490237113,-1.14230172206743,-4.74099239776834,0,0,0
61,-8.69734202062037,-1.10066864325259,-4.74242004306369,0,0,0
62,-8.69554265826869,-1.08068607409664,-4.75579591675337,0,0,0
63,-8.68035342082173,-1.07929385683132,-4.78924379738937,0,0,0
64,-8.65535360805807,-1.07827337343102,-4.81152467835991,0,0,0
65,-8.62377672890798,-1.05995495145418,-4.83674761607025,0,0,0
66,-8.59160592960881,-1.0373130046481,-4.87982603719872,0,0,0
67,-8.57875017244094,-1.03053631228562,-4.90657283029669,0,0,0
68,-8.5742727513249,-1.03312586542058,-4.92740882371265,0,0,0
69,-8.58077155923361,-1.04626446973395,-4.93263114644008,0,0,0
70,-8.59481461454325,-1.07564012861542,-4.94087990309886,0,0,0
71,-8.61295602708944,-1.0915903332672,-4.94391869209704,0,0,0
72,-8.61558719981166,-1.10779563185016,-4.93723484624203,0,0,0
73,-8.62527141924383,-1.1173377000191,-4.9409778935523,0,0,0
74,-8.6343479013076,-1.11864515242172,-4.94247980358844,0,0,0
75,-8.63835978620774,-1.11050114424172,-4.93653226064643,0,0,0
76,-8.6406212871244,-1.1104498138426,-4.92463192751772,0,0,0
77,-8.64131025835672,-1.1063648994488,-4.90973798108075,0,0,0
78,-8.63385185546028,-1.10603096862014,-4.92312774755904,0,0,0
79,-8.6361116659308,-1.10047216632726,-4.91121243800798,0,0,0
80,-8.63994369651534,-1.0981433739877,-4.90823964129943,0,0,0
81,-8.63918657268541,-1.0973937962472,-4.90228559955958,0,0,0
82,-8.63628165823789,-1.08998613595526,-4.88293211161912,0,0,0
83,-8.62935879990623,-1.08991380327447,-4.87175519291359,0,0,0
84,-8.63240031421834,-1.08914112050283,-4.85092936030441,0,0,0
85,-8.6315976567238,-1.09060891434074,-4.85315987915845,0,0,0
86,-8.62852827648693,-1.08983159378501,-4.84050425120886,0,0,0
