Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.79021165625311,0.416705679176503,-0.206811651361123,0,0,0
1,-9.7879013725895,0.412195047300307,-0.215980154233887,0,0,0
2,-9.79012237971398,0.409986138628967,-0.218273035276209,0,0,0
3,-9.7953025463893,0.413986153520408,-0.218275182245113,0,0,0
4,-9.78376178252704,0.423152751862753,-0.227441212639379,0,0,0
5,-9.78994983572912,0.412407060411991,-0.225149882357718,0,0,0
6,-9.77955609803605,0.406959341171259,-0.225147557908682,0,0,0
7,-9.79477040441633,0.405387838645352,-0.225151362692106,0,0,0
8,-9.79247560427672,0.409926735811518,-0.215981458360143,0,0,0
9,-9.79479864206317,0.407627448505819,-0.215982122315223,0,0,0
10,-9.78853875294324,0.420703313306495,-0.218273416554942,0,0,0
11,-9.78753297742796,0.407986134035197,-0.220564289623207,0,0,0
12,-9.78820938235103,0.411924084767865,-0.21598049492253,0,0,0
13,-9.79042909538721,0.409715026389213,-0.2136887118304,0,0,0
14,-9.78787052739597,0.409955047325493,-0.215980064447383,0,0,0
15,-9.78837178649747,0.416313399627596,-0.209103784776042,0,0,0
16,-9.78615598114139,0.418522997911625,-0.225149575367635,0,0,0
17,-9.78820055043838,0.418734520534359,-0.220565315797574,0,0,0
18,-9.79475830465351,0.412197815825179,-0.218274519918729,0,0,0
19,-9.7857541423405,0.412073909821848,-0.220564290817436,0,0,0
20,-9.77726946960673,0.404687777491483,-0.209100467161331,0,0,0
21,-9.79223745203708,0.407867070560174,-0.209104152307192,0,0,0
22,-9.79031823947697,0.416615886098332,-0.220565750739068,0,0,0
23,-9.79252845799964,0.421217229806511,-0.220566455037553,0,0,0
24,-9.7837794348378,0.409531903691453,-0.218271572772568,0,0,0
25,-9.78601364088693,0.423183843249493,-0.229734185355624,0,0,0
26,-9.79054624706238,0.425485727758896,-0.22744322295185,0,0,0
27,-9.78374041517041,0.414102419220123,-0.225148638288588,0,0,0
