Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.60867102021644,-0.857543666652829,0.00597645749331536,0,0,0
1,-9.6040014891334,-0.855196092444819,0.0173608411498985,0,0,0
2,-9.61624535249969,-0.846774346701033,0.0327826342172707,0,0,0
3,-9.60919414485005,-0.851182278908963,0.019327852770606,0,0,0
4,-9.60429452682737,-0.862308027110734,0.0149161471479768,0,0,0
5,-9.60616329420224,-0.873325989246835,0.0127674492498785,0,0,0
6,-9.60452752553915,-0.860234795282037,0.00578269479362923,0,0,0
7,-9.61145418409764,-0.86254793329083,-0.00334164769731188,0,0,0
8,-9.61376695999574,-0.871691382353351,-0.00116868951987736,0,0,0
9,-9.6144850101265,-0.865502668338787,0.000792985573327385,0,0,0
10,-9.61142485879831,-0.864808158299547,0.00795383770053721,0,0,0
11,-9.61118453749542,-0.86686949070897,0.00579419352048067,0,0,0
12,-9.61174723427911,-0.858264536774111,0.0236604909256764,0,0,0
13,-9.61561375632412,-0.859883048158816,0.0216969357316206,0,0,0
14,-9.61022917474987,-0.850025526012199,0.00861583360768189,0,0,0
15,-9.60887762354492,-0.857735459059364,0.0126557067955747,0,0,0
16,-9.61290387055064,-0.861777450508126,0.00156350077962997,0,0,0
17,-9.60567096144527,-0.877429754857836,-0.00962072951465463,0,0,0
18,-9.6131412164543,-0.884809790988955,-0.00321985261457033,0,0,0
19,-9.60869735754543,-0.880377130877184,-0.0122620008434762,0,0,0
20,-9.6114028576908,-0.878475428911327,0.00109558993434404,0,0,0
21,-9.60399702396905,-0.880287555099701,0.00815926699947449,0,0,0
22,-9.6124671124743,-0.877367129081699,0.0355558977416225,0,0,0
23,-9.61079612527728,-0.880229693962416,0.0578532571145282,0,0,0
24,-9.61086355300941,-0.875723495305944,0.0488140392502572,0,0,0
25,-9.61583207046489,-0.860093887383745,0.046445170640044,0,0,0
26,-9.61522978793376,-0.859547132447388,0.0535107189866375,0,0,0
27,-9.62255943526315,-0.862227170764298,0.0419346843422492,0,0,0
28,-9.60434579349121,-0.860083517237397,0.0374999602825273,0,0,0
29,-9.60161538552673,-0.864252482184037,0.0422136253543976,0,0,0
30,-9.61278071549325,-0.870808994208347,0.0377108175340132,0,0,0
31,-9.6083735138355,-0.864127912613885,0.0286663224695002,0,0,0
32,-9.60419192249603,-0.869064942640868,0.026216355438826,0,0,0
33,-9.60598302203754,-0.873177155002651,0.0467432637404921,0,0,0
34,-9.60907093560478,-0.885311889615957,0.0530496149256309,0,0,0
35,-9.61306060391012,-0.866504032761015,0.0443853461570074,0,0,0
36,-9.61551846565853,-0.866651875961826,0.0442902365502557,0,0,0
37,-9.60862553310202,-0.862085623791262,0.0488949131171552,0,0,0
