Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.16259065322841,0.785469723148389,-2.85944894444034,0,0,0
1,-9.15580179714149,0.764731199827996,-2.85756588122211,0,0,0
2,-9.1598610534456,0.765372503653181,-2.84568170462935,0,0,0
3,-9.16242643151003,0.77419463858389,-2.83007626854544,0,0,0
4,-9.15121775439616,0.778515649407778,-2.83686389040091,0,0,0
5,-9.13789868703814,0.791797577381842,-2.84592098705066,0,0,0
6,-9.14899245633419,0.789916362712617,-2.836681017994,0,0,0
7,-9.14896370033226,0.77847651068858,-2.83460682718659,0,0,0
8,-9.1584975947517,0.780266227775746,-2.8103481038072,0,0,0
9,-9.15410731177724,0.777743483538952,-2.80376922752923,0,0,0
10,-9.15192068918422,0.782211432845479,-2.81055103079654,0,0,0
11,-9.15190196914435,0.800598004161275,-2.81921178013203,0,0,0
12,-9.16328220774136,0.807540101480583,-2.83050423439779,0,0,0
13,-9.15231707291678,0.797780940027925,-2.83109062119031,0,0,0
14,-9.15596886233689,0.773693051133532,-2.82595597430848,0,0,0
15,-9.15767385766634,0.779019669976007,-2.84324267671103,0,0,0
16,-9.15785475837891,0.781089494595456,-2.85699238285203,0,0,0
17,-9.15147398736407,0.775901692342849,-2.85758066513093,0,0,0
18,-9.15187622403566,0.791461850842357,-2.86908613959375,0,0,0
19,-9.14251438174745,0.789447972202177,-2.86418010687305,0,0,0
20,-9.15600733947536,0.796603568005026,-2.85946518937404,0,0,0
21,-9.15379344184019,0.789629371889695,-2.8619142760476,0,0,0
22,-9.15620637612585,0.789465629397642,-2.85533344944261,0,0,0
23,-9.15927334094623,0.799946579723377,-2.83128480211036,0,0,0
24,-9.16314645569607,0.789349195869874,-2.82390585410951,0,0,0
25,-9.14655898140711,0.787805060727121,-2.81841575180549,0,0,0
26,-9.15396197039739,0.798588884279695,-2.82804587231147,0,0,0
27,-9.15186590544516,0.789170178100635,-2.82843021957054,0,0,0
28,-9.1602881700071,0.780892438814074,-2.81879222611253,0,0,0
29,-9.15596242275598,0.782881574771381,-2.82576927818966,0,0,0
30,-9.15183423192002,0.777735315362165,-2.83087307870107,0,0,0
31,-9.14940608784268,0.78710179423308,-2.85081840314004,0,0,0
32,-9.15185127868412,0.78919400171727,-2.85101552380461,0,0,0
33,-9.15407454493179,0.786974820899012,-2.84423609920966,0,0,0
34,-9.15613980763291,0.794135163886071,-2.83481524522967,0,0,0
35,-9.16302714185545,0.791796111529888,-2.82822909917821,0,0,0
36,-9.16013074975632,0.781092897975439,-2.82537161345148,0,0,0
37,-9.15374998704232,0.775905095764263,-2.82595980764288,0,0,0
38,-9.15370251525195,0.782851965434147,-2.832546317796,0,0,0
39,-9.15871075485361,0.784591923129339,-2.83087581309851,0,0,0
40,-9.16299049491822,0.789547310445424,-2.82822672676487,0,0,0
41,-9.15163812720997,0.784868308367287,-2.83048781486973,0,0,0
42,-9.15874886411459,0.78683832014456,-2.82861965296835,0,0,0
43,-9.16275186911251,0.794441190757439,-2.83687319286704,0,0,0
44,-9.15812943109575,0.787623592014635,-2.83912752152517,0,0,0
45,-9.14511403712476,0.791344434261827,-2.86231493109207,0,0,0
46,-9.14244547553942,0.784943201256167,-2.85739978333641,0,0,0
47,-9.14229742440966,0.775950335864819,-2.85964881986628,0,0,0
48,-9.14489123121027,0.777856457594473,-2.86681775752754,0,0,0
49,-9.1376205513332,0.79444745142512,-2.85908207171253,0,0,0
50,-9.13077724392981,0.799023510100159,-2.85437794796971,0,0,0
51,-9.13997779443656,0.792065818133866,-2.8818596747972,0,0,0
52,-9.14487106653327,0.796245458566003,-2.87773692060224,0,0,0
53,-9.15772608903106,0.792729930556406,-2.86564588881319,0,0,0
54,-9.14221275033414,0.789827534929781,-2.85701209905285,0,0,0
55,-9.1474149849215,0.79361568682214,-2.84876466003067,0,0,0
56,-9.14727074514581,0.793794764516579,-2.83501728301763,0,0,0
57,-9.1496924500428,0.793616707895702,-2.81488524275672,0,0,0
58,-9.14708196986599,0.800916070447574,-2.82333939180734,0,0,0
59,-9.16317226692965,0.800793698227192,-2.83049711715777,0,0,0
60,-9.15193422805735,0.802853952324092,-2.82598973752401,0,0,0
61,-9.16099794564526,0.796063574790029,-2.82843149308483,0,0,0
62,-9.1585972963001,0.787029275002731,-2.82616493397671,0,0,0
63,-9.15153257442249,0.778114758035543,-2.82370511265107,0,0,0
64,-9.15389306418936,0.794084113333685,-2.82126554877484,0,0,0
65,-9.14701363904869,0.787232173009869,-2.82577986671637,0,0,0
66,-9.14904430827431,0.782962244493106,-2.82331895139994,0,0,0
67,-9.15341752861455,0.774026171931966,-2.80975539502904,0,0,0
68,-9.14943095331336,0.787061294122408,-2.81242342159443,0,0,0
69,-9.14040358406846,0.777744826810832,-2.83068419259873,0,0,0
70,-9.1513218455809,0.785271647197375,-2.84590510423692,0,0,0
71,-9.16067346027849,0.7873022530179,-2.86662079681821,0,0,0
72,-9.16264544826569,0.778510896624616,-2.84156983418536,0,0,0
73,-9.15328564666125,0.76731543888788,-2.8436261396977,0,0,0
74,-9.15109903649113,0.77178347516845,-2.85040791788315,0,0,0
75,-9.13109458389188,0.780261795337117,-2.85740234308326,0,0,0
76,-9.14216878951297,0.787590613051342,-2.86830233677832,0,0,0
77,-9.15158392817578,0.782648095596239,-2.85758778237094,0,0,0
78,-9.15124562565494,0.780778766327769,-2.8504174076281,0,0,0
79,-9.14694092271068,0.773555554756408,-2.83499593129759,0,0,0
80,-9.1470669529446,0.780275752055835,-2.81015923694927,0,0,0
81,-9.15612363794624,0.791852998947577,-2.80319350559862,0,0,0
82,-9.14923281853044,0.803376011628289,-2.80507594419529,0,0,0
83,-9.15190196914435,0.800598004161275,-2.81921178013203,0,0,0
