Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.13162499019502,0.282384211738968,-5.2754673632818,0,0,0
1,-8.10665230296501,0.272902416292752,-5.27620695853656,0,0,0
2,-8.13446572141176,0.284417705267347,-5.2786381478227,0,0,0
3,-8.1408598000139,0.280288577885918,-5.31158228512829,0,0,0
4,-8.13896851653092,0.291225235983806,-5.29623216424772,0,0,0
5,-8.13883017262771,0.277905464244256,-5.28069962489971,0,0,0
6,-8.13837007211387,0.258033523017282,-5.28051662185529,0,0,0
7,-8.13150941753896,0.264593082951614,-5.27359374686997,0,0,0
8,-8.1176910094337,0.266603081586784,-5.26667090680114,0,0,0
9,-8.1289559163109,0.255743945408653,-5.27565502654272,0,0,0
10,-8.13611664064763,0.260206072384028,-5.27153398060473,0,0,0
11,-8.13847210858729,0.257988857444638,-5.28743838806479,0,0,0
12,-8.14985571420212,0.253769904485368,-5.28294841899836,0,0,0
13,-8.14271268405966,0.255990625254714,-5.28463814454639,0,0,0
14,-8.13804409497492,0.262633872179427,-5.29324931140864,0,0,0
15,-8.14506350468981,0.264926836564731,-5.29118900710395,0,0,0
16,-8.16170069508252,0.269420753826647,-5.29885157099121,0,0,0
17,-8.16170152921188,0.269419361356577,-5.31232498329776,0,0,0
18,-8.14775945244426,0.275943207265821,-5.30503153627549,0,0,0
19,-8.14085840979965,0.280290898667135,-5.28912661955712,0,0,0
20,-8.13434789652046,0.277776314120204,-5.3055856586434,0,0,0
21,-8.12298593943622,0.277525912369616,-5.30577001663143,0,0,0
22,-8.11831973737259,0.273019515467711,-5.28780563611112,0,0,0
23,-8.12919560213129,0.269020242615366,-5.28688148688777,0,0,0
24,-8.13187391172132,0.273353349007338,-5.30540090643818,0,0,0
25,-8.1204106436387,0.27314654406333,-5.30989133297845,0,0,0
26,-8.11596665029573,0.275232835618462,-5.3100758891097,0,0,0
27,-8.14560945569779,0.278068688302505,-5.32542634185077,0,0,0
28,-8.15713109619382,0.287169991526047,-5.3319777655984,0,0,0
29,-8.14084164675124,0.273606271593726,-5.30727690622374,0,0,0
30,-8.12687998524102,0.273450460667524,-5.2709768622877,0,0,0
31,-8.11282373188198,0.262181085239921,-5.28201992244009,0,0,0
32,-8.12681974146791,0.275704880595144,-5.29549279462107,0,0,0
33,-8.1224600411606,0.271063459727427,-5.30503043216402,0,0,0
34,-8.14056240847525,0.258116672143184,-5.30054180610513,0,0,0
35,-8.16306599240808,0.252020848571398,-5.31570767147216,0,0,0
36,-8.14930980987019,0.251773240937095,-5.31570681969876,0,0,0
37,-8.13780538009776,0.249355827834426,-5.29774181481543,0,0,0
38,-8.12141102788378,0.246987177978159,-5.28371247030002,0,0,0
39,-8.11435211533663,0.242480658597848,-5.29026412981279,0,0,0
40,-8.11413074350631,0.235886081476874,-5.28558862693009,0,0,0
41,-8.10773842787268,0.240013139332902,-5.28183686417306,0,0,0
42,-8.13045795263105,0.251666519533853,-5.27885133110013,0,0,0
43,-8.13751854256727,0.25617023330202,-5.29924643021519,0,0,0
44,-8.14011609167941,0.256079614976633,-5.29980176993252,0,0,0
45,-8.1306437052213,0.244895145328408,-5.28614389342056,0,0,0
46,-8.1167244684956,0.246947868152916,-5.29026381428157,0,0,0
47,-8.12871328289628,0.253618240687288,-5.28202183114452,0,0,0
48,-8.13066075742086,0.251579330958152,-5.27248476137485,0,0,0
49,-8.13562699783916,0.267107881899854,-5.27940519671189,0,0,0
50,-8.14871608978681,0.258722855492496,-5.28521834413769,0,0,0
51,-8.15618239704385,0.26305199917067,-5.29288031823675,0,0,0
52,-8.16082959125281,0.260877602763703,-5.29306589529485,0,0,0
53,-8.14970959014069,0.262754318523258,-5.27341005142815,0,0,0
54,-8.13822370887369,0.267018505290769,-5.26648712628914,0,0,0
55,-8.13572763969909,0.267065493670516,-5.26387130330592,0,0,0
56,-8.1382235698523,0.267018737368835,-5.26424156027218,0,0,0
57,-8.14104238525591,0.2735223669682,-5.26722681527095,0,0,0
58,-8.1314870528823,0.269063599344886,-5.26667152983626,0,0,0
59,-8.14071937151709,0.266972215006532,-5.26236625049529,0,0,0
60,-8.12904871739742,0.278006391221767,-5.26386973370339,0,0,0
61,-8.12444571181533,0.271240537529222,-5.26854632442169,0,0,0
62,-8.12008266280078,0.277750639725834,-5.28894050705391,0,0,0
63,-8.12868490489795,0.280390989250342,-5.30804053150931,0,0,0
64,-8.14079407553973,0.293698206715867,-5.31327127091698,0,0,0
65,-8.13880733997615,0.293522678753719,-5.33179086973928,0,0,0
66,-8.13651422096803,0.293482106961659,-5.32505402810539,0,0,0
67,-8.13830277527648,0.282591309271346,-5.32225453241771,0,0,0
68,-8.14307561881516,0.2758993851508,-5.35649421571333,0,0,0
69,-8.13617472790084,0.28024686554694,-5.3428348564564,0,0,0
70,-8.13794132453335,0.273825778840953,-5.33984981549592,0,0,0
71,-8.14039728140232,0.271566251383688,-5.33797477265252,0,0,0
72,-8.12451193144857,0.268976158633692,-5.34058972433324,0,0,0
73,-8.10827680152385,0.275459827975527,-5.32431386612092,0,0,0
74,-8.11529560789126,0.277753678134592,-5.31327131053685,0,0,0
75,-8.10553725209934,0.273382950232813,-5.31234585478833,0,0,0
76,-8.11495085986044,0.27567313332851,-5.31047076846181,0,0,0
77,-8.13363841638361,0.278081732595911,-5.33348253066323,0,0,0
78,-8.14007019275641,0.276168812775668,-5.3327428893476,0,0,0
79,-8.1474950986203,0.278287133376004,-5.31570393283013,0,0,0
