Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.7292821713774,0.941387853378603,-3.78417562296192,0,0,0
1,-8.72706365290747,0.943601227499953,-3.78417945747599,0,0,0
2,-8.72511947236477,0.950220267909018,-3.78659497714911,0,0,0
3,-8.70673322655754,0.941015579294854,-3.77967368506407,0,0,0
4,-8.71400930570159,0.947689444016512,-3.78674857224021,0,0,0
5,-8.70478317142139,0.94764415851626,-3.79112229883319,0,0,0
6,-8.70952535132008,0.949882719920839,-3.8025618040829,0,0,0
7,-8.71077863775165,0.939070896419584,-3.81550336535143,0,0,0
8,-8.70628737264037,0.927649800824692,-3.81564310950801,0,0,0
9,-8.71543283870991,0.923206842063946,-3.82255602866944,0,0,0
10,-8.73344059108449,0.921245960696697,-3.81802542429084,0,0,0
11,-8.72837860073775,0.912365523905782,-3.81772146202616,0,0,0
12,-8.74245841400158,0.921397728837675,-3.82253612641223,0,0,0
13,-8.74475319451733,0.923679840760819,-3.81802049458138,0,0,0
14,-8.72747747692464,0.932076641948583,-3.80042152974676,0,0,0
15,-8.72394293120674,0.928106560949501,-3.78597658004748,0,0,0
16,-8.71969227840027,0.918836413417852,-3.78400906480997,0,0,0
17,-8.71957934731273,0.912090769699072,-3.78851848408787,0,0,0
18,-8.72898893997422,0.912070412675641,-3.81365099594866,0,0,0
19,-8.72621430392156,0.930426818636486,-3.81759321967077,0,0,0
20,-8.71449536116979,0.914562554067806,-3.7925943078364,0,0,0
21,-8.71087252785933,0.918594976426352,-3.78642184296039,0,0,0
22,-8.70674062692583,0.929687141753803,-3.79787667143512,0,0,0
23,-8.70638858484228,0.920788274184198,-3.80223504545814,0,0,0
24,-8.71585666748909,0.947924869039965,-3.7909663260215,0,0,0
25,-8.72554644349419,0.95230025219245,-3.80947746947867,0,0,0
26,-8.73411098108358,0.95041491388554,-3.83175462564094,0,0,0
27,-8.74089566849092,0.952803866351727,-3.85885191211131,0,0,0
28,-8.72103448784136,0.977171957865856,-3.80920912980217,0,0,0
29,-8.69101584359508,0.97020884456001,-3.7839339894792,0,0,0
30,-8.68242198586867,0.947198749836079,-3.80935178877421,0,0,0
31,-8.70211593999384,0.911554058087046,-3.83414170510312,0,0,0
32,-8.70725479180582,0.876190961867001,-3.87626285359245,0,0,0
33,-8.7332443346181,0.887384134368185,-3.89732689010059,0,0,0
34,-8.73091420520086,0.90779183217015,-3.89705217853271,0,0,0
35,-8.71120850030801,0.941146251425346,-3.83386930290113,0,0,0
36,-8.69103930729018,0.958853952222857,-3.77729597161247,0,0,0
37,-8.70007025281483,0.945357934755786,-3.73451736542537,0,0,0
38,-8.72415563462894,0.914366765807866,-3.74335252907831,0,0,0
39,-8.74234817080178,0.923654170969235,-3.73657552763352,0,0,0
40,-8.75578838874323,0.919402989762568,-3.76366126023361,0,0,0
41,-8.75161988016833,0.928245084254086,-3.77511368318769,0,0,0
42,-8.73566922404336,0.930332439423329,-3.77271935714623,0,0,0
43,-8.72394878122662,0.928097032617786,-3.77694351533966,0,0,0
44,-8.72240671689768,0.909584690427029,-3.7867023750271,0,0,0
45,-8.71011265639139,0.909894322785608,-3.79499941819086,0,0,0
46,-8.71659069774413,0.905620069515414,-3.81290772843369,0,0,0
47,-8.70635639343089,0.907214584263844,-3.82495222823694,0,0,0
48,-8.70839882459768,0.932307525918558,-3.83808038729415,0,0,0
49,-8.71329644361382,0.943532444199381,-3.83597977749483,0,0,0
50,-8.69810859460196,0.954315215381027,-3.82049137170089,0,0,0
51,-8.70380326374302,0.950386260533267,-3.797156121175,0,0,0
52,-8.71982277067083,0.952806232352102,-3.80633000932666,0,0,0
53,-8.73343608342133,0.932569645315675,-3.7953058953834,0,0,0
54,-8.74507010868654,0.916700129352612,-3.7844366126511,0,0,0
55,-8.72660597484482,0.914318633882046,-3.75479105585312,0,0,0
56,-8.73044594415945,0.898848988030509,-3.76802385629625,0,0,0
57,-8.72876588716518,0.909890865992363,-3.78865893455697,0,0,0
58,-8.72418217616986,0.905317113787815,-3.78865710834453,0,0,0
59,-8.72844463444714,0.903251522147933,-3.80205276822099,0,0,0
60,-8.7282906471458,0.894262888726718,-3.81333462479133,0,0,0
61,-8.74226193749513,0.896542501164972,-3.81588388968931,0,0,0
62,-8.74002137286745,0.896481929211954,-3.7933026047377,0,0,0
63,-8.71964829717111,0.916598187890122,-3.79529804284509,0,0,0
64,-8.72890671118445,0.918900894797873,-3.7977015196717,0,0,0
65,-8.71523477220236,0.923296532678425,-3.81563251905625,0,0,0
66,-8.70439747541604,0.925173983118078,-3.82045613020075,0,0,0
67,-8.71783615892025,0.918615561450817,-3.79334094978167,0,0,0
68,-8.73122647400421,0.909826082258647,-3.78428959208975,0,0,0
69,-8.74287498455523,0.918875368175199,-3.74830802053901,0,0,0
70,-8.73186167063036,0.923116424636315,-3.76879321058337,0,0,0
71,-8.73176627532827,0.929968332841197,-3.77316823630483,0,0,0
72,-8.71801061996597,0.92757075874356,-3.75044322822755,0,0,0
73,-8.73150813569546,0.914219991090066,-3.77540989645704,0,0,0
74,-8.72704914937998,0.918682427152756,-3.80929171539038,0,0,0
75,-8.72464727709176,0.923271302818576,-3.83624853201086,0,0,0
76,-8.71606517160058,0.925185486394907,-3.84107072964783,0,0,0
77,-8.71144760533486,0.92967330453083,-3.80705553261605,0,0,0
78,-8.71663576845502,0.920335284790945,-3.78505500572867,0,0,0
79,-8.734102262042,0.909551088544564,-3.76440959480846,0,0,0
80,-8.74548386779554,0.916492235790972,-3.77118425511824,0,0,0
81,-8.74754827086552,0.916606730175245,-3.75296791297031,0,0,0
82,-8.74273998280976,0.923481937888304,-3.75719723656464,0,0,0
83,-8.74524018151535,0.92566242947456,-3.74831368119327,0,0,0
84,-8.74085003861882,0.932322562875922,-3.73251578732949,0,0,0
85,-8.73781281556783,0.934937768956656,-3.74547477278236,0,0,0
86,-8.74270038945194,0.92123658781273,-3.7617114118974,0,0,0
87,-8.73548149306667,0.919088905862912,-3.77948229915229,0,0,0
88,-8.73328794615075,0.923571483545047,-3.79755467046837,0,0,0
89,-8.72537638005029,0.929711989537875,-3.81863554210729,0,0,0
90,-8.72335886134772,0.918205006984028,-3.79408139005022,0,0,0
91,-8.71139922897823,0.913816261548648,-3.79815448574509,0,0,0
92,-8.726936219876,0.911936881121398,-3.81380114735449,0,0,0
93,-8.71994028777273,0.909659001724876,-3.80010481757838,0,0,0
94,-8.71804896065865,0.907185765646582,-3.8071760973304,0,0,0
95,-8.7268628835557,0.907436674308506,-3.81379639978,0,0,0
96,-8.71805919757443,0.920795054615066,-3.81833303865925,0,0,0
97,-8.72275146082274,0.932121455901332,-3.82060026284345,0,0,0
98,-8.72425404663811,0.923445918548502,-3.81788494661903,0,0,0
99,-8.73192050462379,0.916324134938569,-3.82087519824539,0,0,0
100,-8.7404938053318,0.914424165665914,-3.82960269353733,0,0,0
101,-8.730780457696,0.921402862075396,-3.81772949665797,0,0,0
102,-8.72713564830615,0.92316119511974,-3.78897197299854,0,0,0
103,-8.71350033899477,0.916180850044302,-3.77994050922999,0,0,0
104,-8.72244777259312,0.911827647551505,-3.77992991882557,0,0,0
105,-8.72941582292069,0.911841121223707,-3.78007419621425,0,0,0
106,-8.72380075378172,0.894156037612412,-3.78172176099681,0,0,0
107,-8.72629068909819,0.896353364331028,-3.78864615240003,0,0,0
108,-8.72399883360053,0.894066488228755,-3.7886452392938,0,0,0
109,-8.72888332249441,0.905312923622922,-3.80686905085538,0,0,0
110,-8.73144369768292,0.898389227506945,-3.7913498866508,0,0,0
111,-8.73142017425752,0.909743605217072,-3.7979879155118,0,0,0
112,-8.7234853526138,0.901133253906306,-3.81304728803704,0,0,0
113,-8.71740637765514,0.905223535443387,-3.80446939773605,0,0,0
114,-8.71970262067995,0.907503265276965,-3.79769549343666,0,0,0
115,-8.7244565172778,0.909722975428252,-3.79106879790405,0,0,0
116,-8.72227173919928,0.914191217094822,-3.79559155533861,0,0,0
117,-8.72219547750445,0.909695752760119,-3.80010335687268,0,0,0
118,-8.70843399830621,0.90730759987683,-3.78641143461359,0,0,0
119,-8.71971432075232,0.907484208560442,-3.77962931368836,0,0,0
120,-8.735444969282,0.891896288164323,-3.78200940572305,0,0,0
121,-8.7280719810308,0.89207608918892,-3.78156780514238,0,0,0
122,-8.72867793757641,0.891788417150373,-3.78427206240589,0,0,0
123,-8.73686830625803,0.878729358144871,-3.78832252416512,0,0,0
124,-8.72841978294087,0.889665942971273,-3.81347856741958,0,0,0
125,-8.72404877048351,0.898604851885425,-3.82478234641069,0,0,0
126,-8.71344027064641,0.913968860141692,-3.81607056204955,0,0,0
127,-8.7219930123715,0.923418695952234,-3.82691948880654,0,0,0
128,-8.72926036114068,0.916480985296283,-3.82057926421028,0,0,0
129,-8.71505581627181,0.912038706593889,-3.80884583883425,0,0,0
130,-8.71315121283418,0.907277195534021,-3.7797823548052,0,0,0
131,-8.71701754930299,0.90539083350235,-3.7793310833683,0,0,0
132,-8.72184038157934,0.91211799229534,-3.77948394190036,0,0,0
133,-8.72670585696791,0.909769254830604,-3.80010043546128,0,0,0
134,-8.71299430191331,0.898293413139948,-3.79558078157054,0,0,0
135,-8.71267453009531,0.891651664881156,-3.80671634875157,0,0,0
136,-8.7303551753896,0.883060870286688,-3.82461264683794,0,0,0
137,-8.73060163289693,0.88520244373811,-3.81347235909537,0,0,0
138,-8.72649473944243,0.884938022338038,-3.81603093857046,0,0,0
139,-8.71468474184151,0.889544493210995,-3.81559691173234,0,0,0
140,-8.71466416747229,0.90089428441449,-3.81771835706312,0,0,0
141,-8.70682282835979,0.922856638433415,-3.81382616265806,0,0,0
142,-8.70938315947622,0.929558743454605,-3.82527190800637,0,0,0
143,-8.70892549815179,0.913902504263614,-3.82284831345329,0,0,0
144,-8.71272290713143,0.907508829981277,-3.81561736300723,0,0,0
145,-8.71921276741827,0.878273077629495,-3.81798908612162,0,0,0
146,-8.72799291009695,0.876268947272815,-3.82009044533261,0,0,0
147,-8.73311218172906,0.876050244046316,-3.81827533796196,0,0,0
148,-8.72666639375282,0.882581752054411,-3.80714414295958,0,0,0
149,-8.73109308583969,0.88948791037108,-3.79344999810073,0,0,0
150,-8.71282412282191,0.887021403018306,-3.77524444148548,0,0,0
151,-8.71234295165649,0.882719220974177,-3.7794589250282,0,0,0
152,-8.7511991221752,0.892205951430128,-3.83168122122924,0,0,0
153,-8.76088299198806,0.92153382073334,-3.85669598848684,0,0,0
154,-8.72051820601953,0.932048973411463,-3.78672757360704,0,0,0
155,-8.69766403526562,0.949954132852505,-3.7682490127343,0,0,0
156,-8.68890309846311,0.931603539016834,-3.85223804673663,0,0,0
157,-8.68407743054613,0.913564941015066,-3.88609612779751,0,0,0
158,-8.70579769889022,0.875786829481142,-3.89492550659289,0,0,0
159,-8.71947989815984,0.885000646453782,-3.88815141385627,0,0,0
