Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.63520496980773,-0.381980915284828,-2.22843606949068,0,0,0
1,-9.63209079147254,-0.376499294707229,-2.24715486508672,0,0,0
2,-9.63657107730162,-0.370235902886909,-2.26793631437292,0,0,0
3,-9.65266281054336,-0.363202665067104,-2.28208855549968,0,0,0
4,-9.64511220916745,-0.351126572760616,-2.27830889280451,0,0,0
5,-9.63545815284867,-0.358363760009066,-2.26945694791714,0,0,0
6,-9.63147023301189,-0.352146016785053,-2.26565740708384,0,0,0
7,-9.63564388634089,-0.346280745832054,-2.26349038434158,0,0,0
8,-9.66132141391622,-0.34802013631735,-2.27242805770937,0,0,0
9,-9.67474398654011,-0.36058611279352,-2.285096110245,0,0,0
10,-9.66647161798492,-0.372271357870658,-2.27921139567038,0,0,0
11,-9.65711017409704,-0.379099493298345,-2.2843801190708,0,0,0
12,-9.65288710585136,-0.387219730376041,-2.27836609770331,0,0,0
13,-9.65436213355255,-0.386391396739003,-2.28653472372806,0,0,0
14,-9.65021588889376,-0.388343046051535,-2.29853270912413,0,0,0
15,-9.64245694195455,-0.380681391773944,-2.2977012678978,0,0,0
16,-9.63905849310712,-0.371903035426354,-2.28212710685628,0,0,0
17,-9.63934418908967,-0.369960430985381,-2.27605846988468,0,0,0
18,-9.63786128403228,-0.376901377079894,-2.28056143396219,0,0,0
19,-9.63548732380199,-0.373034496625002,-2.27084837056707,0,0,0
20,-9.63144868357339,-0.359780963416904,-2.24040446222122,0,0,0
21,-9.64599868782909,-0.348929430792465,-2.24634937887624,0,0,0
22,-9.65984784895222,-0.345023900831188,-2.27093404587155,0,0,0
23,-9.66748179120288,-0.347989298510569,-2.27914995849936,0,0,0
24,-9.66606596839294,-0.34580701947958,-2.27767345806464,0,0,0
25,-9.66654331866672,-0.35473596850974,-2.27988443925857,0,0,0
26,-9.66853863565782,-0.359813101169372,-2.28654046974583,0,0,0
27,-9.67393929569307,-0.36438481122869,-2.29551523894911,0,0,0
28,-9.67257194826511,-0.366066073647574,-2.31935527371891,0,0,0
29,-9.66294094853164,-0.366547131961908,-2.3132738718924,0,0,0
30,-9.64418615731442,-0.370124951960689,-2.27761991044029,0,0,0
31,-9.63057517563153,-0.370408742968357,-2.23224894899148,0,0,0
32,-9.62505137193416,-0.390214989370692,-2.21518615071033,0,0,0
33,-9.62836047379261,-0.401980907969408,-2.20472482196178,0,0,0
34,-9.63685158169831,-0.401192697122435,-2.19137842698285,0,0,0
35,-9.63477124716333,-0.38915732581752,-2.19433607071519,0,0,0
36,-9.63503844327494,-0.385557942745879,-2.19214919919539,0,0,0
37,-9.6326567320225,-0.369443694224916,-2.18683568290745,0,0,0
38,-9.64305234744693,-0.352122443815397,-2.20324717848221,0,0,0
39,-9.65990702258726,-0.347372064795145,-2.24269872261217,0,0,0
40,-9.66422997753356,-0.344033293003276,-2.28353811803977,0,0,0
41,-9.66650098565982,-0.343220582854431,-2.31477126796904,0,0,0
42,-9.66369544666574,-0.34805675854781,-2.33269399204788,0,0,0
43,-9.65768449240392,-0.352803557277628,-2.33421121396726,0,0,0
44,-9.64589854679053,-0.366433833936718,-2.31706521217279,0,0,0
45,-9.63613599767361,-0.370519879304215,-2.29701673398166,0,0,0
46,-9.62764912743963,-0.382024009379633,-2.28810631180069,0,0,0
47,-9.6292828249101,-0.382861355940526,-2.27921501456439,0,0,0
48,-9.62653844064413,-0.380211695768305,-2.27165275306417,0,0,0
49,-9.62885384309118,-0.37790972921293,-2.27090957177291,0,0,0
50,-9.63214019607141,-0.367357822658655,-2.27463792557134,0,0,0
51,-9.64595922194326,-0.355012735434711,-2.28355572068085,0,0,0
52,-9.65666479516334,-0.352599331392695,-2.302169056895,0,0,0
53,-9.65862759973589,-0.344532087076474,-2.32082724043151,0,0,0
54,-9.66061454109249,-0.345012262099097,-2.320021299169,0,0,0
55,-9.65966244758796,-0.346393864169815,-2.30213323718488,0,0,0
56,-9.66034903370925,-0.344791112474576,-2.28426049191432,0,0,0
57,-9.65586447068948,-0.347225662643069,-2.26643382088488,0,0,0
58,-9.64672037897892,-0.351944301900702,-2.25305006154926,0,0,0
59,-9.6371725307931,-0.352386129154332,-2.2419578338949,0,0,0
60,-9.63539668981254,-0.351428308103605,-2.24932803257433,0,0,0
61,-9.63999435678398,-0.357507273782182,-2.2463997467722,0,0,0
62,-9.63476711981758,-0.363137673980079,-2.23957155557081,0,0,0
63,-9.63881888760632,-0.36634811135432,-2.25303909825693,0,0,0
64,-9.64711069060639,-0.366919627827127,-2.2619642316107,0,0,0
65,-9.64651227469624,-0.370892891795294,-2.27020118094445,0,0,0
66,-9.6419542856458,-0.376322388286928,-2.28137679681839,0,0,0
67,-9.635619859816,-0.380029852528641,-2.29173783863814,0,0,0
68,-9.62498013672131,-0.384791921545679,-2.29397528995002,0,0,0
69,-9.6227552027347,-0.390994658053855,-2.30219607124629,0,0,0
70,-9.61139839806683,-0.394273918604911,-2.31633419264512,0,0,0
71,-9.61348056789645,-0.398659397302413,-2.32598179443573,0,0,0
72,-9.61741198905827,-0.395647995950349,-2.33418443961181,0,0,0
73,-9.63188907594617,-0.402330740393012,-2.33871237000296,0,0,0
74,-9.64604709001011,-0.401860004909109,-2.33718047814884,0,0,0
75,-9.64911634575648,-0.411782027349547,-2.32311139993849,0,0,0
76,-9.64825654444379,-0.40788650511321,-2.30968075407097,0,0,0
77,-9.65064217902137,-0.400289565359796,-2.29925939347382,0,0,0
78,-9.64921303492009,-0.3904452888001,-2.30071642060052,0,0,0
79,-9.6488107762918,-0.390758833791924,-2.30600610951436,0,0,0
80,-9.64618871278333,-0.391270891294803,-2.31856810772208,0,0,0
81,-9.63932640352933,-0.388302466519545,-2.31779316524262,0,0,0
82,-9.63938529047986,-0.389117117272648,-2.31855467323541,0,0,0
83,-9.63484729628068,-0.397623566876749,-2.32900661726916,0,0,0
84,-9.63389781861126,-0.406654651903417,-2.34611139648505,0,0,0
85,-9.62563152902552,-0.406102900480562,-2.35355385238635,0,0,0
86,-9.6286758496721,-0.409882764538467,-2.35060389721475,0,0,0
87,-9.63868260909515,-0.415184759215208,-2.35216358433717,0,0,0
88,-9.64350822466733,-0.42003702812048,-2.35877440846506,0,0,0
89,-9.63799035656837,-0.424545567569067,-2.36841010276012,0,0,0
90,-9.62840221475621,-0.424185668892431,-2.36846028052864,0,0,0
91,-9.62536975989297,-0.423476398662971,-2.36547869525541,0,0,0
92,-9.62172988366772,-0.42290703512123,-2.37071296701008,0,0,0
93,-9.61265373530944,-0.416970305847858,-2.38109047247094,0,0,0
94,-9.60415521470751,-0.408573068052434,-2.38546464445606,0,0,0
95,-9.60831555265184,-0.396573571489494,-2.40185668721737,0,0,0
96,-9.62457744255552,-0.371321983251185,-2.42711324713178,0,0,0
97,-9.62811768790953,-0.349508963666933,-2.43158850030392,0,0,0
98,-9.62899161076789,-0.323581859959472,-2.41810016737462,0,0,0
99,-9.63566703369211,-0.292623105903828,-2.38983402374378,0,0,0
100,-9.66161117698675,-0.278525402939224,-2.36082596983508,0,0,0
101,-9.68428457138823,-0.28722964541535,-2.37352023486892,0,0,0
102,-9.70295664152456,-0.330248867198799,-2.42946737175348,0,0,0
103,-9.70968195458638,-0.392876435481988,-2.51734525853166,0,0,0
104,-9.69815618050287,-0.440496562034718,-2.53148884150681,0,0,0
105,-9.67682825307181,-0.48605287988905,-2.48240935828125,0,0,0
106,-9.65812277315783,-0.508911858165487,-2.4184262418181,0,0,0
107,-9.64112623425528,-0.516604784584546,-2.36408220705415,0,0,0
108,-9.62003506685704,-0.527049984736058,-2.36265612830463,0,0,0
109,-9.61675373241084,-0.52689572342414,-2.38713620791289,0,0,0
110,-9.61390934339306,-0.517162133805619,-2.41092685284983,0,0,0
111,-9.62490365391388,-0.503514081033926,-2.45260642227264,0,0,0
112,-9.63402775468594,-0.498776734888684,-2.49796454773881,0,0,0
113,-9.62371450256615,-0.488511783542923,-2.50838414758508,0,0,0
114,-9.62690103034811,-0.483995484516965,-2.51063199977014,0,0,0
115,-9.62154716940876,-0.469522038229225,-2.47484514685268,0,0,0
116,-9.60884751434055,-0.445441999769058,-2.41079667565924,0,0,0
117,-9.60447432603467,-0.440319940571986,-2.38626508447934,0,0,0
118,-9.60142469970105,-0.442658460978527,-2.35875247824853,0,0,0
119,-9.60109675674364,-0.459980361639917,-2.328270459012,0,0,0
120,-9.60830795328205,-0.477124050267511,-2.34835769626035,0,0,0
121,-9.60008724850009,-0.512678865620638,-2.36250805480979,0,0,0
122,-9.6020556323478,-0.555980190438516,-2.38422261670762,0,0,0
123,-9.60973087087466,-0.582809747939365,-2.4057776433227,0,0,0
124,-9.61603073241992,-0.588246835976255,-2.42222771848796,0,0,0
125,-9.60294312718968,-0.581432473641675,-2.42362063283344,0,0,0
126,-9.5978265370324,-0.572509517887221,-2.41543416584201,0,0,0
127,-9.60199394125945,-0.549042858376858,-2.40871576087253,0,0,0
128,-9.6517252862189,-0.540868500568483,-2.45345576184244,0,0,0
129,-9.6676762627832,-0.529893078127118,-2.47276126163744,0,0,0
130,-9.66261747892677,-0.524840509404145,-2.49584324153204,0,0,0
131,-9.67887342713046,-0.491170956739415,-2.52105622154099,0,0,0
132,-9.65195433275241,-0.486626630329427,-2.52481044486568,0,0,0
133,-9.64322089028143,-0.459562520045363,-2.49128398231177,0,0,0
134,-9.6268252202581,-0.416501809824138,-2.47773043458548,0,0,0
135,-9.59704524480929,-0.376205949551656,-2.45308201603515,0,0,0
136,-9.57712417225256,-0.345678989173692,-2.42700632629228,0,0,0
137,-9.56906813883642,-0.326175624070644,-2.46340767894379,0,0,0
138,-9.54883509929707,-0.327514408097397,-2.47609091599314,0,0,0
139,-9.56128146281354,-0.346028317045753,-2.50212333170183,0,0,0
140,-9.59074364758387,-0.367583702900421,-2.5252930156076,0,0,0
141,-9.60769196503539,-0.400513698594504,-2.52833669275536,0,0,0
142,-9.63452929812159,-0.428701412144545,-2.53509347065996,0,0,0
143,-9.64157060494042,-0.465595373027538,-2.5150796483465,0,0,0
144,-9.63079300140737,-0.480952850863792,-2.49353938503354,0,0,0
145,-9.6249603326049,-0.489025658069031,-2.47485832322249,0,0,0
146,-9.61241176641839,-0.471954082836566,-2.44360320181619,0,0,0
147,-9.60112308824664,-0.450049066338011,-2.42267734772056,0,0,0
148,-9.58551547512386,-0.426889394163493,-2.40625638956381,0,0,0
149,-9.56308356284903,-0.406145259775809,-2.42330655902402,0,0,0
150,-9.52667086340243,-0.397611096965684,-2.41727010895428,0,0,0
151,-9.5541663496681,-0.356623674873903,-2.43516739630761,0,0,0
152,-9.56079233219255,-0.332504743606331,-2.44559648033761,0,0,0
153,-9.5586765981543,-0.311256013516666,-2.4663485908689,0,0,0
154,-9.571506001684,-0.278723710635468,-2.51470333705958,0,0,0
155,-9.55624934431654,-0.288101097463928,-2.52735499975113,0,0,0
156,-9.58696964533152,-0.256510176323473,-2.54665808287588,0,0,0
157,-9.58607445701868,-0.279360106457736,-2.56012624132419,0,0,0
158,-9.60496856358431,-0.282022695447572,-2.56832663601628,0,0,0
159,-9.6137832348857,-0.299979431816547,-2.56017917512349,0,0,0
160,-9.63646651408156,-0.306398525748749,-2.55575916079427,0,0,0
161,-9.65270730870978,-0.306379283505677,-2.55659487933737,0,0,0
162,-9.63519130950796,-0.309690495964743,-2.56475506568008,0,0,0
163,-9.60161407282117,-0.311647089153663,-2.537160737452,0,0,0
164,-9.57522627627149,-0.322312340006274,-2.51919430239953,0,0,0
165,-9.57441001668523,-0.340637361601499,-2.53637680389484,0,0,0
166,-9.57416143485032,-0.367201615538024,-2.56099374914936,0,0,0
167,-9.57283705329711,-0.398867563440844,-2.57217419082983,0,0,0
168,-9.57831659709903,-0.418918346070392,-2.57734951447342,0,0,0
169,-9.57152390866094,-0.432839619739761,-2.56923848260736,0,0,0
170,-9.57985706669351,-0.444155899771577,-2.57971448115806,0,0,0
171,-9.59482629756934,-0.442185038966595,-2.59529306226915,0,0,0
172,-9.59786745130116,-0.442136850443616,-2.59604178588032,0,0,0
173,-9.60270502203899,-0.438471170936232,-2.6005583543893,0,0,0
174,-9.60673337004097,-0.428657002488297,-2.60056905086109,0,0,0
175,-9.59965966925795,-0.424746709770268,-2.59081514366172,0,0,0
176,-9.59981232221871,-0.414930428430691,-2.58708328754516,0,0,0
177,-9.60912026296438,-0.412645727223005,-2.59456799980734,0,0,0
178,-9.61362802243661,-0.417116859655732,-2.60797227505924,0,0,0
179,-9.60436060153523,-0.426320148033298,-2.60722510163189,0,0,0
180,-9.5956324972904,-0.434561956082255,-2.59154843051499,0,0,0
181,-9.58852877347076,-0.445162109332731,-2.5766543395037,0,0,0
182,-9.60072716662211,-0.454943630598874,-2.56855164593289,0,0,0
183,-9.60498219102925,-0.469148837739808,-2.56632759161135,0,0,0
184,-9.59500435740899,-0.479171449632319,-2.56038900584094,0,0,0
185,-9.58499006365121,-0.481514939257372,-2.54250413440164,0,0,0
186,-9.58432861295464,-0.482376381705938,-2.52393777136421,0,0,0
187,-9.58443970315594,-0.48017433474629,-2.52692762582253,0,0,0
188,-9.5860423543762,-0.480218313758351,-2.53513047873394,0,0,0
189,-9.57748295028532,-0.475596051862886,-2.53950899671523,0,0,0
190,-9.56797276754512,-0.465356838295318,-2.5328349754594,0,0,0
191,-9.56856527284001,-0.443785334012889,-2.52004589554384,0,0,0
192,-9.56827859331011,-0.431955640059393,-2.51935277826382,0,0,0
193,-9.56537516876002,-0.415288837858267,-2.52450226250428,0,0,0
194,-9.56334111110577,-0.410176479465446,-2.53791728040998,0,0,0
195,-9.56022990173852,-0.405575604357415,-2.53489770253292,0,0,0
196,-9.57567658545941,-0.402478842204481,-2.5275280424807,0,0,0
197,-9.60119451628151,-0.412501142846739,-2.52010806753992,0,0,0
