Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.04716233761147,1.02457965357662,-3.15328519432415,0,0,0
1,-9.03615357197346,1.03093866469515,-3.14446209837119,0,0,0
2,-9.04054143336781,1.02428679090651,-3.16477856845302,0,0,0
3,-9.05403288651044,1.03144630943703,-3.16232192521858,0,0,0
4,-9.04053370804789,1.03347949215522,-3.16685006110008,0,0,0
5,-9.03350591966914,1.02681450296869,-3.16439233085706,0,0,0
6,-9.04237498159993,1.02715604747534,-3.16418999140341,0,0,0
7,-9.03358108438804,1.02212922422164,-3.17135957885137,0,0,0
8,-9.02881463500181,1.01549140737856,-3.15986639598381,0,0,0
9,-9.04532044929302,1.01254415726772,-3.17664581278818,0,0,0
10,-9.04909494961005,1.01585317965822,-3.18921370722243,0,0,0
11,-9.04650147002118,1.01394922720238,-3.18204427985083,0,0,0
12,-9.03357377110938,1.02214113586405,-3.18265207367885,0,0,0
13,-9.03609644553782,1.0287230751555,-3.17607874068667,0,0,0
14,-9.04283503176995,1.02657010661674,-3.16252097905458,0,0,0
15,-9.03342676987145,1.02232610452434,-3.17342157316012,0,0,0
16,-9.03591279228671,1.02665912143554,-3.16684586517149,0,0,0
17,-9.03816681339171,1.02669825959082,-3.16910290324084,0,0,0
18,-9.04038857305065,1.02448129773863,-3.16458207184007,0,0,0
19,-9.03817892446418,1.01749844386551,-3.16025590953903,0,0,0
20,-9.04107331403461,1.02820110084829,-3.16537280551817,0,0,0
21,-9.04700988933557,1.01559337080243,-3.16230969989163,0,0,0
22,-9.03351363618448,1.01762178886367,-3.16232083784214,0,0,0
23,-9.03630391024168,1.02156820345842,-3.1583965962567,0,0,0
24,-9.04700215615577,1.02478607378609,-3.16438119290579,0,0,0
25,-9.03613602008839,1.03096725266346,-3.17156411112347,0,0,0
26,-9.04023676590103,1.0338543043,-3.15290609623003,0,0,0
27,-9.04454943261639,1.03188767989763,-3.16625527288805,0,0,0
28,-9.03147845012553,1.02189797224292,-3.17155754267061,0,0,0
29,-9.03320646947268,1.01801312561681,-3.16418634458765,0,0,0
30,-9.03121378906625,1.02452878331196,-3.16439141916635,0,0,0
31,-9.03832552140972,1.02649421254289,-3.16026539978774,0,0,0
32,-9.03186955415687,1.01680714643079,-3.16310827913781,0,0,0
33,-9.03767013093087,1.02503522072372,-3.17076952308437,0,0,0
34,-9.03377936181311,1.02416937629969,-3.15800744795872,0,0,0
35,-9.03366169649319,1.0266152186233,-3.16007182917115,0,0,0
36,-9.03133583921744,1.02207579209548,-3.15555154698905,0,0,0
37,-9.03141100228112,1.01739055858146,-3.1625187932955,0,0,0
38,-9.04061660797454,1.01960157030903,-3.17174582980594,0,0,0
39,-9.04237644425295,1.02715366515128,-3.1619314966323,0,0,0
40,-9.03825702217315,1.01280849111106,-3.16270616041392,0,0,0
41,-9.03801395638597,1.02689277918526,-3.16890640280493,0,0,0
42,-9.04253264591591,1.01777357682782,-3.16683199218854,0,0,0
43,-9.03549567219846,1.02030362072955,-3.16870424583381,0,0,0
44,-9.03577058260093,1.01765616236198,-3.16006087798049,0,0,0
45,-9.04715502433281,1.02459156521903,-3.16457768915163,0,0,0
46,-9.03749419447007,1.01377838121411,-3.15946519667492,0,0,0
47,-9.04674665232688,1.01822174841995,-3.15288510537659,0,0,0
48,-9.04039003570638,1.02447891541015,-3.16232357287458,0,0,0
49,-9.04012430169273,1.01793129714217,-3.16663695470196,0,0,0
50,-9.03648902711807,1.02362976961385,-3.16537098226904,0,0,0
51,-9.03057345659234,1.01386495668571,-3.16153157888821,0,0,0
52,-9.0290667941694,1.03124130148034,-3.16665849468425,0,0,0
53,-9.04032112484709,1.01997386238065,-3.15554333083084,0,0,0
54,-9.04238563332301,1.01795852361911,-3.15760150633438,0,0,0
55,-9.03564812187836,1.0292899903429,-3.15967975713548,0,0,0
56,-9.04008285356812,1.0248703170107,-3.16418907969947,0,0,0
57,-9.04026651209002,1.02693429961982,-3.17342193564717,0,0,0
58,-9.0515468424627,1.02711331387737,-3.16889763743873,0,0,0
59,-9.03985230656015,1.02057400525602,-3.17076331697761,0,0,0
60,-9.02910822893557,1.02430228326159,-3.1691063742518,0,0,0
61,-9.03351656149594,1.0176170242067,-3.15780383991114,0,0,0
62,-9.04029220199856,1.00853228406763,-3.15346945520432,0,0,0
63,-9.0399425163966,1.00668409544234,-3.16436659490827,0,0,0
64,-9.03568997049579,1.01317016796033,-3.17134862766072,0,0,0
65,-9.05419935649965,1.02204959612771,-3.15141290851947,0,0,0
66,-9.04284276146384,1.0173774832442,-3.16044948055608,0,0,0
67,-9.0449391152968,1.02679899775729,-3.16006452469042,0,0,0
68,-9.03603338566468,1.02420851450196,-3.16026448812349,0,0,0
69,-9.04245015657697,1.02247074532615,-3.17115723271435,0,0,0
70,-9.03346927007904,1.02456553909398,-3.16438995827199,0,0,0
71,-9.04019467556419,1.02243398954413,-3.17115869360871,0,0,0
72,-9.02655875989709,1.02463548864294,-3.15064687642834,0,0,0
73,-9.03641239422988,1.02831734718547,-3.16066221913161,0,0,0
74,-9.03797917835829,1.01546064146612,-3.17586653726919,0,0,0
75,-9.03600925652051,1.00357922208171,-3.16063612119954,0,0,0
76,-9.03638973176,1.00768583184031,-3.15877534436357,0,0,0
77,-9.02951403167121,1.02149605293687,-3.19453706307441,0,0,0
78,-9.0309598505675,1.02027060876404,-3.20710157872781,0,0,0
79,-9.02699282241456,1.0149117601724,-3.19885188802132,0,0,0
80,-9.02696202398882,1.01265329952412,-3.18981550283106,0,0,0
81,-9.04279002316139,1.0151547575895,-3.18529064276408,0,0,0
82,-9.03814958851324,1.0152375900427,-3.1489610316634,0,0,0
83,-9.04477154026732,1.0247088184575,-3.12598820703902,0,0,0
84,-9.0336161881256,1.02207204833811,-3.11715560367947,0,0,0
85,-9.03308287105368,1.01815995919616,-3.11881999554204,0,0,0
86,-9.03977014711018,1.01378178440075,-3.12784483834932,0,0,0
87,-9.04289006716152,1.01042910435172,-3.15386334034168,0,0,0
88,-9.03576326932228,1.01766807400439,-3.17135337280797,0,0,0
89,-9.04053599656324,1.01511561934023,-3.1830336005039,0,0,0
90,-9.04504697507643,1.01518913117296,-3.18303067870448,0,0,0
91,-9.03830943218174,1.02652041818051,-3.18510891147733,0,0,0
92,-9.03136703975929,1.01515352806558,-3.17380892604677,0,0,0
93,-9.03117713947615,1.02227981943725,-3.16438904658128,0,0,0
94,-9.0385139774047,1.01937033296629,-3.1719437943584,0,0,0
95,-9.03531786944741,1.01823006739443,-3.15043743208603,0,0,0
96,-9.03614959181312,1.02176507812844,-3.16045860835666,0,0,0
97,-9.03354841987674,1.02905393753832,-3.15536071596893,0,0,0
98,-9.03653445179086,1.02586438520117,-3.15182231067123,0,0,0
99,-9.02262582534365,1.01234960350054,-3.15613736625142,0,0,0
100,-9.042913134266,1.02188011054334,-3.16497123197731,0,0,0
101,-9.03609644553782,1.0287230751555,-3.17607874068667,0,0,0
102,-9.04065179437562,1.0218528839586,-3.17400670551655,0,0,0
103,-9.02983289179489,1.02108563261667,-3.17460352833725,0,0,0
104,-9.0382111857293,1.01975453302693,-3.16703378528927,0,0,0
105,-9.04268258419605,1.01758386726213,-3.17154549305662,0,0,0
