Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.65598953232941,-0.388323716185373,-0.140913714421963,0,0,0
1,-9.64510850985853,-0.388869411169646,-0.152407559418493,0,0,0
2,-9.64698172503743,-0.386186623471786,-0.174801050648831,0,0,0
3,-9.6539860050735,-0.384012508529363,-0.177154420606415,0,0,0
4,-9.65820420264472,-0.388220249611572,-0.204153277981696,0,0,0
5,-9.65582548250922,-0.383582827717696,-0.195028261328659,0,0,0
6,-9.65861743635939,-0.388608360084882,-0.190795201102513,0,0,0
7,-9.64893698947689,-0.379021259005608,-0.183647579822169,0,0,0
8,-9.65344823179179,-0.378947742873918,-0.18364465785189,0,0,0
9,-9.65393766321199,-0.386241826793372,-0.195220929573844,0,0,0
10,-9.64685863985027,-0.392910347527666,-0.195121406890311,0,0,0
11,-9.64986162919172,-0.384431291393684,-0.204454260725206,0,0,0
12,-9.66098743264005,-0.368127852434172,-0.211045793154417,0,0,0
13,-9.66543277815752,-0.35885709783768,-0.226765810928942,0,0,0
14,-9.65776462867082,-0.364993039525203,-0.199272608331504,0,0,0
15,-9.65602917005649,-0.383772142619544,-0.192866442828996,0,0,0
16,-9.66177018939859,-0.385011367245029,-0.158496789552953,0,0,0
17,-9.65440069086417,-0.384403041367047,-0.161537666824916,0,0,0
18,-9.65416329013098,-0.386466863868821,-0.15917992404675,0,0,0
19,-9.65822614354008,-0.388255986264283,-0.170274157687893,0,0,0
20,-9.66024728728946,-0.390287864280228,-0.163397740472171,0,0,0
21,-9.6563075399623,-0.393172824107322,-0.161429959402359,0,0,0
22,-9.65734687839575,-0.392009961164005,-0.165365149580573,0,0,0
23,-9.649026286749,-0.399654492072478,-0.161233709673007,0,0,0
24,-9.64071739727628,-0.393612250703053,-0.16605417363581,0,0,0
25,-9.65074414648565,-0.394553168675448,-0.16772252400143,0,0,0
26,-9.65379548429853,-0.383844637427662,-0.158988783523892,0,0,0
27,-9.658365330994,-0.392956327905527,-0.154555909590374,0,0,0
28,-9.65413688937157,-0.388731907981526,-0.143367266593556,0,0,0
29,-9.65159698006253,-0.393064220060364,-0.156818902678593,0,0,0
30,-9.6558137084407,-0.385871728755014,-0.156629588658265,0,0,0
31,-9.64704469303709,-0.395378966953379,-0.163595283043076,0,0,0
32,-9.64423076396575,-0.404023656059212,-0.174686765054273,0,0,0
33,-9.64928123901607,-0.409016902786302,-0.165934963119505,0,0,0
34,-9.63790640440185,-0.402261603460682,-0.172628451571663,0,0,0
35,-9.65825102269149,-0.399694314057806,-0.161324624040263,0,0,0
36,-9.65444026687893,-0.393557140530436,-0.186469718377528,0,0,0
37,-9.65160875373116,-0.390775340653198,-0.195217646630687,0,0,0
38,-9.64726453315852,-0.393286502816058,-0.193056374367046,0,0,0
39,-9.6474213331338,-0.395707447855547,-0.206702476310816,0,0,0
40,-9.65355223937693,-0.397296850426451,-0.195112279967678,0,0,0
41,-9.65651124424611,-0.404759726102391,-0.18871501412772,0,0,0
42,-9.65240001638008,-0.393802220747157,-0.166240394912219,0,0,0
43,-9.66286488797478,-0.392863751939342,-0.172621868543663,0,0,0
44,-9.66102694160568,-0.379590046171062,-0.179510166861854,0,0,0
45,-9.65626071316723,-0.370300870072643,-0.174811810541905,0,0,0
46,-9.65637789423002,-0.388671325257173,-0.165951927741047,0,0,0
47,-9.65672960513344,-0.379869570828392,-0.161540949718716,0,0,0
48,-9.6585529193761,-0.38172158609361,-0.147791939074122,0,0,0
49,-9.65356539816031,-0.385920399072149,-0.14533802003322,0,0,0
50,-9.64244845877772,-0.388532352900243,-0.152215520452094,0,0,0
51,-9.65814846403309,-0.381347701339225,-0.147598447961207,0,0,0
52,-9.66770147121332,-0.386253461742825,-0.15239532145127,0,0,0
53,-9.66471896925672,-0.392457982711558,-0.167909658353401,0,0,0
54,-9.64998464661131,-0.391413283808443,-0.157112998992915,0,0,0
55,-9.65781138686655,-0.401571384949385,-0.158870129665722,0,0,0
56,-9.64879035397002,-0.40172079983319,-0.156617367691008,0,0,0
57,-9.6599365391729,-0.410554431833822,-0.134014515573616,0,0,0
58,-9.65499004905029,-0.412512288858409,-0.124787193101701,0,0,0
59,-9.64870383638949,-0.408504117499577,-0.120472556963573,0,0,0
60,-9.65332646810577,-0.401687785114071,-0.118218145036491,0,0,0
