Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.66438530855424,-0.00990808270166369,-4.0719442408987,0,0,0
1,-8.6305070359479,-0.0149974382379078,-4.03582860876903,0,0,0
2,-8.65302259680262,-0.0168799065387028,-4.03581162783712,0,0,0
3,-8.67028375365733,-0.013954752284753,-4.04649815825332,0,0,0
4,-8.68700216131988,-0.0186470831780932,-4.05851926578593,0,0,0
5,-8.69953109715324,-0.0179818032636605,-4.04195783879333,0,0,0
6,-8.68857633015414,-0.0115220942600301,-4.02857141226758,0,0,0
7,-8.67591511151071,-0.00990003006361568,-3.99304531098117,0,0,0
8,-8.69659653358551,0.00159059848237535,-3.99545120113464,0,0,0
9,-8.67542930990672,-0.00289207370826343,-3.97453947552489,0,0,0
10,-8.69603147557973,0.00410821972314203,-3.98597378517653,0,0,0
11,-8.67150568696047,0.0217229688827862,-4.00407522361558,0,0,0
12,-8.65108249821067,0.0259799377509224,-3.99942765229242,0,0,0
13,-8.65737130785231,0.0353940750504521,-4.02382733856404,0,0,0
14,-8.66001833372621,0.0216459891297298,-4.0174834263314,0,0,0
15,-8.66749559441389,0.028238239237053,-4.02696603338289,0,0,0
16,-8.68098443099305,0.0262183042493158,-4.03598810267701,0,0,0
17,-8.68217296664974,0.0108749636100218,-4.03537441171069,0,0,0
18,-8.685026998579,-0.00297213650432875,-4.02240451279569,0,0,0
19,-8.68065596007472,-0.00765460182536956,-4.00674345132759,0,0,0
20,-8.68051654766925,-0.00304563973911771,-4.02240743425337,0,0,0
21,-8.66906147778974,-0.0144864100589355,-4.01562796416052,0,0,0
22,-8.67118900236935,-0.00985976306023898,-4.01322406568395,0,0,0
23,-8.68021281825053,-0.00971752100643204,-4.00870162331159,0,0,0
24,-8.69215235352935,-0.0189028429899124,-4.00928034286956,0,0,0
25,-8.67134172037546,-0.0258013070465861,-4.00673030514282,0,0,0
26,-8.65740831525819,-0.0258420712760541,-4.00192471575688,0,0,0
27,-8.65538931102128,-0.0237163409424361,-4.00659402661712,0,0,0
28,-8.65478188055535,-0.0234395390518127,-4.00614739640597,0,0,0
29,-8.66482977173519,-0.0101570615366655,-4.01126791065642,0,0,0
30,-8.69339781792721,-0.00478851472866309,-4.03098280449449,0,0,0
31,-8.69984655237933,-0.0113288086219272,-4.03759728242089,0,0,0
32,-8.68875095489925,-0.0138787154212504,-4.01516816244097,0,0,0
33,-8.711301664486,-0.0135088184768334,-4.01741185074364,0,0,0
34,-8.73405933344615,-0.0132383779472759,-4.01302953508314,0,0,0
35,-8.71314457230319,-0.0268965298741586,-4.00143920717335,0,0,0
36,-8.65683608169265,-0.0233129005492823,-4.00373876604814,0,0,0
37,-8.59726620667149,-0.0442468279114504,-3.99879218614044,0,0,0
38,-8.62274543231473,-0.0645367080464716,-4.01530718745614,0,0,0
39,-8.62094355950308,-0.0602171614600609,-4.05400229756637,0,0,0
40,-8.63457906023368,-0.0532372037508079,-4.06303386145992,0,0,0
