Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.80824935020081,1.2082105284395,-3.63656334520168,0,0,0
1,-8.80336145062149,1.20402747864328,-3.63390916537389,0,0,0
2,-8.81689586888515,1.19506381978006,-3.64086331826241,0,0,0
3,-8.82235161704067,1.19622607923374,-3.65333692470257,0,0,0
4,-8.81960455223123,1.20370334638819,-3.63900672586579,0,0,0
5,-8.80407868742294,1.20999752292918,-3.63922100577046,0,0,0
6,-8.80370028125113,1.20589042456168,-3.63882238916144,0,0,0
7,-8.80844148390071,1.21025931212343,-3.63224565748795,0,0,0
8,-8.80608629269823,1.20345898843339,-3.61643052254898,0,0,0
9,-8.81963673062744,1.20365093521028,-3.58931979476315,0,0,0
10,-8.82169433714599,1.19246669488143,-3.61189143962642,0,0,0
11,-8.81275895939517,1.19910468059779,-3.64804035085195,0,0,0
12,-8.79918191424414,1.2150106444611,-3.64089635886064,0,0,0
13,-8.80388499273894,1.2171329158746,-3.63657575737296,0,0,0
14,-8.8068606418688,1.22313464080241,-3.63736914987828,0,0,0
15,-8.80853669772442,1.22621185555488,-3.64561630505832,0,0,0
16,-8.80378965124452,1.22185255348285,-3.66122698896817,0,0,0
17,-8.80222059820712,1.22552699814883,-3.65750401935578,0,0,0
18,-8.79943417186601,1.22157879477142,-3.65690987729116,0,0,0
19,-8.8068093662248,1.2209095328148,-3.65995180892639,0,0,0
20,-8.79997994140876,1.20710312194221,-3.65336339641383,0,0,0
21,-8.8107616012885,1.20562656066489,-3.65502137069324,0,0,0
22,-8.80642949286608,1.21680496110688,-3.66181165225016,0,0,0
23,-8.81094935035066,1.2076824842804,-3.65747919526665,0,0,0
24,-8.8087290504213,1.20989705290885,-3.65974152978944,0,0,0
25,-8.80438390408941,1.20042510780233,-3.64883634647886,0,0,0
26,-8.81510102298958,1.19443624858051,-3.63693859430884,0,0,0
27,-8.82682581566702,1.20323220919842,-3.64411015830401,0,0,0
28,-8.81125740143139,1.20728690174792,-3.6533560919064,0,0,0
29,-8.81041825392995,1.21295258430884,-3.64766215982037,0,0,0
30,-8.80655856364213,1.21433912273042,-3.6416797273102,0,0,0
31,-8.81500700907728,1.20833508959555,-3.65010993115057,0,0,0
32,-8.80640611606823,1.20535288337581,-3.65070424131225,0,0,0
33,-8.80426496523999,1.21205580702019,-3.64393731670864,0,0,0
34,-8.80346408773202,1.21078637953972,-3.64520873611576,0,0,0
35,-8.80123941448251,1.21300814960334,-3.65424653193109,0,0,0
36,-8.79509203428855,1.20292016184857,-3.6507091732397,0,0,0
37,-8.7992172973922,1.19889843986329,-3.66160009742796,0,0,0
38,-8.80383967084246,1.20571646072519,-3.65934579652615,0,0,0
39,-8.79936828371573,1.20788714838333,-3.65483409716336,0,0,0
40,-8.79879484050896,1.20173594107038,-3.66327009202987,0,0,0
41,-8.79895616397462,1.20152626026801,-3.64991609390844,0,0,0
42,-8.80637092948893,1.20310155887577,-3.64844336768738,0,0,0
43,-8.80823618632368,1.208231969356,-3.65688979814165,0,0,0
44,-8.80377065547902,1.21039313866458,-3.64334412389671,0,0,0
45,-8.80227647027538,1.20938165136198,-3.64658879228039,0,0,0
46,-8.80399211982035,1.21470278691896,-3.65032129939325,0,0,0
47,-8.80632539524927,1.21004857272687,-3.65277053866729,0,0,0
48,-8.80404350066543,1.20774618757868,-3.63696013423134,0,0,0
49,-8.81546471133924,1.20774884903148,-3.65070077028272,0,0,0
50,-8.80854130428529,1.2078411401886,-3.65728370312851,0,0,0
51,-8.79528122715893,1.20497370468474,-3.65090849293028,0,0,0
52,-8.80362405641118,1.20139723975501,-3.6433346335106,0,0,0
53,-8.80805282858158,1.20616887187615,-3.64765650288725,0,0,0
54,-8.80579442776135,1.20613688082738,-3.65217494912589,0,0,0
55,-8.80398626920286,1.21471231622403,-3.65935528686646,0,0,0
56,-8.79969822834142,1.21894602897699,-3.66407690647772,0,0,0
57,-8.79721543820138,1.21460919585678,-3.66613516015447,0,0,0
58,-8.80850172956058,1.20559695182353,-3.66179832848587,0,0,0
59,-8.80193471760148,1.20752354914061,-3.6461925335449,0,0,0
60,-8.79711875048443,1.19865916663801,-3.65502301834923,0,0,0
61,-8.79470633536663,1.19882492829925,-3.66160301921669,0,0,0
62,-8.79721699747831,1.20542508433194,-3.67309812779408,0,0,0
63,-8.80635922823221,1.20312061752132,-3.6665113761889,0,0,0
64,-8.80655428546654,1.20516463126526,-3.6576766979114,0,0,0
65,-8.80387642583221,1.19878372808929,-3.66856962945377,0,0,0
66,-8.80635933890132,1.19393903334519,-3.67573286043683,0,0,0
67,-8.80204498357795,1.1867257261269,-3.67386409888266,0,0,0
68,-8.80135844167157,1.19219545099998,-3.66836700938327,0,0,0
69,-8.80358312371175,1.18997371360221,-3.65932918843062,0,0,0
70,-8.80429587089306,1.20513264001471,-3.66219516513087,0,0,0
71,-8.79745025437044,1.20053403896392,-3.67122881536807,0,0,0
72,-8.80629031773071,1.19861558619055,-3.65973112787647,0,0,0
73,-8.79895626224254,1.19234450563935,-3.65913752830743,0,0,0
74,-8.79661129940184,1.19701773895569,-3.67475622899635,0,0,0
75,-8.79209449776137,1.19695375685815,-3.68379312147362,0,0,0
76,-8.80341281110836,1.20856120630328,-3.66779126926353,0,0,0
77,-8.79913063778376,1.21278548209947,-3.6634789129918,0,0,0
78,-8.79688257015946,1.20355500586314,-3.66140934695375,0,0,0
79,-8.79920549734617,1.20809924035139,-3.67044661033865,0,0,0
80,-8.80382786582977,1.21491729368399,-3.66819231157194,0,0,0
81,-8.78872742899036,1.20918732128142,-3.67144111551717,0,0,0
82,-8.80380009594361,1.20347226150301,-3.66386041767768,0,0,0
83,-8.79782854541302,1.21382265671348,-3.66240599596147,0,0,0
84,-8.8021488661566,1.21184506038124,-3.66446224684265,0,0,0
85,-8.80590448321888,1.20370202881209,-3.6614035033834,0,0,0
86,-8.80402898059369,1.19858835964174,-3.66876659302516,0,0,0
87,-8.80835805721907,1.19659637507846,-3.65727184026037,0,0,0
88,-8.80615260847018,1.18042400444908,-3.6553920966935,0,0,0
89,-8.79494114701404,1.18474999916512,-3.66669666209291,0,0,0
90,-8.80872927799031,1.19153390822522,-3.67818450286079,0,0,0
91,-8.81019115318778,1.19028883889437,-3.6681618303324,0,0,0
92,-8.81550891794214,1.19162273509259,-3.65785357284263,0,0,0
93,-8.81080129074802,1.19868909793371,-3.65972820608062,0,0,0
94,-8.78776378749091,1.20582139439113,-3.63186020218712,0,0,0
95,-8.79047102337639,1.20528146425281,-3.64148352496558,0,0,0
96,-8.80404337647248,1.22841828902053,-3.67498203146442,0,0,0
97,-8.80205632976863,1.23723190432465,-3.72261838592405,0,0,0
98,-8.79258273189664,1.22848005445059,-3.7222207134418,0,0,0
99,-8.79730500588207,1.21220767832524,-3.7069827299974,0,0,0
100,-8.7927720155047,1.2098613903648,-3.68439828956111,0,0,0
101,-8.79745171702888,1.20053165663102,-3.66897031220819,0,0,0
102,-8.8060263493204,1.19206647786457,-3.66178555394025,0,0,0
103,-8.79681814332776,1.18986106392989,-3.65707507424542,0,0,0
104,-8.79926282334969,1.19195144572721,-3.6572729386977,0,0,0
105,-8.80155944929508,1.18504842143132,-3.65971981429926,0,0,0
106,-8.81027919287865,1.18558128854631,-3.65480306684076,0,0,0
107,-8.81226191996483,1.17908310331869,-3.67040700122829,0,0,0
108,-8.80136293352306,1.18300668343678,-3.67081298130002,0,0,0
109,-8.80621116862958,1.19412723117463,-3.66876038700288,0,0,0
110,-8.80398648072895,1.19634894679517,-3.67779822471374,0,0,0
111,-8.80354051830616,1.19691596656861,-3.65913935171531,0,0,0
112,-8.80117509074043,1.19013228664919,-3.65913369481831,0,0,0
113,-8.79462562924159,1.20352063244996,-3.66366930261745,0,0,0
114,-8.80113395164893,1.19707219176585,-3.65668536582343,0,0,0
115,-8.80590751594162,1.19451554411246,-3.66610796331131,0,0,0
116,-8.79951215694802,1.19852437722135,-3.67780351907177,0,0,0
117,-8.79627102182777,1.19515708162141,-3.67210143138232,0,0,0
118,-8.79745328062748,1.19134774608439,-3.67593330211114,0,0,0
119,-8.7993669209665,1.19870783410721,-3.66631405228057,0,0,0
120,-8.78766562252511,1.20136392270233,-3.6702498324277,0,0,0
121,-8.80101961386251,1.19033238199115,-3.66345372602124,0,0,0
122,-8.80124839027435,1.19463023610398,-3.65913844001137,0,0,0
123,-8.79902663647042,1.19684721974225,-3.66365926304269,0,0,0
124,-8.80132325473584,1.189944104799,-3.66610613992989,0,0,0
125,-8.80139070329855,1.19445156185349,-3.67514487257325,0,0,0
126,-8.80135551636282,1.19220021565251,-3.67288400311987,0,0,0
127,-8.79454218515374,1.18985766071563,-3.68869549129601,0,0,0
