Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.45383180139011,-0.395790058622345,-4.54907118636569,0,0,0
1,-8.44702356851348,-0.398140704530686,-4.5581064442472,0,0,0
2,-8.46301544894855,-0.397978679113675,-4.55372898264236,0,0,0
3,-8.45869121501957,-0.386807406862711,-4.54922714320236,0,0,0
4,-8.44956317739191,-0.393708902849094,-4.54470923659212,0,0,0
5,-8.45212775606115,-0.387008189282051,-4.54938090963865,0,0,0
6,-8.449375716459,-0.380023568686124,-4.54894133934567,0,0,0
7,-8.43622401953715,-0.36907551789637,-4.55814460463982,0,0,0
8,-8.43898936295407,-0.36246315665495,-4.56522399892056,0,0,0
9,-8.43217965139511,-0.364811398972892,-4.57651759012281,0,0,0
10,-8.43144402391923,-0.35994896944564,-4.57592470183564,0,0,0
11,-8.43607873003864,-0.389386719640715,-4.58537240761509,0,0,0
12,-8.4336549836261,-0.387078271181968,-4.58974344904983,0,0,0
13,-8.43336751253694,-0.405087150995008,-4.58069121104805,0,0,0
14,-8.43809194250623,-0.405123145499764,-4.56277118768326,0,0,0
15,-8.45848871479642,-0.411644420613565,-4.55160873465755,0,0,0
16,-8.44473605176991,-0.400434521677607,-4.55133059444665,0,0,0
17,-8.44293954121344,-0.398430886529053,-4.52453340314955,0,0,0
18,-8.46068818033795,-0.416136048725888,-4.52450272866148,0,0,0
19,-8.45872765696308,-0.40948494056628,-4.55176049492206,0,0,0
20,-8.46475027774962,-0.404501240732853,-4.5624548658575,0,0,0
21,-8.45615598328724,-0.391246322564592,-4.55584940975885,0,0,0
22,-8.45446071796399,-0.382478789348323,-4.54260924650794,0,0,0
23,-8.4533056388199,-0.391030607936824,-4.53733625315244,0,0,0
24,-8.44704258146656,-0.398171672241444,-4.52874838414928,0,0,0
25,-8.43589403315501,-0.389324788093855,-4.55812324230633,0,0,0
26,-8.43602148798353,-0.393912739228911,-4.56052620191616,0,0,0
27,-8.43522995636368,-0.40488857102916,-4.5623244593321,0,0,0
28,-8.4362821659572,-0.414406895882668,-4.58579455280253,0,0,0
29,-8.43743097416944,-0.407073174367552,-4.58942032243246,0,0,0
30,-8.43292343183635,-0.407151442125371,-4.58490662765914,0,0,0
31,-8.43600832515764,-0.39389130002463,-4.58085103162793,0,0,0
32,-8.43625912984979,-0.378132415082355,-4.58990090434573,0,0,0
33,-8.42544442583916,-0.387589767843149,-4.58808865979257,0,0,0
34,-8.43135586488156,-0.378043832000908,-4.57153850101771,0,0,0
35,-8.43811114466114,-0.391535573031791,-4.56037772029121,0,0,0
36,-8.43546018713235,-0.391405602222179,-4.54653054417929,0,0,0
37,-8.45180069793758,-0.40726202840328,-4.54484291449203,0,0,0
38,-8.4426667997012,-0.414153963471077,-4.54935826976732,0,0,0
39,-8.44669650720104,-0.418394738991364,-4.55356845728327,0,0,0
40,-8.44430648840836,-0.413831725955575,-4.5624585180649,0,0,0
41,-8.44730208530459,-0.393736126199938,-4.55374395498131,0,0,0
42,-8.44440486584823,-0.395753712193281,-4.55103657025323,0,0,0
43,-8.45148721665088,-0.388991300202434,-4.54441376375742,0,0,0
44,-8.45667637277941,-0.384687170350885,-4.54712204521616,0,0,0
45,-8.4566074307924,-0.389194111169879,-4.54034234854789,0,0,0
46,-8.44718631701114,-0.389167232334924,-4.53327450315016,0,0,0
47,-8.44284892664593,-0.377974466542187,-4.54909747879526,0,0,0
48,-8.44770686258465,-0.368989519694114,-4.55151174996166,0,0,0
49,-8.44240921576483,-0.380045643885978,-4.5465380300543,0,0,0
50,-8.43306005341906,-0.375516362680276,-4.54173325065036,0,0,0
51,-8.44307450011232,-0.389412240619023,-4.5426094295053,0,0,0
52,-8.43358906133268,-0.380280831261751,-4.54895156449739,0,0,0
53,-8.43777558905638,-0.386847530093494,-4.56685860376366,0,0,0
54,-8.44051734650639,-0.393815414118661,-4.58310642456131,0,0,0
55,-8.44244560995664,-0.402723574561335,-4.54907136927656,0,0,0
56,-8.44260973907226,-0.405061552396649,-4.55147669414213,0,0,0
57,-8.4405566705812,-0.416497647632727,-4.5811232020804,0,0,0
58,-8.44198515262585,-0.429689251648959,-4.58065925857839,0,0,0
59,-8.44899541398342,-0.452355967789373,-4.57430442635548,0,0,0
60,-8.45986415966662,-0.451987020923419,-4.57851493597064,0,0,0
61,-8.4561394442801,-0.441074633700051,-4.58575292353705,0,0,0
62,-8.44854111703204,-0.443095184511229,-4.56483244860295,0,0,0
63,-8.43309027919174,-0.423112705729225,-4.55583078683971,0,0,0
64,-8.43742493294325,-0.420682242118135,-4.57148902033272,0,0,0
65,-8.43592164251654,-0.411988118561962,-4.57420650716667,0,0,0
66,-8.42905488683798,-0.405243949572185,-4.58761848917795,0,0,0
67,-8.42049426499432,-0.389734499343229,-4.58553205060093,0,0,0
68,-8.42438207370063,-0.378053985376091,-4.58042671135579,0,0,0
69,-8.43916363680845,-0.376127024641455,-4.58131680094548,0,0,0
70,-8.43171636859674,-0.38046297331409,-4.58312650900635,0,0,0
71,-8.43224254643725,-0.373913489800067,-4.56536591241204,0,0,0
72,-8.43843674343872,-0.371279156439516,-4.56717401957037,0,0,0
73,-8.44468795218157,-0.377737512373491,-4.56686371602315,0,0,0
74,-8.43577096711844,-0.384743938992262,-4.54894535655331,0,0,0
75,-8.43139086744017,-0.389410202434437,-4.54683460220569,0,0,0
76,-8.43821510026227,-0.398394860529599,-4.54245347871498,0,0,0
77,-8.4352137663063,-0.407171861425772,-4.53070577202488,0,0,0
78,-8.44234438970504,-0.40948762408341,-4.53551437460738,0,0,0
79,-8.44676260190906,-0.402573910894098,-4.53536920273286,0,0,0
80,-8.44427282914044,-0.404777295929798,-4.52844399458284,0,0,0
81,-8.45220816140534,-0.407447648048323,-4.54062503414894,0,0,0
82,-8.45413073476528,-0.40272786419751,-4.54258788438054,0,0,0
83,-8.44899864929313,-0.416124743160411,-4.53776118393156,0,0,0
84,-8.43527218807915,-0.427575791709589,-4.55582457891675,0,0,0
85,-8.44875216029558,-0.443199733726933,-4.55143196104385,0,0,0
86,-8.44170938181551,-0.447717188514774,-4.55354052205482,0,0,0
87,-8.44669918414634,-0.443326741144383,-4.55158280838809,0,0,0
88,-8.45345328174517,-0.431888600333075,-4.54014933540852,0,0,0
89,-8.43945294983129,-0.422824120963959,-4.55326931645634,0,0,0
90,-8.44011384899922,-0.432182746637597,-4.55611569147977,0,0,0
91,-8.43509782836927,-0.425221235571068,-4.56922742364253,0,0,0
92,-8.43540861094947,-0.418559441145085,-4.57164225949376,0,0,0
93,-8.43828103145625,-0.405192146470621,-4.58324543317295,0,0,0
94,-8.43099789027711,-0.411866513174011,-4.58746048795364,0,0,0
95,-8.43339979008595,-0.402830085689386,-4.58746852158634,0,0,0
96,-8.42443471901903,-0.387139513668214,-4.58508325011754,0,0,0
97,-8.42242997077254,-0.396345044462595,-4.59666562337082,0,0,0
98,-8.42489183490045,-0.396405922825861,-4.59003864142843,0,0,0
99,-8.42239623086824,-0.398599716788362,-4.59214662096482,0,0,0
100,-8.41562757996837,-0.398705208178984,-4.59666763200821,0,0,0
101,-8.41307182232083,-0.405420299698295,-4.57844604537248,0,0,0
102,-8.43540129827521,-0.418547530487102,-4.58293382106988,0,0,0
103,-8.43513156863271,-0.422966541548784,-4.57374641768265,0,0,0
104,-8.43509929090277,-0.425223617700452,-4.5669691134245,0,0,0
105,-8.44425940477348,-0.429683467518418,-4.55129973774273,0,0,0
106,-8.44862639678371,-0.413686880000908,-4.5442397354983,0,0,0
107,-8.44030182875766,-0.396012951801736,-4.5468216384769,0,0,0
108,-8.44503642640389,-0.407374666331884,-4.54258898020631,0,0,0
109,-8.44456442628088,-0.41170317328454,-4.53325222796181,0,0,0
110,-8.43058306466212,-0.413978511887634,-4.54650972949257,0,0,0
111,-8.43509499459162,-0.413907390511332,-4.54424849990338,0,0,0
112,-8.44686210558402,-0.420735022897719,-4.55371547200739,0,0,0
113,-8.46001233905147,-0.43168088780335,-4.5467705143555,0,0,0
114,-8.45724254846615,-0.438286837644965,-4.54646609091184,0,0,0
115,-8.44434607880578,-0.411586560450829,-4.55794427123289,0,0,0
116,-8.43318281763098,-0.405025294401645,-4.5534420752888,0,0,0
117,-8.43165006231357,-0.409902142891647,-4.57436120990708,0,0,0
118,-8.43653881708019,-0.398657767381976,-4.58581116763021,0,0,0
119,-8.43819462475532,-0.398361510656274,-4.57406988048884,0,0,0
120,-8.41924401767683,-0.405060153229814,-4.55766867658947,0,0,0
121,-8.41555122337107,-0.405509721431035,-4.5447192797791,0,0,0
122,-8.41681996916923,-0.427679609077865,-4.5645707171713,0,0,0
123,-8.3990843174273,-0.432613634228504,-4.60326776215507,0,0,0
124,-8.40804206182732,-0.448292001912208,-4.61694462515302,0,0,0
125,-8.42220518670722,-0.446073257916787,-4.63545314310432,0,0,0
126,-8.41530322427745,-0.441581587236623,-4.64660440071079,0,0,0
127,-8.40591739189337,-0.439302918093796,-4.64179703875378,0,0,0
128,-8.40378384517071,-0.432609002875902,-4.62373910493743,0,0,0
129,-8.40554695633566,-0.414249501722593,-4.58702592478339,0,0,0
130,-8.41251633202636,-0.4142320297396,-4.58491265342023,0,0,0
131,-8.40381637822659,-0.407733940484818,-4.57152517299646,0,0,0
132,-8.42489602030992,-0.410031455924439,-4.55629904328186,0,0,0
133,-8.43786618886496,-0.407304062460386,-4.54229460662114,0,0,0
134,-8.43035585690995,-0.416157119663921,-4.52829152648533,0,0,0
