Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.22817545541984,-1.42895959215905,-0.697139488354227,0,0,0
1,-9.19014163299489,-1.25933465001395,-0.795705041517957,0,0,0
2,-9.79207062188093,-1.17929759891669,-0.791293524302158,0,0,0
3,-9.62387466821745,-1.14585104878724,-0.901278865586481,0,0,0
4,-9.51715938383253,-1.20547592796282,-0.924168829844996,0,0,0
5,-9.50494352384791,-1.26148016267458,-1.0708697631009,0,0,0
6,-9.55078643840233,-1.3706338514956,-1.15111020676015,0,0,0
7,-9.54233619162419,-1.34850121753693,-1.20383377352466,0,0,0
8,-9.28759213184879,-1.36305465691577,-1.27482064529942,0,0,0
9,-8.56799289291577,-1.00351560557018,-1.30901567794141,0,0,0
10,-9.73386178987735,-1.31883061077557,-1.3414259925005,0,0,0
11,-10.46727935413,-1.84861983965668,-1.51354032981815,0,0,0
12,-9.6620738064639,-1.48794124372453,-1.62106429045587,0,0,0
13,-9.15965156314872,-1.19245811052282,-1.55216222872135,0,0,0
14,-9.80939953950972,-1.24626606701711,-1.44919113023214,0,0,0
15,-9.90701704227236,-1.34795194104044,-1.39878420355761,0,0,0
16,-9.98322089344855,-1.36483183322328,-1.08705020503151,0,0,0
17,-9.55415013965268,-1.31258485156864,-1.02503859418656,0,0,0
18,-8.67897407480701,-0.946005741796982,-0.969786586374683,0,0,0
19,-8.48575036308053,-0.924071636985868,-0.898671120891484,0,0,0
20,-9.15453862667547,-1.05812343731052,-1.01347110644149,0,0,0
21,-11.0993806172308,-1.68752237026183,-1.0231688429494,0,0,0
22,-10.4057663198627,-1.57402391721824,-1.22240924952544,0,0,0
23,-9.38389413818257,-1.23182521732323,-1.1510678520334,0,0,0
24,-10.1855616423669,-1.37544899984882,-1.01833735241506,0,0,0
25,-9.77557579736133,-1.3560852550992,-0.894432971172375,0,0,0
26,-10.3298282164409,-1.63740210616641,-0.731826408785891,0,0,0
27,-9.9812014393227,-1.47436056367675,-0.736319160112839,0,0,0
28,-9.4838018699717,-1.29971217640342,-0.626152900487732,0,0,0
29,-9.68816859925964,-1.37794705886682,-0.582656859391057,0,0,0
30,-10.3055302628884,-1.49263200930777,-0.543858552799067,0,0,0
31,-9.7905068669562,-1.28227552136646,-0.690426912769868,0,0,0
32,-9.87673494232798,-1.23181226795298,-0.711084037425839,0,0,0
33,-9.76381834299917,-1.13288225393804,-0.850889476349496,0,0,0
34,-9.6233055537441,-1.02039288301772,-0.944836882946759,0,0,0
35,-9.67407874925117,-1.10715719051647,-1.03654208602047,0,0,0
36,-9.67275332447188,-1.20120129857812,-1.13510756557393,0,0,0
37,-9.93184487939002,-1.32962484848506,-1.16955932224933,0,0,0
38,-9.81759863918839,-1.29991532893093,-1.2199598846205,0,0,0
39,-9.76821576366528,-1.30294891564622,-1.21765493928089,0,0,0
40,-9.77325334027021,-1.26028599834445,-1.24287291320223,0,0,0
41,-9.69500295523977,-1.22105042731293,-1.19012880061854,0,0,0
42,-9.72445688380113,-1.20268863932037,-1.19013733758898,0,0,0
43,-9.69491603290752,-1.21873545911476,-1.18325093392181,0,0,0
44,-9.68814964524026,-1.22334760708707,-1.151156890128,0,0,0
45,-9.67731082334076,-1.19665992563993,-1.11218584150554,0,0,0
46,-9.71543435522884,-1.19378023899902,-1.10073382195157,0,0,0
47,-9.71818052260607,-1.16242380435017,-1.11907471802395,0,0,0
48,-9.69804404690017,-1.14922433597586,-1.1076074432533,0,0,0
49,-9.70713755348549,-1.15141574629566,-1.12136475787899,0,0,0
50,-9.70197224455214,-1.17817133767716,-1.10989846041177,0,0,0
51,-9.70574044965493,-1.18893350839248,-1.10760228369483,0,0,0
52,-9.69473661874273,-1.20055355594847,-1.10989423057012,0,0,0
53,-9.68998549308425,-1.21402029709932,-1.08926116028351,0,0,0
54,-9.68304646059675,-1.23207239798705,-1.10072053299559,0,0,0
55,-9.6787296439981,-1.20514010959266,-1.06174970973325,0,0,0
56,-9.68788187138271,-1.19381562162764,-1.03882964849552,0,0,0
57,-9.69971344095118,-1.16013245150012,-1.02966584282293,0,0,0
58,-9.67926220825465,-1.16933605412187,-0.995274664389884,0,0,0
59,-9.66818269425792,-1.1650863361806,-0.99068787001852,0,0,0
60,-9.67001349953886,-1.20773399090332,-0.963180315460204,0,0,0
61,-9.67375155962969,-1.25464185485601,-0.960886578956242,0,0,0
