Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.69932272573674,-0.944311766055479,-1.22909431452163,0,0,0
1,-9.68821201363508,-0.942304447901075,-1.22221536653682,0,0,0
2,-9.68601627701356,-0.946894046136905,-1.2268001677869,0,0,0
3,-9.68599374394158,-0.940094706470807,-1.22909169219739,0,0,0
4,-9.68622073817228,-0.944770421500613,-1.22680181309435,0,0,0
5,-9.68359354955588,-0.946807981713205,-1.23367484531054,0,0,0
6,-9.67915440933187,-0.942388843652363,-1.23825832675637,0,0,0
7,-9.68371768187832,-0.942365340860472,-1.24972159023613,0,0,0
8,-9.6812576713678,-0.949039984469389,-1.24742733471274,0,0,0
9,-9.68620602481979,-0.937970061237231,-1.2566008782492,0,0,0
10,-9.68593790696372,-0.944574806669244,-1.24972214056973,0,0,0
11,-9.67454627079999,-0.937852135574518,-1.25888625050358,0,0,0
12,-9.67249575733339,-0.940279498447132,-1.25888764734,0,0,0
13,-9.67503864975196,-0.935923696929327,-1.25430600232917,0,0,0
14,-9.67687704653711,-0.944659673054621,-1.25430363419945,0,0,0
15,-9.67704931544322,-0.944776677702409,-1.24972063586703,0,0,0
16,-9.6772543916935,-0.942652995608884,-1.25201460616063,0,0,0
17,-9.67258315630776,-0.938078192965294,-1.25430368295759,0,0,0
18,-9.68810604608187,-0.94222516562392,-1.25659868499105,0,0,0
19,-9.68398130282339,-0.940280541985891,-1.25430838329113,0,0,0
20,-9.68824685622932,-0.944582749038645,-1.24972330863872,0,0,0
21,-9.68590575179233,-0.94681545394837,-1.24513746676853,0,0,0
22,-9.68392017719725,-0.940242039941062,-1.24284637934456,0,0,0
23,-9.69531383818046,-0.942444971763086,-1.22680498197328,0,0,0
24,-9.69271221156754,-0.942242728077191,-1.21533977082002,0,0,0
25,-9.68365141614364,-0.94684691104022,-1.23367536663956,0,0,0
26,-9.69069467809959,-0.946948465143362,-1.23597219042673,0,0,0
27,-9.69118649864252,-0.940500784021347,-1.21534538593982,0,0,0
28,-9.68004926490925,-0.94073332193298,-1.2245124335544,0,0,0
29,-9.69568565538497,-0.949477279150045,-1.23139347100833,0,0,0
30,-9.69557305277672,-0.944879957112031,-1.22909978706428,0,0,0
31,-9.69355858582299,-0.940546964605401,-1.23368549525053,0,0,0
32,-9.68893229853021,-0.949570274065113,-1.23139155055618,0,0,0
33,-9.68443323939501,-0.945112817836717,-1.22909762521066,0,0,0
34,-9.6823622374781,-0.945259698782827,-1.25202161422584,0,0,0
35,-9.68014384236271,-0.938531157589031,-1.24514379617533,0,0,0
36,-9.68689720827949,-0.938438162549178,-1.24514571663005,0,0,0
37,-9.68700464691898,-0.947555115273931,-1.24285515170494,0,0,0
38,-9.67780147626875,-0.945282853999552,-1.24972749891053,0,0,0
39,-9.67094141325099,-0.936258569827492,-1.25430843069869,0,0,0
40,-9.68686383566237,-0.945197793880838,-1.24973058744705,0,0,0
41,-9.68926155886456,-0.943004400552991,-1.24973237325874,0,0,0
42,-9.68236607049749,-0.940740177556784,-1.25202126495106,0,0,0
43,-9.67987966348256,-0.945134960854633,-1.25201885859172,0,0,0
44,-9.67558055173662,-0.943073650283001,-1.24743464241643,0,0,0
45,-9.69142591872786,-0.945174454207843,-1.25660931976345,0,0,0
46,-9.68896705873367,-0.94732941757512,-1.24514547154269,0,0,0
47,-9.67757127392097,-0.940607846522026,-1.24055583317222,0,0,0
48,-9.67780140496293,-0.940763860866198,-1.2359733193935,0,0,0
49,-9.68235767486697,-0.945260341903883,-1.23597546464021,0,0,0
50,-9.68231196384079,-0.931662546740439,-1.23826621766503,0,0,0
51,-9.67563065568399,-0.94763263328629,-1.23368166862791,0,0,0
52,-9.67800713482345,-0.93864027393287,-1.24055959205026,0,0,0
53,-9.68229988750499,-0.949740355919877,-1.24972912754652,0,0,0
54,-9.69587410593369,-0.94055400372828,-1.25660971814212,0,0,0
55,-9.6843838447046,-0.945072688788112,-1.25889704882649,0,0,0
56,-9.67999155155944,-0.949732351653668,-1.25202026560634,0,0,0
57,-9.68231073608169,-0.936181814905214,-1.24743577829847,0,0,0
58,-9.67785868388905,-0.945321879308126,-1.24743571975366,0,0,0
59,-9.67327281560205,-0.938546492006303,-1.23826391087941,0,0,0
60,-9.67788569450875,-0.947601083609636,-1.24743615694027,0,0,0
61,-9.68419540747254,-0.953996120915142,-1.23368083186202,0,0,0
62,-9.6891174810103,-0.940647458140127,-1.24514626698334,0,0,0
63,-9.6846158888671,-0.940709362958964,-1.24743729282101,0,0,0
64,-9.68929297201967,-0.936245102333257,-1.23827057458758,0,0,0
65,-9.68692601935256,-0.931679106042608,-1.2245147132015,0,0,0
66,-9.67764904204943,-0.947446129177085,-1.22909561496191,0,0,0
67,-9.67317955076212,-0.940748494173148,-1.22221717468463,0,0,0
