Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.55760112386618,0.38401080455166,-2.66843443057838,0,0,0
1,-9.55833589871877,0.383324739481804,-2.67438724530485,0,0,0
2,-9.56053789690907,0.380412049070746,-2.66992932485946,0,0,0
3,-9.55987365072081,0.380904864612714,-2.66621212330556,0,0,0
4,-9.56142794372403,0.380810545136321,-2.65952099517643,0,0,0
5,-9.56051293966239,0.379667402714545,-2.66174635320979,0,0,0
6,-9.55825609474045,0.381140727652461,-2.66099696517415,0,0,0
7,-9.56436006083085,0.379599941567311,-2.66324268901245,0,0,0
8,-9.55908866464729,0.38253247410795,-2.66323070712559,0,0,0
9,-9.55760780502028,0.38081087458018,-2.66100183701695,0,0,0
10,-9.55842789467022,0.383022522515921,-2.66174546737768,0,0,0
11,-9.55992094077999,0.385498755316646,-2.66397341767037,0,0,0
12,-9.55990005860164,0.381602299004858,-2.66100447556021,0,0,0
13,-9.56072420049972,0.386959423404711,-2.66174200296912,0,0,0
14,-9.56215544219126,0.384088983192924,-2.66472159345785,0,0,0
15,-9.56600020924822,0.390320726561686,-2.65950980834045,0,0,0
16,-9.56297611124227,0.387064324300508,-2.65802439406116,0,0,0
17,-9.55924768960807,0.386808694104375,-2.66099806264244,0,0,0
18,-9.55536893459154,0.389331617121328,-2.65875134329294,0,0,0
19,-9.55694063217846,0.386839041934807,-2.65801732600161,0,0,0
20,-9.55835011246174,0.38479582616479,-2.65355488191911,0,0,0
21,-9.56585078358512,0.379693439151408,-2.65877990606256,0,0,0
22,-9.56883775775492,0.376009368756187,-2.67813178222383,0,0,0
23,-9.56346976783569,0.369709705462445,-2.66697462791967,0,0,0
24,-9.56051614562043,0.376470226344988,-2.65208178428815,0,0,0
25,-9.56211133260022,0.382595171668486,-2.652075590311,0,0,0
26,-9.55981037231535,0.383430950392502,-2.65950859771721,0,0,0
27,-9.55762375311912,0.386285524051616,-2.65950378222433,0,0,0
28,-9.55761069514947,0.386341812548605,-2.66545449474147,0,0,0
29,-9.56156343424897,0.39230481276243,-2.67215141343791,0,0,0
30,-9.55842323946417,0.38779523664761,-2.66917500848037,0,0,0
31,-9.55980632352303,0.389582110169656,-2.66914710555051,0,0,0
32,-9.55688694534443,0.387783382469633,-2.65875676579172,0,0,0
