Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.38617825133028,0.443572920681893,-2.07407532441482,0,0,0
1,-9.38608003790558,0.436809020489795,-2.05599917689128,0,0,0
2,-9.40389264373624,0.435036168600067,-2.04685209605118,0,0,0
3,-9.41097282396071,0.44169801310833,-2.04469470458971,0,0,0
4,-9.39734113311589,0.448422786365156,-2.05364659099968,0,0,0
5,-9.39049943897327,0.443818311136568,-2.05590485715772,0,0,0
6,-9.39599539551701,0.454378875821554,-2.06534238975122,0,0,0
7,-9.39070903155278,0.457324734430656,-2.0717294766694,0,0,0
8,-9.4021480970194,0.455076396614028,-2.07859421467126,0,0,0
9,-9.39591817810062,0.463598628199012,-2.09913285271857,0,0,0
10,-9.40861946019993,0.450914431751276,-2.11010733020965,0,0,0
11,-9.39791444558335,0.447902342679781,-2.10363205519421,0,0,0
12,-9.40616635631464,0.451061492845027,-2.10323435340689,0,0,0
13,-9.39727231424218,0.446226909552124,-2.10333401079979,0,0,0
14,-9.40401579441866,0.444067452048261,-2.08299961386141,0,0,0
15,-9.4047996802619,0.44103404271379,-2.0630636794442,0,0,0
16,-9.38673383351683,0.438465518020705,-2.03822800759527,0,0,0
17,-9.37939366610343,0.441183392663309,-2.04471515868068,0,0,0
18,-9.37964927046099,0.431810902233926,-2.04716131074065,0,0,0
19,-9.38407161382254,0.438815337703854,-2.04254973675102,0,0,0
20,-9.38148560986584,0.443656982122287,-2.04235893981059,0,0,0
21,-9.37091242298844,0.44966184741555,-2.05847929543747,0,0,0
22,-9.37920655466382,0.443658342978631,-2.07849843112464,0,0,0
23,-9.37512672080525,0.445465525313487,-2.09225258029298,0,0,0
24,-9.37508861979274,0.443219638478347,-2.09450883952938,0,0,0
25,-9.38243527918436,0.440542824164694,-2.10836895278079,0,0,0
26,-9.3930943110837,0.441270203295029,-2.09901204178827,0,0,0
27,-9.39933490922403,0.446440318814723,-2.08968224385952,0,0,0
28,-9.41301938435602,0.444245458306509,-2.11235591946887,0,0,0
29,-9.40631437425901,0.460052317827963,-2.10098521615644,0,0,0
30,-9.41565604937585,0.466741302314243,-2.08979190827306,0,0,0
31,-9.41538530950575,0.462428594053924,-2.08291274565425,0,0,0
32,-9.40033859872914,0.456896398122872,-2.06976058375893,0,0,0
33,-9.39793346123787,0.447871370568998,-2.07426982377731,0,0,0
34,-9.40627729675771,0.444094680753002,-2.07396364527936,0,0,0
35,-9.39307961393195,0.438986196974321,-2.06513020360512,0,0,0
36,-9.37903360070924,0.432400210692897,-2.06267618348819,0,0,0
37,-9.39315142773308,0.443485118048144,-2.0673935783985,0,0,0
38,-9.3950987165388,0.450672438229854,-2.08978845418896,0,0,0
39,-9.39042915736098,0.441624816786959,-2.10785090385216,0,0,0
40,-9.38594464713597,0.45521774009937,-2.09421774701812,0,0,0
41,-9.38213154097037,0.472746105224266,-2.09217811258911,0,0,0
42,-9.3889288319177,0.461404902579593,-2.07419136849982,0,0,0
43,-9.39522371329564,0.471102887181243,-2.09422850621308,0,0,0
44,-9.4026118807975,0.459212387376736,-2.09912372600665,0,0,0
45,-9.40912531850792,0.44358008936282,-2.09458547371851,0,0,0
46,-9.39505476422096,0.448436059538619,-2.1010792167854,0,0,0
47,-9.39491113519841,0.439438130578357,-2.09655247549584,0,0,0
48,-9.39094665378614,0.434271543788841,-2.07425997576222,0,0,0
49,-9.39087128909603,0.454890221132313,-2.07634289071223,0,0,0
50,-9.38928451738058,0.470195007950628,-2.06300622029673,0,0,0
51,-9.39568740686543,0.472930919859022,-2.05828991167721,0,0,0
52,-9.39800508674076,0.491192729719197,-2.10338144830427,0,0,0
53,-9.40085789849353,0.504379669079625,-2.14424669240299,0,0,0
54,-9.40035959010951,0.472880074159322,-2.12162717558321,0,0,0
55,-9.40066378888277,0.452078078148098,-2.10836912376174,0,0,0
56,-9.39803143802802,0.427267830630721,-2.06768902193213,0,0,0
57,-9.39139337156657,0.433871292350216,-2.03833823448297,0,0,0
58,-9.40179743335425,0.421166136885194,-2.08317443346318,0,0,0
59,-9.39883812647968,0.417245749078205,-2.12127215649272,0,0,0
60,-9.3999033993528,0.432217969510851,-2.11942442359943,0,0,0
61,-9.37979296688107,0.443116521177073,-2.10815626596475,0,0,0
62,-9.36653108392902,0.444898491953721,-2.05631735445496,0,0,0
63,-9.3639289569124,0.447458527341049,-2.02450332452505,0,0,0
64,-9.35064805489804,0.449271457429046,-2.0020266148801,0,0,0
65,-9.37340100633904,0.4608588943778,-1.98169616531067,0,0,0
66,-9.38423571980296,0.447779825301627,-2.01545565109566,0,0,0
67,-9.4044579424794,0.457332845785284,-2.05149157763021,0,0,0
68,-9.41418870894275,0.463663553640233,-2.06308155369112,0,0,0
69,-9.43260989781505,0.459185967738914,-2.09946827767966,0,0,0
70,-9.427547118927,0.441280382285966,-2.11059836988875,0,0,0
71,-9.41844386922126,0.436648786039156,-2.12189265720878,0,0,0
72,-9.42913063000647,0.439638661974165,-2.12608986686816,0,0,0
73,-9.40240046102062,0.434307338045634,-2.11500663647927,0,0,0
74,-9.39371067931562,0.44073138302536,-2.11287892247331,0,0,0
75,-9.3868350401224,0.447532365051633,-2.10825518868937,0,0,0
76,-9.38212043995566,0.447652179240519,-2.11041818182236,0,0,0
77,-9.38440688670793,0.449946726263842,-2.11945362539684,0,0,0
78,-9.37758904264145,0.45901334199004,-2.11259303019715,0,0,0
79,-9.38227138056105,0.456638065631555,-2.10365176962812,0,0,0
80,-9.38062804341988,0.467470611474701,-2.09484705132832,0,0,0
81,-9.359493914915,0.454184614714523,-2.07646187713918,0,0,0
82,-9.37339482011479,0.451774953209711,-2.07664780445572,0,0,0
83,-9.38381500501398,0.4618996800955,-2.06938145091255,0,0,0
84,-9.40434283563584,0.425484767323928,-2.06068992322288,0,0,0
85,-9.40899924452767,0.43455370098076,-2.06295512175218,0,0,0
86,-9.41181311648667,0.443240335386229,-2.0812486828581,0,0,0
87,-9.40776569473283,0.440637310187476,-2.08380192593211,0,0,0
88,-9.41904258508609,0.440823487025891,-2.08605326242091,0,0,0
89,-9.41699983090559,0.43839908205861,-2.08845802556531,0,0,0
90,-9.41150259436076,0.450342563646028,-2.07652206274376,0,0,0
91,-9.4087685056251,0.446193551800993,-2.07858034419667,0,0,0
92,-9.39523311808919,0.445975382647335,-2.08084773922719,0,0,0
93,-9.40522199608982,0.454383155136322,-2.09255811189036,0,0,0
94,-9.4029282304794,0.45210054208353,-2.0948158384663,0,0,0
95,-9.40089423657434,0.449661763253334,-2.08366876832662,0,0,0
96,-9.41361755258249,0.441376758657348,-2.06747658162653,0,0,0
97,-9.40024879210345,0.438717042585597,-2.06758150020466,0,0,0
98,-9.39105510532655,0.441018701609813,-2.07652572447077,0,0,0
99,-9.38907600574157,0.445285139107484,-2.07437182660146,0,0,0
100,-9.3801632699882,0.451882846950114,-2.0743847861371,0,0,0
101,-9.39158667079651,0.461062013500662,-2.07664560367873,0,0,0
102,-9.40029757240682,0.454655287082748,-2.0765341114758,0,0,0
103,-9.38959059314455,0.463099730843821,-2.07450872721516,0,0,0
104,-9.40995208288074,0.452059406930767,-2.08592393554906,0,0,0
105,-9.3978807329743,0.445649319289356,-2.0991124169815,0,0,0
106,-9.40681583194725,0.452724954294402,-2.09223924173407,0,0,0
107,-9.39590477092172,0.436252608521947,-2.09480361878131,0,0,0
108,-9.40214289928415,0.429973115172482,-2.08779972614568,0,0,0
109,-9.40477502947527,0.427416226569492,-2.10382283697614,0,0,0
110,-9.39757885176352,0.427677546507285,-2.11264524136999,0,0,0
111,-9.38675883879937,0.443040634800936,-2.11276771559674,0,0,0
112,-9.39541739354154,0.445813030420393,-2.10804984883953,0,0,0
113,-9.39319837493215,0.448024541075384,-2.10805368170014,0,0,0
114,-9.40298834125234,0.456618457843767,-2.11514831852499,0,0,0
115,-9.40120680520887,0.454035383640472,-2.10188967235165,0,0,0
116,-9.40275506892634,0.454501064395591,-2.07663118313126,0,0,0
117,-9.40902643750154,0.461929130425051,-2.07633831825157,0,0,0
118,-9.40047930013594,0.465898961804329,-2.0788046038661,0,0,0
119,-9.39530639498533,0.450471942958676,-2.08085248295474,0,0,0
120,-9.40441801020569,0.443687971030912,-2.08545532206688,0,0,0
121,-9.40132568397427,0.442154721998866,-2.07376713577463,0,0,0
122,-9.39523642444662,0.457372044449865,-2.04688165882229,0,0,0
123,-9.39526282390148,0.459637012702185,-2.06269441895785,0,0,0
124,-9.3919884209954,0.472136584029365,-2.08129266561437,0,0,0
125,-9.38041727722778,0.481334532362183,-2.10593795407374,0,0,0
126,-9.38412633774672,0.457052050134695,-2.09893593551077,0,0,0
127,-9.39775802889494,0.45032726793158,-2.08998408282613,0,0,0
128,-9.3905595515759,0.448336335324089,-2.07623724295717,0,0,0
129,-9.38153987151415,0.448184536163502,-2.07172583318737,0,0,0
130,-9.38455590452455,0.445225916466002,-2.0879265603238,0,0,0
131,-9.40998274923431,0.447237460119167,-2.12777582084742,0,0,0
132,-9.41933720816026,0.442503586306834,-2.1257037698641,0,0,0
133,-9.41306736685129,0.43507331754179,-2.12373814269535,0,0,0
134,-9.41251265218748,0.424161174057797,-2.07383938539518,0,0,0
135,-9.41004192049575,0.422028822106888,-2.03760198148776,0,0,0
136,-9.407958794792,0.419541021622974,-2.02640644288779,0,0,0
137,-9.40428082912372,0.407260296831755,-2.01559676105749,0,0,0
138,-9.40851781749877,0.428138219052189,-2.01306112853217,0,0,0
139,-9.40017003568392,0.445631281170749,-2.04716239269539,0,0,0
140,-9.4064575644052,0.455340900721617,-2.07849275844415,0,0,0
141,-9.41605243813173,0.466371134575704,-2.1012821531698,0,0,0
142,-9.41136128943969,0.468760761273631,-2.12377518165847,0,0,0
143,-9.41170597465838,0.452457031082742,-2.13083021404911,0,0,0
144,-9.40651438418197,0.448462252528709,-2.1327912728636,0,0,0
145,-9.40848760324643,0.444205295677571,-2.14397961799898,0,0,0
146,-9.39713314359577,0.439529685795537,-2.14849943306079,0,0,0
147,-9.40224410663926,0.439040005545565,-2.15782684227256,0,0,0
148,-9.39298739149144,0.43682846144956,-2.15095581312422,0,0,0
149,-9.39044678038435,0.443904079819821,-2.13721542535372,0,0,0
150,-9.38407068367944,0.454834742032291,-2.12829574053685,0,0,0
151,-9.39075305403101,0.461868965715837,-2.11690675830652,0,0,0
152,-9.38199482981289,0.452334903973527,-2.10580709935745,0,0,0
153,-9.38215408303674,0.447597382429134,-2.0584696185463,0,0,0
154,-9.38624560731708,0.445771169059211,-2.02664648745652,0,0,0
155,-9.40697950363449,0.447980285819145,-2.03812584876243,0,0,0
156,-9.39510010911697,0.448362203172484,-2.03106178306106,0,0,0
157,-9.38432030677938,0.440856011190155,-2.0268401774108,0,0,0
158,-9.38600715180536,0.44371382199519,-2.02654562954082,0,0,0
159,-9.39515245754376,0.439182892867606,-2.03566804380531,0,0,0
160,-9.41160037982077,0.443397331468631,-2.06757893880433,0,0,0
161,-9.39988220370716,0.455056315270263,-2.09440607861845,0,0,0
162,-9.40899236132023,0.448274704207816,-2.10126756137603,0,0,0
163,-9.41130227910638,0.452838973543812,-2.13063304822578,0,0,0
164,-9.41045240410421,0.451364098040219,-2.1392708376609,0,0,0
165,-9.4160652486667,0.454948334983095,-2.11040338219413,0,0,0
166,-9.41364876542498,0.457343681183606,-2.10353275785749,0,0,0
167,-9.40662569231653,0.452896868733517,-2.07407166281144,0,0,0
168,-9.40010158973094,0.45483674050707,-2.06740105463529,0,0,0
169,-9.38435594354446,0.456815786934841,-2.05612049810196,0,0,0
170,-9.37109561346022,0.460903139667071,-2.05849115464185,0,0,0
171,-9.3734431599844,0.454004141029152,-2.05858109402027,0,0,0
172,-9.37973325222833,0.449999844197734,-2.05837493565026,0,0,0
173,-9.38418891208144,0.447856064272764,-2.08773184593475,0,0,0
174,-9.38169187959352,0.44576674335622,-2.09214965022381,0,0,0
175,-9.38597204607942,0.443771001117359,-2.08075267500482,0,0,0
176,-9.39764518859871,0.443587224958314,-2.0944942294466,0,0,0
177,-9.40436235629761,0.441470673809949,-2.11481515436793,0,0,0
178,-9.39724636448671,0.45767127667958,-2.11454043706436,0,0,0
179,-9.40083088738688,0.463345469092117,-2.13322599403497,0,0,0
180,-9.40341082452888,0.46773674370582,-2.13337635026841,0,0,0
181,-9.39607459164522,0.461173650532137,-2.1127808461848,0,0,0
182,-9.40277144029923,0.443124272425171,-2.11061681285652,0,0,0
183,-9.40848314487029,0.441904590473896,-2.09428745444842,0,0,0
184,-9.41357506351751,0.439138030087285,-2.07650874252932,0,0,0
185,-9.40196783025892,0.443830230904404,-2.07406509736933,0,0,0
186,-9.38174314544098,0.447991198855531,-2.06956573217231,0,0,0
187,-9.40685978392495,0.454961311258149,-2.08094845814279,0,0,0
188,-9.3912299035173,0.463675635723489,-2.06064049281154,0,0,0
189,-9.36909008885357,0.46290455416634,-2.04052442109678,0,0,0
190,-9.38669072793267,0.46133955431742,-2.04708925644344,0,0,0
191,-9.393832474732,0.472516783786487,-2.06300567011749,0,0,0
192,-9.38242717536097,0.479326047948615,-2.11712871702897,0,0,0
193,-9.3846575023978,0.465694065296211,-2.12850476102664,0,0,0
194,-9.41488998949863,0.433231641856194,-2.11224403349031,0,0,0
195,-9.41272035424186,0.423960807499428,-2.06490340781085,0,0,0
196,-9.41515919875124,0.435239021099631,-2.06491380618226,0,0,0
197,-9.41536147763784,0.448757356710838,-2.0920315601656,0,0,0
198,-9.39997558476303,0.448118139744437,-2.09223888105425,0,0,0
199,-9.38176369374972,0.450265686133196,-2.09441302294289,0,0,0
200,-9.3768912647359,0.452812874338871,-2.08518671995465,0,0,0
201,-9.37284993907676,0.468267356078098,-2.0672357702946,0,0,0
202,-9.35548815350553,0.483290949000404,-2.03132301146154,0,0,0
203,-9.34605366590864,0.494942134209859,-2.01523487113126,0,0,0
204,-9.35925435302637,0.50004647319675,-2.01955114039872,0,0,0
205,-9.36919943518,0.494762377274712,-2.04036062902839,0,0,0
206,-9.38463189237043,0.486232042845694,-2.0537941899093,0,0,0
207,-9.40035513214684,0.470579390563678,-2.07193491977901,0,0,0
208,-9.41387005779356,0.470830914533682,-2.10128835788273,0,0,0
209,-9.41786189748842,0.464551212035138,-2.11011571744212,0,0,0
210,-9.41334285160699,0.450780306578217,-2.09439256885192,0,0,0
211,-9.42043001554634,0.446028818567433,-2.11039097281051,0,0,0
