Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.60574225454112,0.674535376046148,-0.603768022615091,0,0,0
1,-9.60874225454112,0.670535376046148,-0.608768022615091,0,0,0
2,-9.61474225454112,0.661535376046148,-0.612768022615091,0,0,0
3,-9.60374225454112,0.645535376046148,-0.614768022615091,0,0,0
4,-9.60374225454112,0.647535376046148,-0.596768022615091,0,0,0
5,-9.60374225454112,0.649535376046148,-0.598768022615091,0,0,0
6,-9.60574225454112,0.652535376046148,-0.582768022615091,0,0,0
7,-9.61674225454112,0.658535376046148,-0.576768022615091,0,0,0
8,-9.60874225454112,0.663535376046148,-0.571768022615091,0,0,0
9,-9.60474225454112,0.674535376046148,-0.592768022615091,0,0,0
10,-9.60674225454112,0.674535376046148,-0.587768022615091,0,0,0
11,-9.60874225454112,0.672535376046148,-0.583768022615091,0,0,0
12,-9.61574225454112,0.658535376046148,-0.565768022615091,0,0,0
13,-9.61074225454112,0.658535376046148,-0.564768022615091,0,0,0
14,-9.60874225454112,0.667535376046148,-0.560768022615091,0,0,0
15,-9.61274225454112,0.665535376046148,-0.576768022615091,0,0,0
16,-9.59974225454112,0.672535376046148,-0.571768022615091,0,0,0
17,-9.60274225454112,0.674535376046148,-0.560768022615091,0,0,0
18,-9.60674225454112,0.681535376046148,-0.576768022615091,0,0,0
19,-9.61074225454112,0.667535376046148,-0.560768022615091,0,0,0
20,-9.61574225454112,0.670535376046148,-0.547768022615091,0,0,0
21,-9.61074225454112,0.672535376046148,-0.558768022615091,0,0,0
22,-9.61174225454112,0.669535376046148,-0.545768022615091,0,0,0
23,-9.61174225454112,0.672535376046148,-0.547768022615091,0,0,0
24,-9.61174225454112,0.681535376046148,-0.565768022615091,0,0,0
25,-9.61174225454112,0.676535376046148,-0.558768022615091,0,0,0
26,-9.60874225454112,0.672535376046148,-0.569768022615091,0,0,0
27,-9.60874225454112,0.683535376046148,-0.571768022615091,0,0,0
28,-9.60174225454112,0.681535376046148,-0.567768022615091,0,0,0
29,-9.59774225454112,0.687535376046148,-0.560768022615091,0,0,0
30,-9.61074225454112,0.679535376046148,-0.565768022615091,0,0,0
31,-9.60674225454112,0.663535376046148,-0.574768022615091,0,0,0
32,-9.60674225454112,0.658535376046148,-0.567768022615091,0,0,0
33,-9.61574225454112,0.652535376046148,-0.581768022615091,0,0,0
34,-9.60274225454112,0.647535376046148,-0.573768022615091,0,0,0
35,-9.61074225454112,0.649535376046148,-0.576768022615091,0,0,0
36,-9.61074225454112,0.638535376046148,-0.583768022615091,0,0,0
37,-9.61974225454112,0.640535376046148,-0.560768022615091,0,0,0
38,-9.61974225454112,0.638535376046148,-0.555768022615091,0,0,0
39,-9.60374225454112,0.651535376046148,-0.542768022615091,0,0,0
40,-9.60674225454112,0.654535376046148,-0.544768022615091,0,0,0
41,-9.60674225454112,0.676535376046148,-0.567768022615091,0,0,0
42,-9.60474225454112,0.685535376046148,-0.567768022615091,0,0,0
43,-9.60374225454112,0.667535376046148,-0.598768022615091,0,0,0
44,-9.59774225454112,0.656535376046148,-0.608768022615091,0,0,0
45,-9.59974225454112,0.649535376046148,-0.596768022615091,0,0,0
46,-9.60674225454112,0.647535376046148,-0.599768022615091,0,0,0
47,-9.61274225454112,0.634535376046148,-0.587768022615091,0,0,0
48,-9.61474225454112,0.647535376046148,-0.565768022615091,0,0,0
49,-9.61774225454112,0.674535376046148,-0.544768022615091,0,0,0
50,-9.62274225454112,0.685535376046148,-0.537768022615091,0,0,0
51,-9.61174225454112,0.708535376046148,-0.526768022615091,0,0,0
52,-9.60774225454112,0.705535376046148,-0.544768022615091,0,0,0
53,-9.60674225454112,0.696535376046148,-0.528768022615091,0,0,0
54,-9.61174225454112,0.699535376046148,-0.535768022615091,0,0,0
55,-9.61774225454112,0.692535376046148,-0.526768022615091,0,0,0
56,-9.62174225454112,0.683535376046148,-0.510768022615091,0,0,0
57,-9.61174225454112,0.665535376046148,-0.493768022615091,0,0,0
58,-9.61774225454112,0.661535376046148,-0.506768022615091,0,0,0
59,-9.61774225454112,0.645535376046148,-0.526768022615091,0,0,0
60,-9.62174225454112,0.647535376046148,-0.544768022615091,0,0,0
61,-9.60574225454112,0.636535376046148,-0.557768022615091,0,0,0
62,-9.60174225454112,0.638535376046148,-0.556768022615091,0,0,0
63,-9.61074225454112,0.658535376046148,-0.585768022615091,0,0,0
64,-9.59674225454112,0.678535376046148,-0.609768022615091,0,0,0
65,-9.58874225454112,0.680535376046148,-0.621768022615091,0,0,0
66,-9.58674225454112,0.687535376046148,-0.637768022615091,0,0,0
67,-9.58674225454112,0.685535376046148,-0.644768022615091,0,0,0
68,-9.58874225454112,0.669535376046148,-0.662768022615091,0,0,0
69,-9.59074225454112,0.658535376046148,-0.653768022615091,0,0,0
70,-9.58674225454112,0.649535376046148,-0.655768022615091,0,0,0
71,-9.59574225454112,0.647535376046148,-0.617768022615091,0,0,0
72,-9.58374225454112,0.644535376046148,-0.580768022615091,0,0,0
73,-9.59974225454112,0.663535376046148,-0.551768022615091,0,0,0
74,-9.41874225454112,0.583535376046148,-0.531768022615091,0,0,0
75,-9.40774225454112,0.599535376046148,-0.497768022615091,0,0,0
76,-9.55074225454112,0.698535376046148,-0.479768022615091,0,0,0
77,-9.71374225454112,0.725535376046148,-0.477768022615091,0,0,0
78,-9.75074225454112,0.741535376046148,-0.493768022615091,0,0,0
79,-9.73674225454112,0.707535376046148,-0.436768022615091,0,0,0
80,-9.72074225454112,0.709535376046148,-0.455768022615091,0,0,0
81,-9.67274225454112,0.688535376046148,-0.454768022615091,0,0,0
82,-9.64474225454112,0.683535376046148,-0.461768022615091,0,0,0
83,-9.62274225454112,0.672535376046148,-0.506768022615091,0,0,0
84,-9.62474225454112,0.676535376046148,-0.556768022615091,0,0,0
85,-9.61374225454112,0.674535376046148,-0.583768022615091,0,0,0
86,-9.61174225454112,0.678535376046148,-0.610768022615091,0,0,0
87,-9.58874225454112,0.685535376046148,-0.639768022615091,0,0,0
88,-9.60174225454112,0.667535376046148,-0.644768022615091,0,0,0
89,-9.59774225454112,0.681535376046148,-0.644768022615091,0,0,0
90,-9.60474225454112,0.694535376046148,-0.651768022615091,0,0,0
91,-9.59074225454112,0.703535376046148,-0.618768022615091,0,0,0
92,-9.59374225454112,0.701535376046148,-0.605768022615091,0,0,0
93,-9.59774225454112,0.703535376046148,-0.619768022615091,0,0,0
94,-9.59974225454112,0.696535376046148,-0.619768022615091,0,0,0
95,-9.60674225454112,0.678535376046148,-0.617768022615091,0,0,0
