Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.56745642667724,1.07389595572588,-0.754927707012865,0,0,0
1,-9.56982025198174,1.08068406616592,-0.757191728833774,0,0,0
2,-9.56577435385988,1.07146673387835,-0.759881250188125,0,0,0
3,-9.57876083790643,1.07634367186066,-0.768472952315706,0,0,0
4,-9.56295800670305,1.06253930205267,-0.768614856177023,0,0,0
5,-9.57123543900026,1.06738229289935,-0.76803008818177,0,0,0
6,-9.58102731007869,1.05152646539233,-0.759703754636492,0,0,0
7,-9.57211751175128,1.05812598140402,-0.757458350815072,0,0,0
8,-9.57144410616038,1.06732597469395,-0.761400930285747,0,0,0
9,-9.5676973622945,1.07609640041541,-0.755075985980366,0,0,0
10,-9.56743107000223,1.0852006521469,-0.761568749920385,0,0,0
11,-9.55346371028809,1.05797695678249,-0.754773952989052,0,0,0
12,-9.56492441644533,1.04457172770277,-0.761819314708531,0,0,0
13,-9.57825636058528,1.04483416050243,-0.754889549978826,0,0,0
14,-9.57836049304245,1.05159266458049,-0.763930120523837,0,0,0
15,-9.55581144514958,1.06479130374082,-0.781879938806464,0,0,0
16,-9.54862094497158,1.06480557110478,-0.806434380637854,0,0,0
17,-9.54905842491514,1.0805422858295,-0.842730682424847,0,0,0
18,-9.549298965542,1.09631625087502,-0.867589238798365,0,0,0
19,-9.54909179078758,1.09637032833109,-0.871959941901008,0,0,0
20,-9.55156596570898,1.09633394625938,-0.849520910393517,0,0,0
21,-9.57435541899906,1.09659975435837,-0.799968363592439,0,0,0
22,-9.56978066593785,1.07843917208886,-0.761706080811711,0,0,0
23,-9.57884439769655,1.0808263134607,-0.752669160416187,0,0,0
24,-9.55885358410827,1.08720715528849,-0.764127154621505,0,0,0
25,-9.55883701352875,1.0984975691572,-0.757218019278674,0,0,0
26,-9.55689389153232,1.08032775399566,-0.768930062223083,0,0,0
27,-9.55783860284445,1.07617959765152,-0.786115197091568,0,0,0
28,-9.5630479080713,1.05574839015344,-0.775528755394366,0,0,0
29,-9.55842876769395,1.04892359172992,-0.773266190235339,0,0,0
30,-9.56979084485976,1.04232368972601,-0.786947903204866,0,0,0
31,-9.54671252569144,1.06015210020498,-0.788656116914678,0,0,0
32,-9.55190775909699,1.0645798474135,-0.791354120390052,0,0,0
33,-9.55354835401832,1.07603067268932,-0.761422109863819,0,0,0
34,-9.54887309000318,1.07825130921453,-0.756764780912308,0,0,0
35,-9.55647942209417,1.07812655040154,-0.721210192021779,0,0,0
36,-9.56298725807919,1.06249165831464,-0.723447561275499,0,0,0
37,-9.56261918818907,1.03999756456402,-0.725682192956791,0,0,0
38,-9.56001550122851,1.04457967087165,-0.745721888474611,0,0,0
39,-9.55740890351334,1.04916663035134,-0.770278222371363,0,0,0
40,-9.55168292980729,1.06235315506166,-0.766363795343125,0,0,0
41,-9.57153019308012,1.08537743875718,-0.765790718642873,0,0,0
42,-9.54973077059127,1.09387029807768,-0.775286016947899,0,0,0
43,-9.56457514492529,1.07402825410187,-0.774816659632544,0,0,0
44,-9.55557052300861,1.06259078422737,-0.781731635124012,0,0,0
45,-9.56015385743728,1.04232859368269,-0.791032665270757,0,0,0
46,-9.55783508050282,1.05134909827719,-0.799931122457631,0,0,0
47,-9.54930702464811,1.06915740575254,-0.806876987522143,0,0,0
48,-9.55237643141057,1.06900220005237,-0.811976086164076,0,0,0
49,-9.55684991829628,1.0780900390639,-0.780219533636925,0,0,0
50,-9.57080790740282,1.07818352525251,-0.753402150618575,0,0,0
51,-9.57690230776188,1.07391835833334,-0.730371640204303,0,0,0
52,-9.56491846965815,1.04227205418409,-0.714391281755553,0,0,0
53,-9.58034298685981,1.0335987993394,-0.73229259613041,0,0,0
54,-9.56932943774119,1.03788914428245,-0.755034178989696,0,0,0
55,-9.57182861501959,1.04012174090812,-0.750664263928827,0,0,0
56,-9.57429511357109,1.05367060749482,-0.764227243968008,0,0,0
57,-9.5487214384502,1.04442449270507,-0.772829518976247,0,0,0
58,-9.56496107717746,1.04682137529652,-0.761821688014909,0,0,0
59,-9.56552610718411,1.06927819922723,-0.771024800695386,0,0,0
60,-9.56549197476494,1.08059705763252,-0.791216029296577,0,0,0
61,-9.55363054907651,1.08282497456976,-0.804338040502384,0,0,0
62,-9.54797832748819,1.08924594670478,-0.832179728805185,0,0,0
63,-9.55460407766574,1.10518323822869,-0.81383308702868,0,0,0
64,-9.55219325491951,1.09385298574799,-0.770913751122576,0,0,0
65,-9.56534328074311,1.08055577008599,-0.705252309493397,0,0,0
66,-9.57904022758494,1.0649089205924,-0.685193349395166,0,0,0
67,-9.5760415009485,1.05599476453194,-0.659905828744119,0,0,0
68,-9.58271163472876,1.06290556259109,-0.662021107766079,0,0,0
69,-9.56666644578133,1.04690291392339,-0.664273078272761,0,0,0
70,-9.56972131286886,1.04677196120878,-0.691955306698604,0,0,0
71,-9.56506365001787,1.051273026746,-0.716659139726143,0,0,0
72,-9.551594886143,1.05556847947688,-0.732481204247847,0,0,0
73,-9.55099429164033,1.04443265938661,-0.745727731589314,0,0,0
74,-9.57394418544818,1.04472112173296,-0.764071836324665,0,0,0
75,-9.57169326526169,1.04467722221143,-0.757298202871672,0,0,0
76,-9.57586172464159,1.0357868628772,-0.74358970424856,0,0,0
77,-9.57352870997629,1.03125793962236,-0.750361506337006,0,0,0
78,-9.58487270724937,1.03595054983419,-0.759392399661912,0,0,0
79,-9.58148968939605,1.06722237126293,-0.757607909181134,0,0,0
80,-9.57433036150836,1.0920218037384,-0.72543771876118,0,0,0
81,-9.56740943107335,1.06935375950861,-0.714272432715331,0,0,0
82,-9.56892769283376,1.04923937268723,-0.711699518359965,0,0,0
83,-9.58486968539171,1.03364610113991,-0.707447685442796,0,0,0
84,-9.56242857168438,1.02876123752977,-0.736962150150279,0,0,0
85,-9.55361999166148,1.0421240221835,-0.748274056842873,0,0,0
86,-9.55083108360139,1.04672425608678,-0.738809132676335,0,0,0
87,-9.55582791753695,1.05119178483444,-0.732327651258045,0,0,0
88,-9.56904166711601,1.06955473409525,-0.729641864251962,0,0,0
89,-9.56403750854261,1.0650992273009,-0.747415093545889,0,0,0
90,-9.55603764501874,1.06470641080587,-0.748150429700186,0,0,0
91,-9.5579929436148,1.07159290713735,-0.750122649361105,0,0,0
92,-9.56469244206085,1.08076541622506,-0.763531997907571,0,0,0
93,-9.55690559210451,1.08030869646505,-0.750863110707369,0,0,0
94,-9.55363715880525,1.0556686419194,-0.745884034561448,0,0,0
95,-9.5598376565505,1.04689508919534,-0.761386874103691,0,0,0
96,-9.56258905286944,1.06488250489479,-0.763808672064932,0,0,0
97,-9.56584474947366,1.07597075003777,-0.764402734634014,0,0,0
98,-9.56058452780895,1.08060296584726,-0.772860188351299,0,0,0
99,-9.56298501198329,1.08964077809747,-0.775126581440419,0,0,0
100,-9.56710316010051,1.08978663995638,-0.749989892403357,0,0,0
101,-9.56703023042329,1.07171371446036,-0.725274863265087,0,0,0
102,-9.55807103831132,1.06251168620361,-0.718642009279246,0,0,0
103,-9.57400081736803,1.05820143291642,-0.700706007897533,0,0,0
104,-9.57607135540062,1.04699227578498,-0.70295104317582,0,0,0
105,-9.57170446361172,1.05592216810801,-0.707480183303807,0,0,0
106,-9.56725547460015,1.06036703664631,-0.725554752683431,0,0,0
107,-9.56312658816368,1.07150215962416,-0.734748878226394,0,0,0
108,-9.57206864799584,1.06715940502754,-0.743771747465,0,0,0
109,-9.56300929312325,1.06476512777741,-0.74603358203264,0,0,0
110,-9.5698680513911,1.05807969964196,-0.748426344230006,0,0,0
111,-9.57194883467657,1.04685397580754,-0.734862815917723,0,0,0
112,-9.56503958762971,1.02416741763043,-0.705630556687902,0,0,0
113,-9.57319281480283,1.00871132927954,-0.702912157553205,0,0,0
114,-9.57554150577504,1.02678717856303,-0.696008744274527,0,0,0
115,-9.57349885706262,1.04026035239886,-0.707316247782305,0,0,0
116,-9.5694081098554,1.0536429032996,-0.714254358710081,0,0,0
117,-9.56475484793421,1.05813689931402,-0.732183043588793,0,0,0
118,-9.5692948009837,1.06047198526804,-0.743474298114158,0,0,0
119,-9.56480915674673,1.06266720628445,-0.761546477406291,0,0,0
120,-9.5627679706004,1.07613799793781,-0.770595620363381,0,0,0
121,-9.54934028921131,1.08267601733751,-0.779644947226019,0,0,0
122,-9.54840598901935,1.07613578330414,-0.790345876898478,0,0,0
123,-9.5474128508895,1.07805338635219,-0.791225342248083,0,0,0
124,-9.54978776995956,1.05998753718832,-0.784721667605399,0,0,0
125,-9.56443377049172,1.04018480638813,-0.77507290741765,0,0,0
126,-9.56469478579092,1.05592534493453,-0.768314439070525,0,0,0
127,-9.56159562269404,1.08037346567617,-0.789398399007346,0,0,0
128,-9.55248116484988,1.10059547497262,-0.811717394689352,0,0,0
129,-9.5503168224627,1.1073386006487,-0.841084744307668,0,0,0
130,-9.54766664738875,1.09611488614854,-0.852220176816167,0,0,0
131,-9.54954803511632,1.07366707410635,-0.863486806695528,0,0,0
132,-9.55171383677614,1.0669215336693,-0.83186111956309,0,0,0
133,-9.55400726796999,1.06920555203697,-0.829603667342157,0,0,0
