Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.59416955882301,0.553703494413784,-1.95125649828555,0,0,0
1,-9.5876131104609,0.56023843274771,-1.96042515140739,0,0,0
2,-9.59246302360267,0.555457093953764,-1.95813720308132,0,0,0
3,-9.59455939301019,0.566958575945042,-1.95125869128712,0,0,0
4,-9.59202128728675,0.553581550129409,-1.95354905458653,0,0,0
5,-9.59406715807753,0.553794530357069,-1.95125567108733,0,0,0
6,-9.59015001078769,0.550947110267634,-1.95813638333654,0,0,0
7,-9.59077327338531,0.55717861087059,-1.95113573247122,0,0,0
8,-9.59459620567354,0.562387896037256,-1.93750511176401,0,0,0
9,-9.58346225585628,0.571190853299411,-1.93520989858038,0,0,0
10,-9.59034817623684,0.573432052879777,-1.93062798529215,0,0,0
11,-9.59487517913119,0.559875553885106,-1.94667698272198,0,0,0
12,-9.59288251601029,0.568677864717454,-1.94435048565829,0,0,0
13,-9.59264414180562,0.568893489850038,-1.94438350317889,0,0,0
14,-9.59344558899731,0.554339754598403,-1.92603472844147,0,0,0
15,-9.59606968672021,0.558577371120374,-1.93979218625087,0,0,0
16,-9.59126379072267,0.558789110053697,-1.95354260901007,0,0,0
17,-9.59365876214883,0.576828189337835,-1.95125077842278,0,0,0
18,-9.59618576977332,0.574346030593472,-1.94896144678058,0,0,0
19,-9.5936941650784,0.579068470648472,-1.96729739397768,0,0,0
20,-9.60052092647362,0.576830863215608,-1.9718847821433,0,0,0
21,-9.5959848787655,0.574528867239384,-1.96271396489133,0,0,0
22,-9.58514453207138,0.56719898520263,-1.95125282167872,0,0,0
23,-9.5664371566832,0.553968755632513,-1.95124302547321,0,0,0
24,-9.56613137297349,0.55424207068378,-1.95582526179287,0,0,0
25,-9.56874811401054,0.565290092633883,-1.97875161726098,0,0,0
26,-9.5841192833587,0.574921477622824,-1.98104462135138,0,0,0
27,-9.59841666534496,0.572138897248933,-1.98563981568879,0,0,0
28,-9.61399645708389,0.581588493804078,-2.00168865795417,0,0,0
29,-9.59646528793926,0.578644749691157,-1.99481058963122,0,0,0
30,-9.59182747309898,0.57643404227663,-1.98793128055085,0,0,0
31,-9.5871359061512,0.562933931468353,-1.97417527393488,0,0,0
32,-9.58052965815365,0.574037974671703,-1.95125015619603,0,0,0
33,-9.58482163808781,0.574281433603851,-1.93061851781877,0,0,0
34,-9.57350409404223,0.569647290144905,-1.93290749997285,0,0,0
35,-9.58448233769106,0.57231503319358,-1.92603125216683,0,0,0
36,-9.59382619912064,0.574405345096499,-1.92832871591939,0,0,0
37,-9.5914312248102,0.556366459766197,-1.93062053897007,0,0,0
38,-9.59145750183087,0.558605420884995,-1.91457408315795,0,0,0
39,-9.59166685758291,0.558423940418259,-1.93062226616157,0,0,0
40,-9.59195429014547,0.571770302011293,-1.93062362348785,0,0,0
41,-9.59120863885855,0.570168845248209,-1.93749488241237,0,0,0
42,-9.59166154243239,0.565234423747956,-1.94666826894436,0,0,0
43,-9.59100580590865,0.57035136852916,-1.94437031333295,0,0,0
44,-9.59562326877437,0.563512541376874,-1.95354241267903,0,0,0
45,-9.59360761108191,0.565538991459162,-1.95354351852696,0,0,0
46,-9.59115021720724,0.565690005669446,-1.94895650228385,0,0,0
47,-9.58933998365809,0.567534307051231,-1.95125162051142,0,0,0
48,-9.58718250029343,0.574222302687888,-1.95583597692874,0,0,0
49,-9.58896190742423,0.570138487666535,-1.95354076139479,0,0,0
50,-9.58896386287404,0.570138763296193,-1.96041784104462,0,0,0
51,-9.59120593607962,0.576979961618982,-1.96271027853967,0,0,0
52,-9.58902554360837,0.57461806225772,-1.96041802058953,0,0,0
53,-9.59035469443773,0.573432971650217,-1.95355170669547,0,0,0
54,-9.59027140807669,0.559904799408898,-1.95125962315143,0,0,0
55,-9.59222608401811,0.553399482737027,-1.95355071086748,0,0,0
56,-9.58282639426108,0.540019683947917,-1.93749936996002,0,0,0
57,-9.58316178735406,0.541985922236472,-1.92833243578483,0,0,0
58,-9.59212770214304,0.54668011442703,-1.93291910078909,0,0,0
59,-9.5901388260353,0.557756454154507,-1.95355107832953,0,0,0
60,-9.59022211343048,0.571284683842522,-1.95584315999025,0,0,0
61,-9.59918866148215,0.57597913812769,-1.96272218205012,0,0,0
62,-9.60148865998137,0.564630059821115,-1.95584692082807,0,0,0
63,-9.59011189861262,0.555517502917384,-1.96730522140497,0,0,0
64,-9.59457981618744,0.553339451672294,-1.95355217921981,0,0,0
65,-9.59169574236875,0.544805752568297,-1.96271650893501,0,0,0
66,-9.59279782423259,0.561960561501518,-1.97185871598928,0,0,0
67,-9.59231262836913,0.566928217908731,-1.96730464285956,0,0,0
68,-9.59246486618339,0.578125567837358,-1.96042798093301,0,0,0
69,-9.59272210727969,0.589232071135401,-1.96272163192966,0,0,0
70,-9.59275164213895,0.591471401187035,-1.95813697930172,0,0,0
71,-9.59231718858688,0.582786338108743,-1.94437991995937,0,0,0
72,-9.59232641629305,0.575976454926418,-1.94208810570685,0,0,0
73,-9.59255227906343,0.562175108147738,-1.94667560696374,0,0,0
74,-9.59265572137434,0.541668176389588,-1.93054975567316,0,0,0
75,-9.59188153214932,0.551432118705423,-1.93062445298853,0,0,0
76,-9.5968462324325,0.562418713499929,-1.93292100957989,0,0,0
77,-9.5949985312585,0.568833473432577,-1.94667734178461,0,0,0
78,-9.59218405919438,0.557969382445357,-1.94896532175263,0,0,0
79,-9.59211575917542,0.560300435014699,-1.96042643182564,0,0,0
80,-9.59175210339217,0.556095239065838,-1.97876269125072,0,0,0
81,-9.59468210851838,0.560059337326115,-1.98793803062449,0,0,0
82,-9.58815320169215,0.568833141037759,-1.98564493825105,0,0,0
83,-9.59272613107543,0.566564370361032,-1.98106222219603,0,0,0
84,-9.59227190868464,0.571498392736322,-1.9673039886006,0,0,0
85,-9.59218992557035,0.557970209338073,-1.96959665404431,0,0,0
86,-9.59478462049759,0.553157389855861,-1.95355383550311,0,0,0
87,-9.60579977855981,0.551254128570913,-1.93292394124877,0,0,0
88,-9.59194321008124,0.555911214154275,-1.93062463252528,0,0,0
89,-9.59371076351713,0.55863669739903,-1.92145181432596,0,0,0
90,-9.58658995035171,0.554337886549479,-1.9283243518373,0,0,0
91,-9.58763677925904,0.562476958519639,-1.93520917874572,0,0,0
92,-9.58666403968466,0.574677105085369,-1.93290824214184,0,0,0
93,-9.59172061433805,0.569713242139919,-1.93749899009462,0,0,0
94,-9.59351052819458,0.558819467718032,-1.93749671682947,0,0,0
95,-9.58699355092093,0.560784125893318,-1.94208125637681,0,0,0
96,-9.59162604054178,0.569805463451102,-1.96500653241412,0,0,0
97,-9.59156696832367,0.565326622446469,-1.97417580749155,0,0,0
98,-9.59408876651615,0.562843940440394,-1.95354756944958,0,0,0
99,-9.60022370149239,0.563482811308685,-1.93749799543818,0,0,0
100,-9.60047392010036,0.551919767232343,-1.91916191597219,0,0,0
101,-9.60933403968592,0.556704783360263,-1.91228594018961,0,0,0
102,-9.62061213249318,0.565909439165282,-1.91458105088136,0,0,0
103,-9.60726907950875,0.570111659643172,-1.91687056403672,0,0,0
104,-9.59143653986015,0.549555986827319,-1.91457453618762,0,0,0
105,-9.59347197199302,0.533909837106585,-1.91457454800113,0,0,0
106,-9.58493461741477,0.544711738771978,-1.9374985466259,0,0,0
107,-9.57534657819769,0.547373418847573,-1.93978350812268,0,0,0
108,-9.58033220507052,0.544741096062123,-1.94666591060634,0,0,0
109,-9.5848190068122,0.558423193383454,-1.96042026660449,0,0,0
110,-9.59205723707317,0.578490483051205,-1.96730175652739,0,0,0
111,-9.59849343412476,0.585666894617735,-1.96500824857036,0,0,0
112,-9.60524604012762,0.585759713391388,-1.96042544375604,0,0,0
113,-9.6185293725573,0.577078593991591,-1.96501281845439,0,0,0
114,-9.62059549572328,0.570483213332384,-1.99939776887221,0,0,0
115,-9.61420782406508,0.581407058183385,-2.02461398095752,0,0,0
116,-9.61644726443855,0.588247840694527,-2.0177369477964,0,0,0
117,-9.64107777725193,0.579628872003567,-1.98106584263132,0,0,0
118,-9.65263844799949,0.579509925201173,-1.96960973907121,0,0,0
119,-9.6930580325858,0.557489825073672,-1.96732966812924,0,0,0
120,-9.69258711021886,0.546563662017553,-1.93523362660493,0,0,0
121,-9.71276926255053,0.526503441103332,-1.91002420085933,0,0,0
122,-9.77783010814345,0.548014857761169,-1.93984021399845,0,0,0
123,-9.72011213553144,0.575960215807363,-1.95587457809056,0,0,0
124,-9.6343418351378,0.574962257738421,-1.90083188703345,0,0,0
125,-9.60187597513352,0.53681666075959,-1.85267863448516,0,0,0
126,-9.54330360984262,0.517912088789261,-1.86412464852717,0,0,0
127,-9.50459914315444,0.48603004956427,-1.86182014746932,0,0,0
128,-9.48466506676883,0.478671010634069,-1.90078747609958,0,0,0
129,-9.51325054356674,0.466091587872502,-1.95351550524421,0,0,0
130,-9.53204814374229,0.479231822746878,-1.91226355454987,0,0,0
131,-9.56355862630136,0.509143747440849,-1.91456280153632,0,0,0
132,-9.5686931727151,0.517709501315704,-1.90310666916083,0,0,0
133,-9.57038020450328,0.522763282371336,-1.86184014966178,0,0,0
134,-9.55730222898603,0.553931936629786,-1.85496048278305,0,0,0
135,-9.55495775936351,0.547181929470546,-1.85266721243952,0,0,0
136,-9.57092294378927,0.563075023857182,-1.81828690986135,0,0,0
137,-9.59807392587771,0.551973271277025,-1.75640264228503,0,0,0
138,-9.63607562710462,0.548202539077343,-1.74265768145131,0,0,0
139,-9.62259671055767,0.550255885511301,-1.7357768447024,0,0,0
140,-9.63737047464019,0.517331273807864,-1.6990985736982,0,0,0
141,-9.63952839654196,0.48116327920227,-1.66471525918989,0,0,0
142,-9.64855120829593,0.490336089904313,-1.65325567029138,0,0,0
143,-9.67086086385325,0.468159368906593,-1.66243132255128,0,0,0
144,-9.67507480162882,0.47754223704063,-1.65555305709501,0,0,0
145,-9.66717637438712,0.496850691710385,-1.68765005351185,0,0,0
146,-9.66671226766427,0.470067379312891,-1.71744898496484,0,0,0
147,-9.64214158629311,0.476354355628651,-1.71285821389985,0,0,0
148,-9.61648390910163,0.433732367994869,-1.7128472784876,0,0,0
149,-9.60403659883624,0.412216435364192,-1.73577584886071,0,0,0
150,-9.56177561831617,0.449697189796205,-1.70137960043139,0,0,0
151,-9.61764371757118,0.428167178171279,-1.68534737206505,0,0,0
152,-9.68420328328106,0.339306298182283,-1.73576200667368,0,0,0
153,-9.63185037426064,0.330027661957727,-1.71743966483122,0,0,0
154,-9.633811591005,0.316711046779571,-1.70826955432927,0,0,0
155,-9.62729306608228,0.341342595087593,-1.70368315520482,0,0,0
156,-9.62092198843544,0.338650819325079,-1.71743828501034,0,0,0
157,-9.59923314957247,0.369346438033413,-1.74257057988578,0,0,0
158,-9.60303711785112,0.354171017846548,-1.76098813126629,0,0,0
159,-9.58020279830901,0.34508396884912,-1.78619594492423,0,0,0
160,-9.58260908109854,0.349502729473572,-1.75410432725553,0,0,0
161,-9.62112042360628,0.374754805808874,-1.7609925628801,0,0,0
162,-9.62622055240171,0.387893548180149,-1.77016687396318,0,0,0
163,-9.62149781603286,0.394819934393151,-1.7518246349827,0,0,0
164,-9.63294228020767,0.401602208535664,-1.72661275701125,0,0,0
165,-9.64654755124386,0.401697219522951,-1.70827834846685,0,0,0
166,-9.63966087938167,0.39945506667181,-1.71056798289747,0,0,0
167,-9.62155378607732,0.392487997845141,-1.69680835906217,0,0,0
