Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.71227301387347,0.306905655136151,-1.87698289729264,0,0,0
1,-9.70919555965742,0.308421939867212,-1.88216778578964,0,0,0
2,-9.71008641787066,0.312145139106113,-1.8821808050586,0,0,0
3,-9.70759666310061,0.312295569749765,-1.88212794942801,0,0,0
4,-9.71094968504518,0.309768609150653,-1.88221761565636,0,0,0
5,-9.70842425818337,0.312247239004676,-1.88065759633119,0,0,0
6,-9.7067699089621,0.308514450193018,-1.87841143515077,0,0,0
7,-9.70896055964297,0.304035911293349,-1.86800471554967,0,0,0
8,-9.7101722578087,0.309769935916293,-1.87105662385887,0,0,0
9,-9.7115513041115,0.309920200507755,-1.87028215391859,0,0,0
10,-9.70948563534436,0.309692537712551,-1.87330382769592,0,0,0
11,-9.70782637672491,0.309028163262565,-1.88145337192047,0,0,0
12,-9.70945667316556,0.315080025659239,-1.88963223943765,0,0,0
13,-9.70974094344148,0.311689852658172,-1.89251535114474,0,0,0
14,-9.70923038348092,0.309923116246866,-1.88886182116845,0,0,0
15,-9.71130939515176,0.310904559159027,-1.88658319835343,0,0,0
16,-9.7092144492643,0.313764323679414,-1.88437687176101,0,0,0
17,-9.70924314964056,0.311441520307447,-1.8814201202371,0,0,0
18,-9.71077536029216,0.312220736783117,-1.88142157255872,0,0,0
19,-9.7078873147684,0.312801468413144,-1.88144877267688,0,0,0
20,-9.70698342949141,0.312153019628717,-1.88662354496144,0,0,0
21,-9.70867866823665,0.314317624190849,-1.88591203950217,0,0,0
22,-9.7085542060735,0.311365926310943,-1.88217935273059,0,0,0
23,-9.70837983170485,0.305396432444507,-1.87770636240139,0,0,0
24,-9.71078258716916,0.309150541583855,-1.87251384697137,0,0,0
25,-9.70910475523549,0.308500659882461,-1.86875960872131,0,0,0
26,-9.70968722519372,0.306374601965171,-1.86798671550296,0,0,0
27,-9.70832152972973,0.306978134889686,-1.86950424817018,0,0,0
28,-9.70755629665791,0.306205748428558,-1.87396789682239,0,0,0
29,-9.7129561494237,0.306985760481811,-1.87250373637287,0,0,0
30,-9.71153421082418,0.312233917525977,-1.88067877252681,0,0,0
31,-9.70614306467706,0.312211323685112,-1.87991005225186,0,0,0
32,-9.70771790050023,0.312185241492602,-1.8702570363762,0,0,0
33,-9.70687463473941,0.311481619643599,-1.86949635681922,0,0,0
34,-9.71002404970284,0.314494229331616,-1.86356195997774,0,0,0
35,-9.71240153617327,0.312146746539912,-1.85988119365761,0,0,0
36,-9.71301418370714,0.311525558422725,-1.86282639764581,0,0,0
37,-9.71310498682196,0.31297519485869,-1.86060902309616,0,0,0
38,-9.71400133852381,0.312865349756948,-1.85841109514554,0,0,0
39,-9.7107440151909,0.312245218224434,-1.86133394727587,0,0,0
40,-9.70747514264088,0.321664084122822,-1.87627793150631,0,0,0
41,-9.70771828086346,0.324435581200216,-1.87986484347076,0,0,0
42,-9.70815338294535,0.324812659545625,-1.88219447440219,0,0,0
43,-9.70702205306129,0.319008393110915,-1.8858548460853,0,0,0
44,-9.71076929492104,0.31529005548854,-1.89107327653204,0,0,0
45,-9.71088558058551,0.309826480136986,-1.88592111686915,0,0,0
46,-9.7098363331722,0.30471418509464,-1.88959699688854,0,0,0
47,-9.70619265949348,0.309872206715522,-1.89034504905291,0,0,0
48,-9.70977629067005,0.305533055535633,-1.88809167052938,0,0,0
49,-9.71002664045857,0.308370908735283,-1.8829293907548,0,0,0
50,-9.7077355775272,0.307578515187143,-1.88367073876623,0,0,0
51,-9.70992423008465,0.306930317350223,-1.87770689486527,0,0,0
52,-9.71132875880582,0.300167383125671,-1.87399761515633,0,0,0
53,-9.71055218239875,0.294811004991887,-1.87327531061277,0,0,0
54,-9.708123624768,0.294141454922101,-1.87547177233333,0,0,0
55,-9.70599675373324,0.294733733914921,-1.8762441397893,0,0,0
56,-9.70864927983832,0.300562061107329,-1.87333010842459,0,0,0
57,-9.71229649574357,0.30382280718862,-1.87849098045673,0,0,0
58,-9.70931537906801,0.311377293623063,-1.88292452525126,0,0,0
59,-9.70846894805161,0.314504908357001,-1.88586273743626,0,0,0
