Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.3621574618861,0.49454739317183,-2.49380945911292,0,0,0
1,-10.065938171113,0.547295428278116,-2.55809413707653,0,0,0
2,-9.49328866820532,0.529204295037947,-2.42478512992901,0,0,0
3,-9.5146474485113,0.528684612179832,-2.43449305410902,0,0,0
4,-9.63148270004344,0.521649213475649,-2.52321286495921,0,0,0
5,-9.69450358088117,0.519617854411752,-2.46900787458643,0,0,0
6,-9.60101419678954,0.524288852901582,-2.47182707244193,0,0,0
7,-9.60035065217466,0.515682829480895,-2.47184284630629,0,0,0
8,-9.5850772969331,0.51476714235416,-2.48148931355755,0,0,0
9,-9.58506742218848,0.512481528297947,-2.49860327239899,0,0,0
10,-9.58144191903338,0.518363004452285,-2.49859228244526,0,0,0
11,-9.57986249464752,0.523026377114385,-2.48742146458969,0,0,0
12,-9.58073402167834,0.527519889103107,-2.48741827577288,0,0,0
13,-9.58136037737105,0.523068151004944,-2.47328850473428,0,0,0
14,-9.58227428545712,0.529821889630915,-2.47700237529305,0,0,0
15,-9.58240750310098,0.530427323444341,-2.48072471110041,0,0,0
16,-9.57997249491527,0.525178912798277,-2.46063937510323,0,0,0
17,-9.58054624517805,0.526957018602688,-2.44872961798518,0,0,0
18,-9.57979534117448,0.518455624920188,-2.44204738513965,0,0,0
19,-9.58057728634959,0.523055650939873,-2.43385830627795,0,0,0
20,-9.5875849906294,0.528349404666091,-2.4375846161197,0,0,0
21,-9.59064112994471,0.528385804454559,-2.44800488090534,0,0,0
22,-9.58991472982664,0.531423368854639,-2.46287819348126,0,0,0
23,-9.58917342697826,0.528320456408024,-2.48148096816336,0,0,0
24,-9.58688267126428,0.52290450160576,-2.47999820577519,0,0,0
25,-9.58678476310135,0.527640743353058,-2.46882863533928,0,0,0
26,-9.5860433717187,0.529142843519879,-2.46510578325687,0,0,0
27,-9.58681718156099,0.532220402748382,-2.4673340461839,0,0,0
28,-9.59062457921719,0.533040320008703,-2.46436319679047,0,0,0
29,-9.59440178381199,0.53082603525267,-2.47329946546638,0,0,0
30,-9.59345777526929,0.519490812680729,-2.47256811713826,0,0,0
31,-9.58949914825291,0.518843783295518,-2.45247266168569,0,0,0
32,-9.59026589944999,0.511897751078673,-2.42867977105942,0,0,0
33,-9.59472914973533,0.512083257129533,-2.41603724677473,0,0,0
34,-9.59250614083079,0.516588695382964,-2.40561266426178,0,0,0
35,-9.58350678391223,0.523209240881186,-2.38773610654167,0,0,0
36,-9.58119650665809,0.526290523048858,-2.38623872969237,0,0,0
37,-9.58277767397781,0.522390139275233,-2.39071280607619,0,0,0
38,-9.58059043095344,0.518385686558125,-2.3907182728826,0,0,0
39,-9.58033591975864,0.524100056307619,-2.39442169544064,0,0,0
40,-9.57988980741277,0.532942842008167,-2.40334147580101,0,0,0
41,-9.58075212823742,0.532838509363454,-2.41971212450688,0,0,0
42,-9.58507306418374,0.524744776247117,-2.4264216889174,0,0,0
43,-9.58795608697286,0.515761225166874,-2.44429149556227,0,0,0
44,-9.58198110913441,0.513997583272971,-2.45321481408723,0,0,0
45,-9.58254350364557,0.506556150291609,-2.45396690256757,0,0,0
46,-9.58712954051065,0.50582666612571,-2.45397607105294,0,0,0
47,-9.5917225501664,0.505091749772051,-2.45844903041353,0,0,0
48,-9.59178785753135,0.516562109166296,-2.45694389724159,0,0,0
49,-9.59215023682679,0.521502365653203,-2.46215315516733,0,0,0
50,-9.60287066055429,0.523886092832144,-2.46588796826685,0,0,0
51,-9.59894740372512,0.523975922053887,-2.46067086610407,0,0,0
52,-9.59661957817068,0.528618031393841,-2.45693855763119,0,0,0
53,-9.58757541253279,0.532998480156587,-2.45840673399452,0,0,0
54,-9.58604483974647,0.537605620857835,-2.45393278719549,0,0,0
55,-9.58605092466942,0.53143027096506,-2.44650389412428,0,0,0
56,-9.58362006814174,0.522338037327801,-2.44353551743771,0,0,0
57,-9.5903259803684,0.521078936281879,-2.44726446926605,0,0,0
58,-9.59037890834796,0.521783779115254,-2.44875260763699,0,0,0
59,-9.58650407485373,0.519505893981092,-2.44874830794775,0,0,0
60,-9.5781416954196,0.515514248334749,-2.43683868530624,0,0,0
61,-9.57425335104831,0.518634584573792,-2.42269038477884,0,0,0
62,-9.57533081925196,0.524404761602042,-2.41599523334203,0,0,0
63,-9.58224285840117,0.534451428364648,-2.43458971669589,0,0,0
64,-9.58530827763606,0.534480574499242,-2.4509616872113,0,0,0
65,-9.58612300530861,0.532884528384573,-2.45245490667152,0,0,0
66,-9.57473720686305,0.538841916724147,-2.44796370250244,0,0,0
67,-9.61970524640553,0.538645203081878,-2.46514920047206,0,0,0
68,-9.51929598618692,0.541739621297702,-2.43224926026967,0,0,0
69,-9.72138544932923,0.531274913494092,-2.50846687427862,0,0,0
70,-9.21157054873833,0.554321165299187,-2.31643213132776,0,0,0
71,-9.29231217369083,0.537019586616042,-2.47579519077909,0,0,0
72,-10.201765127826,0.524410393671233,-2.65802938916177,0,0,0
73,-9.45906213529575,0.528692153600878,-2.43142632217756,0,0,0
74,-9.69360172200815,0.502097942819069,-2.50846029838655,0,0,0
75,-9.54543814528794,0.506560537730223,-2.45763109087329,0,0,0
76,-9.60928187145114,0.511445298746825,-2.47185918067965,0,0,0
77,-9.58138494642192,0.521483516465013,-2.4554374547262,0,0,0
78,-9.58137780057135,0.526112326656493,-2.4531977734568,0,0,0
79,-9.58360246621512,0.52544614279226,-2.45022526161255,0,0,0
80,-9.59424039482017,0.523307625575831,-2.44801386269402,0,0,0
81,-9.5873892429048,0.517054018854094,-2.4539645329908,0,0,0
82,-9.58274398423113,0.514772030217516,-2.44726335878395,0,0,0
83,-9.57651261188898,0.509459378752114,-2.42940402623698,0,0,0
84,-9.57523328138859,0.516836594724499,-2.43162771590876,0,0,0
