Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.42344835876321,-2.29673041415641,-1.73848420841175,0,0,0
1,-9.44272100937909,-2.28205565699636,-1.72064258786259,0,0,0
2,-9.44644960610281,-2.28953346018499,-1.70801152427988,0,0,0
3,-9.4371893719814,-2.29798242395035,-1.70354376437349,0,0,0
4,-9.43386703429011,-2.29802125808593,-1.70353576505293,0,0,0
5,-9.44137604851318,-2.29487435234491,-1.70503019564455,0,0,0
6,-9.43859906323539,-2.30098335828429,-1.70950054049884,0,0,0
7,-9.43416997634928,-2.29881209500509,-1.72437032597179,0,0,0
8,-9.41892787618441,-2.30437654459588,-1.75113497381086,0,0,0
9,-9.40862260349972,-2.31889097816013,-1.76229366635576,0,0,0
10,-9.41650131264248,-2.32407594483567,-1.7697555891682,0,0,0
11,-9.41401633614253,-2.33017573049442,-1.79133204022261,0,0,0
12,-9.4159349416726,-2.31282139428053,-1.82181573855849,0,0,0
13,-9.41496945810418,-2.31359589317855,-1.83371595190246,0,0,0
14,-9.41808153808971,-2.31431537051395,-1.84264978809171,0,0,0
15,-9.41810958498965,-2.32111433438182,-1.84042798753979,0,0,0
16,-9.40892981127834,-2.34165027083126,-1.8315147644274,0,0,0
17,-9.40843532838058,-2.34010435704376,-1.8158840811759,0,0,0
18,-9.41622470959105,-2.32259414327424,-1.80322690508001,0,0,0
19,-9.42433095372648,-2.30282648846029,-1.78908249276307,0,0,0
20,-9.42284037273346,-2.29374985492614,-1.75931054510144,0,0,0
21,-9.42438305973049,-2.2997556829594,-1.74593098771925,0,0,0
22,-9.41468479949265,-2.29689235589132,-1.73996200523231,0,0,0
23,-9.42204155137973,-2.2944964717576,-1.74219961341276,0,0,0
24,-9.42528856292596,-2.29445150162675,-1.73923107526782,0,0,0
25,-9.42754548526862,-2.30122660353486,-1.74965895161595,0,0,0
26,-9.42586881576248,-2.31183458704143,-1.75859678541237,0,0,0
27,-9.42757836802656,-2.31786499791947,-1.76158564541891,0,0,0
28,-9.42098771269551,-2.32700401455939,-1.75414358522343,0,0,0
29,-9.42187674723726,-2.32775176674846,-1.75414736098843,0,0,0
30,-9.42025350471794,-2.33534260905112,-1.76605729071157,0,0,0
31,-9.41040177243956,-2.32191699764742,-1.77866981040448,0,0,0
32,-9.42180479106815,-2.29230767153249,-1.78237361405536,0,0,0
33,-9.42368492815165,-2.26508774168537,-1.77713439723146,0,0,0
34,-9.42556195058262,-2.24316572459795,-1.77934190588626,0,0,0
35,-9.42568345321516,-2.27334798842257,-1.77342667661378,0,0,0
36,-9.41758813069456,-2.34517796501122,-1.75639192646129,0,0,0
37,-9.40774711807653,-2.38987964086718,-1.75494411884612,0,0,0
38,-9.40208910035137,-2.39750758522823,-1.75196675168564,0,0,0
39,-9.40986685795433,-2.38151803579122,-1.74749479881748,0,0,0
40,-9.41651266272496,-2.36706759171019,-1.73558786796464,0,0,0
41,-9.42174563202036,-2.35942574628635,-1.73781631053397,0,0,0
