Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.56237261751079,-0.0848404153772757,-1.03635126371853,0,0,0
1,-9.56915088662106,-0.0915853688855032,-1.01610728765906,0,0,0
2,-9.56481892531579,-0.0872586681954596,-1.01621267858082,0,0,0
3,-9.57796565988621,-0.0844201080199523,-1.01355646338413,0,0,0
4,-9.58244986169958,-0.0866077122097411,-0.999997723046638,0,0,0
5,-9.57368204396405,-0.0778656133334658,-0.995592941888034,0,0,0
6,-9.56715554831131,-0.0759016525430988,-1.00934859842462,0,0,0
7,-9.55802756893782,-0.0691213654035637,-1.00916611201453,0,0,0
8,-9.55154343002573,-0.071758851564254,-1.00946128922813,0,0,0
9,-9.5470386834564,-0.0718442948841759,-0.998169630193238,0,0,0
10,-9.54685429886962,-0.0693986557850204,-1.00927113932018,0,0,0
11,-9.55350960461762,-0.0760240414408673,-1.01377746885091,0,0,0
12,-9.55376138348083,-0.0739664973954237,-1.01171637398967,0,0,0
13,-9.55339098336097,-0.0827501899855077,-1.02732383057287,0,0,0
14,-9.55346268314645,-0.0850927781011947,-1.02516028415869,0,0,0
15,-9.56446025157538,-0.0892229736088325,-1.01817603537546,0,0,0
16,-9.56265805440753,-0.0873697481801457,-1.03438321505954,0,0,0
17,-9.5647032821605,-0.0871509932918728,-1.02966843602905,0,0,0
18,-9.57408321438517,-0.0781964115527624,-1.03664430833837,0,0,0
19,-9.57133665509115,-0.0892084317481254,-1.01601046908063,0,0,0
20,-9.56929871633933,-0.0962775597946832,-1.00500341091206,0,0,0
21,-9.56052936266462,-0.0875332482922384,-1.00285753424473,0,0,0
22,-9.54864603792,-0.0985895488153478,-0.991167567035931,0,0,0
23,-9.5599979296604,-0.0939097127209971,-0.993423913551017,0,0,0
24,-9.56476189310421,-0.0781013298267984,-1.00021431962253,0,0,0
25,-9.56039776410903,-0.0691899817145931,-0.997967811275879,0,0,0
26,-9.56056608949848,-0.0716094098427503,-1.01171436053388,0,0,0
27,-9.57144947005989,-0.075634107182588,-1.01592696360239,0,0,0
28,-9.57860994551798,-0.0713081436310386,-1.01847941945251,0,0,0
29,-9.56743373403167,-0.071580655071032,-1.02310229252023,0,0,0
30,-9.54881309115883,-0.0804906394892699,-1.02045465542429,0,0,0
31,-9.54212402415152,-0.0829554581072186,-1.00700092779224,0,0,0
32,-9.55329729865308,-0.0826782327500869,-1.00689590251153,0,0,0
33,-9.55803908904034,-0.0896562628161089,-0.977813114815684,0,0,0
34,-9.54200544179741,-0.0851493886206507,-0.968499368142917,0,0,0
35,-9.54048572364479,-0.0721438786325261,-0.996110515931631,0,0,0
36,-9.54008768648145,-0.0695113324952145,-1.00701661094779,0,0,0
37,-9.54492025508872,-0.0697181998118648,-1.00730684649504,0,0,0
38,-9.57655889112564,-0.066985303615744,-0.980181738397472,0,0,0
39,-9.59660981881696,-0.0823866635084865,-0.975634158333323,0,0,0
40,-9.6052019013445,-0.0886974690113176,-0.977587044462612,0,0,0
41,-9.59158079972807,-0.100231149145758,-0.991235137637641,0,0,0
42,-9.57365416477665,-0.0914975428997117,-1.02965785042146,0,0,0
43,-9.56429770043747,-0.0981840668105794,-1.04301456422799,0,0,0
44,-9.56203582639384,-0.0982113003661647,-1.05205166553511,0,0,0
45,-9.55791319526677,-0.094064069818896,-1.05912936128131,0,0,0
46,-9.56000095545479,-0.0847694923553486,-1.04980843874205,0,0,0
47,-9.56444562235601,-0.0891991459881532,-1.04076513553077,0,0,0
48,-9.54917616551417,-0.0716950134094587,-1.0161417716562,0,0,0
49,-9.56049139813531,-0.0761006137501938,-1.01396853625054,0,0,0
50,-9.56045332099072,-0.0783450243195633,-1.01622508226242,0,0,0
51,-9.55139843607742,-0.0807484076852543,-1.00719289174009,0,0,0
52,-9.55148051115858,-0.069430506657221,-0.99807136703497,0,0,0
53,-9.5510911284266,-0.0736509265833902,-0.990996770824523,0,0,0
54,-9.55102813901863,-0.0781612793999939,-0.97517967471411,0,0,0
55,-9.55590021572643,-0.0829645613836092,-0.966527105416146,0,0,0
56,-9.56423472233228,-0.0981622227847974,-0.975149574185551,0,0,0
57,-9.56423472233228,-0.0981622227847974,-0.975149574185551,0,0,0
58,-9.5622246548084,-0.0961316769372,-0.982125521422483,0,0,0
59,-9.55785912441143,-0.0803793225048606,-0.986565160211327,0,0,0
60,-9.56928125792833,-0.078039714350923,-0.988916836565348,0,0,0
61,-9.57123705183733,-0.0959655562284072,-1.00019097333717,0,0,0
62,-9.56029073086199,-0.0896123497717957,-0.984588402486685,0,0,0
63,-9.56923577311956,-0.0939493464203267,-0.993613482123323,0,0,0
64,-9.55999787272813,-0.100748237620115,-0.988996680907548,0,0,0
65,-9.55799521979511,-0.085052607445249,-0.9935325627227,0,0,0
66,-9.54208732994789,-0.0920408418054835,-1.00257133738225,0,0,0
67,-9.5516502108131,-0.0786908382993256,-1.00513178085115,0,0,0
68,-9.54462595550032,-0.0808515535937403,-1.01397402441245,0,0,0
69,-9.56063042668684,-0.0807786367553426,-1.01641816807073,0,0,0
70,-9.5692563410334,-0.0848378080137548,-1.02289114120886,0,0,0
71,-9.57180222849878,-0.0873375102877862,-1.01414483048274,0,0,0
72,-9.5782877670637,-0.0847026630725407,-1.01159072516502,0,0,0
73,-9.57202483754541,-0.0738616460377982,-1.00964121111373,0,0,0
74,-9.57600097651512,-0.0869957630226859,-1.00255415926723,0,0,0
75,-9.56249118332744,-0.084952867626996,-1.01837769653469,0,0,0
76,-9.55992183256801,-0.0915600080471457,-1.00236421742716,0,0,0
77,-9.55354754987341,-0.0874567884986854,-1.00266648698984,0,0,0
78,-9.56278106287902,-0.0806508456622232,-1.01406006027211,0,0,0
79,-9.5666211095179,-0.0891119008720811,-1.00000558140815,0,0,0
80,-9.56895621066018,-0.0845909938548144,-0.990973229173633,0,0,0
81,-9.56255564888234,-0.075912724310517,-0.979887942172913,0,0,0
82,-9.57841812790709,-0.0711569761546103,-0.984400278307166,0,0,0
83,-9.56921982974514,-0.0688750504124462,-0.979695281969135,0,0,0
84,-9.57164420090244,-0.0712577390434037,-0.993440310498404,0,0,0
85,-9.56024837997327,-0.0781724763597942,-1.00247615422882,0,0,0
86,-9.54670922883771,-0.0852268998463742,-1.00257552580517,0,0,0
87,-9.55378033632643,-0.0808360291288124,-0.977923210811668,0,0,0
88,-9.54443121583705,-0.0875342963954732,-0.979985474647859,0,0,0
89,-9.54441219781656,-0.0875033204310735,-1.00935135937681,0,0,0
90,-9.54666830016157,-0.080627965473662,-1.01377711195499,0,0,0
91,-9.5580874477353,-0.085122169071985,-1.01621943262707,0,0,0
92,-9.58048958414507,-0.0891904827250359,-0.982218638574155,0,0,0
93,-9.59601813484046,-0.100116727051553,-0.941438444055483,0,0,0
94,-9.57997118478288,-0.102427137487147,-0.948027709780916,0,0,0
95,-9.55777994056224,-0.094008429240918,-0.934693659866939,0,0,0
96,-9.54651009699612,-0.0919025476836256,-0.975363754448018,0,0,0
97,-9.53317013587787,-0.085442722473903,-1.00710212171637,0,0,0
98,-9.54443564589012,-0.0852350713418857,-1.02968395757276,0,0,0
99,-9.55109987657612,-0.0781975179410177,-1.029491204571,0,0,0
100,-9.56703546465243,-0.0826253857499242,-1.02515388697401,0,0,0
101,-9.58515106455874,-0.0778281287550897,-1.03418259443858,0,0,0
102,-9.58055104659996,-0.0983548149906703,-0.991440223941842,0,0,0
103,-9.571550361828,-0.0917015298746199,-0.959730646561513,0,0,0
104,-9.56020726194276,-0.0940892570670124,-1.00039607604602,0,0,0
105,-9.54651730684024,-0.103285105004985,-1.0116899439027,0,0,0
106,-9.55998622627404,-0.0938906506067562,-1.01149521045282,0,0,0
107,-9.58024066299037,-0.0912529542331113,-0.979761966066852,0,0,0
108,-9.5895268216723,-0.102741827935112,-0.953028025492579,0,0,0
109,-9.59153831043522,-0.0979362930125482,-0.948220473205346,0,0,0
110,-9.58466334436181,-0.0979532613827187,-0.948127192370684,0,0,0
111,-9.58029623041622,-0.10271419766644,-0.941543960955532,0,0,0
112,-9.56897220770382,-0.0982944084418076,-0.957270734124039,0,0,0
113,-9.55334561677772,-0.0804504689505068,-0.988826992716857,0,0,0
114,-9.54900187108491,-0.0829433309621982,-1.00257643486329,0,0,0
115,-9.55591049727681,-0.0806748782088548,-1.00718996923942,0,0,0
116,-9.56942181663564,-0.0758815672151259,-0.993534737706621,0,0,0
117,-9.57393090541183,-0.0826418502535572,-0.993622411098795,0,0,0
118,-9.58009280991983,-0.0865606260503615,-0.990865848610202,0,0,0
119,-9.57353851081132,-0.0868576824420958,-0.991065640538661,0,0,0
120,-9.56215738859263,-0.0869576553202727,-0.981939610888916,0,0,0
121,-9.55273360640876,-0.0981474747727887,-0.986256020393134,0,0,0
122,-9.54224987970082,-0.08307983547387,-0.977732762299857,0,0,0
123,-9.55095344624604,-0.0826525701377516,-0.977433841950393,0,0,0
124,-9.56478242800732,-0.0712960216812028,-0.973016797701452,0,0,0
125,-9.5735150623596,-0.0891259531968307,-0.970733080069303,0,0,0
126,-9.57853232315541,-0.0712623449583666,-0.973203405436469,0,0,0
127,-9.57627479370879,-0.0781353265262541,-0.971036527367782,0,0,0
