Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.48450274590175,0.729085871232352,-2.68787735762988,0,0,0
1,-9.48373002623662,0.733709179179639,-2.68191649032275,0,0,0
2,-9.48074588672237,0.733597159373487,-2.69307241452828,0,0,0
3,-9.47990754284863,0.728314178201623,-2.72209096961568,0,0,0
4,-9.48133280988901,0.715358620299139,-2.72062479251685,0,0,0
5,-9.48105183845499,0.706462305385405,-2.70798474257768,0,0,0
6,-9.48172532307405,0.708893400951163,-2.70277172159868,0,0,0
7,-9.48554894975999,0.712777907152375,-2.70351577508682,0,0,0
8,-9.48733417683731,0.714772857945224,-2.70277884515558,0,0,0
9,-9.48418923408049,0.711002783434929,-2.69905765205634,0,0,0
10,-9.47882652297791,0.710969712587129,-2.69607226538653,0,0,0
11,-9.48191979092366,0.712486743138126,-2.69012470146707,0,0,0
12,-9.47811419591593,0.720132627301017,-2.68192229584358,0,0,0
13,-9.4805136560477,0.72001803968634,-2.68490538868115,0,0,0
14,-9.47900417855042,0.721514272672654,-2.67597362411008,0,0,0
15,-9.47682992013232,0.722885177523271,-2.6789465299757,0,0,0
16,-9.47515909234001,0.7230559150421,-2.68042717484295,0,0,0
17,-9.47542489889229,0.722712812644475,-2.67894783834121,0,0,0
18,-9.48295202107202,0.720618200291798,-2.68044916013012,0,0,0
19,-9.48066458680313,0.724448268261082,-2.68564628934591,0,0,0
20,-9.48304956764652,0.729754269993297,-2.69829078207663,0,0,0
21,-9.48291953595499,0.726836712501708,-2.69531614242068,0,0,0
22,-9.48604297799917,0.722156309296529,-2.69756323382197,0,0,0
23,-9.48680178517434,0.722169489311558,-2.69682045593224,0,0,0
24,-9.48596170913599,0.72225847438997,-2.69458491159786,0,0,0
25,-9.48745087774066,0.723090863524921,-2.69160927820564,0,0,0
26,-9.4844980799831,0.721386801447673,-2.68937817893189,0,0,0
27,-9.48128697486982,0.720784355905391,-2.68564961717667,0,0,0
28,-9.48362607070315,0.717659074362853,-2.68119676308749,0,0,0
29,-9.482835929241,0.720766893055136,-2.67970151489828,0,0,0
30,-9.48137404648939,0.722206595187972,-2.67672267640339,0,0,0
31,-9.48429200493122,0.71933171000633,-2.67896053755015,0,0,0
32,-9.48808544542497,0.718633593337117,-2.68268720123067,0,0,0
33,-9.48122430069912,0.72394927043043,-2.68787413285417,0,0,0
34,-9.48210790800492,0.72611968561039,-2.69457068061694,0,0,0
35,-9.48352452852513,0.729360359833812,-2.69530839964954,0,0,0
36,-9.48136478476131,0.728387686067855,-2.68191937370596,0,0,0
37,-9.48671704006544,0.725351588241085,-2.68490966472206,0,0,0
38,-9.48740966661086,0.725455178652207,-2.69086009109605,0,0,0
39,-9.48058218104899,0.72764799609285,-2.69977296928267,0,0,0
40,-9.47237403829781,0.728081626224474,-2.69083638523096,0,0,0
41,-9.47681947632473,0.722912690582056,-2.69680041484167,0,0,0
42,-9.47675385671022,0.716064403401308,-2.70052974724666,0,0,0
43,-9.48362084779152,0.718446943344822,-2.69458595449496,0,0,0
44,-9.48141757140737,0.719859869230304,-2.70350935256019,0,0,0
45,-9.4797966361574,0.718423947962103,-2.7035063469706,0,0,0
46,-9.4812956669431,0.716935882617352,-2.70574244835966,0,0,0
47,-9.48363999258892,0.71457104774787,-2.69682491366888,0,0,0
48,-9.48256598523776,0.712645779267268,-2.69086615510475,0,0,0
49,-9.48671702404135,0.71764894727607,-2.68938633791001,0,0,0
50,-9.48209975869247,0.719952228423656,-2.67821454958737,0,0,0
51,-9.48506822008231,0.71778302253205,-2.68045271672588,0,0,0
52,-9.48595532698105,0.723027923693114,-2.68268057869039,0,0,0
53,-9.48123534580242,0.72778243908798,-2.68042868680332,0,0,0
54,-9.47908024602018,0.728354493012107,-2.67893996617683,0,0,0
55,-9.47778550512382,0.728037777306335,-2.67596909828369,0,0,0
56,-9.47915976419475,0.729018092019466,-2.67298979577033,0,0,0
57,-9.48137756049364,0.729906659633618,-2.67447790960258,0,0,0
58,-9.48066401617436,0.726761480369474,-2.68638626214956,0,0,0
59,-9.48516865716688,0.723055857030078,-2.69011779417567,0,0,0
60,-9.48519884279835,0.723012930313845,-2.68491128255456,0,0,0
61,-9.48290848863248,0.721455345644389,-2.69383712441427,0,0,0
62,-9.48142280956454,0.723697439106123,-2.69234406521021,0,0,0
63,-9.48295725723237,0.72447511455431,-2.6938334436484,0,0,0
