Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.92312569086205,-0.619089330821045,-0.828096597185849,0,0,0
1,-9.9089384808283,-0.618664997036152,-0.890565481215372,0,0,0
2,-9.91141265525426,-0.615710124214024,-0.911396845592066,0,0,0
3,-9.89935070716391,-0.610629339424768,-0.883845922996983,0,0,0
4,-9.86233640559543,-0.629971509951669,-0.887529755534063,0,0,0
5,-9.83119035837424,-0.651073152258405,-0.918010278412699,0,0,0
6,-9.80859298249165,-0.665577958476357,-0.89567247510489,0,0,0
7,-9.78353093448541,-0.691568283424337,-0.86590610755348,0,0,0
8,-9.7747335417568,-0.694789926734567,-0.839116385111478,0,0,0
9,-9.7884470644641,-0.696124985257649,-0.842115837088594,0,0,0
10,-9.83473819505164,-0.693043525088808,-0.849623915279924,0,0,0
11,-9.89107115178393,-0.690670655753283,-0.824416635979421,0,0,0
12,-9.91815875723281,-0.69690065569244,-0.756768081442482,0,0,0
13,-9.95796857280955,-0.678903413892499,-0.730026970305999,0,0,0
14,-10.0285943179977,-0.630920884228228,-0.736774088267267,0,0,0
15,-10.1461594785039,-0.567350950667646,-0.820947348999531,0,0,0
16,-10.2607220727137,-0.52548494445369,-0.962423679064865,0,0,0
17,-10.3401390830873,-0.514523297063553,-1.06148031068569,0,0,0
18,-10.2863545321531,-0.561556375061243,-1.05252780018836,0,0,0
19,-10.1474716896919,-0.634615182253082,-1.00181021561822,0,0,0
20,-9.99997368198573,-0.687568201939774,-0.99271564559823,0,0,0
21,-9.91520710107199,-0.721486768154756,-0.993368615218919,0,0,0
22,-9.93763348616978,-0.724709884722756,-0.947282043663997,0,0,0
23,-10.0160094054616,-0.723468658095002,-0.895329532963524,0,0,0
24,-10.0862300511172,-0.749502658086946,-0.921510561074545,0,0,0
25,-10.1788461669163,-0.753340713265814,-0.998287026535639,0,0,0
26,-10.2791456452926,-0.698880126646812,-1.02218311469949,0,0,0
27,-10.4022160862232,-0.616116648342648,-0.998469754110396,0,0,0
28,-10.5056325174936,-0.531584301229559,-1.08185046886143,0,0,0
29,-10.5913031022596,-0.501588118124546,-1.17791673524432,0,0,0
30,-10.6589759785152,-0.50129089021006,-1.21075681803286,0,0,0
31,-10.582856615252,-0.516183687894678,-1.23520564333309,0,0,0
32,-10.4749449896387,-0.537806424225446,-1.3317762058453,0,0,0
33,-10.4340883393594,-0.481865585052077,-1.38297357765571,0,0,0
34,-10.4592733020551,-0.407976048737225,-1.28620718212252,0,0,0
35,-10.5064699537621,-0.404221252305682,-1.16576029400495,0,0,0
36,-10.6212171358335,-0.435404733823037,-1.09158519310461,0,0,0
37,-10.7931004540652,-0.471896413853949,-1.17075934354079,0,0,0
38,-10.8942849689011,-0.519451059325794,-1.26471525190336,0,0,0
39,-10.9701682410943,-0.591701676960282,-1.28798996992304,0,0,0
40,-10.9869765283078,-0.658349559277266,-1.20923940663464,0,0,0
41,-10.9824972108823,-0.74138529565511,-1.07542678366715,0,0,0
42,-10.9057492538878,-0.733456068259832,-1.05595220337082,0,0,0
43,-10.9059547509997,-0.822632661886467,-1.06499168589474,0,0,0
44,-10.8985141688794,-0.91036202127221,-0.992927772344478,0,0,0
45,-10.7729970148682,-0.975335779663943,-0.844018902962748,0,0,0
46,-10.7334532310049,-0.9092511719221,-0.552249164928356,0,0,0
47,-10.8003257771638,-0.753224501934788,-0.303684083418978,0,0,0
48,-10.9638908159355,-0.67104555997918,-0.191504611650132,0,0,0
49,-11.1239207183553,-0.741008762022186,-0.181429569564778,0,0,0
50,-11.1964888445886,-0.764063227824899,-0.37574152729285,0,0,0
51,-11.1657011083915,-0.94895165722539,-0.451805575107991,0,0,0
52,-11.1215098445822,-1.04393984353137,-0.309761043527773,0,0,0
53,-10.8864202688036,-1.04369801999983,-0.0973651852035379,0,0,0
54,-10.5912809719335,-1.02071213965696,0.331641362071109,0,0,0
55,-10.3023590422901,-0.943280127361314,0.818733731734422,0,0,0
56,-10.057824848187,-0.899186544542581,1.20602585266158,0,0,0
57,-9.92401298357311,-0.832318126536634,1.47116453169977,0,0,0
58,-9.82737052025641,-0.7709130521322,1.71689512219223,0,0,0
59,-9.7256928116614,-0.755855602594314,1.75575892000201,0,0,0
60,-9.57569480587713,-0.866945748791005,1.82578922206872,0,0,0
61,-9.48241272872054,-0.933919498298076,1.9634820902252,0,0,0
62,-9.47035571854385,-0.995686864778156,2.23124389613115,0,0,0
63,-9.40235645171906,-1.13843955635598,2.38739985318596,0,0,0
64,-9.35016200328095,-1.28141347892362,2.25934722938049,0,0,0
65,-9.28068757180738,-1.37437648278736,2.41333556190311,0,0,0
66,-9.13400744274847,-1.39369171641466,2.87032883128535,0,0,0
67,-9.02058487850991,-1.46528020356855,3.17171357874951,0,0,0
68,-9.02401253760969,-1.56787802754512,3.1142903803961,0,0,0
69,-9.08744608729885,-1.68658120305256,2.82986263584875,0,0,0
70,-9.14322314029967,-1.78717037463513,2.59754014321809,0,0,0
71,-9.16763765474696,-1.83977426823963,2.47542937756426,0,0,0
72,-9.21528013609099,-1.80425543239494,2.46275020318348,0,0,0
73,-9.24798958247747,-1.69640177520482,2.50597931909842,0,0,0
74,-9.22242336313695,-1.58351598986168,2.63709737960099,0,0,0
75,-9.27082738961467,-1.43832258172837,2.74804681673029,0,0,0
76,-9.38478784257792,-1.29681062622799,2.7517624911968,0,0,0
77,-9.50782427582293,-1.25866381749006,2.72111495836424,0,0,0
78,-9.45061125726711,-1.32226932308439,2.76874090963323,0,0,0
79,-9.37638259241456,-1.37522100406974,2.97709409634603,0,0,0
80,-9.37931943972361,-1.40966077935096,3.17047179138474,0,0,0
81,-9.38069472220217,-1.4563461303242,3.19347109403081,0,0,0
82,-9.33808449939765,-1.56436443457469,3.09222785696928,0,0,0
83,-9.38332075663899,-1.64072323997978,3.04965788134735,0,0,0
84,-9.45793308856485,-1.67344964999514,3.05842525273312,0,0,0
85,-9.48018229342283,-1.65729936600633,2.99666045897017,0,0,0
86,-9.42420467833728,-1.60237806273716,2.96854873745898,0,0,0
87,-9.4130164314976,-1.41772747728353,2.98740098675457,0,0,0
88,-9.41828010640643,-1.2311542967399,2.93629027928305,0,0,0
89,-9.42911035248992,-1.11698661506381,2.85755250153123,0,0,0
90,-9.4314247185764,-1.05231115104836,2.80035398116451,0,0,0
91,-9.48175114217979,-0.989539690442742,2.81002264313002,0,0,0
92,-9.55578448412576,-1.00406951536011,2.78607669053749,0,0,0
93,-9.55042982982561,-1.05628523956289,2.75626247893318,0,0,0
94,-9.50332303353811,-1.1491194356099,2.80829855899878,0,0,0
95,-9.45636726766596,-1.28811754963064,2.80597032346059,0,0,0
96,-9.45259746015143,-1.42175401740545,2.75745021320442,0,0,0
97,-9.5102136957321,-1.53418849358588,2.68505792635306,0,0,0
98,-9.57002221743195,-1.59208141742624,2.70720962540784,0,0,0
99,-9.56844136789442,-1.67502697117351,2.77778114861199,0,0,0
100,-9.58335821893968,-1.69515819114321,2.7926125253468,0,0,0
101,-9.52384086163054,-1.62981479527328,2.80395173547352,0,0,0
