Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.5899710459601,-0.82254186545532,-0.613615806844169,0,0,0
1,-9.58870288023004,-0.816504437736078,-0.614080995654289,0,0,0
2,-9.59671015477846,-0.824694153621405,-0.600057265434681,0,0,0
3,-9.58605955468706,-0.825415073484308,-0.598116837050186,0,0,0
4,-9.59475336566058,-0.831852389521414,-0.593470044036778,0,0,0
5,-9.58573364164274,-0.832004189416192,-0.588958617517909,0,0,0
6,-9.58632991703717,-0.825581749666151,-0.568900179893616,0,0,0
7,-9.59326768765623,-0.83009169334137,-0.580329890183897,0,0,0
8,-9.5858895306922,-0.836677699479358,-0.577777241537562,0,0,0
9,-9.60178909978493,-0.82967567776817,-0.577774129896174,0,0,0
10,-9.59443541252222,-0.827007771186566,-0.572952781525975,0,0,0
11,-9.59517158086504,-0.820797772084406,-0.573270725448331,0,0,0
12,-9.59494971994419,-0.820632593783761,-0.573154185635928,0,0,0
13,-9.59481787409243,-0.815946497625453,-0.577579051322186,0,0,0
14,-9.59727426992362,-0.816092192434143,-0.579933374132274,0,0,0
15,-9.57672718251389,-0.818474530797617,-0.591140166677265,0,0,0
16,-9.58368903030718,-0.818537167734391,-0.602526121204968,0,0,0
17,-9.58337254517517,-0.825089970309715,-0.609197733611786,0,0,0
18,-9.58399811743934,-0.827802407514714,-0.629882534994924,0,0,0
19,-9.58981425368617,-0.831518265392333,-0.629416737055917,0,0,0
20,-9.57822680225288,-0.838266899976276,-0.624802472019397,0,0,0
21,-9.58304426506862,-0.845326678832512,-0.606917753857982,0,0,0
22,-9.58288164458388,-0.842898477465436,-0.602305687754464,0,0,0
23,-9.59184863134439,-0.833573612701999,-0.602212159792684,0,0,0
24,-9.58121646591376,-0.83206817700222,-0.597996080674023,0,0,0
25,-9.58434760359549,-0.823482171315716,-0.591636057511303,0,0,0
26,-9.58321723998999,-0.822673583609942,-0.593292510070509,0,0,0
27,-9.59118935297824,-0.818877847099779,-0.589377776475239,0,0,0
28,-9.59084125278184,-0.825508232011911,-0.568897257862822,0,0,0
29,-9.58851084703521,-0.830039060146844,-0.571152614742659,0,0,0
30,-9.58110365133478,-0.82741310697376,-0.573058691806319,0,0,0
31,-9.57919142256417,-0.832284354913047,-0.584562280355282,0,0,0
32,-9.58359374399483,-0.825305735249978,-0.57993265288559,0,0,0
33,-9.59108821730599,-0.825636787091947,-0.57581881164185,0,0,0
34,-9.58828589579768,-0.82763846381933,-0.586819817317072,0,0,0
35,-9.58562811612229,-0.838756079625873,-0.582175596180298,0,0,0
36,-9.58871385803641,-0.832403896209108,-0.589365006721939,0,0,0
37,-9.58991532231324,-0.827066993675471,-0.58650749007486,0,0,0
38,-9.58922816079634,-0.830997322745041,-0.597504400957106,0,0,0
39,-9.59218266883644,-0.83844439859073,-0.597884492596719,0,0,0
40,-9.58782229018477,-0.829532029585249,-0.591121002422593,0,0,0
41,-9.59462736990737,-0.827175877526673,-0.588860358047381,0,0,0
42,-9.58112712474523,-0.825143406292914,-0.593388762320435,0,0,0
43,-9.58092787032077,-0.824963376496622,-0.588774337049019,0,0,0
44,-9.58354540412522,-0.827534923069419,-0.59799936332104,0,0,0
45,-9.58350584071969,-0.829778405722496,-0.602514262057832,0,0,0
46,-9.59876507301454,-0.824474981200942,-0.597700006245235,0,0,0
47,-9.59271021706904,-0.818387750311885,-0.604778912440727,0,0,0
48,-9.58805087790209,-0.827451875705213,-0.607030982429803,0,0,0
49,-9.58447879766561,-0.830345818582947,-0.607585098155497,0,0,0
50,-9.58153944796603,-0.82547429620208,-0.611671583359243,0,0,0
51,-9.5851534831026,-0.82918494573467,-0.604479915531256,0,0,0
52,-9.58501278027007,-0.838187596219895,-0.595435912110046,0,0,0
53,-9.58290514266964,-0.829233616666065,-0.593188231580117,0,0,0
54,-9.58119006720435,-0.834333101905748,-0.582183261862828,0,0,0
55,-9.58363038191233,-0.823057487652357,-0.579935024715017,0,0,0
56,-9.58119152994837,-0.83433548437802,-0.579924626579719,0,0,0
57,-9.58335345999268,-0.827366818400741,-0.582091763539923,0,0,0
58,-9.57830596198599,-0.822384631424306,-0.586325225780486,0,0,0
59,-9.58599213018727,-0.829921076872122,-0.589077543893015,0,0,0
60,-9.59300755531258,-0.829941717725635,-0.593736087486842,0,0,0
61,-9.59233360944183,-0.829458512199694,-0.591118080402478,0,0,0
62,-9.59829617056864,-0.828616281596657,-0.58394918004919,0,0,0
63,-9.58172482771071,-0.830118364431146,-0.600519310996322,0,0,0
64,-9.58517832795958,-0.840620596917996,-0.595530705332347,0,0,0
65,-9.58775193948137,-0.834033311425978,-0.586598992369009,0,0,0
66,-9.57685754380687,-0.823158233975943,-0.588973948882969,0,0,0
67,-9.58330368120409,-0.8181984872146,-0.572969573976667,0,0,0
68,-9.57919525848242,-0.818639274876777,-0.575425419831328,0,0,0
69,-9.58309857408957,-0.818008893147163,-0.577389687958299,0,0,0
70,-9.57891834240964,-0.822948583825809,-0.57758216286996,0,0,0
71,-9.57882315474892,-0.816014205336214,-0.582009392200435,0,0,0
72,-9.57911759441538,-0.823128622655201,-0.582196582021802,0,0,0
73,-9.58853578262515,-0.827771774441015,-0.58922410236917,0,0,0
74,-9.57867513892277,-0.825004900080315,-0.584258535879853,0,0,0
75,-9.57860039963904,-0.829499056218442,-0.586512423263923,0,0,0
76,-9.58779890481101,-0.818098762772278,-0.597811593936048,0,0,0
77,-9.58119893819129,-0.820644506922245,-0.595652139188104,0,0,0
78,-9.59504850293477,-0.827521040048858,-0.59359134641713,0,0,0
79,-9.58856510645529,-0.825511636165276,-0.600519671563187,0,0,0
80,-9.57862826146247,-0.827236492108366,-0.600066581648578,0,0,0
81,-9.58154676169289,-0.825486208574502,-0.600378396457724,0,0,0
82,-9.57925592157322,-0.827773586576264,-0.59811884827306,0,0,0
83,-9.57975421109257,-0.828037824265208,-0.605186085403649,0,0,0
84,-9.5789066404684,-0.822929524065327,-0.595651228357285,0,0,0
85,-9.58813146745716,-0.822967292871333,-0.595742549673109,0,0,0
86,-9.58402005864029,-0.827838144665165,-0.596002942832458,0,0,0
87,-9.57922513481407,-0.83003135321914,-0.589081926933867,0,0,0
88,-9.58102306143278,-0.831897711524067,-0.584347114054143,0,0,0
89,-9.59914161464975,-0.827107125081238,-0.584340169655435,0,0,0
90,-9.58787355570568,-0.827307595835547,-0.568537042404314,0,0,0
91,-9.58835624578822,-0.823137225380485,-0.591341835713635,0,0,0
92,-9.60443683316958,-0.820772167451106,-0.586962351203477,0,0,0
93,-9.594633220878,-0.827185407406914,-0.579825825303719,0,0,0
94,-9.5855710187842,-0.829575935688208,-0.584346563874904,0,0,0
95,-9.59061629914874,-0.823107614021599,-0.584564462559107,0,0,0
96,-9.58800548065655,-0.818290737333729,-0.591132861626976,0,0,0
97,-9.59224133025367,-0.822528931485804,-0.591028034948677,0,0,0
98,-9.58577320504827,-0.829760706763116,-0.584443718781117,0,0,0
99,-9.58416953438889,-0.818850006049541,-0.591495151103578,0,0,0
100,-9.58358496753074,-0.825291440416343,-0.593484464584248,0,0,0
101,-9.57969117555533,-0.832550931696713,-0.589370850790648,0,0,0
102,-9.5789066404684,-0.822929524065327,-0.595651228357285,0,0,0
103,-9.58394970900619,-0.832339361403068,-0.591480920264405,0,0,0
104,-9.58177316724834,-0.827889198352466,-0.582452566982869,0,0,0
105,-9.58110072584946,-0.827408342033639,-0.57757595817815,0,0,0
106,-9.58417099713562,-0.818852388526237,-0.58923651162608,0,0,0
107,-9.58180687931866,-0.825636207506818,-0.586972217744393,0,0,0
108,-9.59083686454165,-0.825501084581821,-0.575673176295315,0,0,0
109,-9.5888618703322,-0.823413418529732,-0.587115852327565,0,0,0
110,-9.58580106650168,-0.827498164331861,-0.597997902309202,0,0,0
111,-9.58595346914773,-0.818514703830467,-0.588972848494473,0,0,0
112,-9.57836012143612,-0.831560178959438,-0.588671523746283,0,0,0
113,-9.58369341853922,-0.818544315151208,-0.595750215355639,0,0,0
114,-9.58793220446784,-0.822787254234337,-0.591128117945223,0,0,0
115,-9.58048687338228,-0.826842072419155,-0.588577647919653,0,0,0
116,-9.5870326961504,-0.828213221764273,-0.591921153801106,0,0,0
117,-9.58402590962721,-0.827847674571952,-0.586968384922467,0,0,0
118,-9.57929841029535,-0.825534879729265,-0.589086670569823,0,0,0
119,-9.58398927206343,-0.830095900464207,-0.586966013115938,0,0,0
120,-9.58366172683621,-0.834451926669853,-0.59133289865098,0,0,0
121,-9.58564283223026,-0.825077036317539,-0.586609940742573,0,0,0
122,-9.57864142613415,-0.827257934318999,-0.579738901850085,0,0,0
123,-9.58832253353832,-0.825390227074392,-0.58682218913505,0,0,0
124,-9.58821059426821,-0.818480327565181,-0.586712752199526,0,0,0
125,-9.58649701464206,-0.814314412961214,-0.593757073178735,0,0,0
126,-9.58445605300818,-0.816735143718093,-0.593901814471234,0,0,0
127,-9.57776670416548,-0.812356137691381,-0.587135016388849,0,0,0
128,-9.58563990674495,-0.825072271377419,-0.591127207114404,0,0,0
129,-9.59701780450113,-0.83182992561749,-0.579916771326283,0,0,0
130,-9.59527346241203,-0.829921636235393,-0.57792415012896,0,0,0
131,-9.58771822687232,-0.836286334816403,-0.582079354156302,0,0,0
132,-9.58115791186897,-0.822885617962369,-0.602425666904974,0,0,0
133,-9.58574250731474,-0.818315583676205,-0.602427488566611,0,0,0
134,-9.59583775267399,-0.825677528031367,-0.596289318268544,0,0,0
135,-9.58733295574065,-0.822244744580838,-0.579543501078614,0,0,0
136,-9.58163905286401,-0.821020707252927,-0.571020854149732,0,0,0
137,-9.58844268597785,-0.818662194160971,-0.571018842926858,0,0,0
138,-9.58568824678055,-0.822843072687596,-0.573060513467956,0,0,0
139,-9.58547874783577,-0.822646354833338,-0.584256524707346,0,0,0
140,-9.59446766256954,-0.824752354480035,-0.579731046644465,0,0,0
141,-9.5975540658743,-0.827617591702443,-0.595994176740074,0,0,0
142,-9.57918410883731,-0.832272442540624,-0.5958554672568,0,0,0
143,-9.60389763087105,-0.824979671556497,-0.575402233212833,0,0,0
144,-9.5833447076992,-0.815957365315157,-0.566196052562828,0,0,0
145,-9.59355860684074,-0.827983933465027,-0.575960614456898,0,0,0
146,-9.59022889041869,-0.820509384501436,-0.584353129218295,0,0,0
147,-9.59935113094463,-0.827303819101507,-0.573144148123971,0,0,0
148,-9.59352050688123,-0.830229755170794,-0.578216886345153,0,0,0
149,-9.58155553816512,-0.82550050342141,-0.586826572175902,0,0,0
150,-9.58836209676971,-0.823146755278423,-0.58230728619242,0,0,0
151,-9.58804504423621,-0.816047243823545,-0.586617967096021,0,0,0
152,-9.59570215696686,-0.818806711834886,-0.587116212866193,0,0,0
153,-9.59515695341132,-0.82077394733956,-0.595857099251368,0,0,0
154,-9.57979523672376,-0.825796756662363,-0.598412532474653,0,0,0
155,-9.5949591372544,-0.831991306319403,-0.618431613964515,0,0,0
156,-9.590475668274,-0.829802292292236,-0.63198873209155,0,0,0
157,-9.58045761861066,-0.826794423150681,-0.633750185806321,0,0,0
158,-9.57894910158518,-0.832085875961599,-0.616066623950737,0,0,0
159,-9.57921489559646,-0.830014675897748,-0.604892388595993,0,0,0
160,-9.59959500817884,-0.825196903264757,-0.595849433588177,0,0,0
161,-9.58990947134805,-0.827057463804079,-0.595542014429746,0,0,0
162,-9.57623043972091,-0.836273475371856,-0.593282661981389,0,0,0
163,-9.58556663055624,-0.829568788278027,-0.591122463432651,0,0,0
164,-9.5926178562447,-0.825161082772016,-0.57766817355513,0,0,0
165,-9.5880728190623,-0.827487612789299,-0.573151453183159,0,0,0
166,-9.60140897621952,-0.827089426148943,-0.566269643158052,0,0,0
167,-9.59471527352264,-0.822703185326667,-0.566278769869978,0,0,0
168,-9.60019295104945,-0.821007616398653,-0.562265861715149,0,0,0
169,-9.58758494582633,-0.820202715821489,-0.559315362149309,0,0,0
170,-9.58316151634313,-0.827198711830094,-0.5661841933012,0,0,0
171,-9.59764489396263,-0.823149729638295,-0.568895246623158,0,0,0
172,-9.59051020828224,-0.816207233591364,-0.575420486601567,0,0,0
173,-9.59221493117154,-0.824793878063727,-0.5752152454753,0,0,0
174,-9.59012043887828,-0.827256542322409,-0.58208738050975,0,0,0
175,-9.58828443305231,-0.827636081344845,-0.589078454697375,0,0,0
176,-9.59475190291657,-0.831850007049141,-0.595728679319888,0,0,0
177,-9.599447880001,-0.820537634058192,-0.593478981160239,0,0,0
178,-9.59429186593722,-0.822302600717339,-0.595446671130479,0,0,0
179,-9.58816956811867,-0.820721427745985,-0.593486286219427,0,0,0
180,-9.5948662049011,-0.825112411673096,-0.588959888958841,0,0,0
181,-9.59647424317374,-0.826762402425464,-0.595440466396431,0,0,0
182,-9.59318342939785,-0.818688675880879,-0.605041143906975,0,0,0
183,-9.5838742395532,-0.820950593827803,-0.602640316460367,0,0,0
184,-9.58849548302392,-0.814132366028311,-0.602644509887066,0,0,0
185,-9.59270582883699,-0.818380602895068,-0.611554818290056,0,0,0
186,-9.58846030802865,-0.816382985247733,-0.600383500688784,0,0,0
187,-9.58685169641125,-0.823576359511206,-0.596297534128002,0,0,0
188,-9.59496734218951,-0.818353374046599,-0.60251881614578,0,0,0
189,-9.60146616223902,-0.822566702077672,-0.591119351884877,0,0,0
190,-9.57670514116082,-0.832141694477337,-0.597999002697698,0,0,0
191,-9.58780611443171,-0.843208668666739,-0.588945297358935,0,0,0
192,-9.58786477924975,-0.827293301015186,-0.582088841519808,0,0,0
193,-9.58584940637129,-0.825268976512419,-0.579931191873753,0,0,0
194,-9.5973027053138,-0.827481898792034,-0.595848522783817,0,0,0
195,-9.58116230009693,-0.822892765372549,-0.595649767347227,0,0,0
196,-9.58820620603617,-0.818473180148364,-0.593488658048855,0,0,0
197,-9.59046097171394,-0.832086266154443,-0.598106799569017,0,0,0
198,-9.59456294997021,-0.817983721892592,-0.602324473088658,0,0,0
199,-9.5928969000508,-0.820803558698446,-0.602634472405897,0,0,0
200,-9.58563405577432,-0.825062741497178,-0.600161739858066,0,0,0
201,-9.58970435529588,-0.826867913303839,-0.59996210739898,0,0,0
202,-9.58159217590576,-0.823252266676472,-0.58682894399388,0,0,0
203,-9.58770508015164,-0.824869777827569,-0.572959536403134,0,0,0
204,-9.59910205107008,-0.829350618591422,-0.588855064186389,0,0,0
205,-9.58810506874776,-0.825232217774861,-0.579929730861915,0,0,0
206,-9.58857095744221,-0.825521166072064,-0.591485113653196,0,0,0
207,-9.59731529607316,-0.81385109225334,-0.573159840112372,0,0,0
208,-9.58879809655856,-0.81204372310202,-0.58020614710488,0,0,0
209,-9.58628230662165,-0.811930417963651,-0.593613793197446,0,0,0
210,-9.59009705092801,-0.815823264692686,-0.58877798042521,0,0,0
211,-9.59011458790766,-0.827247012442168,-0.591121913253412,0,0,0
212,-9.59470210883874,-0.822681743096125,-0.586606468543219,0,0,0
213,-9.59042376775112,-0.820682286536154,-0.595743460490699,0,0,0
214,-9.58631090132968,-0.825550777469094,-0.598262493101087,0,0,0
215,-9.5833783961458,-0.825099500189955,-0.600163200868124,0,0,0
216,-9.58631382682314,-0.825555542422487,-0.593745214146091,0,0,0
217,-9.57925445882785,-0.82777120410178,-0.600377485653364,0,0,0
218,-9.58906926981994,-0.825785422300292,-0.598552344997301,0,0,0
219,-9.59053717268597,-0.827594557613537,-0.593594268444365,0,0,0
220,-9.58606540566855,-0.825424603382247,-0.589082287528971,0,0,0
221,-9.59901122637806,-0.82242342047751,-0.5865063897464,0,0,0
222,-9.59078998775076,-0.827732633137198,-0.59148128083127,0,0,0
223,-9.58322016547258,-0.822678348545638,-0.588775247893066,0,0,0
224,-9.58825015767374,-0.816236844912105,-0.582197853462734,0,0,0
225,-9.58342819892405,-0.822872683970193,-0.57983787403576,0,0,0
226,-9.59039151806567,-0.822937681550592,-0.588965182811943,0,0,0
227,-9.59129123147696,-0.82800163253274,-0.594031224850942,0,0,0
228,-9.58224287076718,-0.814533217466059,-0.584871080984723,0,0,0
229,-9.5955512191749,-0.827792424556444,-0.59388265040995,0,0,0
230,-9.60246770607958,-0.818694052740273,-0.589370471389353,0,0,0
231,-9.58478213459227,-0.81237686245569,-0.591793566721339,0,0,0
232,-9.59966535816938,-0.820695664825912,-0.600371451984741,0,0,0
233,-9.58907219531883,-0.825790187262534,-0.594035057653529,0,0,0
234,-9.6019635120159,-0.818420199196573,-0.591337813267887,0,0,0
235,-9.59354983034406,-0.8279696385783,-0.589512476488213,0,0,0
236,-9.58383906455793,-0.823201213047225,-0.600379307262085,0,0,0
237,-9.58563698125964,-0.825067506437298,-0.595644473486235,0,0,0
238,-9.58330950818505,-0.829603164500744,-0.593382557628624,0,0,0
239,-9.59061191091262,-0.823100466598146,-0.591340374700018,0,0,0
240,-9.58376815711824,-0.814050202428239,-0.593496323731384,0,0,0
241,-9.58353372497915,-0.8161207612091,-0.586620889116137,0,0,0
242,-9.58349269865683,-0.818361872249224,-0.593394416833007,0,0,0
243,-9.58793366721049,-0.822789636704397,-0.588869484759307,0,0,0
244,-9.58856803194875,-0.82551640111867,-0.596002392608192,0,0,0
245,-9.57921288072774,-0.816360055139614,-0.60479005034118,0,0,0
246,-9.5792568323653,-0.814123719903356,-0.593499245755059,0,0,0
247,-9.59104059971032,-0.811985521984629,-0.600532441386963,0,0,0
248,-9.5928631878009,-0.823056560392353,-0.598114825827311,0,0,0
249,-9.58793074172518,-0.822784871764277,-0.593386751131138,0,0,0
250,-9.5839130714424,-0.834587587295322,-0.591478548457876,0,0,0
251,-9.58795266610171,-0.834215678276255,-0.588954784676644,0,0,0
252,-9.5812208541458,-0.832075324419037,-0.591220174824694,0,0,0
253,-9.58398634656997,-0.830091135510813,-0.591483292070933,0,0,0
254,-9.58882084470101,-0.825654486132576,-0.593889405256561,0,0,0
255,-9.59482810423959,-0.827358276798445,-0.591216152412523,0,0,0
256,-9.59165981048553,-0.821404653772065,-0.582890763999856,0,0,0
257,-9.59821065141964,-0.818908068959626,-0.585001754241048,0,0,0
258,-9.59702811917068,-0.818143702562618,-0.591127017586745,0,0,0
259,-9.5910772372741,-0.809737296092374,-0.600534813193492,0,0,0
260,-9.58783700582353,-0.815852875937139,-0.595555334699652,0,0,0
261,-9.59046333115665,-0.818438803883078,-0.591228561753907,0,0,0
262,-9.59085887463813,-0.823229033922598,-0.598261942876821,0,0,0
263,-9.59049322121847,-0.829830881986051,-0.604885083527906,0,0,0
264,-9.59482225326354,-0.827348746909355,-0.600250693544962,0,0,0
265,-9.59674971853227,-0.822450649254114,-0.595542375109564,0,0,0
266,-9.59072036138917,-0.816353373888848,-0.593606127534255,0,0,0
267,-9.59244644921021,-0.822718501788902,-0.586607929553276,0,0,0
268,-9.58091180863323,-0.813541944042131,-0.58417177966693,0,0,0
269,-9.59508603240609,-0.81162292608737,-0.588974119935404,0,0,0
270,-9.59552846261178,-0.814181672512914,-0.58019939225216,0,0,0
271,-9.59057031942112,-0.81168929614567,-0.595752947808408,0,0,0
272,-9.58584209265122,-0.825257064151057,-0.591224368289301,0,0,0
273,-9.59898043907203,-0.824681219651889,-0.577469493539188,0,0,0
274,-9.58999737530345,-0.822584749876585,-0.572960447247182,0,0,0
275,-9.58521937634946,-0.826984314891717,-0.559309707564482,0,0,0
276,-9.58578783248841,-0.829784531485841,-0.561857365950021,0,0,0
277,-9.59204197900455,-0.8360519018536,-0.559392968592621,0,0,0
278,-9.59269990854378,-0.820678882410409,-0.564121105515327,0,0,0
279,-9.5926911320797,-0.820664587576775,-0.577672917213985,0,0,0
280,-9.58428164256208,-0.827990513789404,-0.580338106047685,0,0,0
281,-9.58821790798828,-0.818492239926543,-0.575419575783978,0,0,0
282,-9.58797908176078,-0.820555673074454,-0.57532005748469,0,0,0
283,-9.59012043887828,-0.827256542322409,-0.58208738050975,0,0,0
284,-9.59780835254325,-0.827758048163452,-0.591622547818081,0,0,0
285,-9.59282947555101,-0.825309562086259,-0.593595179248726,0,0,0
286,-9.58808897856361,-0.825206010579864,-0.604774718976121,0,0,0
287,-9.57654263126627,-0.816010462030794,-0.620407581716978,0,0,0
288,-9.58334038921408,-0.813642386912424,-0.629440094899357,0,0,0
289,-9.58077263849023,-0.820239135196424,-0.629337243906154,0,0,0
290,-9.58363922769356,-0.82076397308156,-0.622851466923528,0,0,0
291,-9.57861948501469,-0.827222197301278,-0.613618368180907,0,0,0
292,-9.58128827900474,-0.827569299334706,-0.600259459615987,0,0,0
293,-9.58802155370466,-0.829712035664196,-0.595735434184828,0,0,0
294,-9.58110947764929,-0.838817684739627,-0.593471694619522,0,0,0
295,-9.58333142759628,-0.841033938544235,-0.588950591212038,0,0,0
296,-9.58093957225115,-0.824982436239407,-0.570705288339246,0,0,0
297,-9.59854671184591,-0.826571828585913,-0.565979690938574,0,0,0
298,-9.58545966246013,-0.824923213750502,-0.557150579790362,0,0,0
299,-9.58993580069141,-0.827100348225344,-0.554886654832759,0,0,0
300,-9.58509046900315,-0.822302945310086,-0.559217320034331,0,0,0
301,-9.60183393454616,-0.813789487139585,-0.561863741673149,0,0,0
302,-9.58999737530345,-0.822584749876585,-0.572960447247182,0,0,0
303,-9.58983182351936,-0.820151662424458,-0.572865675091976,0,0,0
304,-9.5853190525141,-0.820222797165254,-0.575127226096499,0,0,0
305,-9.59220908020635,-0.824784348192335,-0.584249769830186,0,0,0
