Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.94713982198731,-0.146572893151168,-3.96942668109225,0,0,0
1,-8.95178729259232,-0.145934979932201,-3.97539015653303,0,0,0
2,-8.94717566252236,-0.146644755148358,-3.9783564647825,0,0,0
3,-8.95253136310851,-0.14429452067356,-3.97761800614413,0,0,0
4,-8.95185780853167,-0.144549850955692,-3.97687983100162,0,0,0
5,-8.9517929633797,-0.147511225096483,-3.98060177448326,0,0,0
6,-8.95110254062854,-0.142994034257493,-3.97836305962264,0,0,0
7,-8.9527030111637,-0.140828128261439,-3.97836618127369,0,0,0
8,-8.95187606613623,-0.140656471531585,-3.97761572948458,0,0,0
9,-8.95114547313197,-0.139971670422012,-3.97463936269783,0,0,0
10,-8.95185531481213,-0.140596368845637,-3.97835797879644,0,0,0
11,-8.95181455808527,-0.143664342307422,-3.96943537054987,0,0,0
12,-8.9541416954729,-0.14137229557782,-3.9761322007249,0,0,0
13,-8.95256805089277,-0.140459353385295,-3.97612364935404,0,0,0
14,-8.95182268478169,-0.143670689495133,-3.97464339432152,0,0,0
15,-8.95781976146394,-0.146475631692027,-3.98060507908604,0,0,0
16,-8.95406858918089,-0.145899062969752,-3.97613771835602,0,0,0
17,-8.94712720059295,-0.146519165339068,-3.97537694804594,0,0,0
18,-8.94794556911786,-0.145876198487355,-3.97686872575074,0,0,0
19,-8.9540431918069,-0.14583535925061,-3.97390395596365,0,0,0
20,-8.94953763362351,-0.146847315988252,-3.97464701931876,0,0,0
21,-8.95332465312256,-0.145967786721017,-3.97241826681985,0,0,0
22,-8.95268612212371,-0.145476605397595,-3.97838128555558,0,0,0
23,-8.95481818578185,-0.145878627731988,-3.96944287393481,0,0,0
24,-8.95177421595934,-0.143545072667227,-3.97166387815738,0,0,0
25,-8.94804074835897,-0.145362050756914,-3.97389880382508,0,0,0
26,-8.95265324677753,-0.142273308130349,-3.97613425434445,0,0,0
27,-8.95192623475579,-0.134495982785944,-3.97537285668195,0,0,0
28,-8.94965524217996,-0.134583871953471,-3.96718701718246,0,0,0
29,-8.9496153429476,-0.13527276721742,-3.96346617341063,0,0,0
30,-8.94728517343911,-0.139898323188598,-3.9642138836762,0,0,0
31,-8.94735830191373,-0.140895008853959,-3.9627337875089,0,0,0
32,-8.95023903552499,-0.143557834139449,-3.96198946974934,0,0,0
33,-8.95169471816109,-0.147302907981228,-3.95976443176428,0,0,0
34,-8.95645084369537,-0.1398301763747,-3.97910993352537,0,0,0
35,-8.95640546987475,-0.145950424362402,-3.99846314104773,0,0,0
36,-8.95185069337882,-0.143648684721029,-4.00663377455944,0,0,0
37,-8.94723181423878,-0.145968498791806,-3.99249335787799,0,0,0
38,-8.94871663666903,-0.145108548566701,-3.97612498949799,0,0,0
39,-8.94953356447968,-0.146080167770245,-3.96423004354211,0,0,0
40,-8.95035382238759,-0.144630855517441,-3.97315919054694,0,0,0
41,-8.95182094900938,-0.144433311397036,-3.98134034449026,0,0,0
42,-8.95100980995673,-0.141938190420158,-3.98132937829604,0,0,0
43,-8.95260188011413,-0.142909394141904,-3.97910768123438,0,0,0
44,-8.94730201290111,-0.140675456638694,-3.98281488047288,0,0,0
45,-8.94652397907062,-0.141437662425137,-3.97909459850377,0,0,0
46,-8.9480661152578,-0.139902369963543,-3.97760712539223,0,0,0
47,-8.94578757775463,-0.140748320886673,-3.97239821657415,0,0,0
48,-8.94655762440768,-0.138408015067887,-3.96941887992775,0,0,0
49,-8.94577014807817,-0.135211159345992,-3.96271274466524,0,0,0
50,-8.94728371481209,-0.137517411688605,-3.96792764072658,0,0,0
51,-8.94878639822602,-0.139007247714914,-3.97239586706629,0,0,0
52,-8.95109976753273,-0.140656051724012,-3.96719849579893,0,0,0
53,-8.95340253615636,-0.139872927458388,-3.97389716518433,0,0,0
54,-8.95405287814013,-0.14112736235585,-3.97538118593062,0,0,0
55,-8.95555631528597,-0.145805369690021,-3.96944230972159,0,0,0
56,-8.95485835384291,-0.142046226329094,-3.97018052861918,0,0,0
57,-8.95406854562526,-0.140375606542794,-3.97761227279359,0,0,0
58,-8.95564116327187,-0.139715890467458,-3.97538522468372,0,0,0
59,-8.95943428880104,-0.141220834270615,-3.97241873512036,0,0,0
60,-8.95488142960512,-0.142108135054248,-3.97092628270078,0,0,0
61,-8.95572882427128,-0.139959941543059,-3.97539223611997,0,0,0
62,-8.95261231739855,-0.141389590784707,-3.97017780127261,0,0,0
63,-8.95118058349619,-0.139322922120073,-3.9612498704087,0,0,0
64,-8.94892580846892,-0.133900004116359,-3.96495465073736,0,0,0
65,-8.94963002533381,-0.139999846543087,-3.97761300522894,0,0,0
66,-8.94815099299247,-0.139336394260838,-3.98207549119756,0,0,0
67,-8.94652094361327,-0.143771119327709,-3.9865391456603,0,0,0
68,-8.94660957835151,-0.140064359458537,-3.99025632363095,0,0,0
69,-8.94656388768338,-0.142276704721357,-3.99844136078513,0,0,0
70,-8.9480607702973,-0.143761984790737,-3.99918957567615,0,0,0
71,-8.94565905737871,-0.146672024466175,-3.98058610083859,0,0,0
72,-8.94783386109006,-0.149521167979157,-3.97240580402916,0,0,0
73,-8.94961132546952,-0.143085020988351,-3.98282646547974,0,0,0
74,-8.94428591059756,-0.136835612750645,-3.98726604078375,0,0,0
75,-8.94583676200996,-0.140066659879867,-3.98207109673904,0,0,0
76,-8.94892336063795,-0.136997917958487,-3.98058415550063,0,0,0
77,-8.95256065545307,-0.141173673164036,-3.99323486554306,0,0,0
78,-8.96017404466551,-0.145012620297667,-3.99846462737202,0,0,0
79,-8.9647249007071,-0.146503442038281,-3.99401132545686,0,0,0
80,-8.95863582618456,-0.145830856009263,-3.9806088555858,0,0,0
81,-8.96008536493501,-0.144135505575727,-3.94786975638843,0,0,0
82,-8.95862226021776,-0.138048776121844,-3.93595424620504,0,0,0
83,-8.96105369535563,-0.129770192213881,-3.93297341427881,0,0,0
84,-8.96626898670202,-0.136478115023864,-3.93596600490595,0,0,0
85,-8.97020433407033,-0.139111596725444,-3.9397129534848,0,0,0
86,-8.96871005847577,-0.132114857348615,-3.95010532574077,0,0,0
87,-8.96272183263944,-0.130037036731197,-3.97167093660339,0,0,0
88,-8.95881582486516,-0.133703874101529,-3.98505640536914,0,0,0
89,-8.95863364431473,-0.145785287160775,-3.99325515308655,0,0,0
90,-8.95264384915828,-0.146893651811753,-4.00292568061191,0,0,0
91,-8.9450522311003,-0.146215473740178,-4.01481519955338,0,0,0
92,-8.93744987453421,-0.147144584206098,-4.00736598363673,0,0,0
93,-8.93366212042145,-0.143308085493611,-4.00437590798178,0,0,0
94,-8.93586450809943,-0.147794379987093,-4.00140896919802,0,0,0
95,-8.93958423733778,-0.156969287625918,-4.00143122572695,0,0,0
96,-8.94459356126897,-0.170980754824745,-4.00665797085298,0,0,0
97,-8.95740132566212,-0.177515918045633,-4.0185886955267,0,0,0
98,-8.96274671578403,-0.175113922287256,-4.02528849414965,0,0,0
99,-8.96508648795403,-0.172875450279995,-4.02603507015737,0,0,0
100,-8.96358553772106,-0.170623003489482,-4.01486989273328,0,0,0
101,-8.96132976158497,-0.167622925880778,-3.99923859103321,0,0,0
102,-8.95911446965253,-0.16317028303605,-3.97988718925149,0,0,0
103,-8.96297851434472,-0.158574888876056,-3.9739355751645,0,0,0
104,-8.95836368944441,-0.16013388347849,-3.95458620922609,0,0,0
105,-8.95543044403493,-0.156578052277948,-3.9419340255324,0,0,0
106,-8.9576894983982,-0.152573436752303,-3.93151172175742,0,0,0
107,-8.96013705207569,-0.144351358565474,-3.9248125976857,0,0,0
108,-8.96704385477199,-0.13656522798541,-3.9173705792336,0,0,0
109,-8.95548218449718,-0.148170979735905,-3.90323396242731,0,0,0
110,-8.97474759078407,-0.121787715395649,-3.90545229386418,0,0,0
111,-8.99390573448597,-0.0720951260123264,-3.87939199546523,0,0,0
112,-8.94732235724421,-0.175948855143206,-3.88985718517498,0,0,0
113,-8.9656338595575,-0.178896312115095,-3.92411865289813,0,0,0
114,-8.9806816242085,-0.1409384050569,-3.92260720217791,0,0,0
115,-8.97894269969296,-0.108591091170198,-3.91958981603707,0,0,0
116,-8.97206155086273,-0.113297586623829,-3.92628242710786,0,0,0
