Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.6332299575134,0.0487792397145769,0.546425231366948,0,0,0
1,-9.61889615343826,0.0467447507174586,0.533300459293004,0,0,0
2,-9.59435264555656,0.0325944356715598,0.512681143918169,0,0,0
3,-9.55961925783713,0.025773447610733,0.461150345108921,0,0,0
4,-9.54933817351448,0.0250423457082808,0.449270864258766,0,0,0
5,-9.56024990875745,0.0186316790752577,0.440395181695169,0,0,0
6,-9.56658711098915,0.00763486310052346,0.447332194615041,0,0,0
7,-9.58056475240716,0.0189410765732696,0.460736596181887,0,0,0
8,-9.60676986819996,0.0130576129826864,0.461195256519797,0,0,0
9,-9.59632416521811,0.0169409338111916,0.46978397953041,0,0,0
10,-9.60183495991969,0.0164649635925744,0.460173429412593,0,0,0
11,-9.58381679080144,0.0184330666006695,0.446607142453325,0,0,0
12,-9.56233791423846,0.0232874190382641,0.456347447947925,0,0,0
13,-9.54721280552192,0.0317159961377421,0.480884063520721,0,0,0
14,-9.53543522003821,0.0159222049329824,0.494590187936275,0,0,0
15,-9.52612796616333,-0.0022225933888584,0.50815549227208,0,0,0
16,-9.5467372309113,-0.0133915901907268,0.48982164128354,0,0,0
17,-9.55603997988802,-0.0270063484344501,0.485035014977231,0,0,0
18,-9.56324536124846,0.0000809882657187958,0.482752236279205,0,0,0
19,-9.59147198322863,0.0102299859075545,0.501554550893641,0,0,0
20,-9.63717001619446,0.0151696676992349,0.512583252802698,0,0,0
21,-9.65583072976525,0.0378078811369942,0.507909202430158,0,0,0
22,-9.67380344539491,0.033606139814242,0.507925633915266,0,0,0
23,-9.66868077260399,0.0270661007933154,0.510477777402597,0,0,0
24,-9.65066931525446,0.0131399236293855,0.51485308887898,0,0,0
25,-9.62180331755697,0.0101465888723641,0.503253711260068,0,0,0
26,-9.59177083571883,-0.00356320528930707,0.52612519257922,0,0,0
27,-9.56919284559439,-0.00620493604130443,0.550958633601081,0,0,0
28,-9.56829322899669,-0.030662546901084,0.560308671554305,0,0,0
29,-9.57261422889631,-0.0418168328596278,0.54902998119918,0,0,0
30,-9.57238058593117,-0.0393984268800384,0.519809204422354,0,0,0
31,-9.56599866758899,-0.0465195701333442,0.508229221362234,0,0,0
32,-9.57563406229296,-0.0399077028558677,0.507938695217728,0,0,0
33,-9.57574688516994,-0.0331687344442412,0.512448981386476,0,0,0
34,-9.57086916569139,-0.0239548086807213,0.49691494800646,0,0,0
35,-9.56433197570727,-0.0105941693254636,0.512707208543863,0,0,0
36,-9.58627186834911,-0.000799139177845453,0.497335373149737,0,0,0
37,-9.57778740870154,0.0169073128406377,0.488131151831805,0,0,0
38,-9.60048762659294,0.0103889385443169,0.490266925117619,0,0,0
39,-9.60138071256795,0.01897332183411,0.478530004768217,0,0,0
40,-9.6016554703044,0.0211028997574753,0.458054656459281,0,0,0
41,-9.62303411925124,-0.00280169085411626,0.424648933733702,0,0,0
42,-9.64564286374315,0.00209751329393225,0.390778359847379,0,0,0
43,-9.63912404939181,0.00185231784118518,0.386111843643477,0,0,0
44,-9.64106981629997,-0.00249093280949919,0.408849749529169,0,0,0
45,-9.63240953819243,0.00396375169033791,0.410950769150071,0,0,0
46,-9.62056369495396,-0.000450846653137581,0.424789806085172,0,0,0
47,-9.61474453392006,-0.00564181278809923,0.449057070855383,0,0,0
48,-9.59086760261077,-0.00982375706159107,0.465581457361251,0,0,0
49,-9.58708209716279,-0.0125783802083859,0.478699094214996,0,0,0
50,-9.58767546762445,-0.00839039872298132,0.505509469325905,0,0,0
51,-9.60031470123982,-0.000867457807635719,0.506089640693665,0,0,0
52,-9.60060337661757,0.0171232395749383,0.499294586609246,0,0,0
53,-9.61707860163368,0.0124583187309494,0.505651750214318,0,0,0
54,-9.62687609895193,0.0144602533289197,0.480375559300767,0,0,0
55,-9.62597339704683,0.021774901579801,0.469653567238984,0,0,0
