Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.95149023321234,-0.368796622464808,-3.11476489561581,0,0,0
1,-8.97790340573468,-0.392857654387781,-3.18005968376408,0,0,0
2,-9.00050364042948,-0.387950549941071,-3.2161802400061,0,0,0
3,-8.99661953797679,-0.388621106797496,-3.18275490710639,0,0,0
4,-8.97599482616299,-0.386386429548031,-3.12602059792902,0,0,0
5,-8.95970283876446,-0.393031243413848,-3.11669520381495,0,0,0
6,-8.97605820098184,-0.395590774318496,-3.11261012033388,0,0,0
7,-8.99375772696513,-0.404124593360642,-3.10115023519401,0,0,0
8,-9.00107994106013,-0.406809482514545,-3.11739437641459,0,0,0
9,-8.99665199461205,-0.402395849166368,-3.10385309116666,0,0,0
10,-8.98964301821209,-0.404560247450503,-3.11273979703671,0,0,0
11,-8.98079017924987,-0.393427429866764,-3.1375972400116,0,0,0
12,-8.96759481892927,-0.384810724069958,-3.15808689577681,0,0,0
13,-8.97440513340952,-0.368741621859711,-3.1737582546339,0,0,0
14,-8.97414107355055,-0.384484766085945,-3.18503241916925,0,0,0
15,-8.97828875013803,-0.406925635028482,-3.17823128219007,0,0,0
16,-8.97987670260759,-0.410845998224179,-3.16197402071953,0,0,0
17,-8.99811347916681,-0.39931967589297,-3.14165085080348,0,0,0
18,-8.99095635629334,-0.410484778552624,-3.15278613929043,0,0,0
19,-8.98656950528764,-0.403827416620461,-3.1324728453384,0,0,0
20,-8.98275991721757,-0.38627618423418,-3.12601621612161,0,0,0
21,-8.97812628521006,-0.381668194504587,-3.11910148369046,0,0,0
22,-8.98095736629485,-0.384457889379751,-3.10599253805091,0,0,0
23,-8.97589064010526,-0.393148188546177,-3.11698086282686,0,0,0
24,-8.98501933486399,-0.386246581686644,-3.11924029673371,0,0,0
25,-8.97612570808567,-0.391079780731622,-3.12164748933916,0,0,0
26,-8.99179797966225,-0.397569976007349,-3.12614645180685,0,0,0
27,-8.97379585571744,-0.395615612972811,-3.12390235606648,0,0,0
28,-8.98048759818004,-0.400006833248759,-3.12389322535113,0,0,0
29,-8.98757176319528,-0.404755443090521,-3.13998710669043,0,0,0
30,-8.99437912647285,-0.388681675003962,-3.16017479648377,0,0,0
31,-8.97160771678863,-0.366006483983224,-3.13492954263091,0,0,0
32,-8.96260346040336,-0.35245689791283,-3.13931797129862,0,0,0
33,-8.97387602427948,-0.363680869642474,-3.17106086980494,0,0,0
34,-8.97646031873886,-0.368520048865883,-3.17135064441693,0,0,0
35,-8.99226641628656,-0.379708389590238,-3.16696022621781,0,0,0
36,-8.97123361692119,-0.388502119851299,-3.14619655204532,0,0,0
37,-8.97827483565623,-0.384079881687558,-3.14408673521711,0,0,0
38,-8.97205322474814,-0.375551974126444,-3.15342917781459,0,0,0
39,-8.96279656836741,-0.377764908901702,-3.15102651500619,0,0,0
40,-8.97394378063204,-0.372892514099276,-3.15087598752123,0,0,0
41,-8.97817478143865,-0.377126192028311,-3.15749479677066,0,0,0
42,-8.96055738803861,-0.36410526594102,-3.15541055484401,0,0,0
43,-8.99267307671989,-0.368677713348991,-3.13324769866909,0,0,0
44,-8.97708912053194,-0.369122156084671,-3.13340588030289,0,0,0
45,-8.97179318424426,-0.379890085523998,-3.13069490290685,0,0,0
46,-8.97134365323602,-0.381749856148988,-3.14620367546792,0,0,0
47,-8.96985278239601,-0.384778739437881,-3.15356911672889,0,0,0
48,-8.97155263967507,-0.393361135176855,-3.16229482655843,0,0,0
49,-8.96701466965619,-0.395699656798488,-3.1487464431616,0,0,0
50,-8.9716920411817,-0.384346293900156,-3.17359509949199,0,0,0
51,-8.96529871496265,-0.387091037888632,-3.16486045961639,0,0,0
52,-8.9635284046959,-0.383014929826106,-3.15161366250448,0,0,0
53,-8.97478131449367,-0.371383403310248,-3.1582447409853,0,0,0
54,-8.9900301206195,-0.366053589038793,-3.16682794519139,0,0,0
55,-8.98193114721486,-0.360206900094294,-3.15840021191191,0,0,0
56,-8.9766879555095,-0.368750130722213,-3.13085180869345,0,0,0
57,-8.98308151163846,-0.379727780801492,-3.11036420465457,0,0,0
58,-8.99248929321908,-0.368519092676479,-3.10600185609973,0,0,0
59,-8.97940461801627,-0.378284893984831,-3.12451022606254,0,0,0
60,-8.98122326803658,-0.380129303814623,-3.11969417424577,0,0,0
61,-8.98993205683733,-0.386547325471718,-3.11953326392413,0,0,0
62,-8.99271042898544,-0.391561392798134,-3.13126170620464,0,0,0
63,-8.98336242269656,-0.386835160832012,-3.12871822723298,0,0,0
64,-8.97541213771534,-0.385841650750926,-3.13686743227241,0,0,0
65,-8.98062553725368,-0.390989610006377,-3.13745165331036,0,0,0
66,-8.97616714796328,-0.400248329014159,-3.14210935214983,0,0,0
67,-8.97175394908247,-0.393548222329962,-3.16244281078723,0,0,0
68,-8.97884541278411,-0.398308781835073,-3.16724597203168,0,0,0
69,-8.98564828961325,-0.384538173222584,-3.13775177793381,0,0,0
70,-8.9717371283283,-0.370697574530241,-3.13281459915865,0,0,0
71,-8.95871225060632,-0.364528383116161,-3.14441718515857,0,0,0
72,-8.96995660133965,-0.366604890359571,-3.13537487919712,0,0,0
73,-8.98337397421461,-0.370821530080095,-3.19633160899857,0,0,0
74,-8.9614797884201,-0.342081234766011,-3.23039748678178,0,0,0
75,-8.92941852505514,-0.351319251626238,-3.1397861423572,0,0,0
76,-8.94069422996335,-0.376270300041625,-3.13779048780361,0,0,0
77,-8.98724842777265,-0.397579159899362,-3.18711955870845,0,0,0
78,-9.00291338718429,-0.404057445346673,-3.20290929630449,0,0,0
79,-8.98991489944758,-0.397930831496501,-3.17386515766871,0,0,0
80,-8.95980848832312,-0.386271801276348,-3.12347677347416,0,0,0
81,-8.95359708675324,-0.377760466922402,-3.11701209009081,0,0,0
82,-8.96721707337449,-0.384476958042018,-3.1194023000844,0,0,0
83,-8.98107509334417,-0.389129766471332,-3.12194283575221,0,0,0
84,-8.98784752130868,-0.389031430604992,-3.11064765782849,0,0,0
85,-8.98761390154828,-0.391102191793273,-3.1037228757904,0,0,0
86,-8.97774742489647,-0.392744402503882,-3.10990907282141,0,0,0
87,-8.98073557250736,-0.384237411420165,-3.13745877666426,0,0,0
88,-8.96736975437121,-0.373173272452315,-3.16683542787998,0,0,0
89,-8.96293596987404,-0.368750067625003,-3.16232678793974,0,0,0
90,-8.96760188519195,-0.371100207483739,-3.176018419135,0,0,0
91,-8.97627253935043,-0.379766567279186,-3.17811323723743,0,0,0
92,-8.98741269064008,-0.38860481203928,-3.16003119620561,0,0,0
93,-8.99168620739136,-0.390597330423291,-3.1576197657849,0,0,0
94,-8.97679277255926,-0.3871229945722,-3.13790320760176,0,0,0
95,-8.99002481646854,-0.393488958435784,-3.11741592602405,0,0,0
96,-8.98285120410019,-0.393215504214133,-3.12615704312645,0,0,0
97,-8.9782146403514,-0.388602806788306,-3.12375860993532,0,0,0
98,-8.97413218156209,-0.386780745485347,-3.14212505939498,0,0,0
99,-8.96484176799044,-0.391249231351178,-3.13520372251443,0,0,0
100,-8.97652395078221,-0.391446828862299,-3.12871786019961,0,0,0
101,-8.98806797927559,-0.386939251486831,-3.13789590455381,0,0,0
102,-8.99164687869172,-0.406565761558582,-3.13291141907865,0,0,0
103,-8.98963278117166,-0.404543573675235,-3.12854689689676,0,0,0
104,-8.98758784998803,-0.404781644761706,-3.11514735526979,0,0,0
105,-8.98974281589477,-0.397791407647073,-3.12855402021632,0,0,0
106,-8.97169606243866,-0.372941172354582,-3.13958668348132,0,0,0
107,-8.96978612547212,-0.364157412178135,-3.14426191482424,0,0,0
108,-8.97209367725439,-0.348173463638406,-3.14864541428549,0,0,0
109,-8.97934536430452,-0.355365354201231,-3.16036861952707,0,0,0
110,-8.98376333954235,-0.373484727173654,-3.16049468544724,0,0,0
111,-8.97831920140644,-0.393253271694345,-3.16003228972001,0,0,0
112,-8.98095748367723,-0.382147618172977,-3.16244884056237,0,0,0
113,-8.97624756039645,-0.382036355866723,-3.16004562258077,0,0,0
114,-8.96730663456634,-0.37769141193624,-3.15102359379769,0,0,0
115,-8.9637605320163,-0.380941857442805,-3.16079667372452,0,0,0
116,-8.97373808377468,-0.372698179679776,-3.15750246692044,0,0,0
117,-8.96801472802681,-0.371491267189149,-3.16050728413132,0,0,0
118,-8.98121341266346,-0.391524696250576,-3.16273531203845,0,0,0
119,-8.98298183100889,-0.384186371143334,-3.15100624621403,0,0,0
120,-8.9902540521554,-0.391411049394758,-3.13111521115856,0,0,0
121,-8.97237396713892,-0.394135674282568,-3.1380469675448,0,0,0
122,-8.96270297718924,-0.395955466320979,-3.15341365028003,0,0,0
123,-8.97151596125718,-0.395611868038926,-3.16229245210712,0,0,0
124,-8.96244709487427,-0.386578336614079,-3.15312719668555,0,0,0
125,-8.96245294460079,-0.386587864467963,-3.14409458497165,0,0,0
126,-8.9632695944952,-0.373633047401131,-3.15584352991439,0,0,0
127,-8.96269360801611,-0.370806456866504,-3.16895088842415,0,0,0
128,-8.97217532737687,-0.380231040671749,-3.16260504185812,0,0,0
129,-8.97440246252225,-0.382459295076806,-3.14905225150155,0,0,0
130,-8.98567911793461,-0.382277934185449,-3.14678678924245,0,0,0
131,-8.96981464189612,-0.387027068624477,-3.15582490152054,0,0,0
132,-8.9813732861463,-0.38254333278537,-3.14242135785099,0,0,0
133,-8.98084268289506,-0.377480448902586,-3.14198221006951,0,0,0
134,-8.98303459618965,-0.38196183990378,-3.12616891538296,0,0,0
135,-8.98101756086781,-0.379935007649917,-3.12632070103639,0,0,0
136,-8.97871560973895,-0.382205804411548,-3.14212688706262,0,0,0
137,-8.98378381366122,-0.373518074786131,-3.12888042700571,0,0,0
138,-8.97455565580919,-0.398600304523389,-3.13804075812242,0,0,0
139,-8.98216510513498,-0.397141471179737,-3.13925733619543,0,0,0
140,-8.97611985835372,-0.391070252868889,-3.13068010944184,0,0,0
141,-8.97149975690112,-0.397895948420563,-3.13067590729644,0,0,0
142,-8.97408343332863,-0.377600222213513,-3.13295397177957,0,0,0
143,-8.97915784756448,-0.380334145043063,-3.13790887024303,0,0,0
144,-8.97204323947721,-0.389257704999642,-3.14001395194392,0,0,0
145,-8.9693474468904,-0.391168588488665,-3.14197526638294,0,0,0
146,-8.96530456470546,-0.387100565769063,-3.15582782273616,0,0,0
147,-8.96651494750792,-0.388376592265601,-3.15734224820311,0,0,0
148,-8.96073697996708,-0.377979292869705,-3.16020857777348,0,0,0
149,-8.97902403634115,-0.375636046432215,-3.14679829435109,0,0,0
150,-8.98121168572251,-0.377799987644365,-3.1942158029361,0,0,0
151,-8.96070422022162,-0.352791998280473,-3.21187625036967,0,0,0
152,-8.9408219305559,-0.367236489803409,-3.16715605537798,0,0,0
153,-8.95133362348168,-0.38919516972866,-3.15779641084793,0,0,0
154,-9.0037741801163,-0.38886363427406,-3.20336998407006,0,0,0
155,-9.01726043810326,-0.390881933014038,-3.21464965258183,0,0,0
156,-8.99062414906234,-0.38032087445798,-3.153856672988,0,0,0
157,-8.96381439743755,-0.367307743157381,-3.10646701505408,0,0,0
158,-8.96557764272325,-0.385094148910665,-3.10178230399062,0,0,0
159,-8.97240175346891,-0.394180931798677,-3.09514186267031,0,0,0
160,-8.99431296478013,-0.395505300068989,-3.09242295947828,0,0,0
161,-9.00111328812901,-0.39314195050917,-3.09467910922291,0,0,0
162,-8.99287761396518,-0.382591982636231,-3.09965691602441,0,0,0
163,-8.98966321884738,-0.390871199663652,-3.11034795058531,0,0,0
164,-8.98565387144589,-0.370825275006806,-3.15794147730385,0,0,0
165,-8.97198546852484,-0.366340431003591,-3.1736140951024,0,0,0
166,-8.97200338459799,-0.377781258424772,-3.17375021748052,0,0,0
167,-8.97212548739136,-0.382460314097484,-3.18292610041024,0,0,0
168,-8.98088412719516,-0.386649062191751,-3.16244409168267,0,0,0
169,-8.97166706222771,-0.386616082487693,-3.15552748483532,0,0,0
170,-8.96315249083771,-0.394095587186706,-3.13790484800843,0,0,0
171,-8.96737852896914,-0.373187564246415,-3.15328649772596,0,0,0
172,-8.96593893425947,-0.373989715206092,-3.13807271902845,0,0,0
173,-8.97257465053422,-0.369188507401859,-3.14018328547382,0,0,0
174,-8.97401775953595,-0.393525765609822,-3.14889240744401,0,0,0
175,-8.97694132391961,-0.389534596336331,-3.16288859269198,0,0,0
176,-8.97259879414459,-0.39205063758628,-3.15852079379001,0,0,0
177,-8.98744963937199,-0.400076496216077,-3.13081126350536,0,0,0
178,-8.98525214308582,-0.409307905796869,-3.12643486312108,0,0,0
179,-8.99003837214267,-0.404922397135844,-3.12432648070508,0,0,0
180,-8.99035851370864,-0.398371647584791,-3.11093257286947,0,0,0
181,-8.9900541823542,-0.391226337428541,-3.12870909655275,0,0,0
182,-8.97917221103356,-0.366635583775506,-3.14454963284464,0,0,0
183,-8.97378938684901,-0.370471244724928,-3.13492333308182,0,0,0
184,-8.9767979902326,-0.361997964694051,-3.130858932013,0,0,0
185,-8.97973655975716,-0.369443133386803,-3.14950749384456,0,0,0
186,-8.99246482499203,-0.379890775640682,-3.17162453326807,0,0,0
187,-8.97849381889798,-0.381985315589892,-3.17359309213054,0,0,0
188,-8.96797512526537,-0.373737203548531,-3.16502123234887,0,0,0
189,-8.96979087672901,-0.375576812814479,-3.16472142403494,0,0,0
190,-8.96341923162331,-0.364634966714529,-3.15133670918789,0,0,0
191,-8.97011391615236,-0.369030907251274,-3.14681126006754,0,0,0
192,-8.97213243096759,-0.371060057979251,-3.14440129820284,0,0,0
193,-8.96815876307864,-0.376206037970107,-3.13581072059713,0,0,0
194,-8.98141288890775,-0.380297396425989,-3.13790740963344,0,0,0
195,-8.98116904074395,-0.382351431330035,-3.14678971045807,0,0,0
196,-8.99277793465268,-0.387050485997331,-3.14029910867344,0,0,0
197,-8.98364918759492,-0.393951930973295,-3.13803966448795,0,0,0
198,-8.9789363178035,-0.393835964894869,-3.14015278505856,0,0,0
