Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.77219672134031,1.05762785498314,-3.65149516303474,0,0,0
1,-8.76359687287343,1.07092958313149,-3.65392228448113,0,0,0
2,-8.76366120231856,1.06404289738975,-3.65183433205884,0,0,0
3,-8.76729445468498,1.07120006477123,-3.65332495447411,0,0,0
4,-8.77384217434157,1.05781214384763,-3.65104790246123,0,0,0
5,-8.76019837155034,1.05084609881879,-3.65330798053165,0,0,0
6,-8.7646358530586,1.04642100699063,-3.65330031297327,0,0,0
7,-8.7631677919761,1.05749274819217,-3.6627931971472,0,0,0
8,-8.76030979938067,1.05759161748476,-3.65105666749638,0,0,0
9,-8.77820780831673,1.048886069146,-3.64877705716755,0,0,0
10,-8.78086693038583,1.04882931845179,-3.65358966386333,0,0,0
11,-8.75794882617259,1.05079981539421,-3.6442757139497,0,0,0
12,-8.76315015144646,1.05521251100607,-3.63343112833226,0,0,0
13,-8.77396925586661,1.05326915087116,-3.65570862414853,0,0,0
14,-8.76942180382128,1.05094635253877,-3.65570917290191,0,0,0
15,-8.77006985840705,1.05304579167304,-3.65389891878855,0,0,0
16,-8.76552385302238,1.05072064336347,-3.65164102734291,0,0,0
17,-8.7674034440427,1.05311449554294,-3.66037848290307,0,0,0
18,-8.77003174142409,1.05079891704242,-3.65615498613841,0,0,0
19,-8.76036794246732,1.04854289854949,-3.6489373414798,0,0,0
20,-8.76080388689548,1.05070580815016,-3.6605291011279,0,0,0
21,-8.76906992112532,1.06683666413841,-3.65302154517673,0,0,0
22,-8.76230521274203,1.0667240189724,-3.65076750002272,0,0,0
23,-8.76082636412944,1.06424109605698,-3.65136098581815,0,0,0
24,-8.76093340305639,1.07099369638879,-3.65588497666881,0,0,0
25,-8.76033767877974,1.0598552113388,-3.6646096315681,0,0,0
26,-8.76255349430933,1.0576474299401,-3.66912266149947,0,0,0
27,-8.75567734161082,1.050789265835,-3.66911992519704,0,0,0
28,-8.77385197811099,1.04653319380506,-3.66699367512526,0,0,0
29,-8.7671297503507,1.04866030864497,-3.65570826081433,0,0,0
30,-8.7696676210553,1.05313695645363,-3.64682640576227,0,0,0
31,-8.76738726593353,1.05083186527081,-3.62875800529052,0,0,0
32,-8.76752949696446,1.05983612646725,-3.63554280510796,0,0,0
33,-8.7786354482812,1.06232552400975,-3.64216459046592,0,0,0
34,-8.76477954812481,1.05542297273757,-3.65782666844385,0,0,0
35,-8.76968131331934,1.06668661420541,-3.65120891549683,0,0,0
36,-8.76477808551254,1.05542535499526,-3.66008510029914,0,0,0
37,-8.77715261767192,1.06202132585782,-3.65859852111131,0,0,0
38,-8.76774406809338,1.04850575877271,-3.64937875335833,0,0,0
39,-8.7646358530586,1.04642100699063,-3.65330031297327,0,0,0
40,-8.78554879828615,1.04659727887421,-3.64695765714554,0,0,0
41,-8.78500333780853,1.05125754392378,-3.66006720686641,0,0,0
42,-8.76687414165105,1.05774867760469,-3.64864525584612,0,0,0
43,-8.77210775858783,1.0644177216875,-3.64457837345537,0,0,0
44,-8.77873956251418,1.06908292141499,-3.6512054450615,0,0,0
45,-8.76770346459519,1.05752575875491,-3.62439682696138,0,0,0
46,-8.77187311477981,1.0486370375381,-3.61068522229052,0,0,0
47,-8.75317020781731,1.04626253766381,-3.63057471804859,0,0,0
48,-8.75848741506391,1.05972246020337,-3.66716675317441,0,0,0
49,-8.7627275448302,1.0576458963461,-3.71443995697497,0,0,0
50,-8.76431682088711,1.04204059505149,-3.71864142852422,0,0,0
51,-8.76220897253245,1.037427549746,-3.69168562359231,0,0,0
52,-8.76520473141038,1.04403151395695,-3.66051906072187,0,0,0
53,-8.75633997161076,1.05286489099341,-3.64472532869454,0,0,0
54,-8.76252122707345,1.05539098285914,-3.66234499299361,0,0,0
55,-8.7630988707409,1.0529870658995,-3.65601313689529,0,0,0
56,-8.77182382197935,1.05998026479819,-3.65571720377516,0,0,0
57,-8.77473021474059,1.06211156387445,-3.64938860818463,0,0,0
58,-8.78096269403399,1.06686323961866,-3.64442630943454,0,0,0
59,-8.76337300393183,1.06870335297646,-3.62892848947246,0,0,0
60,-8.76729392129755,1.05762887934696,-3.62861654509879,0,0,0
61,-8.7714807088192,1.07585641297609,-3.63947901022731,0,0,0
62,-8.77451812141344,1.06217505633261,-3.66279063873586,0,0,0
63,-8.77195675186699,1.05542775406375,-3.65134418993597,0,0,0
64,-8.7761239869552,1.06011487435317,-3.66685783754905,0,0,0
65,-8.76030979938067,1.05759161748476,-3.65105666749638,0,0,0
66,-8.7624874972253,1.05313691803587,-3.65782575634304,0,0,0
67,-8.76700267671575,1.05320328005042,-3.6510475390988,0,0,0
68,-8.76942180382128,1.05094635253877,-3.65570917290191,0,0,0
69,-8.76236090631676,1.03284415584125,-3.65795300594888,0,0,0
70,-8.76700024213401,1.02837243091519,-3.66035238081492,0,0,0
71,-8.76754617009008,1.03728329695232,-3.67195129132792,0,0,0
72,-8.76954741859349,1.04640579648086,-3.66262833935868,0,0,0
73,-8.77182286283744,1.03514708880638,-3.66276362471253,0,0,0
74,-8.76951661433445,1.04414698882988,-3.65359222224288,0,0,0
75,-8.76960800352768,1.062188035295,-3.65120416963972,0,0,0
76,-8.77167427716878,1.05098787149717,-3.6602245799659,0,0,0
77,-8.76945553348986,1.05320040651379,-3.66022841373543,0,0,0
78,-8.76523846071981,1.04628554623545,-3.66503830992126,0,0,0
79,-8.76695870858171,1.05096589103098,-3.66233732543523,0,0,0
80,-8.7597521911712,1.0486998353219,-3.65752526013784,0,0,0
81,-8.76248603461304,1.05313930029356,-3.66008418819832,0,0,0
82,-8.77616012033147,1.04879303283992,-3.64215181373557,0,0,0
83,-8.77417696108569,1.05321284768249,-3.64908192012644,0,0,0
84,-8.76554047275479,1.0642653946482,-3.6515066642853,0,0,0
85,-8.76766148969049,1.0688570634985,-3.65813665727312,0,0,0
86,-8.78287304903503,1.07151611854421,-3.66219984624151,0,0,0
87,-8.77198755612602,1.05768656171474,-3.66038030705177,0,0,0
88,-8.76235750504964,1.05768469792854,-3.65768189655331,0,0,0
89,-8.76696602164306,1.05095397974253,-3.65104516615879,0,0,0
90,-8.77184093725013,1.04868944730464,-3.66037081538336,0,0,0
91,-8.75792002939096,1.06210981155163,-3.65768956413104,0,0,0
92,-8.78028922132116,1.05123318149454,-3.65992152075776,0,0,0
93,-8.76924783425668,1.05325671024806,-3.66685510124661,0,0,0
94,-8.77183947463514,1.04869182956676,-3.66262925143303,0,0,0
95,-8.77844632334754,1.05108860577333,-3.65118646163307,0,0,0
96,-8.75962951609648,1.05323572665696,-3.64608927309113,0,0,0
97,-8.76410217305105,1.05106228456101,-3.64834240401278,0,0,0
98,-8.76477808551254,1.05542535499526,-3.66008510029914,0,0,0
99,-8.77662544469926,1.05321712212573,-3.66503812441557,0,0,0
100,-8.76695724596945,1.05096827328867,-3.66459575729051,0,0,0
101,-8.76470038753036,1.05093390115255,-3.66685564998499,0,0,0
102,-8.76954741859349,1.04640579648086,-3.66262833935868,0,0,0
103,-8.76056246802171,1.0485080571499,-3.66263655564678,0,0,0
104,-8.76764633342426,1.05530984270565,-3.65601258811188,0,0,0
105,-8.76514658010503,1.05308012332169,-3.66263837979549,0,0,0
106,-8.76784818071835,1.05526305853034,-3.65841963301719,0,0,0
107,-8.76510992538605,1.05083084471916,-3.66263600687839,0,0,0
108,-8.7695332311224,1.05769183864449,-3.6534578577351,0,0,0
109,-8.76511431323101,1.05082369793282,-3.65586069872937,0,0,0
110,-8.76522574000291,1.05756915147827,-3.653609381431,0,0,0
111,-8.77875961055402,1.05778729611639,-3.65134218032483,0,0,0
112,-8.76703786917617,1.055454962616,-3.65330834389409,0,0,0
113,-8.76946138394437,1.05319087747417,-3.65119467792551,0,0,0
114,-8.76510846277107,1.05083322698128,-3.66489444292806,0,0,0
115,-8.76018813326445,1.05086277462262,-3.66911700351866,0,0,0
116,-8.76010064935984,1.05765032583499,-3.65994178714882,0,0,0
117,-8.76276264755726,1.05758872210843,-3.66023754211545,0,0,0
118,-8.7688837187742,1.05559481857867,-3.65752653568402,0,0,0
119,-8.76037725907696,1.06209974713131,-3.66009514079753,0,0,0
120,-8.77215129110013,1.05539288081927,-3.66504341901029,0,0,0
121,-8.76456108030095,1.04192478863254,-3.65555399894855,0,0,0
122,-8.7579752429594,1.05306579150594,-3.66008710987671,0,0,0
123,-8.76671581976558,1.04877049100623,-3.66670320210505,0,0,0
124,-8.76050139852799,1.05756149670945,-3.66927273876634,0,0,0
125,-8.76691912828449,1.04872135523847,-3.66685181620579,0,0,0
126,-8.76678474243194,1.05327626009381,-3.67348323728223,0,0,0
127,-8.76989734964585,1.05535374402679,-3.66278644170795,0,0,0
128,-8.76050286114162,1.05755911444954,-3.66701430481386,0,0,0
129,-8.76737263978367,1.05085568789196,-3.65134236578727,0,0,0
130,-8.77400591076244,1.05551844032637,-3.65571099707708,0,0,0
131,-8.77175197480132,1.05547930362787,-3.65345402396557,0,0,0
132,-8.77428253739765,1.0599678302764,-3.65586434702678,0,0,0
133,-8.75890278741004,1.05960978949984,-3.65391334170272,0,0,0
134,-8.7675588386085,1.06209731638035,-3.64683735827344,0,0,0
135,-8.75879282431427,1.05286201880837,-3.65390622302011,0,0,0
136,-8.76436069921444,1.04196912738712,-3.65088853578146,0,0,0
137,-8.76198510211054,1.03520111534473,-3.66669188607116,0,0,0
138,-8.76652815568512,1.0375310819698,-3.67346662662207,0,0,0
139,-8.77130971643418,1.04206363890626,-3.68265079869441,0,0,0
140,-8.76825570239907,1.04219947746426,-3.65947351123512,0,0,0
141,-8.76463439044633,1.04642338924832,-3.65555874482855,0,0,0
142,-8.75543346329863,1.05985864326009,-3.64398948065822,0,0,0
143,-8.76971796821517,1.06893590366062,-3.65121128842538,0,0,0
144,-8.77627645769502,1.06910254655396,-3.65783360188791,0,0,0
145,-8.76463245131623,1.07126179955643,-3.65302921277379,0,0,0
146,-8.77411295022268,1.0622710732118,-3.6602349837677,0,0,0
147,-8.77442769365855,1.06896732694861,-3.65813227474487,0,0,0
148,-8.76027021908344,1.05534708169226,-3.65557115826695,0,0,0
149,-8.76292198304137,1.0553021764893,-3.67167595775404,0,0,0
150,-8.76490661883089,1.0508799904413,-3.6624873964413,0,0,0
151,-8.76761406673118,1.05305342816283,-3.64923490076562,0,0,0
152,-8.76467835858036,1.04866077826775,-3.64426895849213,0,0,0
153,-8.76645090174945,1.04430192519507,-3.64848242106155,0,0,0
154,-8.76727929516127,1.057652701946,-3.65120088462359,0,0,0
155,-8.76676032405333,1.06457917486011,-3.68012176498023,0,0,0
156,-8.75989204615047,1.07128041685662,-3.69353519372372,0,0,0
157,-8.74739423969316,1.08435626613941,-3.69189431847961,0,0,0
158,-8.73185718348619,1.09985354029533,-3.7009548906762,0,0,0
159,-8.7270264398956,1.10666485281844,-3.73680251641706,0,0,0
160,-8.7382079958432,1.06397837075634,-3.75074678043132,0,0,0
161,-8.75927384729387,1.01050769942663,-3.74797071573391,0,0,0
162,-8.7603088935361,0.961168945965627,-3.7589117984941,0,0,0
163,-8.7516089281263,0.956444937847009,-3.77727773426648,0,0,0
164,-8.73210160867612,0.992051880003232,-3.77521913434731,0,0,0
