Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.88545833025733,0.0209076708355305,-0.139840653798014,0,0,0
1,-9.88546297380275,0.0209040440906749,-0.142816487234885,0,0,0
2,-9.88648148844631,0.0191705663312077,-0.149516130575949,0,0,0
3,-9.8878534250485,0.0124330560808127,-0.159942020792939,0,0,0
4,-9.8877084965947,0.01255500187963,-0.171844751690811,0,0,0
5,-9.89180417409045,0.0200216210874532,-0.178537738208567,0,0,0
6,-9.89645443348043,0.0215506389376929,-0.185982823156255,0,0,0
7,-9.89274179919131,0.0305982669258318,-0.18298979833777,0,0,0
8,-9.89438661811981,0.0404669397081882,-0.196371261954501,0,0,0
9,-9.88835463462515,0.0464507009463936,-0.199330029882506,0,0,0
10,-9.8919315447408,0.0359859364213351,-0.200836541727956,0,0,0
11,-9.88809734434677,0.0275357321149278,-0.194889499574047,0,0,0
12,-9.8896972422641,0.0274918305400081,-0.176293308419628,0,0,0
13,-9.89702489422021,0.0286064215452983,-0.168863617246708,0,0,0
14,-9.89125606988515,0.031308518640323,-0.162155841103854,0,0,0
15,-9.89104894578543,0.0261247119688872,-0.153978323450988,0,0,0
16,-9.88953266916162,0.0337484985185646,-0.148014679081502,0,0,0
17,-9.89278970371037,0.0282499499737327,-0.13909950881123,0,0,0
18,-9.88889251631397,0.0252180239696658,-0.136121241248509,0,0,0
19,-9.89042737614323,0.0236905306765275,-0.133149788020619,0,0,0
20,-9.88871508380699,0.0253655428579935,-0.127193151430845,0,0,0
21,-9.89048833958201,0.0274654083123678,-0.13314518686034,0,0,0
22,-9.88426389786861,0.0305587023440304,-0.142058779325672,0,0,0
23,-9.88433282987272,0.0282053288150454,-0.139830050933414,0,0,0
24,-9.88729204103278,0.0260268625610949,-0.146532997687795,0,0,0
25,-9.89055742255758,0.0297049476061977,-0.153973320682542,0,0,0
26,-9.88891835905982,0.0374420333283096,-0.167352022969826,0,0,0
27,-9.88675982952881,0.0441910932026352,-0.174779772419241,0,0,0
28,-9.89066389630353,0.0395747636881724,-0.183719369587869,0,0,0
29,-9.89747044266855,0.0374175536022869,-0.185964684103403,0,0,0
30,-9.89725815200065,0.0345343948757369,-0.18596772446825,0,0,0
31,-9.8966594593772,0.0374481656843266,-0.188195163323168,0,0,0
32,-9.89743793083269,0.0359139345647449,-0.180758805274552,0,0,0
33,-9.89822873409537,0.0412567120684004,-0.180753338181816,0,0,0
34,-9.89739278849479,0.040542326345321,-0.174801186731634,0,0,0
35,-9.89201334592701,0.0397416010831321,-0.179257349852204,0,0,0
36,-9.89056302837332,0.0411886714625332,-0.173301673841615,0,0,0
37,-9.89563968818439,0.0376509592368267,-0.161410618480974,0,0,0
38,-9.89813418053004,0.0420981276070796,-0.147274038707981,0,0,0
39,-9.89018660817718,0.0376753035069823,-0.145778797127574,0,0,0
40,-9.89592390671867,0.0435329068412642,-0.141317160984338,0,0,0
41,-9.89245138471806,0.0377239098001631,-0.136110904487429,0,0,0
42,-9.88802719834713,0.0329451303483085,-0.130158409682579,0,0,0
43,-9.88878019145085,0.0329628436364261,-0.125695841832534,0,0,0
44,-9.88959124359922,0.035993279536796,-0.127181264773344,0,0,0
45,-9.89553642628885,0.0377346476942038,-0.130164176978044,0,0,0
46,-9.89409822801463,0.035346639897462,-0.136116615916078,0,0,0
47,-9.89457688081237,0.0317680509127298,-0.134633716962999,0,0,0
48,-9.89709573868228,0.0346672867436206,-0.151745212875702,0,0,0
49,-9.89873091280876,0.02770914666172,-0.156220422038816,0,0,0
50,-9.90314171555929,0.0317336792899957,-0.161429840640271,0,0,0
51,-9.90082068855853,0.0324965362748073,-0.162169117065733,0,0,0
52,-9.8977670019514,0.0355194080183991,-0.156952784111139,0,0,0
53,-9.89697511765719,0.0347675397170061,-0.144305236761939,0,0,0
54,-9.89567140953761,0.0307364531734726,-0.147284284435855,0,0,0
55,-9.89392179322528,0.0278422217243563,-0.136125625684631,0,0,0
56,-9.88796747145606,0.032230277110082,-0.134622891569397,0,0,0
57,-9.89035344847188,0.0329427125424234,-0.124954443091706,0,0,0
58,-9.89026295257257,0.0314873754717061,-0.117516505617813,0,0,0
59,-9.89253934519352,0.0315269150315719,-0.115288186710068,0,0,0
60,-9.89028733854562,0.0329973635256955,-0.117514665108603,0,0,0
61,-9.89467529761442,0.0255629830219591,-0.120506633269082,0,0,0
62,-9.89099844356127,0.0253996423241352,-0.12942858730829,0,0,0
63,-9.89403370784906,0.028513351516923,-0.130173419265497,0,0,0
64,-9.89171740196723,0.0323335974729089,-0.137604462806229,0,0,0
65,-9.89419453110914,0.036797432013651,-0.147274352916506,0,0,0
66,-9.89479031991692,0.0331213711354125,-0.150999537028644,0,0,0
67,-9.89012323613324,0.029311945334208,-0.156204529675044,0,0,0
68,-9.89327620990407,0.0330922914106286,-0.154716956814673,0,0,0
69,-9.89797472094971,0.0414673192430941,-0.157689783381851,0,0,0
70,-9.89879382860031,0.0414303399952167,-0.160667005912703,0,0,0
71,-9.89398398506044,0.0331483366542827,-0.156205858354818,0,0,0
72,-9.8947763097072,0.0285421730332558,-0.153981092278607,0,0,0
73,-9.89561806495954,0.0307811194433735,-0.148028045943327,0,0,0
74,-9.89479082452715,0.0292953573870361,-0.155468089354869,0,0,0
75,-9.89632532588417,0.0331341305083459,-0.160673367708535,0,0,0
76,-9.89693671418565,0.0271492280151134,-0.162913586972975,0,0,0
77,-9.89616108174259,0.0263846698086123,-0.160681447084779,0,0,0
78,-9.89701844315645,0.0263149060087356,-0.153243452406175,0,0,0
79,-9.89568062628242,0.0276682141080252,-0.14952004166574,0,0,0
80,-9.88949426914164,0.0276593312569493,-0.150998074811097,0,0,0
81,-9.88777037129706,0.0323962850490737,-0.148013356474469,0,0,0
82,-9.88878149900188,0.0375550078945349,-0.14949661068822,0,0,0
83,-9.88802320149321,0.033715792026076,-0.154707935078758,0,0,0
84,-9.89198185371863,0.0336440211324421,-0.1517386284364,0,0,0
85,-9.89437320621299,0.0397098534537074,-0.160662339615304,0,0,0
86,-9.89873569279912,0.0338275210424985,-0.166628083356534,0,0,0
87,-9.89672029058984,0.0366300835788946,-0.165133745998408,0,0,0
88,-9.89592686974125,0.0442981717524069,-0.170330457757674,0,0,0
89,-9.89455130369184,0.0433871703188631,-0.165865866047341,0,0,0
90,-9.89504092194084,0.0375036792558716,-0.159922124015858,0,0,0
91,-9.89485251928627,0.0399565626192606,-0.155454803894949,0,0,0
92,-9.89433547380379,0.0389748139564324,-0.14429614881267,0,0,0
93,-9.89351411915058,0.0420746504711198,-0.143546930246563,0,0,0
94,-9.89261373061668,0.0375879934517519,-0.135367524459104,0,0,0
95,-9.88989110469038,0.0395694623596368,-0.140568704024689,0,0,0
96,-9.88508366064495,0.0343468338425744,-0.141311404798418,0,0,0
97,-9.88859055314932,0.029297372604177,-0.148018619108648,0,0,0
98,-9.89504187001658,0.02831980612778,-0.149518332168394,0,0,0
99,-9.89403377265376,0.0300453354501249,-0.149514313748276,0,0,0
100,-9.89393804563425,0.0278295281173616,-0.14654104271368,0,0,0
101,-9.89192952653168,0.0275658243384105,-0.145794510484388,0,0,0
102,-9.8910518516098,0.0268869557946504,-0.148025728923852,0,0,0
103,-9.88550543666519,0.0262255394906033,-0.15024943031707,0,0,0
104,-9.88780214323343,0.0270137372855151,-0.153227900264192,0,0,0
105,-9.89257699006061,0.0261429115096063,-0.159188410459101,0,0,0
106,-9.89647192989896,0.0276560067254363,-0.169608136688255,0,0,0
107,-9.89714899923528,0.0285035095294376,-0.178535496743497,0,0,0
108,-9.89724937198818,0.030715665158497,-0.184484620683062,0,0,0
109,-9.89715951704856,0.0315563691411427,-0.188947026641421,0,0,0
110,-9.89941958008028,0.0270185540438613,-0.188212361963511,0,0,0
111,-9.89711713347555,0.029295909393212,-0.185229994080323,0,0,0
112,-9.89715661856596,0.0323231537937707,-0.179274643702355,0,0,0
113,-9.89711837216691,0.033885084730278,-0.17406488391586,0,0,0
114,-9.89609568682058,0.0317964690690595,-0.168857924500007,0,0,0
115,-9.89727304987586,0.0283976527532219,-0.153241491327157,0,0,0
116,-9.89784336385975,0.0278024962691923,-0.144315490101684,0,0,0
117,-9.89573404838374,0.0322135475616099,-0.136867207109513,0,0,0
118,-9.89575560634694,0.0375513132382549,-0.130908897923136,0,0,0
119,-9.88883891176227,0.0398006877155805,-0.127919246975021,0,0,0
120,-9.88726864436956,0.0436442176301511,-0.126423978534249,0,0,0
121,-9.89127191555018,0.0427698599698604,-0.12494366584832,0,0,0
122,-9.89048342858625,0.0374252352785864,-0.12643702902546,0,0,0
123,-9.88718893944169,0.0322325109389297,-0.122718366880409,0,0,0
124,-9.89024037960996,0.0322725366993911,-0.130162697581177,0,0,0
125,-9.8924680720987,0.0323531241094773,-0.131653981937516,0,0,0
126,-9.89410236804302,0.0391690565006636,-0.134623905011825,0,0,0
127,-9.89108700164182,0.0436910763423652,-0.138333237366648,0,0,0
128,-9.89101790188357,0.0383933468523994,-0.148755091954048,0,0,0
129,-9.89477754256841,0.0316023014194228,-0.158440961148071,0,0,0
130,-9.89043928651104,0.0313436346270609,-0.160666532272782,0,0,0
131,-9.89317525577764,0.0301160430095959,-0.156208353423267,0,0,0
132,-9.89625572871828,0.0331915028665214,-0.151001710011857,0,0,0
133,-9.89556638712546,0.0269988958126738,-0.153984319025627,0,0,0
134,-9.89351323826025,0.0275375604247297,-0.151748761013741,0,0,0
135,-9.89248366647707,0.0285153271159742,-0.145793988916122,0,0,0
136,-9.89326046089567,0.0292789712531648,-0.148770089333732,0,0,0
137,-9.89779829082445,0.0354919447514975,-0.142073824606668,0,0,0
138,-9.89632084150007,0.0423180484546422,-0.133879439640478,0,0,0
139,-9.89434019702731,0.043561249378328,-0.135362919614452,0,0,0
140,-9.89499397438432,0.0398369347836788,-0.141320186095722,0,0,0
141,-9.89768746165743,0.0317588708515118,-0.145054061597942,0,0,0
