Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.54989890558109,1.14543134685329,-0.575312960453725,0,0,0
1,-9.54387035599033,1.16516375226181,-0.568757326349759,0,0,0
2,-9.54167964903156,1.1810459191916,-0.552868483068594,0,0,0
3,-9.54636557561545,1.2060930566304,-0.593448246425602,0,0,0
4,-9.53339007793121,1.21446621522042,-0.582368080387062,0,0,0
5,-9.53389392923945,1.23224694948013,-0.568932925120053,0,0,0
6,-9.53543177958952,1.24448374360323,-0.550195502095534,0,0,0
7,-9.53777376698785,1.24899659594934,-0.529871974366957,0,0,0
8,-9.56541794304087,1.25335636079437,-0.537120002414086,0,0,0
9,-9.56099185881739,1.25776126030447,-0.519059341691843,0,0,0
10,-9.56356884114382,1.23920942168172,-0.505778852530541,0,0,0
11,-9.57414392674029,1.2332099693961,-0.485146366669654,0,0,0
12,-9.57163479225403,1.21742729614969,-0.480614139370144,0,0,0
13,-9.56718785974064,1.2081498902596,-0.467153356049501,0,0,0
14,-9.57081212516979,1.19774765058205,-0.455263853366881,0,0,0
15,-9.56600935564408,1.1796816068285,-0.452989261569971,0,0,0
16,-9.56857186895014,1.17932795458244,-0.453375762497514,0,0,0
17,-9.56614158957522,1.15662599969539,-0.46926030338139,0,0,0
18,-9.5703653507369,1.13870009590241,-0.460204239123252,0,0,0
19,-9.5653038913519,1.12779118098751,-0.477972581729268,0,0,0
20,-9.54906412620474,1.10974583951838,-0.484545428955223,0,0,0
21,-9.56058221396241,1.12569720817062,-0.509398611771878,0,0,0
22,-9.54047357609821,1.11823979902737,-0.518826865595902,0,0,0
23,-9.53202419667638,1.14037876216234,-0.512177888223212,0,0,0
24,-9.53226203342178,1.16755805526833,-0.512109284713234,0,0,0
25,-9.52848312713331,1.18733652904976,-0.514586244058654,0,0,0
26,-9.54181413254594,1.17634441494872,-0.543926675876968,0,0,0
27,-9.54578208511682,1.16780003666876,-0.532427368443097,0,0,0
28,-9.54789439213702,1.16801526631292,-0.516422095925295,0,0,0
29,-9.55956413233273,1.17005817516554,-0.516708279341396,0,0,0
30,-9.5537423010415,1.20330397495744,-0.530493669755637,0,0,0
31,-9.56251418307512,1.20141596687587,-0.548456709153526,0,0,0
32,-9.56674007513167,1.20861067191686,-0.534715461295261,0,0,0
33,-9.56884358452418,1.20884039071387,-0.532261407192304,0,0,0
34,-9.5648022765618,1.21511593746855,-0.525786968008273,0,0,0
35,-9.55200010609238,1.24615665547984,-0.501082057347024,0,0,0
36,-9.5492703437402,1.24200732051277,-0.496367574269243,0,0,0
37,-9.55149069634027,1.23979294799885,-0.494105202171004,0,0,0
38,-9.57173741646783,1.2241854159184,-0.491913960950957,0,0,0
39,-9.57773562041117,1.20914464556793,-0.495924955602928,0,0,0
40,-9.56892077730119,1.20184401123906,-0.48050195180463,0,0,0
41,-9.57038935022612,1.19140139919352,-0.463902893440332,0,0,0
42,-9.56842382205681,1.17033534966876,-0.455624811885328,0,0,0
43,-9.56565947053794,1.16865435847365,-0.47311021191708,0,0,0
44,-9.54784596524045,1.16347725070436,-0.478022227035401,0,0,0
45,-9.55010003578381,1.16351638970551,-0.480279302822206,0,0,0
46,-9.54531868637296,1.16608191729653,-0.479896585410063,0,0,0
47,-9.54835934147542,1.16065643244207,-0.489700654586336,0,0,0
48,-9.54730056831795,1.15958412402675,-0.495503714970026,0,0,0
49,-9.54330754469748,1.17262729452071,-0.509460119141913,0,0,0
50,-9.55155645924925,1.1737597435912,-0.517518211276405,0,0,0
51,-9.54415027883302,1.1808667100726,-0.532637244576976,0,0,0
52,-9.54594966013941,1.18824829953154,-0.545805885456207,0,0,0
53,-9.54798428553617,1.18397323872198,-0.536571474597595,0,0,0
54,-9.53917230018494,1.17666807732645,-0.516631468972076,0,0,0
55,-9.56149608212973,1.16356222214063,-0.534670936033348,0,0,0
56,-9.56867867264391,1.17697999843299,-0.543812043560874,0,0,0
57,-9.57015784811278,1.18023606596951,-0.53842253540331,0,0,0
58,-9.56408477054952,1.19301127952225,-0.51869650218595,0,0,0
59,-9.55724237534562,1.1975866702058,-0.511735984370178,0,0,0
60,-9.55286861622465,1.1950357537706,-0.4803110550396,0,0,0
61,-9.55962728170281,1.21351729406183,-0.470903509979148,0,0,0
62,-9.55542067159855,1.22223633772043,-0.464334314491786,0,0,0
63,-9.55519287423842,1.22711521796576,-0.454916956636841,0,0,0
64,-9.55754131787807,1.21325896127415,-0.446255087107061,0,0,0
65,-9.55984874421397,1.19716137295822,-0.444366429817374,0,0,0
66,-9.56718017824009,1.19444627557712,-0.451426336225058,0,0,0
67,-9.56681145412513,1.19708657051688,-0.453493219219322,0,0,0
68,-9.57299834820912,1.18410133378295,-0.459959214413336,0,0,0
69,-9.57287670807827,1.17737411970816,-0.478020391030624,0,0,0
70,-9.57036066685926,1.17078148719379,-0.473303661761354,0,0,0
71,-9.5711943972812,1.16531985706219,-0.483012205624486,0,0,0
72,-9.5654758284473,1.14823220058394,-0.484575532913231,0,0,0
73,-9.56344269057515,1.1525050529755,-0.491551358990339,0,0,0
74,-9.56344374384773,1.14332452187116,-0.500770041715811,0,0,0
75,-9.56346178464281,1.15478239906883,-0.518656171937748,0,0,0
76,-9.56131911546905,1.16148715072056,-0.514147676538578,0,0,0
77,-9.56585553605947,1.1730067722319,-0.520738182966845,0,0,0
78,-9.56329449697736,1.17335798452366,-0.518093027155516,0,0,0
79,-9.56383263498141,1.17726282870123,-0.511904285468194,0,0,0
80,-9.55935821476413,1.17943807310925,-0.511909579692103,0,0,0
81,-9.56685044692079,1.17651612090186,-0.507870985245232,0,0,0
82,-9.56847078589504,1.17487572598008,-0.496283255216806,0,0,0
83,-9.5796467064386,1.18896630907916,-0.518487489443558,0,0,0
84,-9.57161220326554,1.19234016387539,-0.516918850041896,0,0,0
85,-9.55499708362176,1.19753323705511,-0.495927702972018,0,0,0
86,-9.53941017202318,1.19931034695263,-0.478066028628799,0,0,0
87,-9.53721570434868,1.1923034596513,-0.451151910841379,0,0,0
88,-9.54180006839753,1.19687446664867,-0.451153733693635,0,0,0
89,-9.5483813864219,1.20410256661967,-0.432700233589947,0,0,0
90,-9.56192041999084,1.20431357668377,-0.423657329560342,0,0,0
91,-9.56230109182225,1.21759888599033,-0.412572833552609,0,0,0
92,-9.57149329174385,1.22901114220511,-0.432905682112479,0,0,0
93,-9.56975996974991,1.22613832995326,-0.431034185676388,0,0,0
94,-9.56724352033517,1.21036764450111,-0.43779466929727,0,0,0
95,-9.56653913465943,1.19277891409006,-0.448874379939664,0,0,0
96,-9.57100413707415,1.16549524422112,-0.464846816845204,0,0,0
97,-9.56646372186149,1.16316109369636,-0.453554651346203,0,0,0
98,-9.57978768488576,1.16358798318954,-0.464741573006102,0,0,0
99,-9.57276929492799,1.1614448465565,-0.484973405159411,0,0,0
100,-9.56623397500875,1.16340079607318,-0.496369911327843,0,0,0
101,-9.56387179503082,1.17032854268783,-0.518866820486379,0,0,0
102,-9.55025840136981,1.17480067833527,-0.518686288814724,0,0,0
103,-9.55955096818667,1.17007961652005,-0.53703514752579,0,0,0
104,-9.56632819246001,1.18388875110841,-0.548240598251346,0,0,0
105,-9.56695928803262,1.19698011830423,-0.537156327587236,0,0,0
106,-9.56620152262262,1.19552781062126,-0.552381391405878,0,0,0
107,-9.55029057103915,1.20690265207257,-0.549756804648612,0,0,0
108,-9.54892997499346,1.21037784508397,-0.541602236206833,0,0,0
109,-9.55329967412659,1.2243434569464,-0.550356533982293,0,0,0
110,-9.55079725942145,1.22690820907688,-0.513835705911699,0,0,0
111,-9.54924508224562,1.22833199724002,-0.507743101323321,0,0,0
112,-9.55168677571127,1.23960766905881,-0.503236420296037,0,0,0
113,-9.55754078738605,1.23392693349957,-0.482024978000544,0,0,0
114,-9.55141554894597,1.22158204572103,-0.469339327898239,0,0,0
115,-9.54873717619723,1.21742837592749,-0.460010870136481,0,0,0
116,-9.54426319719224,1.22878218379668,-0.448538993936215,0,0,0
117,-9.55803484754238,1.23328573538713,-0.430660655701678,0,0,0
118,-9.55529645416318,1.22238410412249,-0.418969673416337,0,0,0
119,-9.56425948203152,1.20883119376205,-0.407850871067355,0,0,0
120,-9.57041064782754,1.20972525032038,-0.409329263528507,0,0,0
121,-9.58671177411372,1.19326210980411,-0.408013593869652,0,0,0
122,-9.59689454067707,1.1649997168839,-0.413975280163095,0,0,0
123,-9.59743791543254,1.15053872953093,-0.421706386408223,0,0,0
124,-9.59728694317613,1.14155088935828,-0.428472513420404,0,0,0
125,-9.57885610553548,1.12798074999675,-0.448602838865307,0,0,0
126,-9.57462136972598,1.12303007519598,-0.457926169937887,0,0,0
127,-9.56528000472534,1.11634296350906,-0.469120569142181,0,0,0
128,-9.553524755232,1.12595062823727,-0.484171094056124,0,0,0
129,-9.56497244984766,1.13739980314371,-0.504502425262007,0,0,0
130,-9.54752646715878,1.14553007194391,-0.518656908964871,0,0,0
131,-9.55197979748477,1.16174704017349,-0.529575173308527,0,0,0
132,-9.55474941428418,1.18408589085229,-0.538825626436177,0,0,0
133,-9.5545113722678,1.18898107849203,-0.545217842740998,0,0,0
134,-9.56867135922944,1.17699191029661,-0.555104748107759,0,0,0
135,-9.57047889289957,1.20048947222551,-0.551995069560751,0,0,0
136,-9.56600741505268,1.20265998473694,-0.547483302961516,0,0,0
137,-9.56859568622804,1.22293108859815,-0.542986132808858,0,0,0
138,-9.56687035011858,1.24517003409597,-0.527395653686451,0,0,0
139,-9.56994364730865,1.25340605051196,-0.514531671456828,0,0,0
140,-9.5632473975368,1.25779801702689,-0.519057880760099,0,0,0
141,-9.56741433090011,1.24906429099059,-0.512172775583088,0,0,0
142,-9.56001034222365,1.24746596083542,-0.49107187318266,0,0,0
143,-9.56311652519675,1.23506107811338,-0.467184745914871,0,0,0
144,-9.5586259198416,1.23495421132987,-0.435568065689923,0,0,0
145,-9.55579497708484,1.22404423300937,-0.417295354204211,0,0,0
146,-9.5553204654935,1.20398654057618,-0.403528835271958,0,0,0
147,-9.55529259534476,1.20172348869265,-0.389975242614483,0,0,0
148,-9.55055520081751,1.20652625283247,-0.378302403161694,0,0,0
149,-9.54172713781423,1.19924704411688,-0.38320602567108,0,0,0
150,-9.54833209416438,1.18120777337656,-0.417254662228354,0,0,0
151,-9.52977228739785,1.15861421124505,-0.410273068276125,0,0,0
152,-9.54966501606343,1.14339398460151,-0.40553230301726,0,0,0
153,-9.56562144163965,1.13425431985054,-0.394607767188879,0,0,0
154,-9.56962806098081,1.13267593057842,-0.405313356202772,0,0,0
155,-9.57397391258561,1.13296348365432,-0.423184741524208,0,0,0
156,-9.58354054975566,1.14849290016331,-0.452944360852869,0,0,0
157,-9.57215987296411,1.13237276018224,-0.45312903981492,0,0,0
158,-9.56781371964296,1.12067821617853,-0.464703803116607,0,0,0
159,-9.56083970989587,1.12994974881743,-0.462168118948255,0,0,0
160,-9.56580300059303,1.13640167021646,-0.482790197735867,0,0,0
161,-9.56359764146721,1.15230759730279,-0.489486837079264,0,0,0
162,-9.56376624491658,1.16357515511315,-0.512084086981554,0,0,0
163,-9.5689685483951,1.1812591226371,-0.52132845927536,0,0,0
164,-9.56204765202464,1.20646945130008,-0.52097073403437,0,0,0
165,-9.57191158204237,1.22403595085186,-0.534923330711941,0,0,0
166,-9.56938157652985,1.24259081476623,-0.550365286425334,0,0,0
167,-9.57568330595405,1.24329476434969,-0.556554284197766,0,0,0
168,-9.58695508014833,1.24348807628891,-0.56558110127717,0,0,0
169,-9.59834811694466,1.24122994949365,-0.568024041331644,0,0,0
170,-9.59209627356755,1.24275334479811,-0.541510592843587,0,0,0
171,-9.57607480451553,1.23589525243611,-0.493890368663435,0,0,0
172,-9.56241549777754,1.22664632878785,-0.46227013075253,0,0,0
173,-9.55112802640849,1.23565781806885,-0.466610005236333,0,0,0
174,-9.55093937807619,1.2336021352089,-0.464155107629801,0,0,0
175,-9.54686229381625,1.23067679994914,-0.448927858362905,0,0,0
176,-9.54447085269202,1.23080690844307,-0.421632902043286,0,0,0
177,-9.55336206157476,1.21275421274445,-0.408250798104983,0,0,0
178,-9.55558095149329,1.21054222260104,-0.408246964818927,0,0,0
179,-9.54669768159295,1.20568637982502,-0.392535252430408,0,0,0
180,-9.55284987081502,1.19962851305515,-0.385263340005466,0,0,0
181,-9.57070755221061,1.17950512022683,-0.401233976016726,0,0,0
182,-9.56586520701509,1.15919517026584,-0.403474083280212,0,0,0
183,-9.55890513743417,1.14785778857672,-0.41927636123198,0,0,0
184,-9.55918727718413,1.14297090151802,-0.41956255210247,0,0,0
185,-9.55673710587631,1.14311657464725,-0.408174333206201,0,0,0
186,-9.56373938854773,1.14528600381304,-0.412786379855494,0,0,0
187,-9.56847737027674,1.14743295090442,-0.430951154014613,0,0,0
188,-9.57527807012983,1.16351208737198,-0.462485953960212,0,0,0
189,-9.57104927787731,1.15632261763305,-0.480744171233744,0,0,0
190,-9.56596059812805,1.16827358385127,-0.482532357774989,0,0,0
191,-9.56155613108727,1.16577285103349,-0.498536687394513,0,0,0
192,-9.54834209948939,1.17209215667639,-0.487356924522857,0,0,0
193,-9.54577761805768,1.16549887769645,-0.48273714221898,0,0,0
194,-9.55748705638975,1.16755678198272,-0.496477556871535,0,0,0
195,-9.55209705062264,1.1684814664914,-0.518289627876843,0,0,0
196,-9.54843448492293,1.17886695305418,-0.51446653246931,0,0,0
197,-9.54938803349972,1.21220864174543,-0.514696265186865,0,0,0
198,-9.55105730502465,1.22428525899884,-0.530031164475577,0,0,0
199,-9.56288716946025,1.24901698371095,-0.537019624377029,0,0,0
200,-9.56969188610917,1.2513736181944,-0.534759075131046,0,0,0
201,-9.58364366461244,1.25118061232666,-0.512359063976934,0,0,0
202,-9.58324012467349,1.26074900385062,-0.500687692066804,0,0,0
203,-9.58629345407294,1.27365935512688,-0.469469009250496,0,0,0
204,-9.58362630969157,1.260308474688,-0.453549418347114,0,0,0
205,-9.58275925642014,1.22921398431579,-0.45096667119147,0,0,0
206,-9.58747302751133,1.20619624042466,-0.433259690216027,0,0,0
207,-9.57399808326442,1.19678143650457,-0.42883887470324,0,0,0
208,-9.57114661559797,1.18590449225627,-0.442185731085735,0,0,0
209,-9.57168651868321,1.18081154192167,-0.431179271082881,0,0,0
210,-9.56915279707564,1.17647664164508,-0.435596080989444,0,0,0
211,-9.56898163396048,1.17892939677358,-0.44453562471875,0,0,0
212,-9.56646225917724,1.16316347607129,-0.455813194352774,0,0,0
213,-9.56650446929559,1.15399562499179,-0.476227630575076,0,0,0
214,-9.56614276526681,1.1452165578947,-0.496447989805505,0,0,0
215,-9.55219100859099,1.14540854426812,-0.518848029219187,0,0,0
216,-9.53842957912481,1.14088791243333,-0.520916544657514,0,0,0
217,-9.53925989580933,1.16973451178195,-0.523497050455222,0,0,0
218,-9.53464258196744,1.1834955299708,-0.478052343912378,0,0,0
219,-9.56251117911371,1.19911244713665,-0.496507847669198,0,0,0
220,-9.56916823317915,1.20619212466721,-0.523516015856837,0,0,0
221,-9.58030993701349,1.21107995880373,-0.534709068071569,0,0,0
222,-9.58274431520509,1.22236759669814,-0.541495085358614,0,0,0
223,-9.5951670544177,1.24199892725965,-0.530604790932219,0,0,0
224,-9.60178243445115,1.28337066717598,-0.534771835096839,0,0,0
225,-9.60955432169001,1.33276287978578,-0.539433817682828,0,0,0
226,-9.63443333465793,1.36056969373,-0.563998963838259,0,0,0
227,-9.62833724537653,1.36892228616593,-0.61634764586832,0,0,0
228,-9.62807372275903,1.36690947409953,-0.654643301776748,0,0,0
229,-9.64302936773257,1.34750594630707,-0.645092049556491,0,0,0
230,-9.6442335293673,1.27313054577268,-0.638430848457862,0,0,0
231,-9.64584073613048,1.2211837724086,-0.575329889146275,0,0,0
232,-9.65061007958409,1.1730326286508,-0.54866020930571,0,0,0
233,-9.62417732201907,1.12163763457529,-0.50306247528242,0,0,0
234,-9.62366302956852,1.10156455649182,-0.475841594907022,0,0,0
235,-9.58118747077375,1.12333220649259,-0.455566226827611,0,0,0
236,-9.55695229482896,1.14520908686393,-0.444410335382004,0,0,0
237,-9.55898623937061,1.16382995737938,-0.45297703769625,0,0,0
238,-9.51894615670457,1.18770477810037,-0.448706337849893,0,0,0
239,-9.53361677622008,1.21192275553579,-0.487603950488809,0,0,0
240,-9.56786474168034,1.23719090559127,-0.469539771168322,0,0,0
241,-9.62376169608951,1.247741608222,-0.518909496414445,0,0,0
242,-9.66699863941752,1.29156955494507,-0.529831404383743,0,0,0
243,-9.70549630489001,1.29199868257123,-0.530000620017753,0,0,0
244,-9.71936078297971,1.31245565906364,-0.527754669041531,0,0,0
245,-9.7247728723226,1.34356809243899,-0.478388194989283,0,0,0
246,-9.71649354477555,1.36325461808053,-0.465058197861998,0,0,0
247,-9.67201688980512,1.44875214255769,-0.462433959146922,0,0,0
248,-9.64632878662808,1.48807072300809,-0.526218515611055,0,0,0
249,-9.63997616155336,1.4190360549938,-0.679437285562648,0,0,0
250,-9.80527043700812,1.19494573187017,-0.941078610063275,0,0,0
251,-10.0140669273597,1.24497801253534,-0.767281151417276,0,0,0
252,-10.0919917838054,1.3225650770818,-0.469087431341813,0,0,0
253,-10.0962078097158,1.31375061133511,-0.385412053391569,0,0,0
254,-10.0771540055823,1.24367451344541,-0.502891278510433,0,0,0
255,-10.0159131226431,1.37328171259817,-0.51652395159137,0,0,0
256,-10.0130858767168,1.36252433612485,-0.640344877906562,0,0,0
257,-10.0594278860523,1.26594643764961,-0.577458539420254,0,0,0
258,-10.0809710563132,1.15987353531863,-0.419525523263392,0,0,0
259,-10.0881788458319,1.2440793894183,-0.34223677806138,0,0,0
260,-10.1406918838315,1.25114074986529,-0.394544487722106,0,0,0
261,-10.2302755012489,1.22812214113207,-0.444050892750906,0,0,0
262,-10.0969152773452,1.21473768358412,-0.285930501057504,0,0,0
263,-10.1355659406772,1.08943745669727,-0.439448996110438,0,0,0
264,-10.1140518740093,1.12458026897442,-0.362905038638396,0,0,0
265,-9.89046698918124,1.09832317121529,-0.238805967308924,0,0,0
266,-9.95945500042751,1.07301131010222,-0.376309569256045,0,0,0
267,-9.86907199372156,1.06935999527779,-0.256566131061726,0,0,0
268,-9.97475381041718,1.06233243551221,-0.299206376554311,0,0,0
269,-9.74662510357203,1.13424306821274,-0.0965547689613642,0,0,0
270,-9.90359510926788,1.014561725743,-0.307654452168421,0,0,0
271,-10.2632893664267,1.04198259332162,-0.181743102174608,0,0,0
272,-9.99115453902061,1.09154661448594,0.148156701771469,0,0,0
273,-9.93264191480069,1.1932370135214,0.129360019914849,0,0,0
274,-9.88956343941635,1.08773432940749,0.0622690169860629,0,0,0
275,-10.1872645846777,1.1839529721443,0.0775928502510555,0,0,0
276,-9.82780776736765,1.0258083560023,0.267820276425223,0,0,0
277,-9.81518850307637,0.919425473018581,0.380464788086775,0,0,0
278,-9.7273102928348,0.906443068312686,0.486474851902388,0,0,0
279,-9.91233206645467,0.91858071155151,0.364623949820454,0,0,0
280,-10.0010334594855,0.997053412172504,0.365082969629398,0,0,0
281,-9.90966663378646,1.2069676861853,0.480176986462769,0,0,0
282,-9.73386112855774,1.30898110088625,0.472498956755062,0,0,0
283,-9.77623042350215,1.31946144169803,0.283282713941922,0,0,0
284,-9.88384041822007,1.25776668314954,0.380149840711959,0,0,0
285,-9.78617392079728,1.35735153031745,0.74398928923485,0,0,0
286,-9.82901846293785,1.28946055496059,0.700406463904236,0,0,0
287,-9.81768339478177,1.20020571399247,0.642157284858528,0,0,0
288,-9.7904407400049,1.05827491430263,0.689912908499733,0,0,0
289,-9.73644047414226,0.890391389066008,0.737099429647701,0,0,0
290,-9.74950436511984,0.747074612805513,0.775848473242798,0,0,0
291,-9.77759341078618,0.64364764293823,0.850316755298024,0,0,0
292,-9.79948612031914,0.598926354299641,0.958788875612544,0,0,0
293,-9.83025732324759,0.559064869829356,1.04477229466185,0,0,0
294,-9.83861089167355,0.52784471017863,1.11718022290797,0,0,0
295,-9.81378097724882,0.500046774210203,1.14184546833999,0,0,0
296,-9.81814987369279,0.477406190060342,1.17565474993925,0,0,0
297,-9.81347896062013,0.466050987087014,1.21180041133761,0,0,0
298,-9.81832108629143,0.47943572562566,1.3834385271639,0,0,0
299,-9.85631608779793,0.478044010246969,1.52594444394723,0,0,0
300,-9.86055726318738,0.471493308621258,1.59154729166834,0,0,0
301,-9.89886494341645,0.442445408745198,1.64561775494227,0,0,0
302,-9.8641768913637,0.410691038983934,1.74293636755901,0,0,0
303,-9.84858881382086,0.403320449760556,1.9099703031193,0,0,0
304,-9.88183677135497,0.376984682221442,1.99819852611677,0,0,0
305,-9.8649529861582,0.318431941501673,2.0165099843903,0,0,0
306,-9.90168425730238,0.256806871693874,2.0625385826381,0,0,0
307,-9.96491397421989,0.230192868611864,2.14334025250028,0,0,0
308,-9.96623992582522,0.180897049248603,2.19101466418608,0,0,0
309,-9.96105150869272,0.149547512725178,2.17542677408913,0,0,0
310,-9.91637969509061,0.136798281507188,2.18367738662702,0,0,0
311,-9.78112966778565,0.164287894777254,2.28802600109535,0,0,0
312,-9.62595492750964,0.165744721237982,2.40498147816679,0,0,0
313,-9.51316356030533,0.161622396396957,2.43878885484995,0,0,0
314,-9.44324888462334,0.151297639546061,2.43856175355033,0,0,0
