Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.5626927131468,-0.843259385115829,-0.703720213813551,0,0,0
1,-9.56411326752137,-0.856597314181951,-0.705525295131155,0,0,0
2,-9.57112044555613,-0.854277462477276,-0.705669159472313,0,0,0
3,-9.56594858803851,-0.870024797433105,-0.698588539750207,0,0,0
4,-9.55970290500932,-0.863468655556325,-0.696633377832393,0,0,0
5,-9.56096675840843,-0.860973586213963,-0.704938517673807,0,0,0
6,-9.56166791883099,-0.881432457930169,-0.692096135435791,0,0,0
7,-9.57720036230494,-0.872109582893495,-0.680511709722006,0,0,0
8,-9.5734101479621,-0.865549357789108,-0.685476103428249,0,0,0
9,-9.56198251853904,-0.849909435604813,-0.682949913314138,0,0,0
10,-9.56432667014338,-0.831836800390777,-0.682821585300327,0,0,0
11,-9.57506475735127,-0.827036346603527,-0.680123084613158,0,0,0
12,-9.58055825323694,-0.829407674309646,-0.685363835882929,0,0,0
13,-9.57723569118755,-0.845042904696523,-0.673473318065838,0,0,0
14,-9.58629287808912,-0.856207183950616,-0.651017532381478,0,0,0
15,-9.58009402785487,-0.872232748182888,-0.642554994105417,0,0,0
16,-9.57979210630651,-0.865399915690404,-0.646787275652398,0,0,0
17,-9.57537019557564,-0.847437617531265,-0.646663363549247,0,0,0
18,-9.56720711334904,-0.831939112503907,-0.665190478965475,0,0,0
19,-9.56662598770261,-0.829562462236194,-0.671530527110298,0,0,0
20,-9.57106336391835,-0.83398794637306,-0.671522859203812,0,0,0
21,-9.57644103670823,-0.843097867097249,-0.685790084479741,0,0,0
22,-9.57100245239759,-0.849760038854589,-0.685202466281391,0,0,0
23,-9.56847078031013,-0.854258249777142,-0.682794932225127,0,0,0
24,-9.56199783995267,-0.86118719237278,-0.692117493544508,0,0,0
25,-9.55755021390399,-0.856745076269698,-0.707933949513584,0,0,0
26,-9.56831683434652,-0.863244321312532,-0.694077410169735,0,0,0
27,-9.56852569222088,-0.863291319088065,-0.687448084485472,0,0,0
