Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.16471920117983,0.567104507465487,-2.93413453879239,0,0,0
1,-9.1605985209279,0.561948929424648,-2.92794610856453,0,0,0
2,-9.14966244773045,0.563631993368177,-2.93060683377297,0,0,0
3,-9.16041234326079,0.550708603364428,-2.93245121811758,0,0,0
4,-9.16232006341768,0.558066784639866,-2.92960954878433,0,0,0
5,-9.16698404031722,0.557948042501654,-2.92980290665622,0,0,0
6,-9.1663078820758,0.545025608049169,-2.92468288085497,0,0,0
7,-9.15538359509651,0.546689824110528,-2.90927574722462,0,0,0
8,-9.15384879961378,0.552633688032373,-2.91232785994879,0,0,0
9,-9.16454325937256,0.555847342441747,-2.92283027495529,0,0,0
10,-9.1646127754762,0.551173696745754,-2.93883117829424,0,0,0
11,-9.15126677068599,0.553014738688185,-2.94355557323922,0,0,0
12,-9.16257781867069,0.555452309871652,-2.94806761004483,0,0,0
13,-9.16249427884463,0.550970928081,-2.96387225473325,0,0,0
14,-9.15150101456144,0.548129887985048,-2.94168492580813,0,0,0
15,-9.15578853199622,0.543892802464233,-2.93696399472621,0,0,0
16,-9.15402386748513,0.55471428357175,-2.93511140267066,0,0,0
17,-9.1562901756289,0.545555716927366,-2.92852125898371,0,0,0
18,-9.16022410336156,0.548649408881924,-2.92999407868611,0,0,0
19,-9.17107741939446,0.551661258760192,-2.93165878592621,0,0,0
20,-9.15838907670871,0.554968118110706,-2.9236197532028,0,0,0
21,-9.17618683241671,0.560166136307282,-2.94354662147998,0,0,0
22,-9.16284960025827,0.561992831928385,-2.93472010682605,0,0,0
23,-9.15345126965374,0.557727509690339,-2.92981167194767,0,0,0
24,-9.15338674386673,0.553215136138652,-2.91625603348956,0,0,0
25,-9.15583336478851,0.55530630863672,-2.91419472841883,0,0,0
26,-9.15773876863615,0.553490407782828,-2.92509076500975,0,0,0
27,-9.15390454842156,0.557160290412299,-2.93943446696485,0,0,0
28,-9.16128901991562,0.556492056594789,-2.93118125689386,0,0,0
29,-9.16054044643292,0.54824832258759,-2.91457722050483,0,0,0
30,-9.16043282032694,0.55067525095152,-2.90083240876493,0,0,0
31,-9.16504846117714,0.54832659842822,-2.91909127568938,0,0,0
32,-9.15555135224937,0.548782399649618,-2.94335161353253,0,0,0
33,-9.16736699325067,0.552878044823941,-2.93490397942056,0,0,0
34,-9.16713856218831,0.55775340907217,-2.92774070236499,0,0,0
35,-9.16259390777915,0.555426104428702,-2.92322428290832,0,0,0
36,-9.15781412725095,0.548807243564253,-2.93205774171091,0,0,0
37,-9.16013850274981,0.553349225652143,-2.93883647272327,0,0,0
38,-9.1625478810638,0.562370228940753,-2.92755209156254,0,0,0
39,-9.15524905991986,0.558338648091527,-2.92696289733159,0,0,0
