Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.55282243544345,-0.119999417295108,-1.18883376481753,0,0,0
1,-9.55841056861937,-0.115983617913187,-1.1916790426182,0,0,0
2,-9.53941361502113,-0.127077451573688,-1.21382671975775,0,0,0
3,-9.54940608264996,-0.129737235395216,-1.21214474761967,0,0,0
4,-9.53479028171674,-0.118007164743738,-1.22498612350299,0,0,0
5,-9.53952645162237,-0.12033763653774,-1.20931654353613,0,0,0
6,-9.55150574605826,-0.125100833245045,-1.17812202638113,0,0,0
7,-9.54814315495691,-0.147223717819014,-1.15733338549817,0,0,0
8,-9.53612342517958,-0.162895650370831,-1.12992804648795,0,0,0
9,-9.53609556428118,-0.165158160283856,-1.11637382524472,0,0,0
10,-9.51830292992467,-0.163285740445183,-1.17074146683783,0,0,0
11,-9.52142093338408,-0.125149537247854,-1.18899567623594,0,0,0
12,-9.53661758648538,-0.0996195609990065,-1.1748749136022,0,0,0
13,-9.55558511028091,-0.0907860360524229,-1.14143161987617,0,0,0
14,-9.54403650395641,-0.0907996078684822,-1.17065510922342,0,0,0
15,-9.5575484565386,-0.120005445112703,-1.24544318767551,0,0,0
16,-9.5751284843051,-0.164840336305925,-1.22068519112158,0,0,0
17,-9.54236512342533,-0.180663248416236,-1.10039622994889,0,0,0
18,-9.49921636482156,-0.215235622851753,-1.08924132313151,0,0,0
19,-9.48236147027269,-0.234308681654869,-1.1262491600153,0,0,0
20,-9.48668178342687,-0.229578838490332,-1.14643270632166,0,0,0
21,-9.4939309620605,-0.200252001072774,-1.13742454759262,0,0,0
22,-9.50780972332024,-0.148052946062887,-1.13040208123198,0,0,0
23,-9.51360723806203,-0.130531149648518,-1.14907197200179,0,0,0
24,-9.52812140277285,-0.113661535299067,-1.18659830770507,0,0,0
25,-9.57281869608117,-0.137635160691105,-1.20687079075296,0,0,0
26,-9.58465448126261,-0.151395572536403,-1.17114950911038,0,0,0
27,-9.5712060260761,-0.163024471926984,-1.14418877669334,0,0,0
28,-9.52754751089517,-0.165537712662488,-1.15958620627644,0,0,0
29,-9.51487256253402,-0.159423302870117,-1.16681656642754,0,0,0
30,-9.52526803776035,-0.120188510594816,-1.16371386221828,0,0,0
31,-9.55743275461886,-0.0995862096688145,-1.15708500649189,0,0,0
32,-9.58287367575489,-0.0927419006928159,-1.13252328925959,0,0,0
33,-9.57142234926377,-0.104183339554489,-1.11670821511881,0,0,0
34,-9.55419156349702,-0.14675368342012,-1.10268314144733,0,0,0
35,-9.53892688954448,-0.163210553787634,-1.06020085910542,0,0,0
36,-9.52042741540006,-0.160997664112017,-1.04185362399029,0,0,0
37,-9.52149526044346,-0.157040293610658,-1.05825317611872,0,0,0
38,-9.54153515515794,-0.124784449421624,-1.08945600478208,0,0,0
39,-9.54146780020949,-0.126982621504969,-1.13688515010805,0,0,0
40,-9.5452012102268,-0.142337557596582,-1.16593563449192,0,0,0
41,-9.5391943411182,-0.158760172498718,-1.14843895104327,0,0,0
42,-9.55240389895993,-0.162897083168857,-1.14827927797511,0,0,0
43,-9.55061782011181,-0.149581265055865,-1.15069978083989,0,0,0
