Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.74193280296834,-1.01329078829272,-0.490558023386158,0,0,0
1,-9.76390993478378,-1.01441807246285,-0.501753254016674,0,0,0
2,-9.7851532142415,-1.01328435804469,-0.506248933727373,0,0,0
3,-9.79668658648514,-1.00785304820924,-0.537506390028655,0,0,0
4,-9.80505886418673,-1.00467187154787,-0.549418676702937,0,0,0
5,-9.79933556283013,-0.994336278342788,-0.528566969447485,0,0,0
6,-9.79561656348818,-0.987581716012787,-0.544919430664281,0,0,0
7,-9.78799077339445,-0.997619126187122,-0.559799369935898,0,0,0
8,-9.79421201594404,-0.991513138855402,-0.553106248840754,0,0,0
9,-9.79489532611267,-0.996028287475371,-0.550881087059064,0,0,0
10,-9.80901700921068,-1.00549462169545,-0.588855871480253,0,0,0
11,-9.83168659615218,-1.01878566914072,-0.611971013744649,0,0,0
12,-9.84350269262132,-1.03438153146481,-0.626143693934141,0,0,0
13,-9.8564154467662,-1.03951756165201,-0.641793747896091,0,0,0
14,-9.86479348366188,-1.04245300660917,-0.649994382060369,0,0,0
15,-9.86791979486477,-1.02948071740678,-0.677508606088706,0,0,0
16,-9.87132423033004,-1.0098376077471,-0.707991562762674,0,0,0
17,-9.87408136648421,-0.996402979569665,-0.733274748551055,0,0,0
18,-9.88787487341667,-0.987863336536355,-0.755604206840677,0,0,0
19,-9.88711371868697,-0.984820506478553,-0.793540156635147,0,0,0
20,-9.88722052876893,-0.983374796653041,-0.846359118597472,0,0,0
21,-9.89076182696084,-0.993057157692533,-0.887293042718311,0,0,0
22,-9.89997068590071,-0.999090040789818,-0.902195229537946,0,0,0
23,-9.89826319386699,-1.01043872875898,-0.934196208762281,0,0,0
24,-9.89796116655288,-1.02244263213876,-0.970663115862174,0,0,0
25,-9.899776158488,-1.02722253860911,-0.996712647490612,0,0,0
26,-9.89513796116572,-1.02189186119042,-1.03166277233174,0,0,0
27,-9.90432245860589,-1.02943436829094,-1.0465669849449,0,0,0
28,-9.91118762988845,-1.03545580640298,-1.05551361901197,0,0,0
