Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.5786515872546,1.14026789413125,-0.203459951795985,0,0,0
1,-9.56906799949238,1.13394472460784,-0.189326485036299,0,0,0
2,-9.57605537629619,1.13836746642772,-0.198554559217723,0,0,0
3,-9.57991671249057,1.12779055319886,-0.206992506465551,0,0,0
4,-9.58011271979133,1.12983504527135,-0.19815466543926,0,0,0
5,-9.57996758195893,1.12083667722068,-0.195886684384843,0,0,0
6,-9.57782896399837,1.11835599528266,-0.196079511238985,0,0,0
7,-9.57544681069282,1.12995890232625,-0.200222335432343,0,0,0
8,-9.58037723337905,1.12720563356145,-0.20757375353435,0,0,0
9,-9.58221029545809,1.13007393376978,-0.204734929729652,0,0,0
10,-9.5914967156619,1.12759153033247,-0.214148177717353,0,0,0
11,-9.57567027444799,1.12508763722704,-0.216414524018941,0,0,0
12,-9.57104394004262,1.12745570248531,-0.213967570412982,0,0,0
13,-9.57307115123659,1.12319180108896,-0.216026097783648,0,0,0
14,-9.57604619009366,1.12920279268206,-0.223582275732746,0,0,0
15,-9.57780304509809,1.1275778810265,-0.225255640629499,0,0,0
16,-9.58281263313202,1.12931306002812,-0.223577893049645,0,0,0
17,-9.58185638913247,1.12823155836144,-0.220154455055671,0,0,0
18,-9.57089044445955,1.12765067773954,-0.213773815453117,0,0,0
19,-9.58412355482744,1.12824925537081,-0.202085119890883,0,0,0
20,-9.5782840360232,1.12695961434788,-0.194217982965378,0,0,0
21,-9.58519960471304,1.126882061151,-0.201182834700284,0,0,0
22,-9.58473321441446,1.12747649861141,-0.209635575041947,0,0,0
23,-9.56822388855121,1.12124726211804,-0.204346712400518,0,0,0
24,-9.56849276119519,1.11861074604261,-0.206990320378293,0,0,0
25,-9.57568595332058,1.11588248380189,-0.203047822794679,0,0,0
26,-9.58010248123924,1.12985172150878,-0.213964099476298,0,0,0
27,-9.58045053291296,1.13170358301624,-0.207578498727402,0,0,0
28,-9.57379948500711,1.12915174294243,-0.210032755417301,0,0,0
29,-9.57326422534124,1.1252410793806,-0.211705246327811,0,0,0
30,-9.5959783300102,1.12540414452808,-0.202850419958195,0,0,0
31,-9.58470347842095,1.11603665372301,-0.209817463537654,0,0,0
32,-9.57860908721843,1.13802847042314,-0.21249157508434,0,0,0
33,-9.57567612505462,1.12507810793966,-0.207380553323286,0,0,0
34,-9.58432062693795,1.12111227791348,-0.202465489839384,0,0,0
35,-9.58240882696487,1.12293462479326,-0.202856812695063,0,0,0
36,-9.58954973985215,1.12716245186812,-0.212278653439959,0,0,0
37,-9.58481927833388,1.12277404860896,-0.200790602242801,0,0,0
38,-9.57537204744881,1.12546327007278,-0.202476078650121,0,0,0
39,-9.58285513333962,1.13155249459776,-0.214546278161515,0,0,0
40,-9.58045597927517,1.12251511866436,-0.210021254978971,0,0,0
41,-9.57781872543678,1.11837267153557,-0.211888959956381,0,0,0
42,-9.57495363147551,1.11910849966723,-0.204339957095683,0,0,0
43,-9.58435727723548,1.12336128519892,-0.202467862470258,0,0,0
44,-9.57735967447737,1.11895508435445,-0.209049214864665,0,0,0
45,-9.58443057783055,1.12785929976981,-0.202472607732005,0,0,0
46,-9.57766522051718,1.11856760137767,-0.211695206691483,0,0,0
47,-9.57790185651244,1.11367502945984,-0.207560978847781,0,0,0
48,-9.58034497157113,1.12494951186188,-0.200795896624501,0,0,0
49,-9.57104247739233,1.12745808480494,-0.216226060989702,0,0,0
50,-9.56703262248594,1.11986259642685,-0.221513894838037,0,0,0
51,-9.57376242435487,1.11772391088522,-0.22150713957597,0,0,0
52,-9.57361331174786,1.11791168822142,-0.214537886228521,0,0,0
53,-9.5823369897289,1.11843427131126,-0.200593574805198,0,0,0
54,-9.58018415078515,1.12515638396826,-0.2118946168895,0,0,0
55,-9.58015481409961,1.12289548677896,-0.200599780911956,0,0,0
56,-9.58232130388755,1.12763948072369,-0.213960265967846,0,0,0
57,-9.58185638913247,1.12823155836144,-0.220154455055671,0,0,0
58,-9.58243377569544,1.12520266894809,-0.220927126694347,0,0,0
59,-9.58258436065282,1.12501247316374,-0.225637878214099,0,0,0
60,-9.58495962802888,1.12260054185974,-0.221310817531746,0,0,0
61,-9.57820196091675,1.12247598055607,-0.207764219005036,0,0,0
62,-9.58294810994317,1.11765933561097,-0.20588555164973,0,0,0
63,-9.58049847948276,1.12475455323399,-0.20098964009084,0,0,0
64,-9.58535604402574,1.12668233083715,-0.196859576749757,0,0,0
65,-9.5805805545892,1.12923818702581,-0.187443404051183,0,0,0
66,-9.57618352029307,1.12672550852988,-0.192154682422887,0,0,0
67,-9.58260044983599,1.12498626759912,-0.200794435731914,0,0,0
68,-9.58010686919013,1.12984457454988,-0.207188627746139,0,0,0
69,-9.58034789687716,1.12494474721377,-0.196278907082285,0,0,0
70,-9.58004673280147,1.12532514080767,-0.186857467316813,0,0,0
71,-9.56673733979508,1.12023341030772,-0.203058411558078,0,0,0
72,-9.56869126149262,1.11147154505998,-0.205112207673943,0,0,0
73,-9.5664699328154,1.12286752208701,-0.19815631291515,0,0,0
74,-9.58477278966159,1.1297207195478,-0.205120962302095,0,0,0
75,-9.58706451802763,1.1228274806146,-0.216598604747968,0,0,0
76,-9.57850604742736,1.12209085519857,-0.21266872175801,0,0,0
77,-9.58271292294233,1.12254949212011,-0.207761297216302,0,0,0
78,-9.57356683555246,1.12485830324262,-0.218868237471124,0,0,0
79,-9.58029515792704,1.122721978051,-0.221119976967945,0,0,0
80,-9.58060071180779,1.12233446673815,-0.223766001000281,0,0,0
81,-9.58481196506881,1.12278596022925,-0.21208307609834,0,0,0
82,-9.57314549907742,1.11850838400011,-0.225249071929855,0,0,0
83,-9.58695164342072,1.11608532108053,-0.221108476500606,0,0,0
84,-9.58450786436608,1.12317109654695,-0.207178588109811,0,0,0
