Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.45587866554015,1.09328894508556,-1.41981693091936,0,0,0
1,-9.4769481198724,1.10654102023109,-1.43150144126907,0,0,0
2,-9.46277962169228,1.0932353936072,-1.44936843191705,0,0,0
3,-9.45604141916668,1.10456608661041,-1.45144830676691,0,0,0
4,-9.46752080872369,1.10678471129518,-1.43356997250839,0,0,0
5,-9.46279331281018,1.10239186331075,-1.41756350088999,0,0,0
6,-9.46097943653831,1.10644215434986,-1.39753562841342,0,0,0
7,-9.46008206625613,1.10293247776244,-1.41020474147062,0,0,0
8,-9.45798283062313,1.10269611522564,-1.4058840070598,0,0,0
9,-9.46050698407755,1.10009681953097,-1.40852844259067,0,0,0
10,-9.4539021011766,1.08837058490839,-1.42462352336404,0,0,0
11,-9.46704785564862,1.08672407286035,-1.41754397246083,0,0,0
12,-9.46277620986699,1.07952505029733,-1.42686673116787,0,0,0
13,-9.4692720760431,1.07532471825508,-1.41998406572004,0,0,0
14,-9.46259298048654,1.0682813704555,-1.42685486944465,0,0,0
15,-9.45163143736358,1.07464263229769,-1.42019158384026,0,0,0
16,-9.4641768377665,1.07829073946485,-1.43050249701482,0,0,0
17,-9.46941479024177,1.0935047201461,-1.41529109192028,0,0,0
18,-9.45577803870008,1.0957063017822,-1.39478054363518,0,0,0
19,-9.45656756325364,1.09941638648053,-1.38633661253978,0,0,0
20,-9.46028524367656,1.10496497460091,-1.39007519088141,0,0,0
21,-9.46062569884804,1.10682879834236,-1.39498433940336,0,0,0
22,-9.46069261015565,1.10215788865607,-1.41550130008864,0,0,0
23,-9.45793887065229,1.10045924766592,-1.41717429727237,0,0,0
24,-9.46925169319672,1.10289419212537,-1.41942789756029,0,0,0
25,-9.4692555603224,1.09370904354338,-1.4241303557291,0,0,0
26,-9.45392161419661,1.1020547657347,-1.42228129931508,0,0,0
27,-9.47153749845293,1.09601124522048,-1.43994100950625,0,0,0
28,-9.47769440907294,1.08771550032783,-1.44385950275794,0,0,0
29,-9.4691402907687,1.09615023635195,-1.42167931290957,0,0,0
30,-9.46516411068258,1.09998741993132,-1.42001308349698,0,0,0
31,-9.45778497093089,1.09147604196891,-1.42845747031361,0,0,0
32,-9.46486122684416,1.09119197867985,-1.42432578826906,0,0,0
33,-9.45410685302632,1.08817173975898,-1.4202043569059,0,0,0
34,-9.46271709499021,1.09789911269989,-1.42207582958488,0,0,0
35,-9.45591092372942,1.09554484986419,-1.42659491343187,0,0,0
36,-9.46035601111778,1.09110893594094,-1.41529456326547,0,0,0
37,-9.45402374026803,1.09509773383169,-1.40656231312295,0,0,0
38,-9.4596874129664,1.09884836559983,-1.43239552058503,0,0,0
39,-9.46275906513624,1.09096044071052,-1.42452213262694,0,0,0
40,-9.45838726399739,1.099893826492,-1.43582723797215,0,0,0
41,-9.45910269382254,1.106057565594,-1.4361281448779,0,0,0
42,-9.4648881596402,1.10263536920506,-1.42865983633346,0,0,0
43,-9.45824945587482,1.09088454498474,-1.42226651567469,0,0,0
44,-9.46505417252374,1.09324117946818,-1.42000596642871,0,0,0
45,-9.45812595624983,1.10251795234257,-1.42188861525929,0,0,0
46,-9.46553114316,1.09735042405769,-1.42020654157106,0,0,0
47,-9.46474742472883,1.09363076563505,-1.41961620834632,0,0,0
48,-9.46944704843104,1.09576062492473,-1.42206907443279,0,0,0
49,-9.46271855767039,1.09789673033159,-1.41981729286989,0,0,0
50,-9.46884325082412,1.08734511921902,-1.41695788223624,0,0,0
51,-9.46030819391212,1.09805717187782,-1.4218824095749,0,0,0
52,-9.46023490109879,1.09355963482499,-1.42187766481692,0,0,0
53,-9.46004634936842,1.09150326905671,-1.41942187930658,0,0,0
54,-9.46226084248018,1.08929839331253,-1.42619364355332,0,0,0
55,-9.45831397189149,1.0953963328499,-1.43582249325997,0,0,0
56,-9.45787089408201,1.08677419029159,-1.41961347398856,0,0,0
57,-9.46268044876041,1.09565035502616,-1.42207345721734,0,0,0
58,-9.47460565257857,1.08831323728812,-1.42480621423799,0,0,0
59,-9.45552944320322,1.09143928542562,-1.42845893123824,0,0,0
60,-9.46244115004287,1.10054705493577,-1.43072257054672,0,0,0
61,-9.4555675524642,1.09368568244084,-1.42620277110807,0,0,0
62,-9.46474011133472,1.09364267746549,-1.43090888143529,0,0,0
63,-9.45859494531299,1.09969016056777,-1.42689100413314,0,0,0
64,-9.46023490109879,1.09355963482499,-1.42187766481692,0,0,0
65,-9.46044892882349,1.10706177544783,-1.43092603756204,0,0,0
66,-9.46256372438773,1.09809392846589,-1.4218809486485,0,0,0
67,-9.45436044755245,1.10391758031862,-1.4247380492514,0,0,0
68,-9.45850012751931,1.10663530221412,-1.43131727741606,0,0,0
69,-9.46018708499265,1.1005079160286,-1.42846549895075,0,0,0
70,-9.45548602136706,1.09838044319516,-1.42827116189979,0,0,0
71,-9.45533650897333,1.08939004699136,-1.43277873313904,0,0,0
72,-9.45548987126477,1.08919527077427,-1.432973623889,0,0,0
73,-9.46244886994014,1.08217686793018,-1.440127516732,0,0,0
74,-9.46658187513997,1.08731789216716,-1.42599346485271,0,0,0
75,-9.45781191451535,1.10291954488056,-1.43279150662753,0,0,0
76,-9.46012110521292,1.09599844545102,-1.41716809156686,0,0,0
77,-9.45584401811931,1.10021575066547,-1.40607796148213,0,0,0
78,-9.45847372023712,1.10436987879948,-1.41550513337469,0,0,0
79,-9.45625336763706,1.10658425131341,-1.41776750547293,0,0,0
80,-9.45805412611533,1.09801803292366,-1.41962533588351,0,0,0
81,-9.45872202232171,1.09500095814016,-1.42924272406472,0,0,0
82,-9.46030473808619,1.08888400195021,-1.43787755804782,0,0,0
83,-9.46238049235441,1.08685008583383,-1.42186908675354,0,0,0
84,-9.46241128804579,1.08910838382459,-1.43090559760371,0,0,0
