Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.90989156632943,-0.470435890353661,-0.465599034387366,0,0,0
1,-9.90001152391751,-0.474418099275156,-0.469308335655966,0,0,0
2,-9.89175359862325,-0.469280787509102,-0.479704264784313,0,0,0
3,-9.8787095745306,-0.470155468807765,-0.477452485641818,0,0,0
4,-9.87804372265945,-0.461066282496402,-0.478927840059222,0,0,0
5,-9.87131962096558,-0.457444863396053,-0.478912896459926,0,0,0
6,-9.870614094755,-0.465146641022254,-0.48710545380606,0,0,0
7,-9.86198123935793,-0.47347634022351,-0.502724637900513,0,0,0
8,-9.86877429953749,-0.482504859955466,-0.496795371377046,0,0,0
9,-9.89001826757301,-0.483663054521392,-0.490134794812172,0,0,0
10,-9.90576024650373,-0.490880177252036,-0.499095723915231,0,0,0
11,-9.93136823105064,-0.498692006068532,-0.507329019484113,0,0,0
12,-9.94438620734909,-0.503148672836921,-0.51256343957046,0,0,0
13,-9.93996293097379,-0.502565008960658,-0.522227556951559,0,0,0
14,-9.92854323783662,-0.497380874674814,-0.524434500151459,0,0,0
15,-9.91048943478743,-0.503173439690886,-0.52292631071952,0,0,0
16,-9.90615381352515,-0.515811302660213,-0.52218996892621,0,0,0
17,-9.90630995538931,-0.516698613682256,-0.525167772023683,0,0,0
18,-9.90619327798563,-0.517371462379766,-0.528143823258102,0,0,0
19,-9.91308631149736,-0.512715559725058,-0.515501688823399,0,0,0
20,-9.92610080189909,-0.51258185581137,-0.506595040191125,0,0,0
21,-9.92933747473408,-0.510393809123873,-0.504366173567651,0,0,0
22,-9.93039924777572,-0.507715193059321,-0.502130835848005,0,0,0
23,-9.92244675398153,-0.499759847578313,-0.502109372575686,0,0,0
24,-9.91661732533552,-0.491644483347212,-0.50655419792526,0,0,0
25,-9.90440404856504,-0.484916767445541,-0.506525910244383,0,0,0
26,-9.89553075421662,-0.469965755924896,-0.507981188934113,0,0,0
27,-9.88332387224603,-0.470124444260131,-0.512425615547694,0,0,0
28,-9.87654800257044,-0.477931471517115,-0.52656039564627,0,0,0
29,-9.87687966739558,-0.486756714308603,-0.520619210860566,0,0,0
30,-9.87988751287563,-0.492034844422831,-0.519886788288473,0,0,0
31,-9.88515378409516,-0.494965355966161,-0.516922941677327,0,0,0
32,-9.89299595484858,-0.490446148911061,-0.520650113932843,0,0,0
33,-9.8976881081107,-0.4782430597677,-0.515434450403332,0,0,0
