Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.44114119166228,0.468633024279574,-1.73085295538074,0,0,0
1,-9.45456375539092,0.46211115072644,-1.73309570486282,0,0,0
2,-9.45241947606526,0.468816817519557,-1.73084565033935,0,0,0
3,-9.44049305817192,0.46696740732204,-1.7395904492301,0,0,0
4,-9.44803238838174,0.464062882923258,-1.73771793974076,0,0,0
5,-9.44746774419642,0.466877110447963,-1.730649778008,0,0,0
6,-9.44554697883372,0.461954586263061,-1.72406702454104,0,0,0
7,-9.44606359513836,0.468312535375886,-1.71975328015158,0,0,0
8,-9.44821373199438,0.461597403903765,-1.71296879780214,0,0,0
9,-9.44720281658818,0.462554872067602,-1.7147364496794,0,0,0
10,-9.44945700248775,0.462594013042467,-1.7169936134736,0,0,0
11,-9.44245738501296,0.460416917790448,-1.70786293554762,0,0,0
12,-9.44472733514067,0.449028302387726,-1.7147236793623,0,0,0
13,-9.45211644167246,0.462248731850046,-1.71718854947524,0,0,0
14,-9.44941890094874,0.460348093642642,-1.71924986638407,0,0,0
15,-9.44063482648528,0.462258340438833,-1.71935628280004,0,0,0
16,-9.44751462199141,0.469108724212351,-1.71484176162289,0,0,0
17,-9.45034077627384,0.466321692895677,-1.7128738855265,0,0,0
18,-9.45037887711085,0.468567568875921,-1.71061762418146,0,0,0
19,-9.45641999796264,0.462522797738148,-1.72612193645001,0,0,0
20,-9.45467737657569,0.443738376641379,-1.72875588711297,0,0,0
21,-9.4482433227224,0.450199137644391,-1.72662635338647,0,0,0
22,-9.44787883773934,0.466483118581336,-1.71955304505997,0,0,0
23,-9.44377568307644,0.46602038162389,-1.71297646348467,0,0,0
24,-9.45475572319477,0.473338202434288,-1.71955577759212,0,0,0
25,-9.45260998112782,0.480046251695253,-1.71956435415737,0,0,0
26,-9.44570084562506,0.47093575113577,-1.71278335650674,0,0,0
27,-9.45033931353118,0.466324075365737,-1.71513251871242,0,0,0
28,-9.45936780301593,0.466461580256607,-1.70609214192853,0,0,0
29,-9.45727740764978,0.463985539034802,-1.70618941973488,0,0,0
30,-9.45441312247301,0.464526623212024,-1.71041357335794,0,0,0
31,-9.45408260437836,0.469405288269251,-1.71022193273633,0,0,0
32,-9.45649912616682,0.467009849901161,-1.71709217262313,0,0,0
33,-9.45057784537932,0.468381287906458,-1.71523308756169,0,0,0
34,-9.45465019660502,0.466586247121782,-1.71277276876897,0,0,0
35,-9.44107522882634,0.464124573334359,-1.71955505623248,0,0,0
36,-9.45215308012053,0.464497012005716,-1.71719092133902,0,0,0
37,-9.45875477755155,0.467046608459596,-1.71709071161841,0,0,0
38,-9.45016820740856,0.468772911468016,-1.72407121808146,0,0,0
39,-9.44985786205992,0.462216738178102,-1.72170726846479,0,0,0
40,-9.45196842514023,0.453257993693,-1.71943769101167,0,0,0
41,-9.46077627268517,0.465018960088139,-1.71021280595417,0,0,0
42,-9.46783713192477,0.458002334364307,-1.71039769172762,0,0,0
43,-9.45463665519273,0.452898512169227,-1.70608083290338,0,0,0
44,-9.45647565218912,0.464740116721994,-1.6967621586989,0,0,0
