Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.2265694643672,-0.179117800602023,-3.31347563539038,0,0,0
1,-9.2273770090777,-0.179909772426125,-3.31719900977893,0,0,0
2,-9.22682259906162,-0.173970727271359,-3.31719348135007,0,0,0
3,-9.22879820130792,-0.179803222455908,-3.32314997150627,0,0,0
4,-9.22499384100109,-0.17986096036065,-3.32016823653172,0,0,0
5,-9.22509775065619,-0.180711643841235,-3.32537984287607,0,0,0
6,-9.2257828168241,-0.178342141095661,-3.32314338683798,0,0,0
7,-9.2227465260054,-0.178393952820371,-3.32537049669756,0,0,0
8,-9.22433432346099,-0.180721196748746,-3.3231468012468,0,0,0
9,-9.22810096105245,-0.179102321515985,-3.32091752308767,0,0,0
10,-9.22583623099615,-0.17762172123832,-3.31496051182608,0,0,0
11,-9.22823043530853,-0.176914572417567,-3.31124640700806,0,0,0
12,-9.22903914341578,-0.177707453658748,-3.31571373606156,0,0,0
13,-9.22966150053213,-0.176051097600264,-3.31570855259495,0,0,0
14,-9.22890793169523,-0.179129240736673,-3.31645650950983,0,0,0
15,-9.22905656663522,-0.17619187013179,-3.3112481803733,0,0,0
16,-9.2290786333635,-0.174679913321115,-3.30975843467813,0,0,0
17,-9.22898516608749,-0.17383734010506,-3.31124240383218,0,0,0
18,-9.22897413260288,-0.174593325909576,-3.31198727607185,0,0,0
19,-9.23220201674815,-0.176230255643372,-3.30976803356337,0,0,0
20,-9.22659387043701,-0.173782122142116,-3.30900397659386,0,0,0
21,-9.22673204286233,-0.172365814036708,-3.31272490892235,0,0,0
22,-9.22915587165236,-0.167091758996525,-3.31569934153341,0,0,0
23,-9.22821536479115,-0.170780996903166,-3.30826022235778,0,0,0
24,-9.23064440471007,-0.170868221937993,-3.30008482242834,0,0,0
25,-9.22898169879672,-0.170009107754553,-3.30454073011497,0,0,0
26,-9.22912974683051,-0.167835954278416,-3.30677283560961,0,0,0
27,-9.22912219603632,-0.168594656419428,-3.30974956472264,0,0,0
28,-9.22891549752766,-0.174545044779186,-3.30900996172918,0,0,0
29,-9.23277733806391,-0.174534681232195,-3.31422506164224,0,0,0
30,-9.22836918624297,-0.176263295604433,-3.32315174702549,0,0,0
31,-9.22962374232325,-0.18214091101227,-3.31943718445376,0,0,0
32,-9.22957903310695,-0.184399801642627,-3.31423228235943,0,0,0
33,-9.2266182196022,-0.18221920623342,-3.30678676437356,0,0,0
34,-9.22728412372599,-0.180599373118636,-3.30008753378891,0,0,0
35,-9.22857756503977,-0.188039198531418,-3.3023279561834,0,0,0
36,-9.22866116512558,-0.187342300908811,-3.31348780874272,0,0,0
37,-9.22582984095437,-0.178381337454198,-3.31868119005323,0,0,0
38,-9.22725276474963,-0.1813370346766,-3.32240548900979,0,0,0
39,-9.2258994906524,-0.181499070726765,-3.32538346277858,0,0,0
40,-9.22736308417834,-0.177602615440509,-3.31942659323193,0,0,0
41,-9.22657817616051,-0.178359997742031,-3.31124286030896,0,0,0
42,-9.22648586671654,-0.179814654253032,-3.30231577815316,0,0,0
43,-9.22969632959252,-0.179141652611435,-3.30009225719493,0,0,0
44,-9.22980491742572,-0.172345067096655,-3.29934002182073,0,0,0
45,-9.22888938820639,-0.171463723598517,-3.29561365068298,0,0,0
46,-9.23056369859076,-0.174628167025119,-3.28744223170425,0,0,0
47,-9.22826643805598,-0.176180569437877,-3.29190422943104,0,0,0
48,-9.23031693432658,-0.180544841320038,-3.2956285682891,0,0,0
49,-9.22954538562068,-0.1782517627985,-3.29934287629449,0,0,0
50,-9.22968877879834,-0.179900354752447,-3.30306898630796,0,0,0
51,-9.22893115538268,-0.179914441062038,-3.30455570470135,0,0,0
52,-9.22754072822139,-0.179280427130706,-3.31050704470195,0,0,0
53,-9.22821940188415,-0.177670554522494,-3.31199127955169,0,0,0
54,-9.23109313334979,-0.178248977214108,-3.31720007860664,0,0,0
55,-9.2311262207355,-0.179806499255321,-3.31943528424214,0,0,0
56,-9.22944494136669,-0.178932996110941,-3.31198795210404,0,0,0
57,-9.22812013117779,-0.176823472868351,-3.30975548840623,0,0,0
58,-9.22744320998535,-0.175373857599028,-3.31272977634095,0,0,0
59,-9.22884292145576,-0.176015096339329,-3.31273005196806,0,0,0
60,-9.22887252422405,-0.177569909473551,-3.31273340104485,0,0,0
61,-9.22886613418227,-0.178329525689429,-3.316454079272,0,0,0
62,-9.2289282480954,-0.18067676991783,-3.31050824257359,0,0,0
63,-9.22876278932186,-0.180540175430691,-3.30827186658582,0,0,0
64,-9.22880633801466,-0.178280355917712,-3.31273281307011,0,0,0
65,-9.22900025302529,-0.176145410681745,-3.30975876826086,0,0,0
66,-9.23039763804571,-0.179081121215441,-3.29711613256576,0,0,0
67,-9.22797382955321,-0.178233485151096,-3.30082690345491,0,0,0
68,-9.23037557107649,-0.180593092824473,-3.29860587704509,0,0,0
69,-9.23038080017986,-0.179832573628362,-3.29414124539877,0,0,0
70,-9.2287680140547,-0.182075926126059,-3.29265223075466,0,0,0
71,-9.23183913191011,-0.184347569283799,-3.30158865833263,0,0,0
72,-9.22658397437793,-0.180660804285046,-3.30380761028802,0,0,0
73,-9.22884754548933,-0.18214049045827,-3.30902067212984,0,0,0
74,-9.2289979171829,-0.179969042121263,-3.3127406871164,0,0,0
75,-9.22882142479007,-0.180588427422314,-3.3112491793505,0,0,0
76,-9.22883594096221,-0.179835157952038,-3.31273616213338,0,0,0
77,-9.23280578325453,-0.176088579314217,-3.31348445914097,0,0,0
78,-9.22897645435538,-0.174595139266215,-3.31347517983451,0,0,0
79,-9.23121564997002,-0.17375948990042,-3.31422026032938,0,0,0
80,-9.22885279418555,-0.175258196458067,-3.31124122907192,0,0,0
81,-9.23040053828201,-0.177551710353683,-3.31794343402356,0,0,0
82,-9.22824900933619,-0.176929079276688,-3.3231496420449,0,0,0
83,-9.22592155750115,-0.179987106516911,-3.32389371769133,0,0,0
84,-9.22738397433518,-0.179915212496039,-3.32166272106692,0,0,0
85,-9.22498629002187,-0.180619673597046,-3.32314496195664,0,0,0
86,-9.22736074648972,-0.181426277426752,-3.32240851366492,0,0,0
87,-9.22968876860743,-0.181429545857506,-3.31869382300146,0,0,0
88,-9.22570559216829,-0.182104880240358,-3.31273267097328,0,0,0
89,-9.22824205426672,-0.175394448099458,-3.30306109221259,0,0,0
90,-9.22961448414949,-0.174482676910832,-3.30454593330846,0,0,0
91,-9.22964639489085,-0.17986479349385,-3.31050700080278,0,0,0
92,-9.2289404423965,-0.179921694491598,-3.31050732221977,0,0,0
93,-9.22909254674322,-0.180812453566452,-3.31200067099461,0,0,0
94,-9.22899559542848,-0.179967228763122,-3.31125278211986,0,0,0
95,-9.23043362237908,-0.18140548608227,-3.30902363052024,0,0,0
96,-9.22803417997445,-0.18516945319225,-3.30604736005256,0,0,0
97,-9.22979211825328,-0.182282202163215,-3.28894115109258,0,0,0
98,-9.23268211421476,-0.181344186900902,-3.28894047935424,0,0,0
99,-9.23638023377624,-0.180433964366954,-3.28522273414375,0,0,0
100,-9.23426181518178,-0.177543357186648,-3.28819429736777,0,0,0
101,-9.23879941934773,-0.178981683683297,-3.28969115837233,0,0,0
102,-9.23736198182995,-0.174483030459869,-3.29563488179538,0,0,0
103,-9.23514020091032,-0.175332267956559,-3.30604908043335,0,0,0
104,-9.23111810803803,-0.175974650860053,-3.30975780486069,0,0,0
105,-9.22828094399047,-0.176956494782777,-3.30901605724063,0,0,0
106,-9.22868964270816,-0.178948895721739,-3.31496256871232,0,0,0
107,-9.22590473651196,-0.176913095127953,-3.31644900449372,0,0,0
108,-9.22735204507812,-0.180654878090812,-3.30901645944261,0,0,0
109,-9.22433547680757,-0.183018353945814,-3.31273574428715,0,0,0
110,-9.22192040217328,-0.179883758403209,-3.29858890593082,0,0,0
111,-9.22568123165494,-0.1782603304418,-3.29263988499243,0,0,0
112,-9.22509081365463,-0.175351518811648,-3.30082148486886,0,0,0
113,-9.2253636646345,-0.174812450226835,-3.29487645667713,0,0,0
114,-9.22823916736125,-0.173098394745132,-3.27776395669785,0,0,0
115,-9.22986704217905,-0.173163170109634,-3.27776931641111,0,0,0
116,-9.23369579599352,-0.173124472237476,-3.29637406652021,0,0,0
117,-9.22978342591989,-0.174622080198386,-3.30901416134963,0,0,0
118,-9.23358720927435,-0.177624749096438,-3.30828132700179,0,0,0
119,-9.23564175177276,-0.185053070515806,-3.31126688307467,0,0,0
120,-9.22807249492801,-0.185966410745397,-3.3038179293559,0,0,0
121,-9.23041155553033,-0.182917450292124,-3.31051337560749,0,0,0
122,-9.23267745032603,-0.184398942396241,-3.31721434398202,0,0,0
123,-9.22871110847961,-0.182026583715604,-3.32538307284201,0,0,0
124,-9.22901940239586,-0.176924966432742,-3.32984639773934,0,0,0
125,-9.22593202226404,-0.176169802819904,-3.32611945859269,0,0,0
126,-9.22662347804664,-0.173040635779496,-3.32016232519236,0,0,0
127,-9.228386033867,-0.173982677974932,-3.31050178827644,0,0,0
128,-9.22973001926273,-0.173813280344444,-3.30157221536015,0,0,0
129,-9.22588444391591,-0.172307127761003,-3.29114761895465,0,0,0
130,-9.22982232355875,-0.176951203753396,-3.28818925742953,0,0,0
131,-9.22881620607419,-0.179819744427004,-3.30008898539475,0,0,0
132,-9.22888064594315,-0.179872533044722,-3.30678605541085,0,0,0
133,-9.22660081224378,-0.179909351872125,-3.30678249745501,0,0,0
134,-9.22371428623063,-0.180850114682745,-3.30901504983757,0,0,0
135,-9.22589833996658,-0.17996897294301,-3.30901467389528,0,0,0
136,-9.22422344976239,-0.179865073185547,-3.31347148916882,0,0,0
137,-9.22213347062851,-0.174702875713467,-3.311232650323,0,0,0
138,-9.22127075239235,-0.179987102364528,-3.30007862862607,0,0,0
139,-9.22750881403863,-0.176194655757953,-3.29339094844042,0,0,0
140,-9.2288742812129,-0.175277460656769,-3.29041209277051,0,0,0
141,-9.23054568990207,-0.176907889069053,-3.29934823272456,0,0,0
142,-9.23279997785749,-0.178380306956715,-3.29860967888639,0,0,0
143,-9.23274017970348,-0.176034866023079,-3.30604343166425,0,0,0
144,-9.22838139035624,-0.173979051257145,-3.30752597704946,0,0,0
145,-9.23023566295051,-0.176650908045153,-3.3082666237192,0,0,0
146,-9.23581537094515,-0.177545104964403,-3.30977128284447,0,0,0
147,-9.22807658799068,-0.176786989176294,-3.31644954267396,0,0,0
