Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.34423047687717,-0.812511140935185,-2.00215427663417,0,0,0
1,-9.34843425618195,-0.821312879364821,-1.93880219575162,0,0,0
2,-9.35147285819126,-0.81288735661827,-1.89167442545838,0,0,0
3,-9.34255980854386,-0.819992790596865,-1.86466804955253,0,0,0
4,-9.3456149710071,-0.834567909896621,-1.84598958724447,0,0,0
5,-9.3411370264883,-0.846091859167543,-1.82349285276142,0,0,0
6,-9.35251009508403,-0.852842618385644,-1.8190595080567,0,0,0
7,-9.34846935176095,-0.873877757204518,-1.83072740049493,0,0,0
8,-9.33847396765963,-0.870853506817192,-1.83024405888655,0,0,0
9,-9.33726918461229,-0.855868939146653,-1.85098295432326,0,0,0
10,-9.34127887082281,-0.848486813482774,-1.85972661451578,0,0,0
11,-9.34133492472978,-0.83256592058565,-1.85738626770326,0,0,0
12,-9.34143167975692,-0.825799377622796,-1.87772089349514,0,0,0
13,-9.34776845998207,-0.825276583531836,-1.91817474552826,0,0,0
14,-9.35241864294445,-0.827593379520288,-1.95892282601253,0,0,0
15,-9.35552883361272,-0.823756279810531,-1.99997496412325,0,0,0
16,-9.35336848388533,-0.817024210386833,-2.02256972593949,0,0,0
17,-9.37540123452213,-0.809311691929427,-2.06518039605876,0,0,0
18,-9.37329625858607,-0.811757871969826,-2.08786415713002,0,0,0
19,-9.36189207500749,-0.818660524840274,-2.11270910369132,0,0,0
20,-9.34600741039902,-0.823378808365166,-2.14659380142929,0,0,0
21,-9.3303392459488,-0.828305718631721,-2.15799097125884,0,0,0
22,-9.33240617256588,-0.828105600153171,-2.13756336626101,0,0,0
23,-9.32583375037139,-0.830696671691073,-2.09249164547548,0,0,0
24,-9.33501602357459,-0.821577699337138,-2.07216774154682,0,0,0
25,-9.33431948680896,-0.827799294629917,-2.04250308825726,0,0,0
26,-9.32514309540622,-0.836927926521313,-2.05379249493581,0,0,0
27,-9.32500677434107,-0.845938114960674,-2.03797273625107,0,0,0
28,-9.31705943984758,-0.844808052353875,-1.99330106083886,0,0,0
29,-9.31420657740649,-0.858008318671453,-1.95243626994642,0,0,0
30,-9.31694249066636,-0.842453615976212,-1.9186705595142,0,0,0
31,-9.33539788912832,-0.819747678388108,-1.85092403557691,0,0,0
32,-9.36004320167227,-0.816907764992957,-1.85307062284653,0,0,0
33,-9.35766040100157,-0.812265337263886,-1.85071988141555,0,0,0
34,-9.3553589679586,-0.828239685187405,-1.83725137031728,0,0,0
35,-9.35242803932929,-0.857325035933646,-1.83260645003588,0,0,0
36,-9.34094433113527,-0.882418139264695,-1.83946182632126,0,0,0
37,-9.34374153805654,-0.873742869948816,-1.8532182166513,0,0,0
38,-9.33885759026049,-0.859793941796595,-1.83261284405619,0,0,0
39,-9.34820257337149,-0.839399791266769,-1.84392141913116,0,0,0
40,-9.36676031051211,-0.819024393189871,-1.87339141560187,0,0,0
41,-9.3711682469282,-0.798298232649682,-1.91838538391175,0,0,0
42,-9.36941027758227,-0.791933635570858,-1.94343552645495,0,0,0
43,-9.35078810829384,-0.814511993100508,-1.95687676507869,0,0,0
44,-9.36181603120116,-0.816372640248183,-1.97483755758721,0,0,0
45,-9.36026842373509,-0.821602582064221,-2.01588322697389,0,0,0
46,-9.35340334951471,-0.826169002703922,-2.05427941639966,0,0,0
47,-9.34830985266996,-0.823418288480236,-2.07431668247784,0,0,0
48,-9.33990766335201,-0.821835727152777,-2.1084998206811,0,0,0
49,-9.34637601778692,-0.825999170654064,-2.14453002054828,0,0,0
50,-9.33075908324224,-0.828701524523696,-2.13334337558016,0,0,0
