Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.58489198384268,0.979091291585035,-4.19091134053715,0,0,0
1,-8.58727476748793,0.974533768307547,-4.19331251707678,0,0,0
2,-8.5801454103883,0.976860326223005,-4.18624617347779,0,0,0
3,-8.57936852679484,0.97950569456255,-4.19242737004715,0,0,0
4,-8.57406270287212,0.980953564087622,-4.1821857405683,0,0,0
5,-8.57640897462947,0.974155974593566,-4.18458455026011,0,0,0
6,-8.59236383155234,0.972112314940903,-4.18246269570817,0,0,0
7,-8.581090340858,0.971923787817953,-4.1779533077986,0,0,0
8,-8.60096627189467,0.9588024307335,-4.17551849281266,0,0,0
9,-8.59691252275578,0.974433183157399,-4.18020380171483,0,0,0
10,-8.60143186441829,0.974492395271037,-4.16665080496042,0,0,0
11,-8.5957973439069,0.968099337187515,-4.16815977123503,0,0,0
12,-8.60482584242045,0.981858933347237,-4.18382747894744,0,0,0
13,-8.60552952726603,0.974714033397929,-4.17764148624225,0,0,0
14,-8.59849536699769,0.970189388848639,-4.16620039143988,0,0,0
15,-8.60263794113845,0.972706811095885,-4.16590180051205,0,0,0
16,-8.59870071859913,0.983711877407891,-4.18879802788997,0,0,0
17,-8.59600123510801,0.981624338090653,-4.19301570126298,0,0,0
18,-8.59104052377898,0.965884982617153,-4.17930296255952,0,0,0
19,-8.59145683532925,0.965671848593386,-4.16153433026835,0,0,0
20,-8.59560831681763,0.981799511248187,-4.17465095972443,0,0,0
21,-8.5961654195892,0.97927981779467,-4.19542071170477,0,0,0
22,-8.59351577076285,0.97942059721026,-4.17931574267268,0,0,0
23,-8.58702705847737,0.983710453194899,-4.17721557006841,0,0,0
24,-8.58558844672837,0.983282951809716,-4.16652145070076,0,0,0
25,-8.58952129258295,0.985899869429417,-4.17736551449529,0,0,0
26,-8.60024344485111,0.977283425847303,-4.18156732021512,0,0,0
27,-8.59650987915737,0.974564641362435,-4.17538898761694,0,0,0
28,-8.59434705804898,0.992620808742305,-4.17300206613557,0,0,0
29,-8.59120485455711,0.988480234772595,-4.17917766408059,0,0,0
30,-8.58665473804918,0.98616167335027,-4.18369487447848,0,0,0
31,-8.59395119810417,0.981485707620205,-4.18864953347443,0,0,0
32,-8.59596749699945,0.979369774247475,-4.1884966570276,0,0,0
33,-8.59856734388408,0.988315724887873,-4.19542874476655,0,0,0
34,-8.59866844340224,0.981454953100876,-4.18202063570996,0,0,0
35,-8.598464667546,0.981554448061259,-4.18412993699313,0,0,0
36,-8.59613314421137,0.977022882641608,-4.18864332580489,0,0,0
37,-8.6032346618151,0.972432278281565,-4.18215725692447,0,0,0
38,-8.59772570177863,0.972822685636744,-4.16109001787258,0,0,0
39,-8.60464983823765,0.970597970658645,-4.17252394512103,0,0,0
40,-8.59851156843533,0.983787561632892,-4.16832394807747,0,0,0
41,-8.59752777733805,0.972912612358411,-4.15416601430762,0,0,0
42,-8.59091142082021,0.956857155236531,-4.15219346920106,0,0,0
43,-8.6052303791064,0.968040339651621,-4.15716027739849,0,0,0
44,-8.60244586043309,0.972787207216351,-4.14994444648303,0,0,0
45,-8.598839944732,0.979098545614634,-4.17313393204298,0,0,0
46,-8.60009241893723,0.979606519439614,-4.15883734639755,0,0,0
47,-8.60750184428771,0.981675253836366,-4.15928238165965,0,0,0
48,-8.60507652660097,0.983992561086357,-4.16591220708807,0,0,0
49,-8.60725993215632,0.979527332201682,-4.16364766401306,0,0,0
50,-8.60460294678915,0.979680023928268,-4.15883442489004,0,0,0
51,-8.59932761822194,0.983447477283871,-4.15988672175333,0,0,0
52,-8.60032847200857,0.981763989385554,-4.16350540087403,0,0,0
53,-8.60036367284513,0.984016181923272,-4.16576610763931,0,0,0
54,-8.59855115656891,0.986032585995239,-4.16380964656958,0,0,0
