Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.63110741949754,-0.251901261758984,-0.771246983578685,0,0,0
1,-9.62691128064444,-0.245268558653423,-0.771402953709535,0,0,0
2,-9.61979133485983,-0.254329941682651,-0.775768631029427,0,0,0
3,-9.61989693095374,-0.247573754686452,-0.782550826412088,0,0,0
4,-9.6328848141746,-0.256285459744099,-0.764173856940064,0,0,0
5,-9.62858601801996,-0.256413654451027,-0.753030918483578,0,0,0
6,-9.62870856810194,-0.236118795030943,-0.757423075982041,0,0,0
7,-9.62905952491612,-0.251985578044472,-0.766877651841652,0,0,0
8,-9.62841029139801,-0.240541993522464,-0.788889344385137,0,0,0
9,-9.62486424423374,-0.231788238270158,-0.789485538869377,0,0,0
10,-9.62247194401406,-0.227273205231906,-0.798379234876185,0,0,0
11,-9.62709106453565,-0.220448276943279,-0.800641791798066,0,0,0
12,-9.62057429222471,-0.229621631436489,-0.821253856354209,0,0,0
13,-9.61807201085298,-0.231855617599353,-0.830140411117789,0,0,0
14,-9.61720198726912,-0.247474838374477,-0.829685849321987,0,0,0
15,-9.6225956020045,-0.25662593859143,-0.81911152630912,0,0,0
16,-9.62408412346834,-0.279014618274305,-0.805244222809377,0,0,0
17,-9.62599415178401,-0.287943445857854,-0.796053874669292,0,0,0
18,-9.62407465375816,-0.267742606039178,-0.787043261698748,0,0,0
19,-9.62869145149157,-0.274479888853179,-0.76911227909957,0,0,0
20,-9.63331511789631,-0.242839620682671,-0.755300593402699,0,0,0
21,-9.63405403665667,-0.222678282325799,-0.75561378081146,0,0,0
22,-9.63232645409395,-0.216066264415251,-0.742364001362401,0,0,0
23,-9.63177393910729,-0.20016083051579,-0.728246871593549,0,0,0
24,-9.62998250111603,-0.209320598957284,-0.733193229825433,0,0,0
25,-9.62950315004432,-0.213738713429866,-0.728379980531541,0,0,0
26,-9.63671175564198,-0.211459998655597,-0.733186474166238,0,0,0
27,-9.64028040399476,-0.231507111273731,-0.730466157918928,0,0,0
28,-9.63615891687225,-0.245200110982746,-0.737667599694587,0,0,0
29,-9.63343518589555,-0.260929806958241,-0.748798352561688,0,0,0
30,-9.63160579540351,-0.247513746522507,-0.746701598529199,0,0,0
31,-9.62885857176022,-0.265514562211382,-0.737504724707045,0,0,0
32,-9.62670740235636,-0.258792778455379,-0.746546747676305,0,0,0
33,-9.62439263622346,-0.274607995704405,-0.757969314296044,0,0,0
34,-9.62879850961693,-0.26772611659087,-0.773636120188777,0,0,0
35,-9.61944460815296,-0.263293063344906,-0.768838136021616,0,0,0
36,-9.6245826560757,-0.24980465012292,-0.771399667829657,0,0,0
37,-9.62474315707141,-0.252085207208474,-0.782835036601024,0,0,0
38,-9.62683503334056,-0.249763132886706,-0.775914928152357,0,0,0
39,-9.63351884296346,-0.254137919776302,-0.789455962461904,0,0,0
40,-9.63024405622948,-0.253965491358361,-0.784210998939876,0,0,0
41,-9.62686498168747,-0.261068527740375,-0.762498818718319,0,0,0
42,-9.63352030552955,-0.254140301958779,-0.787197601911216,0,0,0
43,-9.63575064736947,-0.256372275846453,-0.769126883397758,0,0,0
44,-9.61982292305557,-0.240815210724479,-0.750795018692971,0,0,0
45,-9.63318980760208,-0.238306902293478,-0.746126009776214,0,0,0
46,-9.63365368984454,-0.247429408981054,-0.751070953088038,0,0,0
47,-9.62903017666073,-0.254247158255975,-0.755583475758935,0,0,0
48,-9.63369983123804,-0.256451805545316,-0.769274270956253,0,0,0
49,-9.62614096771114,-0.254122194339279,-0.786764155214756,0,0,0
50,-9.61074606068744,-0.243180944541073,-0.780157121073159,0,0,0
51,-9.63125406454836,-0.242902541151778,-0.77125647694159,0,0,0
52,-9.62448816560103,-0.243012799631214,-0.771260859272278,0,0,0
53,-9.63123272974493,-0.256433870676588,-0.780421607708551,0,0,0
54,-9.62714949355469,-0.24305696706076,-0.776067981148233,0,0,0
55,-9.62491097173046,-0.254377653027276,-0.782978602912044,0,0,0
56,-9.62211703190488,-0.249789064192039,-0.780288633840971,0,0,0
57,-9.62044812453304,-0.238653615807877,-0.789627286012548,0,0,0
58,-9.61983472091776,-0.238525022693101,-0.789189450102245,0,0,0
59,-9.62241324713597,-0.231796387338156,-0.775790903659793,0,0,0
60,-9.61786159888085,-0.234112426602122,-0.782566527233341,0,0,0
61,-9.62285446101632,-0.229625375660163,-0.782860230559757,0,0,0
62,-9.63135673551281,-0.23614158979505,-0.782555389231239,0,0,0
63,-9.63253617707002,-0.22685574267579,-0.774912756217141,0,0,0
64,-9.62963500212574,-0.229538938758932,-0.760272221739569,0,0,0
65,-9.63407960343497,-0.233976660743166,-0.748972740303592,0,0,0
66,-9.63575225943192,-0.231552030700496,-0.757569355744759,0,0,0
67,-9.63403124198639,-0.236207261712088,-0.767037268168821,0,0,0
68,-9.61332603883779,-0.236454669848999,-0.764500207818454,0,0,0
69,-9.62265204637177,-0.243151912555043,-0.755745638878205,0,0,0
70,-9.62196677307468,-0.247525148778183,-0.753044794217628,0,0,0
71,-9.61741659270602,-0.249843580989958,-0.757562055128285,0,0,0
72,-9.62657332201921,-0.254245887186126,-0.750922305710305,0,0,0
73,-9.62196238538456,-0.247518002244025,-0.759819863286528,0,0,0
74,-9.62660559558772,-0.25198906049353,-0.757699754411513,0,0,0
75,-9.62458996890615,-0.249816561035304,-0.760107865076216,0,0,0
76,-9.6317817871112,-0.236253543366885,-0.758005278357748,0,0,0
77,-9.6332813815835,-0.24509407604326,-0.750781507337923,0,0,0
78,-9.63386341839698,-0.233914717909006,-0.766893716918516,0,0,0
79,-9.63182353833772,-0.245268803769804,-0.782983713790851,0,0,0
80,-9.62270781738036,-0.238624009445904,-0.782850737288446,0,0,0
81,-9.63162868885878,-0.231675597473902,-0.791739517084037,0,0,0
82,-9.62328018547115,-0.240995077496862,-0.790061290285457,0,0,0
83,-9.63175692346457,-0.236213046227171,-0.796397443371744,0,0,0
84,-9.63578523689723,-0.240553151364106,-0.796097871716958,0,0,0
85,-9.62877234769972,-0.242860718328911,-0.804987354791529,0,0,0
86,-9.63171209357252,-0.252015364364158,-0.785234958616792,0,0,0
87,-9.62027798309513,-0.249923347702255,-0.76929015559247,0,0,0
88,-9.62930212880995,-0.24978110040747,-0.764767587174884,0,0,0
89,-9.62842112541865,-0.254125938591648,-0.74837067203662,0,0,0
90,-9.63587525628792,-0.249647089773867,-0.746550397878709,0,0,0
91,-9.62848567327939,-0.24961224182227,-0.761925544318505,0,0,0
92,-9.63329171688232,-0.24280150583383,-0.791434295103498,0,0,0
93,-9.6223326117869,-0.236283836740436,-0.78707794924581,0,0,0
94,-9.62895625337762,-0.245179445408999,-0.780288998191736,0,0,0
95,-9.62043701667676,-0.252201511355168,-0.782983897782894,0,0,0
96,-9.6245665678487,-0.249778446115674,-0.796241633887225,0,0,0
97,-9.62289240998158,-0.252200409623101,-0.789903477416874,0,0,0
98,-9.63826621253659,-0.251850396604095,-0.796376447805583,0,0,0
99,-9.62682772051011,-0.249751221974322,-0.787206730905797,0,0,0
100,-9.62250042114525,-0.23857638122125,-0.787221519109534,0,0,0
101,-9.62693624120156,-0.24299983189449,-0.789472211444316,0,0,0
102,-9.62689665498353,-0.245244736828654,-0.793986559216415,0,0,0
103,-9.62036310217547,-0.243133875223235,-0.80768944055995,0,0,0
104,-9.62049063571182,-0.236413486100198,-0.780596208738847,0,0,0
105,-9.62014683601939,-0.24538119944968,-0.769148975494874,0,0,0
106,-9.6203850406872,-0.243169607993571,-0.773814000841718,0,0,0
107,-9.62249516476368,-0.25213387104796,-0.771544684142069,0,0,0
108,-9.63206105355619,-0.231799504450107,-0.755897576688208,0,0,0
109,-9.63398656474934,-0.227187149653943,-0.746575591950154,0,0,0
110,-9.63144544871461,-0.220410431734204,-0.72596715506767,0,0,0
111,-9.63153263185827,-0.227190512793138,-0.737397713524263,0,0,0
112,-9.63337604080821,-0.22706315735932,-0.741621168076126,0,0,0
113,-9.6355125747401,-0.233761217138864,-0.755162712766551,0,0,0
114,-9.63294427517915,-0.240506602916243,-0.752752788251435,0,0,0
115,-9.62657332201921,-0.254245887186126,-0.750922305710305,0,0,0
116,-9.62681299791562,-0.252036624010594,-0.753328949316199,0,0,0
117,-9.62618553792392,-0.265451553428717,-0.750764529493693,0,0,0
118,-9.62376096552246,-0.263193487142473,-0.752880808647006,0,0,0
119,-9.61972825028755,-0.258845977248107,-0.759955375173516,0,0,0
120,-9.62051765098506,-0.24771412710217,-0.77169682067027,0,0,0
121,-9.62041438875895,-0.24090803862369,-0.785108187398956,0,0,0
122,-9.62257013013992,-0.222814341992803,-0.75999188784824,0,0,0
123,-9.62674949200409,-0.218162697262198,-0.752926815146163,0,0,0
124,-9.63448287343384,-0.209230417832379,-0.748998846799697,0,0,0
125,-9.63802071940346,-0.231536717521271,-0.737242687762944,0,0,0
126,-9.6286440202412,-0.240632491800321,-0.743868203700156,0,0,0
127,-9.62959748182095,-0.245353200468651,-0.737817879671564,0,0,0
128,-9.63346675553145,-0.247415174414461,-0.723824741959868,0,0,0
129,-9.62651695344334,-0.245206716566407,-0.748527533306972,0,0,0
130,-9.6317296443982,-0.252043950606973,-0.758134581675878,0,0,0
131,-9.62180550168269,-0.256500091015596,-0.775618864371926,0,0,0
132,-9.62865418788759,-0.263162593541823,-0.79382016218689,0,0,0
133,-9.62646489794022,-0.258688075163375,-0.805118161912709,0,0,0
134,-9.62279861288872,-0.25666633245765,-0.821515866618799,0,0,0
135,-9.61771271282497,-0.254364221502921,-0.818824875071579,0,0,0
136,-9.61526406466186,-0.240810104412141,-0.825323700001101,0,0,0
137,-9.61522594065893,-0.243057413238574,-0.827579683005225,0,0,0
138,-9.62077729775954,-0.229662156053426,-0.82365819625805,0,0,0
139,-9.63349197347155,-0.218014324238,-0.789056100971848,0,0,0
140,-9.62276601192816,-0.198020035789256,-0.764388789746988,0,0,0
141,-9.62071371668635,-0.198097466608671,-0.766794530733606,0,0,0
142,-9.61628735537399,-0.204946364713208,-0.782744780283339,0,0,0
143,-9.61808809907997,-0.231881821606599,-0.805298445060221,0,0,0
144,-9.62019529456754,-0.240841363749336,-0.807545851515125,0,0,0
145,-9.62744493979234,-0.236319897447427,-0.805579776031598,0,0,0
146,-9.61766279171073,-0.258901675020788,-0.782686359602017,0,0,0
147,-9.62732316053354,-0.245358984999756,-0.767178082139789,0,0,0
148,-9.63691602444349,-0.260630607989474,-0.759357645759082,0,0,0
149,-9.63584444546644,-0.251906287802893,-0.73751458234668,0,0,0
150,-9.63594918939046,-0.258714736954181,-0.721844821252446,0,0,0
151,-9.64927224297677,-0.233621702041686,-0.719166159684789,0,0,0
152,-9.65522423607381,-0.148138550183605,-0.644727665759325,0,0,0
153,-9.63081625663337,-0.260954895554033,-0.678498951246214,0,0,0
154,-9.63056420895697,-0.272091388207987,-0.784629833231433,0,0,0
155,-9.63346831524057,-0.245108321936306,-0.77802771818445,0,0,0
156,-9.6411505066814,-0.215888191901075,-0.730920443321789,0,0,0
157,-9.63890397694112,-0.21593923792525,-0.717371728214952,0,0,0
158,-9.63598977882978,-0.218082470810219,-0.730483319582213,0,0,0
159,-9.63209478915071,-0.229545092482553,-0.760416679484739,0,0,0
160,-9.62675207382561,-0.267812738710303,-0.7670084240606,0,0,0
