Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.55378034169109,1.17695557501581,-1.09709155429433,0,0,0
1,-9.55529274005885,1.18208084409688,-1.10554552139677,0,0,0
2,-9.55774845103161,1.18197624538182,-1.11020786651362,0,0,0
3,-9.55798487737408,1.18408214536129,-1.11487405224826,0,0,0
4,-9.56020709372434,1.1818668828233,-1.11035256803137,0,0,0
5,-9.56270675266081,1.18399762288307,-1.10372315591794,0,0,0
6,-9.55577143822946,1.1862831118578,-1.10584257969854,0,0,0
7,-9.55340419745298,1.17950695170841,-1.10809575463747,0,0,0
8,-9.55532936223602,1.18432812580569,-1.10554789220721,0,0,0
9,-9.55094263709332,1.17962106889353,-1.11246870326128,0,0,0
10,-9.55316338764983,1.17740817813387,-1.11020604725968,0,0,0
11,-9.55097925909364,1.18186833974966,-1.11247107406027,0,0,0
12,-9.56188995988605,1.18459170092501,-1.11217381026527,0,0,0
13,-9.55538267534009,1.17519767004557,-1.11020221528866,0,0,0
14,-9.55105104022801,1.1863652641333,-1.11473463968884,0,0,0
15,-9.55989303185499,1.17527357825262,-1.11245811697519,0,0,0
16,-9.56238829964833,1.1774115083026,-1.11260519141024,0,0,0
17,-9.55252005561091,1.17559681175279,-1.10750637216052,0,0,0
18,-9.55090894082551,1.17736903269466,-1.10794868440113,0,0,0
19,-9.55769806143996,1.19110196831689,-1.10103589960154,0,0,0
20,-9.5548462763951,1.18013294654412,-1.1120272881385,0,0,0
21,-9.56239122538355,1.17740674295544,-1.1080875391547,0,0,0
22,-9.55218639238914,1.18038604310972,-1.10947760859384,0,0,0
23,-9.55246967457223,1.18472263669629,-1.09833443342501,0,0,0
24,-9.54687726184016,1.18149541640628,-1.1059898415959,0,0,0
25,-9.5502963881085,1.17781450052767,-1.11428665737752,0,0,0
26,-9.55782023216598,1.18647316976545,-1.11247143214219,0,0,0
27,-9.55566449849431,1.17953656650029,-1.10131781508036,0,0,0
28,-9.56034536114148,1.17721196454599,-1.09694102009034,0,0,0
29,-9.55618170413744,1.17461071261005,-1.09948303388722,0,0,0
30,-9.55219224382698,1.18037651246849,-1.10044235441542,0,0,0
31,-9.5571842000767,1.18465002001759,-1.09847766220455,0,0,0
32,-9.55956812530096,1.18004843978901,-1.10087643060902,0,0,0
33,-9.55309014364921,1.1729136364216,-1.11020130566169,0,0,0
34,-9.55107065276473,1.17498281690963,-1.11486895261949,0,0,0
35,-9.55747101405247,1.17763019140977,-1.11231578440577,0,0,0
36,-9.55750909909453,1.17987509044943,-1.11005933328284,0,0,0
37,-9.54397219457381,1.17965689678023,-1.11232692223769,0,0,0
38,-9.55508855067498,1.18222935499479,-1.1076581832764,0,0,0
39,-9.562261733279,1.18204738824613,-1.107946120139,0,0,0
40,-9.56053931827227,1.17708015979038,-1.11064015269518,0,0,0
41,-9.55726974729809,1.17777391521701,-1.10991080030033,0,0,0
42,-9.55724427937888,1.18916607082855,-1.11881176352217,0,0,0
43,-9.56227111983992,1.17068164166015,-1.12389220968644,0,0,0
44,-9.55356298689248,1.17712550273171,-1.11953368586673,0,0,0
45,-9.55316192478358,1.17741056080524,-1.11246487129026,0,0,0
46,-9.55980162821434,1.18215913488131,-1.11006024292304,0,0,0
47,-9.54876436000213,1.18407169982385,-1.10569843393957,0,0,0
48,-9.55707785834674,1.16655174841117,-1.12345186520798,0,0,0
49,-9.55288156721817,1.17306925055349,-1.11909043092552,0,0,0
50,-9.54813187486659,1.17089213482023,-1.11668599201707,0,0,0
51,-9.55681888966992,1.17583311409397,-1.12316899977581,0,0,0
52,-9.54877226703233,1.17270832478788,-1.12390334751682,0,0,0
53,-9.55746955118758,1.17763257407893,-1.11457460633916,0,0,0
54,-9.55596831440325,1.1861464968406,-1.11502405134561,0,0,0
55,-9.55515886965596,1.18672870545168,-1.11218056459256,0,0,0
56,-9.5596721409089,1.18679984814129,-1.10991882241945,0,0,0
57,-9.55383411567177,1.18086117885491,-1.10903766501147,0,0,0
58,-9.5602876517093,1.1863494894623,-1.09906317896762,0,0,0
59,-9.55694338640133,1.18255123026938,-1.1005879558922,0,0,0
60,-9.55952857721986,1.1778059125614,-1.10539169945949,0,0,0
61,-9.55985933558718,1.17302154205375,-1.10793809811504,0,0,0
62,-9.55600786178778,1.18838898063978,-1.11050876567178,0,0,0
63,-9.56121436477112,1.18052594530454,-1.10269532330752,0,0,0
64,-9.55009513058526,1.17795822728209,-1.11188167590632,0,0,0
65,-9.55743000328062,1.17539005770842,-1.11908987939547,0,0,0
66,-9.5619110464483,1.1732067707691,-1.11004929851101,0,0,0
67,-9.55959597047378,1.18231002835218,-1.11443172044803,0,0,0
68,-9.56188849702251,1.18459408359195,-1.11443263010146,0,0,0
69,-9.55572750206796,1.18404776522225,-1.11713433954983,0,0,0
70,-9.55533873900853,1.17296231254628,-1.12149396464254,0,0,0
71,-9.55315753618483,1.17741770881934,-1.11924134338198,0,0,0
72,-9.55988571752373,1.17528549160946,-1.12375223712806,0,0,0
73,-9.55780761972724,1.17283631464972,-1.10582689379945,0,0,0
74,-9.55308429218421,1.17292316710707,-1.11923660178399,0,0,0
75,-9.55328848051217,1.17277470239238,-1.1171239467859,0,0,0
76,-9.54816849722061,1.17313942738173,-1.11668836283896,0,0,0
77,-9.54633650518307,1.1864378872989,-1.11459139543216,0,0,0
78,-9.55333333185514,1.18866597645686,-1.13054731752984,0,0,0
79,-9.55045956090581,1.17542586528845,-1.11894809232858,0,0,0
80,-9.55534166474103,1.17295754720354,-1.11697631658139,0,0,0
81,-9.5556190994652,1.17730360253832,-1.11486840105942,0,0,0
82,-9.56242053286896,1.1796659163268,-1.11938404058109,0,0,0
83,-9.55473055735374,1.1734005669605,-1.12105544659444,0,0,0
84,-9.54679377846419,1.1770175968353,-1.12179689761844,0,0,0
85,-9.55968591022326,1.17542682043148,-1.11908841822523,0,0,0
86,-9.54405480195691,1.17278564672119,-1.12827774259439,0,0,0
87,-9.55248050735567,1.17335427366807,-1.11202163680516,0,0,0
88,-9.5552625692754,1.16847253617675,-1.1260068711057,0,0,0
89,-9.54827982714623,1.17987892239928,-1.11443665546846,0,0,0
90,-9.541679665454,1.17737285234836,-1.11232601259749,0,0,0
91,-9.54681225491669,1.1906448766557,-1.11940612273546,0,0,0
92,-9.55532643650623,1.18433289114401,-1.11006553607398,0,0,0
93,-9.54981916492498,1.17360968786744,-1.11173077073284,0,0,0
94,-9.56141856109126,1.18037744117994,-1.1005826627176,0,0,0
95,-9.5528297207532,1.1821973576504,-1.11217728411724,0,0,0
96,-9.55316192478358,1.17741056080524,-1.11246487129026,0,0,0
97,-9.555714888615,1.17041098743364,-1.110489799463,0,0,0
98,-9.56187149854134,1.17096425439859,-1.11456457156733,0,0,0
99,-9.55046248663288,1.17542109995456,-1.11443045265621,0,0,0
100,-9.5599238023903,1.17753037979423,-1.12149578389648,0,0,0
101,-9.54204554014309,1.17483814833273,-1.11713362344247,0,0,0
102,-9.54874826847337,1.18409790920891,-1.13054549827589,0,0,0
103,-9.54712835349009,1.1858842757397,-1.14454085765031,0,0,0
104,-9.55357414076177,1.19076469578789,-1.12843704372512,0,0,0
105,-9.55148432846316,1.18833451633132,-1.12858231382265,0,0,0
106,-9.56013914579342,1.19102115294514,-1.12828648078218,0,0,0
107,-9.55607525360511,1.19289300964449,-1.11954882012383,0,0,0
108,-9.55051466043164,1.19130070367751,-1.11655970011658,0,0,0
109,-9.55528542573439,1.18209275744266,-1.11683963106367,0,0,0
110,-9.5513730006544,1.18159515155481,-1.13083402971932,0,0,0
111,-9.5513817778682,1.18158085550005,-1.11728106036954,0,0,0
112,-9.55122006579377,1.18396709157627,-1.11036078351414,0,0,0
113,-9.56212785378153,1.18669522636031,-1.11458116724045,0,0,0
114,-9.55495614398776,1.18687485678667,-1.11203440063854,0,0,0
115,-9.55996335012311,1.17977288530763,-1.11698050663433,0,0,0
116,-9.55363915592361,1.18161523568166,-1.115020770969,0,0,0
117,-9.55575004739263,1.1726606192602,-1.11275099846406,0,0,0
118,-9.56466120523833,1.19107799978124,-1.11247179022411,0,0,0
119,-9.55176948654968,1.18129554781385,-1.11530489544057,0,0,0
120,-9.55268323133709,1.17320818740439,-1.11216780082966,0,0,0
121,-9.55046248663288,1.17542109995456,-1.11443045265621,0,0,0
122,-9.55092562833852,1.16599139422224,-1.11260064334153,0,0,0
123,-9.54805570443146,1.16640231503111,-1.12119889004565,0,0,0
124,-9.55312383991702,1.17516567262047,-1.11472132452184,0,0,0
125,-9.54898230183331,1.17255033068799,-1.11275538199081,0,0,0
126,-9.55295920016719,1.17755666596365,-1.11231870674626,0,0,0
127,-9.55955642239268,1.18006750112456,-1.11894698929851,0,0,0
128,-9.54843860909256,1.17749743653247,-1.12587456068704,0,0,0
