Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.9691735025948,0.194495646651565,-3.42317386237129,0,0,0
1,-8.97266127042337,0.20744114837912,-3.40796896371642,0,0,0
2,-8.96574327040696,0.214232327371162,-3.42364295552436,0,0,0
3,-8.9735356414654,0.21735505531673,-3.44548479532165,0,0,0
4,-8.97915744888729,0.207725503996182,-3.43943782973138,0,0,0
5,-8.96982972785664,0.187305785244507,-3.40102478111616,0,0,0
6,-8.96190957125316,0.162886428897182,-3.39829963941751,0,0,0
7,-8.9759902620346,0.151481104480189,-3.43260396308321,0,0,0
8,-8.97833979423026,0.158288130937979,-3.45745508936701,0,0,0
9,-8.98095461662836,0.196703336253245,-3.47767373308036,0,0,0
10,-8.95835067405214,0.209990866030822,-3.50239967373914,0,0,0
11,-8.94969843227457,0.216430506350452,-3.48675024105639,0,0,0
12,-8.94576998016793,0.220557177845075,-3.4735024870136,0,0,0
13,-8.9710693036227,0.220703791435125,-3.49636991667905,0,0,0
14,-8.98638469091866,0.2076210530429,-3.50297316682691,0,0,0
15,-8.98574004023668,0.198905649751891,-3.49814962265657,0,0,0
16,-8.98858458347816,0.171361106977182,-3.45805670707068,0,0,0
17,-8.97131913711918,0.156015507400797,-3.40535921719842,0,0,0
18,-8.95395304867998,0.150801635631227,-3.40355225759617,0,0,0
19,-8.9579620546403,0.151158436831791,-3.40551149958671,0,0,0
20,-8.95749478368464,0.153692148028355,-3.40973470312017,0,0,0
21,-8.98275602858668,0.167479961067238,-3.44376128282231,0,0,0
22,-8.96283697618639,0.176024500797381,-3.4665190067202,0,0,0
23,-8.97872229165313,0.183049702804188,-3.48910268738452,0,0,0
24,-8.97182184414669,0.189812206088667,-3.47767246246877,0,0,0
25,-8.94682010215323,0.207642572344367,-3.44804810590872,0,0,0
26,-8.95714955215103,0.209305403217566,-3.42168192541045,0,0,0
27,-8.96362677327515,0.223199559051941,-3.43494729955047,0,0,0
28,-8.96583708251954,0.221002594150994,-3.44849554285737,0,0,0
29,-8.9634231234422,0.211992815857766,-3.46655695214409,0,0,0
30,-8.95852197412961,0.203056006388191,-3.45510868608612,0,0,0
31,-8.97391056411901,0.194469008115639,-3.46171669279997,0,0,0
32,-8.96481882496518,0.189818739425865,-3.45494176836941,0,0,0
33,-8.97139548209173,0.178700723779369,-3.46621890282197,0,0,0
34,-8.97022235779873,0.182585723839078,-3.45552495307926,0,0,0
35,-8.97205034139887,0.18739972537194,-3.45523162384738,0,0,0
36,-8.97667168417552,0.194217303801677,-3.45523581651593,0,0,0
37,-8.97889377336435,0.207887669207727,-3.45961763431408,0,0,0
38,-8.96724747294968,0.201112383597589,-3.47076289129179,0,0,0
39,-8.96524508417358,0.185043809165522,-3.45749231473022,0,0,0
40,-8.95572562304152,0.185170853250394,-3.45042551906866,0,0,0
41,-8.96424602997167,0.185601509737437,-3.45238174503429,0,0,0
42,-8.96712287626816,0.19208448029647,-3.43687327789728,0,0,0
43,-8.95881923348523,0.189260344543367,-3.43054557161582,0,0,0
44,-8.96171343449464,0.183440618695447,-3.43642185047677,0,0,0
45,-8.96050948353201,0.185068018888938,-3.41669073937631,0,0,0
46,-8.95376872650865,0.187222448148977,-3.43250823470799,0,0,0
47,-8.96737044819557,0.191948597102015,-3.44153892053223,0,0,0
48,-8.95352409624934,0.187353544886992,-3.42332525016864,0,0,0
49,-8.96575485436684,0.184748289674184,-3.44423682915804,0,0,0
50,-8.97161959111875,0.176295432626732,-3.45055410614222,0,0,0
51,-8.96728392458081,0.171587685658379,-3.45295926549867,0,0,0
52,-8.97595077942968,0.165124034140267,-3.44602197159116,0,0,0
53,-8.98998321386161,0.165068326125668,-3.45082716234132,0,0,0
54,-8.97619836507524,0.164988282777659,-3.45068762721065,0,0,0
55,-8.96284146027113,0.191903668033854,-3.46864596935099,0,0,0
56,-8.95008801627957,0.20940733074418,-3.48929847697355,0,0,0
57,-8.95032836395315,0.22516960034466,-3.51416057365152,0,0,0
58,-8.94979090001852,0.239089808462298,-3.52276442504452,0,0,0
59,-8.96732529218064,0.223795544417464,-3.52936378705092,0,0,0
60,-8.95640115724732,0.214338022519829,-3.52965835362647,0,0,0
61,-8.96324879395007,0.203046004948505,-3.50946237294763,0,0,0
62,-8.95796378439091,0.185236203010435,-3.47752815958056,0,0,0
63,-8.97035418348372,0.175715458466259,-3.46921825819693,0,0,0
64,-8.96724582760478,0.169342048485833,-3.45521557323386,0,0,0
65,-8.9630229791953,0.171373618489521,-3.45311049110727,0,0,0
66,-8.96674336576775,0.169625508958801,-3.45717763794653,0,0,0
67,-8.98353690817385,0.169318294528747,-3.45550195736604,0,0,0
68,-8.98770847289191,0.178641139165265,-3.43262511690506,0,0,0
69,-8.98643582412103,0.191651506476179,-3.41501617691916,0,0,0
70,-8.98572674550367,0.194311927101487,-3.40553902718701,0,0,0
71,-8.98332595137916,0.185280706139706,-3.40327232255606,0,0,0
72,-8.97442321306502,0.1918610488706,-3.38747452625061,0,0,0
73,-8.98189804247156,0.205199469549547,-3.4081090095863,0,0,0
74,-8.9804609191378,0.210551782703156,-3.41851754169119,0,0,0
75,-8.97995000631079,0.209544184307992,-3.43310901744613,0,0,0
76,-8.98502944109563,0.199260980515974,-3.43446174347386,0,0,0
77,-8.98007262852206,0.188106889331281,-3.45237388937441,0,0,0
78,-8.96933317967926,0.189887493574048,-3.45042149601851,0,0,0
79,-8.96764432693724,0.17819116445077,-3.45311468373791,0,0,0
80,-8.96511024953991,0.176032670250601,-3.43941339378076,0,0,0
81,-8.96551020837726,0.184879371076281,-3.43505380815051,0,0,0
82,-8.95617087702227,0.180364993290221,-3.42361322588631,0,0,0
83,-8.95313439042367,0.178490051540538,-3.41187412315201,0,0,0
84,-8.97102632214966,0.185690345645023,-3.43204932348932,0,0,0
85,-8.96855674923194,0.188042279951651,-3.43190487297188,0,0,0
86,-8.97590400337861,0.192357873033086,-3.42316710761632,0,0,0
87,-8.96991183778893,0.194095112174164,-3.44394680304265,0,0,0
88,-8.98153323121755,0.185024668232039,-3.4622960699372,0,0,0
89,-8.99177895911005,0.183513347782388,-3.45265844585608,0,0,0
90,-8.98533706703142,0.187756143145577,-3.45055719785983,0,0,0
91,-8.9926594642723,0.189804592821622,-3.42374761158676,0,0,0
92,-8.97206342380613,0.17149206712919,-3.42600046984674,0,0,0
93,-8.96761939510176,0.175924095444656,-3.43504286078933,0,0,0
94,-8.9675183575271,0.185051978618741,-3.43038670179078,0,0,0
95,-8.97129736870499,0.187823987128584,-3.45704538194643,0,0,0
96,-8.98597586792902,0.196481225546106,-3.4644153750572,0,0,0
97,-8.98699068374111,0.197202272706171,-3.44560297998106,0,0,0
98,-8.98081093954842,0.185398855587527,-3.41667758994939,0,0,0
99,-8.98521393384888,0.178725900705492,-3.4144088758262,0,0,0
100,-8.9853179859052,0.185479522403428,-3.4234506995355,0,0,0
101,-8.98532383698991,0.185469992337364,-3.41441599062753,0,0,0
102,-8.96510296359009,0.189623304144109,-3.40314049712038,0,0,0
103,-8.96708477894113,0.189838821414133,-3.43912958141518,0,0,0
104,-8.95547221386438,0.185316235561865,-3.45479456459761,0,0,0
105,-8.95141779884514,0.182725365175626,-3.4663851109594,0,0,0
