Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.61014079806665,-0.494872938251352,-0.759254470762157,0,0,0
1,-9.59874666859764,-0.501791815470943,-0.768289235193595,0,0,0
2,-9.60418325282823,-0.509900173633237,-0.776658420021846,0,0,0
3,-9.60037806133385,-0.508206145786887,-0.786058150392372,0,0,0
4,-9.60696553685826,-0.503459779625129,-0.788171319871233,0,0,0
5,-9.60010866521813,-0.482989824675022,-0.781207070504311,0,0,0
6,-9.60927337348669,-0.487547169187018,-0.760966100841914,0,0,0
7,-9.60963957391338,-0.494600727321936,-0.756704223962485,0,0,0
8,-9.60747327138264,-0.490167241608212,-0.731865394338465,0,0,0
9,-9.60770845252746,-0.492586130535885,-0.70038781883579,0,0,0
10,-9.61167698096,-0.48082761193568,-0.702247237957507,0,0,0
11,-9.6220800631266,-0.488297805575739,-0.685010509751371,0,0,0
12,-9.62079980504396,-0.489880842558119,-0.663951728780694,0,0,0
13,-9.6231697716264,-0.48310652096442,-0.6571814710801,0,0,0
14,-9.61666875367273,-0.483377975120928,-0.634745168164059,0,0,0
15,-9.62358669578506,-0.47428194250064,-0.627974353911489,0,0,0
16,-9.61477727128749,-0.476812205489359,-0.630382149534369,0,0,0
17,-9.61954142868791,-0.476878452994544,-0.628266267985992,0,0,0
18,-9.61036267747493,-0.470119635804267,-0.650719961126189,0,0,0
19,-9.61675379966967,-0.47659279534032,-0.673149154701107,0,0,0
20,-9.61736348646209,-0.470118184765897,-0.677965005137329,0,0,0
21,-9.62126074717415,-0.476512130255989,-0.679922151102806,0,0,0
22,-9.62541666027857,-0.483055467335173,-0.670731834348304,0,0,0
23,-9.61355460066211,-0.480460830392466,-0.661395893194612,0,0,0
24,-9.61596019787477,-0.510190873301722,-0.661674667065823,0,0,0
25,-9.61570080819954,-0.525923765567317,-0.666175339100584,0,0,0
26,-9.62304526480873,-0.521593733609548,-0.664208493184446,0,0,0
27,-9.61558593953166,-0.519007658231933,-0.670583100870034,0,0,0
28,-9.6049588839788,-0.492362566034586,-0.686545957861075,0,0,0
29,-9.60534945740261,-0.48349505990902,-0.697994378610983,0,0,0
30,-9.61149379137251,-0.492068849923784,-0.702235378810371,0,0,0
31,-9.60714813140546,-0.469475766817033,-0.699906123826436,0,0,0
32,-9.60710564234048,-0.471714495387096,-0.708938284729222,0,0,0
33,-9.60544035438647,-0.476719410035198,-0.72736380723804,0,0,0
34,-9.60721406539384,-0.476364132186924,-0.740651703452901,0,0,0
35,-9.6068961225009,-0.482912903177533,-0.74958182287132,0,0,0
36,-9.59330054726393,-0.499045718338032,-0.76096446877764,0,0,0
37,-9.59542293194522,-0.494318929132459,-0.76764633420455,0,0,0
38,-9.61182489215161,-0.499065185232719,-0.752180740379035,0,0,0
39,-9.59822346077695,-0.503791719886737,-0.74315020494837,0,0,0
40,-9.61589382486191,-0.485033186617209,-0.731504541502888,0,0,0
41,-9.60994657017067,-0.492520781917076,-0.727490056714914,0,0,0
42,-9.61221248002756,-0.492500700397538,-0.711678104674894,0,0,0
43,-9.60290913896463,-0.494770565720717,-0.700242620071234,0,0,0
44,-9.60727465987613,-0.48780789149201,-0.706876976906147,0,0,0
45,-9.60953325049128,-0.48777589765864,-0.702358241131922,0,0,0
46,-9.60446900552516,-0.482813249866175,-0.702054724972384,0,0,0
47,-9.61822122840853,-0.482805348755573,-0.677298255871733,0,0,0
48,-9.60724624576214,-0.476416546576917,-0.690961727224489,0,0,0
49,-9.59690345995997,-0.463538364423145,-0.704943240407094,0,0,0
50,-9.60547845469698,-0.474473566619641,-0.725107539567071,0,0,0
51,-9.60950197745576,-0.474071978434927,-0.747428520119819,0,0,0
52,-9.59385742974647,-0.46533391673508,-0.749706869803501,0,0,0
53,-9.60130642047254,-0.46790409726467,-0.759142972575183,0,0,0
54,-9.61189834052616,-0.465032699417795,-0.75647108755813,0,0,0
55,-9.60831745747203,-0.467919334519771,-0.770577611544108,0,0,0
56,-9.61189687778215,-0.465030316945523,-0.758729722841239,0,0,0
57,-9.6055722771743,-0.467702681699212,-0.749959689239132,0,0,0
58,-9.616495205637,-0.474135698775757,-0.7407649244641,0,0,0
59,-9.60858854585944,-0.483971962453703,-0.732455624599689,0,0,0
60,-9.6035920699991,-0.483799373613865,-0.70506326461192,0,0,0
61,-9.60846247696431,-0.492998047177427,-0.700825067428926,0,0,0
62,-9.61240810495652,-0.497163005398556,-0.684715396787337,0,0,0
63,-9.6144974056096,-0.492511591103815,-0.666503812163881,0,0,0
64,-9.61594502085486,-0.485116573069317,-0.652452379995843,0,0,0
65,-9.60726675261649,-0.465053106488292,-0.629893238744807,0,0,0
66,-9.62415316290503,-0.45416157729586,-0.650727797588683,0,0,0
67,-9.62622343565806,-0.449478961708268,-0.661878574930375,0,0,0
68,-9.61493778256273,-0.449650843460385,-0.673179077394851,0,0,0
69,-9.60830781545107,-0.456636132212923,-0.680097993384837,0,0,0
70,-9.61644477113543,-0.465016361277216,-0.702260918739823,0,0,0
71,-9.60721848210886,-0.464974484976305,-0.70442813388002,0,0,0
72,-9.61464402384202,-0.481210953933235,-0.722981710506574,0,0,0
73,-9.61664104998076,-0.512791179656592,-0.718575527342298,0,0,0
74,-9.60203890069745,-0.505502359646972,-0.717940161879852,0,0,0
75,-9.61220444041393,-0.508370671597301,-0.716324549275587,0,0,0
76,-9.60732891392541,-0.515046838621418,-0.72069187505722,0,0,0
77,-9.6031473091672,-0.494886421009078,-0.720716143247291,0,0,0
78,-9.60686962737906,-0.498882345247219,-0.706748455911984,0,0,0
79,-9.59993561016347,-0.507952257238565,-0.738364245593322,0,0,0
80,-9.59821322154984,-0.503775042549859,-0.758960681290854,0,0,0
81,-9.60247175955392,-0.503561886883623,-0.761070593334824,0,0,0
82,-9.61170181473969,-0.505788420619212,-0.772501380256928,0,0,0
83,-9.60573643746156,-0.48819707856181,-0.763781795494734,0,0,0
84,-9.61395172832581,-0.478514015933231,-0.729351772172413,0,0,0
85,-9.61566915583276,-0.465909580380434,-0.700849145490158,0,0,0
86,-9.62198035658036,-0.463292906928505,-0.684745129465964,0,0,0
87,-9.6236571143147,-0.467472937953063,-0.688964735223515,0,0,0
88,-9.62116910794112,-0.467403240057711,-0.659458172199867,0,0,0
89,-9.61863001384777,-0.471788672083876,-0.641269189595744,0,0,0
90,-9.62389962669273,-0.469903847530677,-0.646193911873742,0,0,0
91,-9.62092085139772,-0.469501283276424,-0.643528735696443,0,0,0
92,-9.61693406199512,-0.465346900925653,-0.677678292688747,0,0,0
93,-9.62339844364882,-0.467323596734648,-0.700112184031716,0,0,0
94,-9.61881091242799,-0.471888822840233,-0.704627637183602,0,0,0
95,-9.60713642946421,-0.469456707056551,-0.717975189313761,0,0,0
96,-9.61598035396588,-0.466853452019712,-0.73820212031682,0,0,0
97,-9.62358758055689,-0.485550818609137,-0.732005689146474,0,0,0
98,-9.61625426782786,-0.476245686903959,-0.713542236008235,0,0,0
99,-9.61646808178858,-0.492282727052166,-0.718305341605361,0,0,0
100,-9.61410396397163,-0.499066546032747,-0.716041047723674,0,0,0
101,-9.60049375611659,-0.503778785826584,-0.720562349157995,0,0,0
102,-9.61325853338136,-0.521235485232574,-0.724789436847075,0,0,0
103,-9.60846882302057,-0.525614497271076,-0.729207598211368,0,0,0
104,-9.60728423257681,-0.501398841162698,-0.740888093215812,0,0,0
105,-9.6049596778171,-0.505939199204417,-0.734108892185658,0,0,0
106,-9.60884553787065,-0.489444038525727,-0.740441415907117,0,0,0
107,-9.60428006569321,-0.480340404513932,-0.73809789887751,0,0,0
108,-9.61151433910586,-0.489794395131167,-0.727082738754004,0,0,0
109,-9.61406074004551,-0.485420788706239,-0.733978614246917,0,0,0
110,-9.6096666367455,-0.478761508408527,-0.722695464826567,0,0,0
111,-9.60308355030316,-0.483515141399263,-0.713806315968864,0,0,0
112,-9.61003081624563,-0.472158970503236,-0.718331070910312,0,0,0
113,-9.60897749167877,-0.46903025146042,-0.733589578200333,0,0,0
114,-9.61661828356727,-0.467412430811305,-0.720444303495302,0,0,0
115,-9.61680952183647,-0.472067753835449,-0.700257572044138,0,0,0
116,-9.61484549172767,-0.454116323047836,-0.702536646989263,0,0,0
117,-9.62470064780203,-0.465776839268731,-0.687291414202447,0,0,0
118,-9.61151582377041,-0.478400048172815,-0.695376448070983,0,0,0
119,-9.60960652597256,-0.483279424168764,-0.702362984767878,0,0,0
120,-9.62095958982122,-0.478601539241677,-0.700101785955443,0,0,0
121,-9.61488213883569,-0.483634638879424,-0.686986810142048,0,0,0
122,-9.60731861134363,-0.485571567119495,-0.695586161822606,0,0,0
123,-9.61191143590513,-0.467361951072678,-0.679675116102975,0,0,0
124,-9.61150268325452,-0.466981766076211,-0.68625652729278,0,0,0
125,-9.60359719704693,-0.467924517886584,-0.704934113765403,0,0,0
126,-9.62317861720498,-0.480813017204275,-0.700097953123848,0,0,0
127,-9.61458902878119,-0.469853904293618,-0.702520044343562,0,0,0
128,-9.6136367233911,-0.473670755594392,-0.704316999437297,0,0,0
129,-9.60064489529207,-0.465256995134218,-0.718081592804454,0,0,0
130,-9.60308575556624,-0.467635365979826,-0.718194432196703,0,0,0
131,-9.60706169053284,-0.473950841487099,-0.720229078817923,0,0,0
132,-9.60609396459165,-0.468008508021118,-0.720888911781576,0,0,0
133,-9.61179776119425,-0.485445635116155,-0.745273262162053,0,0,0
134,-9.60682723454015,-0.487416567488322,-0.74280117963182,0,0,0
135,-9.61386967602672,-0.482996216294839,-0.742898840212216,0,0,0
136,-9.61616692871661,-0.494372211954681,-0.738484940721994,0,0,0
137,-9.60886745383051,-0.50087650690755,-0.736009588018756,0,0,0
138,-9.59157146872619,-0.513048788248428,-0.727480398696616,0,0,0
139,-9.61173399516775,-0.505840835106541,-0.722811311751978,0,0,0
140,-9.61596701546393,-0.494241197574016,-0.704488720240378,0,0,0
141,-9.60456857989834,-0.489756381442789,-0.690851705524943,0,0,0
142,-9.61211207277943,-0.483377635997569,-0.704765913997284,0,0,0
143,-9.59963244281518,-0.489423719602496,-0.722280930494713,0,0,0
144,-9.59597439307355,-0.487955948286438,-0.740763842678789,0,0,0
145,-9.60755239749713,-0.48568031973049,-0.722835580041532,0,0,0
146,-9.60886162802492,-0.489470245672056,-0.715596473931181,0,0,0
147,-9.60742413632944,-0.478819709461228,-0.702369189417452,0,0,0
148,-9.61644825957242,-0.478675056806355,-0.700104707982678,0,0,0
149,-9.61819491461259,-0.471365646270347,-0.688506031652017,0,0,0
150,-9.61724918658354,-0.476855649883198,-0.684733820802096,0,0,0
151,-9.62365565156797,-0.467470555476366,-0.691223374701013,0,0,0
152,-9.61004836920639,-0.472187560223597,-0.691227397180339,0,0,0
153,-9.61201313029564,-0.474256865830128,-0.695595098885262,0,0,0
154,-9.61960599508527,-0.470059983519125,-0.698291337165345,0,0,0
155,-9.6121530985834,-0.481136557535405,-0.69799236737132,0,0,0
156,-9.60961530244479,-0.483293719015672,-0.688811160486056,0,0,0
157,-9.6078601254747,-0.467718337359421,-0.700268159718785,0,0,0
158,-9.61189736609223,-0.480992046167002,-0.704622532952542,0,0,0
159,-9.61214139660956,-0.481117497721831,-0.716061483191301,0,0,0
160,-9.59631654668616,-0.483625417880624,-0.713810699015056,0,0,0
161,-9.60529746922314,-0.469834931570001,-0.729483786266625,0,0,0
162,-9.61664029385419,-0.465140369321521,-0.743033049116316,0,0,0
163,-9.60338768064671,-0.47912270846408,-0.745577803134457,0,0,0
164,-9.61415017483223,-0.478642723828641,-0.765606653025102,0,0,0
165,-9.59817093747178,-0.476477812525344,-0.772278441463786,0,0,0
166,-9.61673485285771,-0.474254035333588,-0.75897982665255,0,0,0
167,-9.60978904966198,-0.485612588706312,-0.752196432233605,0,0,0
168,-9.60832403973742,-0.483813172584001,-0.752637657404331,0,0,0
169,-9.61168345973621,-0.492183197927515,-0.75204205884903,0,0,0
170,-9.61154422250051,-0.501188057279689,-0.740739384675599,0,0,0
171,-9.60500362911453,-0.503702885695647,-0.722818066604699,0,0,0
172,-9.61393613026353,-0.494449472803259,-0.700089566270449,0,0,0
173,-9.61432745209248,-0.501466331599558,-0.702632590178632,0,0,0
174,-9.619807254576,-0.498119367315139,-0.690637488099747,0,0,0
175,-9.62108341034215,-0.487762789624049,-0.670875734160171,0,0,0
