Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.62187737505198,0.430372200680678,-0.924030056370608,0,0,0
1,-9.62042437612112,0.427593683599881,-0.917758631045866,0,0,0
2,-9.62099636926436,0.424587752848804,-0.927567799445785,0,0,0
3,-9.62291493418352,0.413570618069619,-0.927360054538992,0,0,0
4,-9.61811619511037,0.425334007048561,-0.94260083867102,0,0,0
5,-9.62805475992164,0.451869199177486,-0.918363582267031,0,0,0
6,-9.62394849532088,0.476533341564472,-0.916134132258218,0,0,0
7,-9.62579814243639,0.461011047112635,-0.909146244126639,0,0,0
8,-9.62566557809298,0.43363853802909,-0.909506578146944,0,0,0
9,-9.62566850337185,0.433633773425221,-0.90498963054861,0,0,0
10,-9.6211564353401,0.442738734018681,-0.895773756976455,0,0,0
11,-9.62126609376801,0.440309894910977,-0.907258144230409,0,0,0
12,-9.6232128301435,0.440732347276434,-0.909126350392617,0,0,0
13,-9.63496532511077,0.431141344373033,-0.898594780252041,0,0,0
14,-9.6212748696046,0.440295601099369,-0.893707301435406,0,0,0
15,-9.62089870744253,0.436173559182279,-0.886538369748221,0,0,0
16,-9.62117193381664,0.424360439645155,-0.893885081783584,0,0,0
17,-9.62093652506574,0.429244169377224,-0.895759520641649,0,0,0
18,-9.62112270890385,0.440484875312326,-0.891254440850041,0,0,0
19,-9.62175981819627,0.460343215765698,-0.891664569080328,0,0,0
20,-9.62369126006478,0.440128790269433,-0.882607850322193,0,0,0
21,-9.62541223206657,0.427066203459888,-0.893495754471192,0,0,0
22,-9.62103916701254,0.436003363196564,-0.907058997318917,0,0,0
23,-9.6235060452575,0.458725186953175,-0.909145332263951,0,0,0
24,-9.62160443691682,0.451361219984406,-0.905205933660219,0,0,0
25,-9.62372674182268,0.451556331942518,-0.873391439923204,0,0,0
26,-9.62594407843322,0.449346386279655,-0.875646080136565,0,0,0
27,-9.61898422992299,0.43800738025378,-0.891447915800008,0,0,0
28,-9.62371942862552,0.451568243452191,-0.88468380891904,0,0,0
29,-9.61300156913257,0.466751628445809,-0.891871918064773,0,0,0
30,-9.61946302738495,0.448888460642773,-0.909916377873213,0,0,0
31,-9.61242577886279,0.442234585170423,-0.921011617642744,0,0,0
32,-9.61460646703809,0.437775578005693,-0.923263887263399,0,0,0
33,-9.62151241604072,0.456070153804103,-0.923084069801707,0,0,0
34,-9.61949206896077,0.441973437295048,-0.932688465355737,0,0,0
35,-9.62134027071093,0.426453658984036,-0.927959014062109,0,0,0
36,-9.62604000266244,0.428587017080731,-0.93041136656458,0,0,0
37,-9.62986482243452,0.434102444889788,-0.915890258391518,0,0,0
38,-9.63941087882208,0.447365480800693,-0.92080441816016,0,0,0
39,-9.62871324918141,0.453339507076735,-0.907851204220335,0,0,0
40,-9.62382908965475,0.449139373700486,-0.896168196498636,0,0,0
41,-9.62181899043286,0.435026149432768,-0.88996315088034,0,0,0
42,-9.62342036578351,0.433585106626119,-0.893698722427562,0,0,0
43,-9.62376690699377,0.426270240949358,-0.901050213588296,0,0,0
44,-9.6142558844286,0.454274064015991,-0.911210495011762,0,0,0
45,-9.61034365408035,0.462636009421573,-0.925356966107871,0,0,0
46,-9.61526734903707,0.469080326888121,-0.93252543375854,0,0,0
47,-9.61751988003415,0.469121846879829,-0.937040928867303,0,0,0
48,-9.61946517335296,0.469546956455509,-0.941167557335943,0,0,0
49,-9.61506422638854,0.47622069563933,-0.941177597218574,0,0,0
50,-9.62419715122121,0.473936345416982,-0.950397717706566,0,0,0
51,-9.62145149702605,0.472214031378497,-0.938521134400808,0,0,0
52,-9.61928806712002,0.467468219246984,-0.92064450651831,0,0,0
53,-9.62323807725859,0.452176733414655,-0.915719213803771,0,0,0
54,-9.62692160450258,0.452722850483724,-0.903918901945248,0,0,0
55,-9.62156515661002,0.458293031737049,-0.898243230721886,0,0,0
56,-9.62137634561445,0.456233298660138,-0.89578799331126,0,0,0
57,-9.62394489429394,0.455877061688528,-0.887141411011899,0,0,0
58,-9.61894904102689,0.435755914697619,-0.889187069289823,0,0,0
59,-9.62305560472027,0.420267872096177,-0.879939266964959,0,0,0
60,-9.62983482917901,0.411180716932797,-0.871085874701343,0,0,0
61,-9.62772305925678,0.420145059264142,-0.875613774018539,0,0,0
62,-9.62526884101167,0.427241120553602,-0.877492078650981,0,0,0
63,-9.62087083137358,0.433910160437625,-0.87298517938563,0,0,0
64,-9.6232711270804,0.433769583636801,-0.886728918405683,0,0,0
65,-9.62523511439585,0.424987250998989,-0.872972766707506,0,0,0
66,-9.62095553936071,0.429213199480833,-0.866399388515999,0,0,0
67,-9.62324617647261,0.431501431132112,-0.868658772067431,0,0,0
68,-9.62091596237217,0.426968869973368,-0.870913959197477,0,0,0
69,-9.62606076674147,0.437729595971856,-0.887315351862017,0,0,0
70,-9.62156486027656,0.449116912191157,-0.909720512753372,0,0,0
71,-9.614940413685,0.448834008335664,-0.927987123578351,0,0,0
72,-9.61905821999971,0.463166562555198,-0.924962286707695,0,0,0
73,-9.61702530589207,0.467443375500948,-0.931938325901184,0,0,0
74,-9.61998238030532,0.491850649352614,-0.945902669263532,0,0,0
75,-9.61283696203808,0.48762362347245,-0.943254960659275,0,0,0
76,-9.60348416376087,0.476413435103727,-0.934020627628912,0,0,0
77,-9.62136318187178,0.456254739357639,-0.916114238629018,0,0,0
78,-9.61703816600524,0.458245726479472,-0.923089364262302,0,0,0
79,-9.62362564860239,0.447103429170823,-0.916297696685344,0,0,0
80,-9.62126316848914,0.440314659514846,-0.911775091828743,0,0,0
81,-9.62294749109845,0.425002906344347,-0.922660558883874,0,0,0
82,-9.61644619168416,0.431445958291784,-0.920608003831838,0,0,0
83,-9.62111071178927,0.431327855705679,-0.920799496181338,0,0,0
84,-9.61624452406004,0.438583684552232,-0.927001697477846,0,0,0
85,-9.62134027071093,0.426453658984036,-0.927959014062109,0,0,0
86,-9.61911883674577,0.437846706369965,-0.921002489613901,0,0,0
87,-9.61417819239031,0.449782979277333,-0.917981152043785,0,0,0
88,-9.62376962467315,0.465280724130758,-0.90934685353996,0,0,0
89,-9.61230065995109,0.463042003170536,-0.911415851692706,0,0,0
90,-9.62082639009976,0.461512816050334,-0.908565958742902,0,0,0
91,-9.62369778388643,0.460780153617217,-0.907083636393052,0,0,0
92,-9.61291656563173,0.462272563798961,-0.909934996636976,0,0,0
93,-9.61235016554993,0.456093424580714,-0.902569251909213,0,0,0
94,-9.62103537577194,0.454362888823566,-0.890879904835151,0,0,0
95,-9.62371065278892,0.451582537263799,-0.898234651714043,0,0,0
96,-9.61488204087912,0.453488114862587,-0.893920309507686,0,0,0
97,-9.61682879782691,0.453910694063932,-0.895788542334809,0,0,0
98,-9.61654944167177,0.456557552688055,-0.908952939380094,0,0,0
99,-9.62175367220599,0.451176659876983,-0.91217576767654,0,0,0
100,-9.62350867477217,0.449544212281559,-0.916105659588607,0,0,0
101,-9.62144642616681,0.451560075785977,-0.911786955383835,0,0,0
102,-9.62335797506378,0.449731149412315,-0.911394310933063,0,0,0
103,-9.61705541585046,0.449041019218591,-0.907464958610147,0,0,0
104,-9.62099549937983,0.44294231473865,-0.906871714392983,0,0,0
105,-9.62070082162911,0.424951857359419,-0.909111202126428,0,0,0
106,-9.62150706003393,0.4262406324513,-0.907827114740671,0,0,0
107,-9.62118187971837,0.415167852031635,-0.88955302473107,0,0,0
108,-9.62095378162139,0.420039557999725,-0.880135104241238,0,0,0
109,-9.62324471383453,0.431503813431835,-0.870917243769404,0,0,0
110,-9.62814202818144,0.435682715397445,-0.862273900102667,0,0,0
111,-9.6350183428578,0.442540198604703,-0.86227663557167,0,0,0
112,-9.6170322298978,0.455946614884619,-0.875659041768773,0,0,0
113,-9.61720202128517,0.458037308824763,-0.907474449408424,0,0,0
114,-9.62377371738396,0.456097379885793,-0.91404871373025,0,0,0
115,-9.62076711022631,0.43863813650002,-0.908931035678269,0,0,0
116,-9.62262260040296,0.423105980156323,-0.892909305150266,0,0,0
117,-9.61925219307446,0.444555806708246,-0.884873993370828,0,0,0
118,-9.616859598987,0.456169317369732,-0.904824801865169,0,0,0
119,-9.62158309214613,0.469749303999096,-0.916128474963823,0,0,0
120,-9.62174665442915,0.460364656503019,-0.911990852147579,0,0,0
121,-9.6234650054581,0.456483228886113,-0.915918368344371,0,0,0
122,-9.61233731184034,0.465291108130129,-0.911418224426623,0,0,0
123,-9.62596171565613,0.451626439459031,-0.905008612236757,0,0,0
124,-9.62868947766945,0.441893064612039,-0.898999814982055,0,0,0
125,-9.62139769253187,0.437845344837827,-0.884865414395553,0,0,0
126,-9.62186149184043,0.437265660033129,-0.880931594793788,0,0,0
127,-9.62396478845366,0.43749167134453,-0.878477276064155,0,0,0
128,-9.63012393836058,0.438356596887062,-0.866403035913835,0,0,0
129,-9.62087931065978,0.424719775866459,-0.87091158647501,0,0,0
130,-9.62771310764499,0.429337759013111,-0.879945836108812,0,0,0
131,-9.61906777147009,0.44248887064869,-0.875643344627875,0,0,0
132,-9.62571422159416,0.445044662516829,-0.879963906039093,0,0,0
133,-9.62367985181112,0.449323924801834,-0.889198383806356,0,0,0
134,-9.62167364857719,0.465042663801662,-0.900508822654109,0,0,0
135,-9.62121833598876,0.456432179901185,-0.902369011586926,0,0,0
136,-9.6212590772869,0.449497927838021,-0.907073233653723,0,0,0
137,-9.62140275886032,0.458499068865104,-0.911599667947539,0,0,0
138,-9.62137634561445,0.456233298660138,-0.89578799331126,0,0,0
139,-9.61656114275463,0.45653849432567,-0.890885199319414,0,0,0
140,-9.62402082962457,0.451194356805102,-0.894106482849749,0,0,0
141,-9.62144935144568,0.451555311182108,-0.9072700077855,0,0,0
142,-9.61945747481861,0.458074064158973,-0.907472988531855,0,0,0
143,-9.6121555150308,0.454043201034655,-0.90914789115226,0,0,0
144,-9.61911650966265,0.456203690314657,-0.902564869290188,0,0,0
145,-9.62585790316758,0.454045803543912,-0.88449034033291,0,0,0
146,-9.62373522462742,0.442365951150242,-0.871317843539956,0,0,0
147,-9.62351677911614,0.428869134436837,-0.86904513144618,0,0,0
148,-9.62760607778396,0.422585712092937,-0.875421774537463,0,0,0
149,-9.62481673054693,0.427801617599276,-0.863358179223219,0,0,0
150,-9.62142753248264,0.410267652668073,-0.871869194059358,0,0,0
151,-9.63037461529055,0.405918977166079,-0.874117087389227,0,0,0
152,-9.62568020448731,0.433614715009744,-0.886921840155273,0,0,0
153,-9.61947472852214,0.448869402191902,-0.89184855392477,0,0,0
154,-9.62596347039053,0.460800232763807,-0.891272873606232,0,0,0
155,-9.61906845845672,0.463149886472627,-0.909152999474242,0,0,0
156,-9.61706750434361,0.460506721243371,-0.934384105969156,0,0,0
157,-9.62145412271398,0.463032991574759,-0.945481488922071,0,0,0
158,-9.62161798272903,0.462824550472586,-0.929866609332264,0,0,0
159,-9.61687169057842,0.467635164167047,-0.931743901861095,0,0,0
160,-9.62603978485199,0.467602307978151,-0.943224840919016,0,0,0
161,-9.6148472424542,0.462721431510103,-0.93664641335413,0,0,0
162,-9.610116742844,0.458329586440199,-0.92515780252442,0,0,0
163,-9.62143502265849,0.460755309871181,-0.918377455775926,0,0,0
164,-9.62351160004832,0.449539447682114,-0.911588716184661,0,0,0
165,-9.61019443418301,0.462820627754851,-0.918387132863436,0,0,0
166,-9.62167481435259,0.455864129395786,-0.909727630852079,0,0,0
167,-9.62159186797458,0.469735010200762,-0.902577644751985,0,0,0
168,-9.62365002579793,0.476902713577901,-0.902194508957287,0,0,0
169,-9.6165485942208,0.474912690407276,-0.888256947265495,0,0,0
170,-9.62183458355442,0.464838978264637,-0.889410838583105,0,0,0
171,-9.61932579485827,0.458230071126339,-0.873401479805836,0,0,0
172,-9.63081498866954,0.451259359121253,-0.851191018337155,0,0,0
173,-9.63652257930107,0.425154350915752,-0.857156175117909,0,0,0
174,-9.63405014794936,0.411618201363308,-0.852626460376079,0,0,0
175,-9.6387275778521,0.402302817450391,-0.84396885476811,0,0,0
176,-9.63906713897683,0.404176088111157,-0.851135348373246,0,0,0
177,-9.63202867800891,0.406700247298296,-0.85301187801118,0,0,0
178,-9.629751855522,0.425051232208682,-0.863935966545932,0,0,0
179,-9.63659149516942,0.429659707727468,-0.86393632940008,0,0,0
180,-9.62488827863473,0.423126059215027,-0.87709858640986,0,0,0
181,-9.62545619696934,0.429303386068185,-0.882205768683794,0,0,0
182,-9.62086468427903,0.424743598863683,-0.893496303494741,0,0,0
183,-9.6212774999703,0.431114803762225,-0.900667627571375,0,0,0
184,-9.62345701731904,0.435834189880345,-0.893701095138581,0,0,0
185,-9.62491176717169,0.425396626517759,-0.897427147860194,0,0,0
186,-9.61882622123966,0.438206172859936,-0.898028944106501,0,0,0
187,-9.61193445093147,0.449727165759863,-0.899914872852554,0,0,0
188,-9.63073210325476,0.467438768213603,-0.900505351865974,0,0,0
189,-9.62805358772603,0.461047802312502,-0.90914478325541,0,0,0
190,-9.60772231614018,0.458460753661576,-0.902380149548214,0,0,0
