Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.70013819419844,0.077057993273595,-1.99155694202838,0,0,0
1,-9.70292463386127,0.0781653650576398,-1.99445453903392,0,0,0
2,-9.70214352492618,0.0804805432392635,-1.99220211786811,0,0,0
3,-9.70869422105423,0.0801496142117237,-1.9876674143013,0,0,0
4,-9.7089252363167,0.080656158547005,-1.98922031131948,0,0,0
5,-9.70504183542252,0.079151095043414,-1.98622374018516,0,0,0
6,-9.70705783639692,0.090131585252348,-1.978870929324,0,0,0
7,-9.70669769562548,0.0882368071120763,-1.97951901400121,0,0,0
8,-9.70218785063322,0.091943403876754,-1.97281123544568,0,0,0
9,-9.70050414021312,0.0813515783801209,-1.97728577943897,0,0,0
10,-9.70461952658228,0.0872011835993488,-1.97809414691247,0,0,0
11,-9.7024168607619,0.0847735473743382,-1.9818462848301,0,0,0
12,-9.70207181879567,0.0843947018246409,-1.97654046644436,0,0,0
13,-9.70206444856425,0.0797976203870977,-1.98400250363239,0,0,0
14,-9.7020683487891,0.082869546738798,-1.98993443330329,0,0,0
15,-9.70150795475985,0.0818603895118425,-1.98702393899188,0,0,0
16,-9.70382740704863,0.087233228801811,-1.99221266667087,0,0,0
17,-9.7022817706123,0.0857007746558494,-1.99146812541003,0,0,0
18,-9.70387399048279,0.0864136516595453,-1.9952060719122,0,0,0
19,-9.7054648788162,0.0909664267961904,-1.99371491036585,0,0,0
20,-9.70216018246669,0.0850703516002742,-1.99069213346111,0,0,0
21,-9.70676435134596,0.0812516155308133,-1.98850472748194,0,0,0
22,-9.70599750525208,0.0774058121637987,-1.98852458979739,0,0,0
23,-9.70290879633929,0.0812526678540363,-1.98773833819433,0,0,0
24,-9.70511377644987,0.083678502783456,-1.98547421578115,0,0,0
25,-9.70145425062426,0.0849965386227289,-1.99070739903122,0,0,0
26,-9.70453209372869,0.0780832291307441,-1.98109766234907,0,0,0
27,-9.70164056484758,0.0832461361309912,-1.98705500035781,0,0,0
28,-9.70231765969164,0.0779758349500044,-1.988550641082,0,0,0
29,-9.70272977094959,0.0768473935098161,-1.98919896876787,0,0,0
30,-9.70357022066019,0.0752305738447171,-1.98700287297169,0,0,0
31,-9.70192024006325,0.0768929906506634,-1.99215735873607,0,0,0
32,-9.70439294005033,0.0782496053223453,-1.9959284735335,0,0,0
33,-9.70462841322213,0.0825914841763601,-1.99597231797702,0,0,0
34,-9.70326951039361,0.0823832692092943,-1.99527529789491,0,0,0
35,-9.70699386315305,0.0879090967043317,-1.99596943975239,0,0,0
36,-9.70309090136691,0.0810526975596316,-2.00043583655711,0,0,0
37,-9.70687417672478,0.0842022646975655,-1.99298155014642,0,0,0
38,-9.70285600535563,0.0774742734671114,-1.99295098990636,0,0,0
39,-9.70037576893401,0.075359600236101,-1.99215682554184,0,0,0
40,-9.70456070429442,0.074986013169989,-1.99599796714011,0,0,0
41,-9.70371867447754,0.0735291496945913,-1.99375014024106,0,0,0
42,-9.702209414412,0.0780988405784664,-1.98851773947739,0,0,0
43,-9.70598821753741,0.0774130661407326,-1.98257252314553,0,0,0
44,-9.70526720873413,0.0758232413913907,-1.9885416934925,0,0,0
45,-9.70607326330787,0.07578037200245,-1.98335126781144,0,0,0
46,-9.70325001665905,0.0893121899130565,-1.98184195384532,0,0,0
47,-9.70389975029912,0.096363105417643,-1.97953704864892,0,0,0
48,-9.70083284668994,0.0948070012289862,-1.97804612768188,0,0,0
49,-9.7062324598389,0.0932645762953145,-1.9751131296371,0,0,0
50,-9.70533938880275,0.0872641254566812,-1.9870069828227,0,0,0
51,-9.70689257813887,0.0880267591755406,-2.00040058001228,0,0,0
52,-9.704494637269,0.0812066306686192,-1.99519724121968,0,0,0
53,-9.70755284257613,0.0820056015227935,-1.99892110642302,0,0,0
54,-9.70922722116594,0.0803241025948893,-2.00939080849933,0,0,0
55,-9.70681037728289,0.0781407527708319,-2.01456514802364,0,0,0
56,-9.70583647632315,0.0722225578362036,-2.00933034104266,0,0,0
57,-9.7035374984137,0.0652867677598589,-1.99820785216294,0,0,0
58,-9.70208194748121,0.0667204557197272,-1.98929199184134,0,0,0
59,-9.70275314792771,0.0745181222025309,-1.99293821548571,0,0,0
60,-9.70085556852271,0.0809616100114255,-1.99449666225481,0,0,0
