Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.89407715804954,-0.468444427778159,-0.421312215522599,0,0,0
1,-9.85982021061746,-0.463598954769818,-0.375109689999872,0,0,0
2,-9.91920829283421,-0.470375682362973,-0.432529678512879,0,0,0
3,-9.61712339375641,-0.418245161797185,-0.190162787008171,0,0,0
4,-9.8503640007186,-0.503227617636557,-0.520979649359536,0,0,0
5,-9.93711925347274,-0.492754529914329,-0.411026059835987,0,0,0
6,-9.87252146322287,-0.479268360539655,-0.398956599127163,0,0,0
7,-9.90760092199065,-0.484157706809705,-0.395345120096881,0,0,0
8,-9.89188205193173,-0.480026005177087,-0.413201922461501,0,0,0
9,-9.86292136863353,-0.473544059358227,-0.381125665117588,0,0,0
10,-9.88401195453589,-0.47992286756977,-0.41982263034149,0,0,0
11,-9.87881416021112,-0.479347524984199,-0.400501490984853,0,0,0
12,-9.87489933788695,-0.460190520373579,-0.40112166563017,0,0,0
13,-9.85731687666487,-0.474156867139624,-0.386262935143782,0,0,0
14,-9.8922097667473,-0.502598994932704,-0.415446837231329,0,0,0
15,-9.92146615684799,-0.501038235276461,-0.386397788719519,0,0,0
16,-9.85704576852393,-0.469344415718462,-0.34527525583192,0,0,0
17,-9.9337582431606,-0.477238648090793,-0.408644436821035,0,0,0
18,-9.87203818626419,-0.462687411026017,-0.359519919099576,0,0,0
19,-9.85159558075699,-0.470729294280045,-0.397471821113512,0,0,0
20,-9.89092744512319,-0.475285938868903,-0.421315750415743,0,0,0
21,-9.8788564135981,-0.479384276611554,-0.382661703725969,0,0,0
22,-9.85157321468971,-0.462297642133751,-0.38701432460887,0,0,0
23,-9.85810994575619,-0.455697472726502,-0.384862620117552,0,0,0
24,-9.86697544438698,-0.476873744619641,-0.365418946410963,0,0,0
25,-9.92429117307091,-0.470093246081441,-0.415378920509984,0,0,0
26,-9.88097680078704,-0.467740428249595,-0.387780307754565,0,0,0
27,-9.92787411587349,-0.483618654210351,-0.416889373074294,0,0,0
28,-9.89770895523419,-0.470540585687987,-0.381874032039248,0,0,0
29,-9.87252053850557,-0.468560712874559,-0.378824595119571,0,0,0
30,-9.8897288673062,-0.456459581942887,-0.387082996746451,0,0,0
31,-9.91517990646279,-0.435710037995047,-0.413880678088735,0,0,0
32,-9.89206597458486,-0.445760332836454,-0.404153649523572,0,0,0
33,-9.92743376517324,-0.472424492451326,-0.414674080663488,0,0,0
34,-9.91752958219813,-0.4886287987244,-0.383493941827663,0,0,0
35,-9.93119106324579,-0.495274900410446,-0.396931087596858,0,0,0
36,-9.91713440226478,-0.481294978623007,-0.404362543040552,0,0,0
37,-9.91916293452636,-0.474165147490227,-0.397582901674719,0,0,0
38,-9.90320523450984,-0.469071426811425,-0.38935193278453,0,0,0
39,-9.88653283005332,-0.462496822441943,-0.394509628326078,0,0,0
40,-9.87147216158822,-0.448326862739762,-0.38031695761457,0,0,0
41,-9.8288647882274,-0.455095156414002,-0.367626000220201,0,0,0
42,-9.83553347970721,-0.45407490796345,-0.384699930865168,0,0,0
43,-9.88003998772418,-0.436126359273874,-0.388499089030799,0,0,0
44,-9.90772660248294,-0.429837536810832,-0.400485582270523,0,0,0
45,-9.88700770765357,-0.426944788409578,-0.376595010947983,0,0,0
46,-9.84815103534351,-0.438962913945297,-0.386979876949368,0,0,0
47,-9.86506530873688,-0.436559799926629,-0.398194571887359,0,0,0
48,-9.94665222556807,-0.449353510169786,-0.410180606244135,0,0,0
49,-9.92075756161055,-0.451256688187251,-0.390798592606655,0,0,0
50,-9.87227789570262,-0.44988268095735,-0.380335788356277,0,0,0
51,-9.89555169768515,-0.443790141478711,-0.396810683246185,0,0,0
52,-9.8899482582451,-0.442874817608916,-0.387066438414213,0,0,0
53,-9.88662591320665,-0.447277064845583,-0.387763772426478,0,0,0
54,-9.86481121876196,-0.446292346335949,-0.381823098326808,0,0,0
55,-9.88225546076315,-0.445213884227625,-0.395969318722912,0,0,0
56,-9.89776169041969,-0.438341249060699,-0.387104395237515,0,0,0
57,-9.86652122186632,-0.44719217686049,-0.376665921303132,0,0,0
58,-9.88790540944825,-0.437755175655427,-0.39452788973693,0,0,0
59,-9.86353220397626,-0.426631149964408,-0.378061090888226,0,0,0
60,-9.85150983376843,-0.414703267828939,-0.38619539417867,0,0,0
61,-9.83965650767819,-0.405212444646762,-0.391403952194798,0,0,0
62,-9.86856008629806,-0.430126208155848,-0.364634914075488,0,0,0
63,-9.90215602494948,-0.434305208452366,-0.376643735076697,0,0,0
64,-9.94032172251981,-0.420060577445134,-0.387086426599105,0,0,0
65,-9.88932892774361,-0.424647443992582,-0.379571737877103,0,0,0
66,-9.91622735189807,-0.438234594698803,-0.396852080077105,0,0,0
67,-9.92621572135045,-0.443636262692775,-0.40121344117541,0,0,0
68,-9.91918198368449,-0.447293197903377,-0.390931798171368,0,0,0
69,-9.93098817037736,-0.43150069642227,-0.412365565945395,0,0,0
70,-9.91319058135844,-0.42222179264495,-0.414620363504766,0,0,0
71,-9.89698605880754,-0.415390349774755,-0.412276135938847,0,0,0
72,-9.89361442585684,-0.41122123997831,-0.415319709912029,0,0,0
73,-9.88728039221422,-0.418755213367193,-0.420495658136231,0,0,0
74,-9.88793940611032,-0.424777921951606,-0.41827225624966,0,0,0
75,-9.88871475336302,-0.437017214923767,-0.41833562297102,0,0,0
76,-9.88471644938899,-0.439972726841566,-0.412349868995401,0,0,0
77,-9.89309913660972,-0.437562705788354,-0.403432363405101,0,0,0
78,-9.88938036659013,-0.431573708306998,-0.393003315551952,0,0,0
79,-9.89314578045968,-0.425363458919792,-0.398178140967397,0,0,0
80,-9.89078672724185,-0.435277578347148,-0.404154213350393,0,0,0
81,-9.88819304417513,-0.441171468593107,-0.4003906626583,0,0,0
82,-9.88717036185527,-0.437022721744228,-0.402709600556243,0,0,0
83,-9.89256385397552,-0.419404967828412,-0.404881249778128,0,0,0
84,-9.88828684041422,-0.410537037850074,-0.402662775820341,0,0,0
85,-9.88653442829299,-0.411896280174926,-0.404102764667489,0,0,0
86,-9.88928260911669,-0.425371490824369,-0.402620289010526,0,0,0
87,-9.89005969642164,-0.436848025162557,-0.395986871896344,0,0,0
88,-9.89261027585662,-0.448628743768082,-0.387015311464115,0,0,0
89,-9.89359109670048,-0.447272152953351,-0.378134291555834,0,0,0
90,-9.89101391659358,-0.431645798160055,-0.375925691241411,0,0,0
91,-9.88811794108518,-0.41881159608809,-0.380353403645163,0,0,0
92,-9.88894237092357,-0.415028515162976,-0.38258193932189,0,0,0
93,-9.88272721079542,-0.419602480462717,-0.387770043221566,0,0,0
94,-9.88347897666647,-0.424937390539218,-0.392257374976296,0,0,0
95,-9.88107371067281,-0.428693511725247,-0.395962519963557,0,0,0
96,-9.88266638512989,-0.419550927873579,-0.393706094459981,0,0,0
97,-9.88752534167148,-0.423552034945178,-0.399748735170032,0,0,0
98,-9.88655835494725,-0.427215712742909,-0.39600060568863,0,0,0
99,-9.89102911678963,-0.427832566286894,-0.391528932353481,0,0,0
100,-9.89182721531932,-0.433971777643759,-0.388593162280421,0,0,0
101,-9.89086148924977,-0.433811474432665,-0.391520481975837,0,0,0
102,-9.88874841149724,-0.43245817617874,-0.393034669839154,0,0,0
103,-9.89051023454293,-0.427280944362556,-0.4034779987604,0,0,0
104,-9.88941646289697,-0.426248292350231,-0.406372749511148,0,0,0
105,-9.89040365832421,-0.425661260507334,-0.40939639651434,0,0,0
106,-9.88973060349929,-0.424981238066697,-0.412386042230428,0,0,0
107,-9.8896749943705,-0.424169571283074,-0.413857270708575,0,0,0
108,-9.88845903509974,-0.431333478597569,-0.4094941799968,0,0,0
109,-9.88487953945691,-0.428636675726062,-0.399688364002256,0,0,0
110,-9.88788230381504,-0.435440503597587,-0.401205166540193,0,0,0
111,-9.89179424027499,-0.432413614021202,-0.396759330890754,0,0,0
112,-9.88966269388329,-0.42722085079589,-0.392301243258714,0,0,0
113,-9.88668778217173,-0.418910366849168,-0.393014553425634,0,0,0
114,-9.8868774587267,-0.411420381233494,-0.391533197506125,0,0,0
115,-9.88376383605385,-0.411407911709362,-0.389280693390766,0,0,0
116,-9.88194225005032,-0.421887948926597,-0.395211444148361,0,0,0
117,-9.88696592155587,-0.431497568896514,-0.396688047455791,0,0,0
118,-9.88476763562986,-0.431602205447138,-0.404140125163985,0,0,0
119,-9.88700655149374,-0.430000829849584,-0.407101957183598,0,0,0
120,-9.88523023052486,-0.437459638454488,-0.410797059652452,0,0,0
121,-9.88678367563345,-0.443583007236822,-0.404886569343789,0,0,0
122,-9.89157147513401,-0.442170576121178,-0.400475393030203,0,0,0
123,-9.89079601463306,-0.435284832071448,-0.410106072709896,0,0,0
124,-9.8890860722181,-0.429031198241068,-0.405569184964086,0,0,0
125,-9.89113417079249,-0.422565042455915,-0.404170204660574,0,0,0
126,-9.88854245211858,-0.420045545567237,-0.405572775209173,0,0,0
127,-9.88468277181923,-0.418527774062299,-0.396621415265116,0,0,0
128,-9.88164961153446,-0.422407488245454,-0.395149119381851,0,0,0
129,-9.88011253948338,-0.432361843777511,-0.395934310563639,0,0,0
130,-9.88311935638066,-0.438404661277247,-0.392242313494906,0,0,0
131,-9.88369884635683,-0.428296368983064,-0.399592300080143,0,0,0
132,-9.88920668586671,-0.425308178767416,-0.398884567311714,0,0,0
133,-9.88921807265697,-0.432967460121366,-0.394461499186473,0,0,0
134,-9.88943376382964,-0.428558498651992,-0.395975566836201,0,0,0
135,-9.88709175840459,-0.428542905548413,-0.401164074071981,0,0,0
136,-9.88833698582432,-0.432112968009972,-0.398891660564618,0,0,0
137,-9.88323648501271,-0.4362074081383,-0.398951208188651,0,0,0
138,-9.88449971403552,-0.439027378131423,-0.400397785718249,0,0,0
139,-9.88501988141356,-0.423400711679983,-0.390025958220528,0,0,0
140,-9.88735769391016,-0.406583762983401,-0.389961851212502,0,0,0
141,-9.88577558320749,-0.410380986708788,-0.389220096527965,0,0,0
142,-9.88901119574013,-0.431265459566431,-0.381020565613967,0,0,0
143,-9.88684439599743,-0.447459421777216,-0.393019075368236,0,0,0
144,-9.8773337320164,-0.449574817962964,-0.390696608230748,0,0,0
145,-9.87682969256678,-0.433737811610726,-0.390676103628308,0,0,0
146,-9.82976793419371,-0.417722737763571,-0.345911875924203,0,0,0
147,-9.74659137697721,-0.419428508914065,-0.348108099076266,0,0,0
148,-9.94424414662334,-0.421627275590306,-0.436212844393512,0,0,0
149,-9.89141192911115,-0.425208951209912,-0.395896388119781,0,0,0
150,-9.88504518431846,-0.411180618880484,-0.416003186379696,0,0,0
151,-9.88129914316735,-0.407462965422961,-0.411528763741811,0,0,0
152,-9.89398678682778,-0.408588976182612,-0.412991275165219,0,0,0
153,-9.89105255370092,-0.420200549349753,-0.418271481092084,0,0,0
154,-9.90442472966206,-0.425840999735209,-0.418252727606146,0,0,0
155,-9.89203605366062,-0.427260930040278,-0.407200290738045,0,0,0
156,-9.85327930184509,-0.42253618111547,-0.399677708596869,0,0,0
157,-9.87662013747227,-0.414321803845739,-0.40557806963267,0,0,0
158,-9.8891059358997,-0.41133922177949,-0.403424679520904,0,0,0
159,-9.89193618251333,-0.411878273877963,-0.411566706360614,0,0,0
160,-9.86614756312681,-0.412339922767193,-0.399638474057351,0,0,0
161,-9.88037824848466,-0.421109869268418,-0.404120129927652,0,0,0
162,-9.92198711629796,-0.42333427324351,-0.40266945045869,0,0,0
163,-9.90433186223325,-0.430353929167403,-0.405610561751528,0,0,0
164,-9.89362371048511,-0.409700041807148,-0.405646090626924,0,0,0
165,-9.89540232336031,-0.380824236608499,-0.409285969728695,0,0,0
166,-9.91903847033047,-0.376681950472791,-0.418989905996891,0,0,0
167,-9.90791351213643,-0.385512703111937,-0.411637322261768,0,0,0
168,-9.90147603460556,-0.402904539009869,-0.40716927096528,0,0,0
169,-9.90433169375437,-0.405760119999619,-0.410121994457821,0,0,0
170,-9.86889267576946,-0.398158499604704,-0.4145516667142,0,0,0
171,-9.87734353433511,-0.384330031316356,-0.421956346975844,0,0,0
172,-9.86788780664185,-0.391844822301355,-0.419671899330154,0,0,0
173,-9.8800504094288,-0.405419034660041,-0.427194729834514,0,0,0
174,-9.90474850068899,-0.411577317552655,-0.432386724084802,0,0,0
175,-9.87496688305699,-0.41423412420023,-0.410007955412993,0,0,0
176,-9.88236385591722,-0.411530293584838,-0.421285427166045,0,0,0
177,-9.90360187236572,-0.405795968548626,-0.429464367336414,0,0,0
178,-9.8953116737913,-0.392221152132102,-0.423451251684916,0,0,0
179,-9.89718762110754,-0.387905983293171,-0.424999364287726,0,0,0
180,-9.89140613060306,-0.394488637925877,-0.424176240065378,0,0,0
181,-9.86343257093162,-0.394301387363809,-0.42044316835915,0,0,0
182,-9.88105348279779,-0.394901625379331,-0.428686828606284,0,0,0
183,-9.88023973865082,-0.389513987030269,-0.429391535401261,0,0,0
184,-9.8879284734221,-0.387936257089535,-0.425697466798229,0,0,0
185,-9.88706016234707,-0.385562842916086,-0.422685943195972,0,0,0
186,-9.89170724948404,-0.380971803088647,-0.431615329234432,0,0,0
187,-9.89609210183866,-0.387635239794068,-0.434590826843321,0,0,0
188,-9.8731904205622,-0.393273778377522,-0.424145934373841,0,0,0
189,-9.90603251224541,-0.384465880175598,-0.44204238729938,0,0,0
190,-9.92195562041661,-0.378056915318185,-0.445748181266797,0,0,0
191,-9.88302451467364,-0.379305089111324,-0.433753252565262,0,0,0
192,-9.89251763790997,-0.382531569222669,-0.434610112603302,0,0,0
193,-9.90297228712695,-0.381438024036868,-0.442762114262177,0,0,0
194,-9.8881836218856,-0.382030193867066,-0.436881510612491,0,0,0
195,-9.88182823757217,-0.386486016850636,-0.442037934313484,0,0,0
196,-9.90629281174226,-0.381624893914993,-0.442830183350283,0,0,0
197,-9.90116334099894,-0.394224818510621,-0.435319734736178,0,0,0
198,-9.89752309556295,-0.402069902615534,-0.436130298206449,0,0,0
199,-9.9014328151946,-0.395216150869796,-0.436127949436986,0,0,0
200,-9.8959984040529,-0.380671241148428,-0.438998951420248,0,0,0
201,-9.89007452055124,-0.37095615947366,-0.437489541362464,0,0,0
202,-9.88946206451171,-0.381035826272825,-0.453931243597395,0,0,0
203,-9.88761551780643,-0.39226046555919,-0.451679053260205,0,0,0
204,-9.89107446960883,-0.37037990447543,-0.448697026342621,0,0,0
205,-9.89328389592733,-0.365693922549776,-0.446431453158134,0,0,0
206,-9.8911716348484,-0.375818221526432,-0.430895373932084,0,0,0
207,-9.89537620853787,-0.384625020711324,-0.431610032654538,0,0,0
208,-9.89097963523769,-0.383306292604268,-0.430888746709943,0,0,0
209,-9.88703439460969,-0.374830666430452,-0.431553373767702,0,0,0
210,-9.88481765231175,-0.371095681842097,-0.433033178903115,0,0,0
211,-9.88936304222934,-0.377128819187867,-0.441247281753754,0,0,0
212,-9.88848289606782,-0.385453896177018,-0.450183996442837,0,0,0
213,-9.88781053484252,-0.380184941886214,-0.451664334526187,0,0,0
214,-9.89291022349675,-0.384503948618603,-0.447182599817815,0,0,0
215,-9.89468574748208,-0.386988518283282,-0.454690887860919,0,0,0
216,-9.89691748046815,-0.39456047328021,-0.456951429449093,0,0,0
217,-9.89437254691916,-0.39743485561672,-0.453184131000917,0,0,0
218,-9.89615330624146,-0.399159000722579,-0.456227616735823,0,0,0
219,-9.88853490482016,-0.39161679994028,-0.456174883544808,0,0,0
220,-9.88640835233696,-0.373423354596768,-0.456861555706257,0,0,0
221,-9.89031283926275,-0.365801182146613,-0.4456985598351,0,0,0
222,-9.8897389134693,-0.362146244359166,-0.436052667722477,0,0,0
223,-9.88821426131414,-0.362167165309051,-0.433074365885944,0,0,0
224,-9.88397186901609,-0.371800917613539,-0.430785142020838,0,0,0
225,-9.88786601930379,-0.383293684245477,-0.428636228898297,0,0,0
