Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.53596656977687,-1.02543409595891,-2.36936455169169,0,0,0
1,-9.54134336398267,-1.03308668041662,-2.3961695674342,0,0,0
2,-9.54992483774056,-1.01627463272662,-2.41103764299186,0,0,0
3,-9.54485227475045,-1.00739594070163,-2.43110740933409,0,0,0
4,-9.53346144656234,-0.996831703577249,-2.41470403843095,0,0,0
5,-9.54015776717134,-1.009621758248,-2.44151261797996,0,0,0
6,-9.54887865807019,-1.0359303993607,-2.47503447754853,0,0,0
7,-9.54875678226785,-1.04810362034799,-2.46315079269161,0,0,0
8,-9.55238748397832,-1.0601569158102,-2.46540430639381,0,0,0
9,-9.56295347769859,-1.05990707213288,-2.46318589297877,0,0,0
10,-9.57378662776581,-1.04919227106703,-2.44905723403632,0,0,0
11,-9.58547381255734,-1.0262632327957,-2.44383671580495,0,0,0
12,-9.59489337543271,-1.00799180276008,-2.4490363011523,0,0,0
13,-9.58072710054792,-0.989305410510357,-2.4422943776952,0,0,0
14,-9.57116064437598,-0.972894477663198,-2.44077300699266,0,0,0
15,-9.56364135103146,-0.96925453240568,-2.45265930037659,0,0,0
16,-9.55207137891092,-0.976946590155608,-2.4355394364945,0,0,0
17,-9.54961708353051,-0.982944112223316,-2.43033258444496,0,0,0
18,-9.55703471775221,-0.997229379688791,-2.43333976319748,0,0,0
19,-9.55540302151694,-1.00020402674413,-2.4370574678113,0,0,0
20,-9.55696287258339,-0.997915844278187,-2.43928883932775,0,0,0
21,-9.55629785271213,-1.00110682975777,-2.44301738521811,0,0,0
22,-9.55460800210199,-1.0047861790941,-2.44673385190733,0,0,0
23,-9.54560190791383,-0.999688867348761,-2.41993521206272,0,0,0
24,-9.54795266377813,-0.991270436745181,-2.4236450522567,0,0,0
25,-9.55887432238432,-0.979867867321866,-2.44373693428042,0,0,0
26,-9.56358458713855,-0.963052332513052,-2.42735323740148,0,0,0
27,-9.57444554228554,-0.952359982809025,-2.43107869115044,0,0,0
28,-9.57742583333488,-0.955324516814501,-2.42439182585381,0,0,0
29,-9.56668470627366,-0.963081085384928,-2.4072763596899,0,0,0
30,-9.55206702686095,-0.973875737448636,-2.41619271915901,0,0,0
31,-9.54988877576626,-0.968644575360313,-2.41172024734936,0,0,0
32,-9.54808667014159,-0.985277876157174,-2.40281106955257,0,0,0
33,-9.54879713462166,-0.985211939007022,-2.40057837626388,0,0,0
34,-9.55891245852474,-0.975315427219151,-2.40653637071234,0,0,0
35,-9.57439999421735,-0.955391968355036,-2.41843677580559,0,0,0
36,-9.56845779115941,-0.946425118541752,-2.39758748849501,0,0,0
37,-9.56989038669345,-0.953982154028893,-2.41991672703099,0,0,0
38,-9.57033502945915,-0.974370197178453,-2.44374720248815,0,0,0
39,-9.56878234531061,-0.986653632583803,-2.45938840439473,0,0,0
40,-9.56088673808617,-0.996451594470894,-2.44450467142954,0,0,0
41,-9.54239884547328,-1.0110921521978,-2.41771357812967,0,0,0
42,-9.54544789847821,-1.00720339654466,-2.42886934705817,0,0,0
43,-9.54932692078618,-1.00184938548523,-2.42514922417173,0,0,0
44,-9.56401052278914,-0.991113533675677,-2.44375904747556,0,0,0
