Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.6863731839662,-0.753269669064527,-2.13446531367695,0,0,0
1,-9.6855330762614,-0.756251845451395,-2.13889933054377,0,0,0
2,-9.68480932370441,-0.759408284088485,-2.14417311074023,0,0,0
3,-9.68681263100332,-0.761284304307781,-2.1380364397905,0,0,0
4,-9.68540700464845,-0.763039260344244,-2.1284928628418,0,0,0
5,-9.68544002865407,-0.756123570128138,-2.12842068317613,0,0,0
6,-9.6869511013298,-0.758415372410921,-2.12176256560746,0,0,0
7,-9.6847040743154,-0.760035608316364,-2.13369537130847,0,0,0
8,-9.68612210980008,-0.766817519096329,-2.13891340975574,0,0,0
9,-9.68223495007248,-0.767519879923601,-2.13958841237263,0,0,0
10,-9.68440243556857,-0.777369573372416,-2.14484326847673,0,0,0
11,-9.6851936970302,-0.774321417413297,-2.13368210768356,0,0,0
12,-9.68686629012898,-0.76755809507413,-2.13668378308094,0,0,0
13,-9.68688946804418,-0.764488047661475,-2.14483116976889,0,0,0
14,-9.68478840188777,-0.760922124220202,-2.14640668796985,0,0,0
15,-9.68627321753102,-0.760842533233405,-2.14860884112972,0,0,0
16,-9.68936736021483,-0.759333747395838,-2.14343631413817,0,0,0
17,-9.68464114528862,-0.758372890890623,-2.15145153208639,0,0,0
18,-9.68555048845205,-0.756265444881814,-2.15005799799162,0,0,0
19,-9.68477314806013,-0.754706063238156,-2.14779128315135,0,0,0
20,-9.6856436655043,-0.759509747158385,-2.14275037601166,0,0,0
21,-9.68543250575725,-0.759971003973104,-2.13812807460718,0,0,0
22,-9.6854907024057,-0.761602209060891,-2.14191337297183,0,0,0
23,-9.68542262507362,-0.760728388451326,-2.13961681727476,0,0,0
24,-9.68409773529337,-0.758720960415663,-2.14271513184682,0,0,0
25,-9.68413904815386,-0.758015932066614,-2.13679486323411,0,0,0
26,-9.68777082719041,-0.759242740336836,-2.14337003892083,0,0,0
27,-9.68839284024502,-0.759804557439638,-2.1365810985567,0,0,0
28,-9.68467671796703,-0.75922135800129,-2.13291859180582,0,0,0
29,-9.68542374960062,-0.757641066366836,-2.13362989892517,0,0,0
30,-9.68701261474215,-0.753844994878148,-2.13883503965415,0,0,0
31,-9.68627434084365,-0.757755241980372,-2.14262191412811,0,0,0
32,-9.68554879766555,-0.75858720680684,-2.14786098094862,0,0,0
33,-9.68629699040637,-0.757007834117004,-2.14931619364319,0,0,0
34,-9.68635916246076,-0.753230903137603,-2.15005550003822,0,0,0
35,-9.68637431747925,-0.754800742547386,-2.15083320795173,0,0,0
36,-9.68491211474653,-0.75104474688684,-2.148594497067,0,0,0
37,-9.68715626584805,-0.75327552997847,-2.14934472897223,0,0,0
38,-9.68556971960314,-0.757073359276321,-2.1456274046354,0,0,0
39,-9.6876498606234,-0.762153113656354,-2.14628546156505,0,0,0
40,-9.68537385291182,-0.766838857041009,-2.14635133552651,0,0,0
41,-9.68534417379037,-0.766022826772329,-2.14408672911007,0,0,0
42,-9.68527029204485,-0.765144507559522,-2.13807062236916,0,0,0
43,-9.68526680961105,-0.765141787676821,-2.13583889165582,0,0,0
44,-9.68543373077054,-0.761529938558395,-2.12997884326091,0,0,0
45,-9.68557041540544,-0.760954926638565,-2.13602505759761,0,0,0
46,-9.68714830976605,-0.759473417572475,-2.13308188657949,0,0,0
47,-9.68466567647117,-0.759977835851194,-2.13366342361868,0,0,0
48,-9.68398894173401,-0.757787523810103,-2.13889880072877,0,0,0
49,-9.68628713721322,-0.756235040650188,-2.13518096058895,0,0,0
50,-9.68629701783613,-0.755477659871179,-2.13369221730894,0,0,0
51,-9.68860509393825,-0.753167795932256,-2.1284856338891,0,0,0
52,-9.6846593057836,-0.759207758576511,-2.12175992898503,0,0,0
53,-9.68910516149096,-0.767461731435665,-2.13516757007067,0,0,0
54,-9.68610583099238,-0.76833500054043,-2.14412262980534,0,0,0
55,-9.68538658477578,-0.763760646249168,-2.14780352050924,0,0,0
56,-9.68692945490456,-0.7575777775008,-2.14922243798082,0,0,0
57,-9.68477905148533,-0.759356855554103,-2.149348538979,0,0,0
58,-9.68549882809804,-0.761608555464385,-2.14712075327345,0,0,0
59,-9.68773126617682,-0.759184057577426,-2.14259417635793,0,0,0
60,-9.68549133389744,-0.763925746623631,-2.14120417515039,0,0,0
61,-9.68548135152141,-0.760036936089048,-2.14485522461745,0,0,0
62,-9.68534165247126,-0.756728443415668,-2.14692350823612,0,0,0
63,-9.68544570612726,-0.753011948044155,-2.14992649625629,0,0,0
64,-9.68487670523849,-0.756400549672875,-2.15607201544389,0,0,0
65,-9.68618998403078,-0.7583988756972,-2.14553457448704,0,0,0
66,-9.68096742774968,-0.755527525841342,-2.15150582908214,0,0,0
67,-9.68491864942866,-0.75801907308332,-2.14944255984924,0,0,0
68,-9.68412625228157,-0.759536103812113,-2.14423582907602,0,0,0
69,-9.68555055253541,-0.757823483323552,-2.14116485675456,0,0,0
70,-9.68633017927783,-0.756296457496494,-2.13818855483174,0,0,0
71,-9.68536326822055,-0.759096252077134,-2.13508761368075,0,0,0
72,-9.68840156023882,-0.759046258935423,-2.13434844687621,0,0,0
73,-9.68541914263693,-0.76072566856637,-2.13738508471061,0,0,0
74,-9.68619591741132,-0.761519480158049,-2.13146785144842,0,0,0
75,-9.68539188665346,-0.764557648417039,-2.13444599405458,0,0,0
76,-9.68697146711315,-0.760754360864779,-2.13369984984549,0,0,0
77,-9.6884063086187,-0.763696146975745,-2.13516177941977,0,0,0
78,-9.69152894428789,-0.764532637411261,-2.1471339239665,0,0,0
79,-9.68618949179678,-0.763809755068966,-2.15081230455226,0,0,0
80,-9.68535627553435,-0.760621008733665,-2.14624810918174,0,0,0
81,-9.68627613321407,-0.760079716379187,-2.14265662840731,0,0,0
82,-9.6854155962294,-0.759164909001134,-2.14404648849795,0,0,0
83,-9.68903933205623,-0.765031747449109,-2.14325197172611,0,0,0
84,-9.68376402761032,-0.769060588671484,-2.13664893267507,0,0,0
85,-9.68551517133352,-0.761649093334654,-2.13301838273511,0,0,0
86,-9.68556391553718,-0.757068826130968,-2.14190784727709,0,0,0
87,-9.68461143324869,-0.754468517199512,-2.14245610172613,0,0,0
88,-9.68309174257821,-0.757581350202257,-2.14918455458491,0,0,0
89,-9.68099017071394,-0.759426373553074,-2.15603781291359,0,0,0
90,-9.68454697291856,-0.76133199869048,-2.14695980137008,0,0,0
91,-9.6868388657185,-0.765185871724937,-2.14480013846391,0,0,0
92,-9.6847272905696,-0.760053740890255,-2.14857359457227,0,0,0
93,-9.68550516189684,-0.759290434854374,-2.15229341529572,0,0,0
94,-9.68557904325605,-0.760168798492456,-2.15830954137036,0,0,0
95,-9.68841947291805,-0.758267350481549,-2.16258415528568,0,0,0
96,-9.68552837815105,-0.759308567428266,-2.16717163855952,0,0,0
97,-9.6854498903813,-0.761514785035743,-2.16491070729336,0,0,0
98,-9.68609814145779,-0.765978197239208,-2.16488545831602,0,0,0
99,-9.68536506841049,-0.766039146082064,-2.15747712449502,0,0,0
100,-9.68457369951483,-0.759822647301901,-2.14844577928535,0,0,0
101,-9.68702379664351,-0.760823008533373,-2.14265873521851,0,0,0
102,-9.68674697532343,-0.76505858940642,-2.13506540493163,0,0,0
103,-9.68454889082501,-0.766772537075542,-2.12920824711364,0,0,0
104,-9.68527907624863,-0.7659442308524,-2.1269448345981,0,0,0
105,-9.68535112964394,-0.761409874695158,-2.12619539827594,0,0,0
106,-9.68538193268873,-0.759138616790796,-2.12247308265674,0,0,0
107,-9.68524992784661,-0.762805506153295,-2.1261333511502,0,0,0
108,-9.6853106507629,-0.773730802246099,-2.12708182360785,0,0,0
109,-9.68756067570107,-0.777524033518873,-2.12265845827688,0,0,0
110,-9.68895648069502,-0.778084719344481,-2.12479765540413,0,0,0
111,-9.68447394953782,-0.770539513643641,-2.12028592164772,0,0,0
112,-9.68555585415312,-0.758620506441774,-2.12780731649574,0,0,0
113,-9.68488027855408,-0.756431139905692,-2.13378660982724,0,0,0
114,-9.68543197583659,-0.762293665738265,-2.13667496468325,0,0,0
115,-9.68531691822951,-0.769854780726624,-2.14114764119871,0,0,0
116,-9.68538615799268,-0.770729414236613,-2.14418811077243,0,0,0
