Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.50981865272809,1.48729712923697,-4.07680015918675,0,0,0
1,-8.50306685979878,1.48261783686622,-4.10174786204515,0,0,0
2,-8.51436569429127,1.47822793249822,-4.12216618966924,0,0,0
3,-8.52099004017325,1.46934524284748,-4.11763459181741,0,0,0
4,-8.51834892345611,1.46511014337028,-4.11055294600408,0,0,0
5,-8.51804132898295,1.45169994279376,-4.08333184232358,0,0,0
6,-8.51391456008548,1.45582496553076,-4.0904177896521,0,0,0
7,-8.51159413825646,1.45127977632138,-4.07686132643145,0,0,0
8,-8.51409757958274,1.45336176905798,-4.07706335219377,0,0,0
9,-8.52770662053853,1.45807643720699,-4.07705932605448,0,0,0
10,-8.54115159505823,1.4652234123013,-4.06104450710342,0,0,0
11,-8.51408444091846,1.46477510073698,-4.05428544994175,0,0,0
12,-8.49826194053737,1.46226115989748,-4.04525785229214,0,0,0
13,-8.50061014948894,1.46221840600987,-4.06568671356349,0,0,0
14,-8.50690067535355,1.45366706683235,-4.08795980216496,0,0,0
15,-8.52308344702334,1.47181200923737,-4.09936341561269,0,0,0
16,-8.52755145537859,1.47649977741627,-4.11733553326537,0,0,0
17,-8.52542436801524,1.47178112505142,-4.13108662748382,0,0,0
18,-8.53470159283878,1.47396368333671,-4.12224889776921,0,0,0
19,-8.53203112022177,1.46746967793966,-4.10387055317075,0,0,0
20,-8.52291059317385,1.46055995271987,-4.08353953018766,0,0,0
21,-8.51395406770823,1.45121801527194,-4.07921928931444,0,0,0
22,-8.51836644472228,1.45823220193068,-4.07676349666268,0,0,0
23,-8.52104854569429,1.45785805998592,-4.07038765761254,0,0,0
24,-8.51883653856882,1.46690564058406,-4.06578031276809,0,0,0
25,-8.52107789003078,1.47835824867033,-4.04525983430394,0,0,0
26,-8.51216389834552,1.48495238816108,-4.04527279087169,0,0,0
27,-8.51671820048229,1.46217287242738,-4.06597812890336,0,0,0
28,-8.52072640876351,1.46501972287284,-4.08580459435761,0,0,0
29,-8.50931042218064,1.46268026225866,-4.07667352496575,0,0,0
30,-8.50537250786346,1.47118152695203,-4.06805268921328,0,0,0
31,-8.50522910811546,1.48273659920707,-4.08357492574926,0,0,0
32,-8.5189391448484,1.48735739794027,-4.09044805538086,0,0,0
33,-8.51202194505387,1.4919625064002,-4.10832691718037,0,0,0
34,-8.51231485180194,1.50308963118879,-4.10166277171381,0,0,0
35,-8.50779854482305,1.50302325217456,-4.10844227946214,0,0,0
36,-8.49855950655708,1.50308566523312,-4.11502352349122,0,0,0
37,-8.51666712882494,1.49419630070593,-4.12198012295466,0,0,0
38,-8.51198240028146,1.48972018545763,-4.11284226594176,0,0,0
39,-8.50539908892309,1.50084294396391,-4.11059964288753,0,0,0
40,-8.51025067143787,1.49603209476177,-4.12454754472991,0,0,0
41,-8.5144653431768,1.49637802010562,-4.09487761339081,0,0,0
42,-8.50529059173626,1.48040038768954,-4.09496743862606,0,0,0
43,-8.50761233887892,1.46439525279937,-4.08621562770288,0,0,0
44,-8.50524212571706,1.45762454091515,-4.09298658777925,0,0,0
45,-8.51384424858956,1.45132607079366,-4.08589532073465,0,0,0
46,-8.50275192095918,1.46237042783584,-4.07913788803938,0,0,0
47,-8.50070385966045,1.46213650676117,-4.08385820589938,0,0,0
48,-8.5116264505695,1.4672326428896,-4.09700654211805,0,0,0
49,-8.5256147269408,1.4693058635794,-4.10643792498814,0,0,0
50,-8.51373593100003,1.45828106097663,-4.09699559849833,0,0,0
51,-8.51424408962668,1.46919921112293,-4.08375598582344,0,0,0
52,-8.52097536511131,1.46706244831083,-4.08374923163056,0,0,0
53,-8.51832693335577,1.46283922992,-4.08796197857099,0,0,0
54,-8.52069564150943,1.46276311652025,-4.07676677664443,0,0,0
55,-8.52297797924481,1.4650636345803,-4.09257971849375,0,0,0
56,-8.51823612793977,1.46291636720567,-4.06527283471718,0,0,0
57,-8.52279340307669,1.45837331278666,-4.0450359809831,0,0,0
58,-8.51859929050523,1.46484386254753,-4.04976479977554,0,0,0
59,-8.52078643383156,1.46722867500167,-4.04966517646944,0,0,0
60,-8.51164542631387,1.46035230773851,-4.0609582184073,0,0,0
61,-8.50720084772619,1.45793314676909,-4.06331817732394,0,0,0
62,-8.51213748426551,1.47129658351239,-4.07256604172837,0,0,0
63,-8.5027812775335,1.47147875436112,-4.09711770466918,0,0,0
64,-8.50310938399468,1.49170481664284,-4.09939790178544,0,0,0
65,-8.5120629087559,1.48735295450037,-4.09486959222324,0,0,0
66,-8.5032718368971,1.48242524963139,-4.11098449657684,0,0,0
67,-8.5077105815198,1.48485403748403,-4.11765995305323,0,0,0
68,-8.50525538444767,1.46675892258718,-4.13581399024565,0,0,0
69,-8.52069712104864,1.45821806174295,-4.12429873477496,0,0,0
70,-8.5164678035797,1.45558992022358,-4.12008335320236,0,0,0
71,-8.50951262808534,1.48304084232243,-4.11047716677507,0,0,0
72,-8.51670806190759,1.48273735932611,-4.10183967583154,0,0,0
73,-8.52119507589027,1.48054477112565,-4.08376345505063,0,0,0
74,-8.51181531298862,1.4647597815389,-4.07461668604295,0,0,0
75,-8.50265084239146,1.45561493758998,-4.06557759303143,0,0,0
76,-8.50987704593792,1.45756853854513,-4.06597777147092,0,0,0
77,-8.5046842637205,1.4558726242458,-4.08344591460586,0,0,0
78,-8.50933094939163,1.46495355841791,-4.10152335208172,0,0,0
79,-8.49182945409328,1.47782217241384,-4.08603894615417,0,0,0
80,-8.48710234569176,1.47795787044498,-4.09261732131622,0,0,0
81,-8.50064108338141,1.48502313341921,-4.09477395328146,0,0,0
82,-8.51871218761476,1.48758577239343,-4.11509437141342,0,0,0
83,-8.5163741420143,1.46937032692776,-4.1152780545849,0,0,0
84,-8.50065553821596,1.45990852555398,-4.10192677991402,0,0,0
85,-8.50757727370789,1.47584437783364,-4.09732067700308,0,0,0
86,-8.5096092724481,1.48295407639183,-4.12413091374533,0,0,0
87,-8.50989477213615,1.48039431082693,-4.11539488473113,0,0,0
88,-8.5141679647815,1.47155918354364,-4.09495211147684,0,0,0
89,-8.50518068677964,1.46680986809785,-4.08827719203283,0,0,0
90,-8.51853338235941,1.45579518106625,-4.08825657193704,0,0,0
91,-8.52304677455136,1.45586632567755,-4.08599478354734,0,0,0
92,-8.51822588772389,1.46293304615302,-4.08108483781694,0,0,0
93,-8.5159391664477,1.46063965462842,-4.07204849805892,0,0,0
94,-8.506948997462,1.45589509152106,-4.06989129530633,0,0,0
95,-8.49354078240568,1.47154324645255,-4.10595782692819,0,0,0
96,-8.49870287344825,1.49153018553608,-4.09950140290541,0,0,0
97,-8.52116290878463,1.49198939438926,-4.09035076503267,0,0,0
98,-8.51611198461207,1.46504240462448,-4.08118923132901,0,0,0
99,-8.51392630115855,1.46265520850975,-4.07903002203669,0,0,0
100,-8.51392044959576,1.4626647393545,-4.08806546915696,0,0,0
101,-8.51825519245457,1.46519205690004,-4.09238149636115,0,0,0
102,-8.51419426838869,1.46012434236776,-4.09740027651431,0,0,0
103,-8.51655859455216,1.46005539177735,-4.09298165227046,0,0,0
104,-8.51853048823997,1.46264921758718,-4.09945743449384,0,0,0
105,-8.51373446811069,1.45828344368561,-4.0992544581812,0,0,0
106,-8.51213021014982,1.47815781081619,-4.09054352723448,0,0,0
107,-8.52087437882176,1.48085506704225,-4.09023834188645,0,0,0
108,-8.50712180488149,1.46029784228022,-4.07903203505597,0,0,0
109,-8.50268019842706,1.46472323157048,-4.08355742221005,0,0,0
110,-8.51831669313039,1.46285590888283,-4.1037739963511,0,0,0
111,-8.52292670455435,1.45599108171267,-4.10848285584682,0,0,0
112,-8.52952027441058,1.44485175301253,-4.09491343605842,0,0,0
113,-8.5116000301528,1.4581195284978,-4.07450901849479,0,0,0
114,-8.50053691256262,1.45772429840493,-4.06568197242347,0,0,0
115,-8.49558439794686,1.46493492945986,-4.10133095830323,0,0,0
116,-8.50490689976649,1.46480764936813,-4.12873319660734,0,0,0
117,-8.51231907978426,1.47114223242118,-4.11794459559082,0,0,0
118,-8.49131273980695,1.48061736879202,-4.12619788546482,0,0,0
119,-8.50722010222827,1.48306364650718,-4.16695006761756,0,0,0
120,-8.50228350321919,1.46970000255151,-4.15770207054728,0,0,0
121,-8.5049844765876,1.46244531486891,-4.11527824886973,0,0,0
122,-8.50049302576018,1.4577957798733,-4.13344795165715,0,0,0
123,-8.50478977879391,1.4649276855392,-4.14670346814376,0,0,0
124,-8.50025745320392,1.47627973723667,-4.13522272136936,0,0,0
125,-8.49324789390925,1.46041586341129,-4.11262195568986,0,0,0
126,-8.5159230746799,1.46066586440282,-4.0968959315014,0,0,0
127,-8.52263531188786,1.46995224392727,-4.08314675786217,0,0,0
128,-8.51827420999834,1.46516108171211,-4.06301634774731,0,0,0
129,-8.51111524125312,1.44031366025977,-4.04492379388949,0,0,0
130,-8.53176887551302,1.44259379770806,-4.04973232672588,0,0,0
131,-8.52282273648398,1.46748170589398,-4.06301579596212,0,0,0
132,-8.52086262894681,1.47856747462915,-4.05183535667324,0,0,0
133,-8.52254885947919,1.46317276393414,-4.04699799168538,0,0,0
134,-8.5202840696776,1.44945148575668,-4.04718628913639,0,0,0
135,-8.52202302017151,1.43173454339522,-4.06729448326511,0,0,0
