Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.47187021635335,-0.649822047695488,-1.46046079128736,0,0,0
1,-9.48287506657561,-0.651797003984753,-1.50773024631324,0,0,0
2,-9.48629365546199,-0.653714000577462,-1.55893407420675,0,0,0
3,-9.48012907768571,-0.653927809541861,-1.57744534568999,0,0,0
4,-9.47072168694382,-0.665284680830808,-1.57503428190157,0,0,0
5,-9.47298623038243,-0.640443517774899,-1.5521820099016,0,0,0
6,-9.46182558044873,-0.633887737382145,-1.5431630084085,0,0,0
7,-9.47159275939184,-0.649662048787407,-1.57323256195408,0,0,0
8,-9.4618793950866,-0.654176199272825,-1.58182707331472,0,0,0
9,-9.46400618926261,-0.636038738975566,-1.60187643954501,0,0,0
10,-9.47611563187965,-0.62247989309227,-1.60232348282719,0,0,0
11,-9.4822846213065,-0.622272774653651,-1.57703707353783,0,0,0
12,-9.48698922311138,-0.624532850111711,-1.53652800548398,0,0,0
13,-9.48978074983291,-0.617857728275408,-1.50972659621695,0,0,0
14,-9.48475439936853,-0.624602953461896,-1.50491244791196,0,0,0
15,-9.48674373332514,-0.629043629225811,-1.48669277767908,0,0,0
16,-9.48902007034568,-0.640296266313666,-1.48682604534513,0,0,0
17,-9.48441803867159,-0.633584528372584,-1.48217277903724,0,0,0
18,-9.48372483853993,-0.651514586673589,-1.46831049792209,0,0,0
19,-9.48629346075158,-0.658332491489058,-1.4460115096874,0,0,0
20,-9.48884454725516,-0.665121677896959,-1.45081276538432,0,0,0
21,-9.4821109134516,-0.662975120664189,-1.45759460270169,0,0,0
22,-9.48807066166445,-0.64915524004696,-1.46364667196497,0,0,0
23,-9.4929953239108,-0.635607676067945,-1.47961302927094,0,0,0
24,-9.48477780040425,-0.624641068346131,-1.46877871265606,0,0,0
25,-9.48915737649156,-0.620027169850595,-1.46863395946226,0,0,0
26,-9.48423371596383,-0.620011462214789,-1.47511878165886,0,0,0
27,-9.49391289986384,-0.604186769831385,-1.48671450222766,0,0,0
28,-9.4899048905461,-0.597567279996532,-1.51185970013121,0,0,0
29,-9.48919411769255,-0.57708309221772,-1.54050652253411,0,0,0
30,-9.48929240312855,-0.570314864158789,-1.55858044321142,0,0,0
31,-9.4946414090532,-0.581696063328169,-1.55929896344324,0,0,0
32,-9.48262188707943,-0.602037466503552,-1.56576665192591,0,0,0
33,-9.48300706160606,-0.604390813770513,-1.54573237073973,0,0,0
34,-9.48421233286131,-0.631231921970665,-1.54074577243098,0,0,0
35,-9.48245714531837,-0.638135853257288,-1.54569677080057,0,0,0
36,-9.47561937852164,-0.642747832651781,-1.54343804592736,0,0,0
37,-9.47934390376274,-0.65381673907122,-1.52717483478677,0,0,0
38,-9.47654353281149,-0.662787319059207,-1.51106508685378,0,0,0
39,-9.47886382374062,-0.671802156015726,-1.4999089893563,0,0,0
40,-9.47667207120473,-0.680888028907598,-1.49101414705091,0,0,0
41,-9.46567032073028,-0.676608386643062,-1.49568950968464,0,0,0
42,-9.47490708928223,-0.662956082955204,-1.50247297576613,0,0,0
43,-9.47424134426888,-0.665057120069184,-1.52687262469006,0,0,0
44,-9.46779709954914,-0.658470968001904,-1.51573899859791,0,0,0
45,-9.47674786670513,-0.662828147000317,-1.51121170443771,0,0,0
46,-9.49077480328645,-0.658211342364611,-1.49117571526317,0,0,0
47,-9.48157514483248,-0.644795054715287,-1.4750941353046,0,0,0
48,-9.48650611657208,-0.644822434571887,-1.45731753158195,0,0,0
49,-9.49321868872208,-0.635679601770946,-1.45040101224615,0,0,0
50,-9.49291458974413,-0.642404457670062,-1.43443886590748,0,0,0
51,-9.49553112035997,-0.633426497638626,-1.41878496520895,0,0,0
52,-9.48948826163982,-0.626910650366623,-1.4192360642724,0,0,0
53,-9.49288859666328,-0.619851466151346,-1.40932768018698,0,0,0
54,-9.50891516602656,-0.617383126287851,-1.41172470095979,0,0,0
55,-9.4932791809834,-0.608648647083449,-1.40496936970017,0,0,0
56,-9.49614898873075,-0.608737539646601,-1.4031491095651,0,0,0
57,-9.49385849295339,-0.611026365610836,-1.40088984063174,0,0,0
58,-9.50229741049429,-0.608496872151196,-1.4094802267505,0,0,0
59,-9.50702122638313,-0.606169480770602,-1.45253489257462,0,0,0
60,-9.50718902804255,-0.606151024634412,-1.50914031207,0,0,0
61,-9.48675114349722,-0.626746294660276,-1.53186227815725,0,0,0
62,-9.47700843794883,-0.633521855374933,-1.52916274139633,0,0,0
63,-9.47708074796593,-0.642585496958914,-1.50671636048955,0,0,0
64,-9.47360451856494,-0.629319920283008,-1.51183669897206,0,0,0
65,-9.46569825781044,-0.635960106517076,-1.52465097172925,0,0,0
66,-9.47196459735868,-0.640238835186441,-1.55144873378913,0,0,0
67,-9.48129914143041,-0.644637413607494,-1.5856067045421,0,0,0
68,-9.47489357319696,-0.647060144994978,-1.60396892123391,0,0,0
69,-9.48355881776568,-0.644607807474387,-1.57883019357817,0,0,0
70,-9.4795067359766,-0.642534879323615,-1.55880366123237,0,0,0
71,-9.47319978405454,-0.654063900390833,-1.5140689529007,0,0,0
72,-9.47286636017488,-0.663050337617034,-1.48681253737614,0,0,0
73,-9.4791292316575,-0.656068460088538,-1.48637549001034,0,0,0
74,-9.48381727319186,-0.644736862460497,-1.49541784399025,0,0,0
75,-9.48121684615906,-0.653741123399935,-1.48622980814843,0,0,0
76,-9.48198528482611,-0.644879264888915,-1.47312894762628,0,0,0
77,-9.48578163615554,-0.651446480599682,-1.45912905921878,0,0,0
78,-9.47895268415825,-0.656072860866729,-1.44332024430204,0,0,0
79,-9.48363386644865,-0.658294693060308,-1.43894479969201,0,0,0
80,-9.48670946607829,-0.658426098148202,-1.43501282229601,0,0,0
81,-9.49345823960016,-0.633468485560475,-1.45280830330488,0,0,0
82,-9.48692896652418,-0.631362884696116,-1.45973669804301,0,0,0
83,-9.48468051900202,-0.617846220053401,-1.47315596707727,0,0,0
84,-9.48654670292944,-0.62901455047595,-1.47525441150719,0,0,0
85,-9.48911047710838,-0.622260185608712,-1.48444008060419,0,0,0
86,-9.48838453124336,-0.628881524098576,-1.48850988315557,0,0,0
87,-9.4862323748162,-0.63572269849161,-1.47510070726178,0,0,0
88,-9.48439700593941,-0.622295051113843,-1.48203805514872,0,0,0
89,-9.47978082046972,-0.629124808686702,-1.4752587938272,0,0,0
90,-9.48452948555365,-0.626837837537182,-1.47992154273747,0,0,0
91,-9.48401228264351,-0.633507356300267,-1.47736289357032,0,0,0
92,-9.48628714649047,-0.644757699124445,-1.47975450648003,0,0,0
93,-9.48130873023302,-0.635707140656218,-1.48158550520192,0,0,0
94,-9.48393603393564,-0.638002017372713,-1.481874851144,0,0,0
95,-9.4864646043245,-0.633499661135244,-1.48879979033458,0,0,0
96,-9.47965373991906,-0.649410635323478,-1.47764237440965,0,0,0
97,-9.48444931160465,-0.64489057189261,-1.46649899413603,0,0,0
98,-9.49794298567187,-0.646917352905273,-1.46874621458742,0,0,0
99,-9.48869054967141,-0.635724521134696,-1.47750418490209,0,0,0
100,-9.4793046782666,-0.633551803527226,-1.46592747881445,0,0,0
101,-9.48861227720792,-0.628960629406203,-1.45252284499633,0,0,0
102,-9.49357261160897,-0.626726559081178,-1.44604035429251,0,0,0
103,-9.49641114807055,-0.615509165972668,-1.45989403849514,0,0,0
104,-9.48712397335556,-0.620133541379226,-1.44168169711869,0,0,0
105,-9.49434166030673,-0.629121145991114,-1.46469113008917,0,0,0
106,-9.50360245471422,-0.626763102186615,-1.46709260234046,0,0,0
107,-9.4914762270851,-0.629039698891356,-1.45973614982994,0,0,0
