Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.61482947734713,-0.831340056244462,-0.00271284699830349,0,0,0
1,-9.62793611747913,-0.828311461739379,-0.00438421696841433,0,0,0
2,-9.62552838174516,-0.828165059519851,-0.0019336399316806,0,0,0
3,-9.61417640226906,-0.832844684624535,-0.00419466629577722,0,0,0
4,-9.62186668592205,-0.833849882022174,-0.00309323158423992,0,0,0
5,-9.61246553237845,-0.838126411087447,-0.000448713879803195,0,0,0
6,-9.62098652216396,-0.839667252136943,-0.0043767359125162,0,0,0
7,-9.61876919140029,-0.837457284674728,-0.00212209991288251,0,0,0
8,-9.6188846501272,-0.849059394407481,-0.0160482169467426,0,0,0
9,-9.61428892237392,-0.844442131358499,-0.0226377175253443,0,0,0
10,-9.63229731760019,-0.846399565807948,-0.020365186116836,0,0,0
11,-9.62339408905878,-0.848983501526689,-0.0183037689963331,0,0,0
12,-9.62106404231509,-0.844346159422889,-0.00908250469448022,0,0,0
13,-9.62533634560247,-0.839396344809442,-0.0154725812503605,0,0,0
14,-9.62785972494983,-0.841974888083424,-0.020372853307788,0,0,0
15,-9.63203083173073,-0.843786693264034,-0.0132049856436973,0,0,0
16,-9.61891854941469,-0.837635632346809,-0.00909108373489131,0,0,0
17,-9.61919816690168,-0.840269982094655,0.00407499324219286,0,0,0
18,-9.62618280951792,-0.83583277713921,-0.00966980098160003,0,0,0
19,-9.62970371005475,-0.839154023330949,0.000533178939537889,0,0,0
20,-9.63425693538312,-0.846010965397713,-0.00190881449095757,0,0,0
21,-9.63436689158144,-0.839263617960886,-0.00191593272705561,0,0,0
22,-9.63946498526636,-0.842195403400751,0.0108659415199592,0,0,0
23,-9.63257419945842,-0.839859205767546,-0.000239625947915744,0,0,0
24,-9.63719359299661,-0.833036063124075,-0.00250229613056123,0,0,0
25,-9.62117399745227,-0.837598877102161,-0.00908962286188286,0,0,0
26,-9.62595867693884,-0.840150186875439,-0.00495452771354755,0,0,0
27,-9.62301344946998,-0.843940860770272,-0.00643542659873723,0,0,0
28,-9.62098652216396,-0.839667252136943,-0.0043767359125162,0,0,0
29,-9.63868442908486,-0.84124898267543,-0.00623400106414422,0,0,0
30,-9.63268269142559,-0.833109573702933,-0.00250521788013786,0,0,0
31,-9.63172477040304,-0.843418142741666,-0.0105593656878923,0,0,0
32,-9.63680982844397,-0.837158478480772,-0.00662735215261191,0,0,0
33,-9.63211144903973,-0.839300373115972,-0.00191739359650434,0,0,0
34,-9.63409601523892,-0.83664350428671,-0.00153116987400918,0,0,0
35,-9.62553406463249,-0.837344636777617,-0.0043761869039758,0,0,0
36,-9.63259930712778,-0.828421106751007,-0.00683333768473767,0,0,0
37,-9.63043293264705,-0.842325748608563,-0.00494923326084213,0,0,0
38,-9.61437246426523,-0.839960619242736,-0.00683316105646754,0,0,0
39,-9.61643038217541,-0.83280554717415,-0.00645167293391349,0,0,0
40,-9.62456904420415,-0.838471271853589,-0.0122462249373222,0,0,0
41,-9.62305156417145,-0.841694127253294,-0.00417933183651824,0,0,0
42,-9.62958644015585,-0.845889491860397,-0.0107520298419711,0,0,0
43,-9.61892715222047,-0.846819840360994,-0.0070166944610922,0,0,0
44,-9.6256130527407,-0.842025937126407,-0.00682348396895774,0,0,0
45,-9.62309114150827,-0.839449776031614,0.000335230433285743,0,0,0
46,-9.6323808594915,-0.841918053692186,-0.00456062964795928,0,0,0
47,-9.62347048511646,-0.835320174649771,-0.0023151196054226,0,0,0
48,-9.62553406463249,-0.837344636777617,-0.0043761869039758,0,0,0
49,-9.62771328087019,-0.841801326901915,-0.00888691977447176,0,0,0
50,-9.61877633047935,-0.846639155673614,-0.00230617773910177,0,0,0
51,-9.62334168466433,-0.832866505975727,-0.0201916804764914,0,0,0
52,-9.62079173372367,-0.841723735522486,-0.010956195228722,0,0,0
53,-9.62518112939521,-0.839208475206872,-0.0175374660789274,0,0,0
