Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.42827704486441,0.140945167490561,-1.94595801525882,0,0,0
1,-9.42804549860282,0.12747369954227,-1.96401259700717,0,0,0
2,-9.42664401887105,0.117510719100496,-1.97804838944956,0,0,0
3,-9.4128750400647,0.128934665234618,-2.00045821126735,0,0,0
4,-9.41259186004049,0.14975063697477,-2.01147718030494,0,0,0
5,-9.40166768732126,0.146960846067133,-2.03200651227951,0,0,0
6,-9.40161014339305,0.131037382236312,-2.0366056165025,0,0,0
7,-9.40601920903301,0.13806220611936,-2.05232155564834,0,0,0
8,-9.40078659936954,0.13182132811213,-2.0610562283066,0,0,0
9,-9.39933293172887,0.142436818651344,-2.04103765297657,0,0,0
10,-9.39213785956862,0.154146704966022,-2.0497927943195,0,0,0
11,-9.39356953398166,0.141258942516638,-2.04722298403268,0,0,0
12,-9.38948650734681,0.129365281790826,-2.03847516488232,0,0,0
13,-9.40569271887605,0.129222294272667,-2.0183344994987,0,0,0
14,-9.41267169912512,0.129126468601853,-2.00261835443607,0,0,0
15,-9.409763154176,0.113717697172977,-1.99111327353442,0,0,0
16,-9.40562125027374,0.136123628662614,-1.98662271217128,0,0,0
17,-9.41025996200182,0.142913819183867,-1.95952368550634,0,0,0
18,-9.40827253060111,0.158596950351646,-1.94147293675397,0,0,0
19,-9.4031464970898,0.145397619631193,-1.92771322640785,0,0,0
20,-9.40592015445048,0.151793486677028,-1.92113986614744,0,0,0
21,-9.41796474522879,0.148977924785192,-1.9282995761861,0,0,0
22,-9.43004859683778,0.148276674570074,-1.92759967205652,0,0,0
23,-9.4310917983847,0.14958227362317,-1.93261123085399,0,0,0
24,-9.43170666005332,0.162707800531042,-1.94637392297838,0,0,0
25,-9.42653553175098,0.160983213513638,-1.97318248214479,0,0,0
26,-9.42440705607408,0.156262464281586,-1.97553624230936,0,0,0
27,-9.41114700370802,0.160351524199104,-1.97790679975592,0,0,0
28,-9.41318612735919,0.160601679653149,-2.00039295636971,0,0,0
29,-9.40951245010245,0.187139083137513,-2.00965570778804,0,0,0
30,-9.40866394973242,0.185656625655228,-2.01603525792951,0,0,0
31,-9.40433805735519,0.171710939534385,-2.01396229580033,0,0,0
32,-9.40193002097579,0.162690113048225,-2.02298869251795,0,0,0
33,-9.40857380698643,0.156076630746262,-2.04330464688958,0,0,0
34,-9.39933293172887,0.142436818651344,-2.04103765297657,0,0,0
35,-9.40156033863918,0.128810435545437,-2.05693071670052,0,0,0
36,-9.38573577457568,0.126302357331574,-2.05467996362356,0,0,0
37,-9.39692050717447,0.133423139489089,-2.05683986746137,0,0,0
38,-9.39415710173566,0.12701047939078,-2.04760277569374,0,0,0
39,-9.39460330428207,0.128870522777677,-2.03876773708971,0,0,0
40,-9.39634382681758,0.122543247620107,-2.04082076550114,0,0,0
41,-9.40341327116757,0.115515245802558,-2.02745463159177,0,0,0
42,-9.41422312302498,0.111566616343329,-2.01369399683513,0,0,0
43,-9.39411161196459,0.122468370609003,-2.00468459883642,0,0,0
44,-9.3471545355885,0.121305755022941,-1.99361918339802,0,0,0
45,-9.39267298347471,0.146768547239894,-1.98909884370172,0,0,0
46,-9.42982881215521,0.173735209742418,-1.95777871741575,0,0,0
47,-9.43599000054903,0.174414391585784,-1.95747906591335,0,0,0
48,-9.42300658916784,0.182808080427296,-1.95769416522557,0,0,0
49,-9.43301437041665,0.168208408581244,-1.96395394282465,0,0,0
50,-9.4222763852577,0.176655717414299,-1.97997781959883,0,0,0
51,-9.41344553556372,0.176335711516844,-1.99589234845294,0,0,0
52,-9.41117235895835,0.176327542701841,-2.02299708050858,0,0,0
53,-9.41115222784945,0.187761627806213,-2.02516906103433,0,0,0
54,-9.41107748398509,0.183267189469565,-2.0274229208572,0,0,0
55,-9.41369582415224,0.180683341584884,-2.0343918870613,0,0,0
56,-9.40492902313365,0.171165887748474,-2.03684384386435,0,0,0
57,-9.40418125670617,0.162734018482756,-2.02976304929821,0,0,0
58,-9.41318139839282,0.149208282473365,-2.03661728738514,0,0,0
59,-9.40105917576825,0.147534145983457,-2.03622823653613,0,0,0
60,-9.40822683735999,0.147270159832359,-2.04093805277487,0,0,0
61,-9.41009445631342,0.136259088063558,-2.04534343513268,0,0,0
62,-9.40578801335073,0.13599134982717,-2.04092765375419,0,0,0
63,-9.40311360749068,0.122648756809544,-2.03629917909505,0,0,0
64,-9.41156582974553,0.125745380053892,-2.04160474993743,0,0,0
65,-9.40833892041,0.128901650463544,-2.03885746957772,0,0,0
66,-9.39883502157929,0.124643788568471,-2.04543738435417,0,0,0
67,-9.40105692761366,0.122427371368268,-2.04091634371747,0,0,0
68,-9.38876734854373,0.148434440054089,-2.04586480011238,0,0,0
69,-9.40681421476829,0.160126555870947,-2.01414592541026,0,0,0
70,-9.4132975112647,0.167344495817404,-1.99814146641647,0,0,0
71,-9.41154051211895,0.159989061086869,-1.99391396904521,0,0,0
72,-9.41124926803579,0.155708081503137,-2.01865547972923,0,0,0
73,-9.40391049968604,0.158419636127295,-2.02288400414939,0,0,0
74,-9.40844117980454,0.172170863085671,-2.02053822930983,0,0,0
75,-9.40652521292891,0.180952410267275,-2.03419928230191,0,0,0
76,-9.41137423069741,0.176137893846902,-2.02309556399553,0,0,0
77,-9.41231178099105,0.170690626344446,-2.02132462180784,0,0,0
78,-9.41210405545979,0.170889773950686,-2.03026060512025,0,0,0
79,-9.4132144070896,0.176573011006342,-2.04096596681975,0,0,0
80,-9.40027119938354,0.162098903349993,-2.03683727802739,0,0,0
81,-9.39066762298172,0.151079559827744,-2.02759983717206,0,0,0
82,-9.41137932537648,0.15101941765771,-2.01649060336348,0,0,0
83,-9.39918233939625,0.144850892790213,-2.01835548646228,0,0,0
84,-9.40208604118248,0.146558007600205,-2.00961739535675,0,0,0
85,-9.3957214023799,0.146071108611194,-2.01207733567792,0,0,0
86,-9.40861846187034,0.133201839679115,-2.03218488175222,0,0,0
87,-9.4065280632082,0.130727275509118,-2.0322824632475,0,0,0
88,-9.40137748962321,0.128968884903045,-2.02747032451699,0,0,0
89,-9.39646106267065,0.129276599157375,-2.02953487289896,0,0,0
90,-9.39759051616991,0.135057916900009,-2.01422415341548,0,0,0
