Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.8928044396881,0.0646878514513313,-0.612942518011109,0,0,0
1,-9.87829728249264,0.0644669498138587,-0.614407496511067,0,0,0
2,-9.89812399647171,0.0693206744741105,-0.611457030829891,0,0,0
3,-9.88045819309899,0.07135535343409,-0.603986427041685,0,0,0
4,-9.87825378772032,0.0667538115522122,-0.608452803977543,0,0,0
5,-9.85805387357069,0.0617548834676977,-0.605452797242213,0,0,0
6,-9.82882798130106,0.0553564832961745,-0.607645408641886,0,0,0
7,-9.88608110161097,0.0615104502250584,-0.627815188531704,0,0,0
8,-9.88387854912597,0.0667660764820742,-0.622597569639733,0,0,0
9,-9.88163998370577,0.068991102062548,-0.625567031997816,0,0,0
10,-9.87244124884191,0.0650825518050522,-0.613654276221546,0,0,0
11,-9.88622977073145,0.0705705187898344,-0.629292033902134,0,0,0
12,-9.8821753249509,0.0682905529456349,-0.625567991162255,0,0,0
13,-9.84739957715918,0.0707256794347196,-0.619558959037361,0,0,0
14,-9.85424135753314,0.0753812461560199,-0.619563730012782,0,0,0
15,-9.88430187646285,0.0763707777735855,-0.61514810526671,0,0,0
16,-9.87190467312545,0.0756088507184168,-0.609920863195549,0,0,0
17,-9.87870363836196,0.0765080860917102,-0.613649957150193,0,0,0
18,-9.87045321796442,0.0755276171669169,-0.618846233095385,0,0,0
19,-9.88228687741434,0.0788680009788506,-0.632994163844685,0,0,0
20,-9.88158437453351,0.0765579273368727,-0.647875014408295,0,0,0
21,-9.85947503492309,0.0754519334355025,-0.655280591962893,0,0,0
22,-9.86007986991489,0.0934964343211633,-0.673858715271192,0,0,0
23,-9.87474194489963,0.105797393733972,-0.654524345868783,0,0,0
24,-9.87100829227215,0.0960958630639537,-0.621051335430243,0,0,0
25,-9.88529172958772,0.0759266831373631,-0.596549695704108,0,0,0
26,-9.90539515099462,0.0460355154262121,-0.598106795214481,0,0,0
27,-9.89303237266798,0.0284519259952199,-0.601829086678052,0,0,0
28,-9.88538040365674,0.0427340994857344,-0.601054304884101,0,0,0
29,-9.88019395159794,0.0555029405807971,-0.598798152255388,0,0,0
30,-9.87844823092196,0.0705077703066251,-0.603241338780803,0,0,0
31,-9.87137343752652,0.0810401596686257,-0.615118626244867,0,0,0
32,-9.87415584149908,0.0900663030150887,-0.616600918305616,0,0,0
33,-9.86590680725619,0.0868686225785963,-0.627751488623665,0,0,0
34,-9.86859246796768,0.0778946407756345,-0.630741904495291,0,0,0
35,-9.86467614871701,0.0740597744116758,-0.640411462644164,0,0,0
36,-9.86796358325313,0.0717859101940821,-0.641164467377938,0,0,0
37,-9.87093838790863,0.0763915494283325,-0.643394744062208,0,0,0
38,-9.86875434960647,0.0770857694645476,-0.651574048217624,0,0,0
39,-9.86867310169381,0.0755787099825096,-0.660502829635419,0,0,0
40,-9.87275712181375,0.0786001210182733,-0.675385176552826,0,0,0
41,-9.86967041110021,0.0793112873824064,-0.682818560050211,0,0,0
42,-9.86566188476483,0.0792897063985087,-0.685043244084125,0,0,0
43,-9.87341617951911,0.0846853479226786,-0.684305123109901,0,0,0
44,-9.87328267609377,0.0816897349619362,-0.675381068084239,0,0,0
45,-9.87191484231098,0.0816286722348263,-0.682075005546523,0,0,0
46,-9.87177262678303,0.0778751712081941,-0.675383701647203,0,0,0
47,-9.87174416545106,0.0756033207470249,-0.680594074393139,0,0,0
48,-9.86484040233973,0.0762667205561672,-0.676862354141484,0,0,0
49,-9.86756967570474,0.074099611805902,-0.682819788003719,0,0,0
50,-9.86836896453949,0.0680457943049445,-0.679853375971244,0,0,0
51,-9.86787731283476,0.0558436920646547,-0.667222684842499,0,0,0
52,-9.86961638940538,0.0476773734419124,-0.670953679320266,0,0,0
53,-9.87581293472696,0.03863165427824,-0.703708986474332,0,0,0
54,-9.8748653222072,0.0588967856081495,-0.731209007971395,0,0,0
55,-9.86545927157184,0.097276932836734,-0.76387892868591,0,0,0
56,-9.86083077939894,0.136455994852211,-0.754895861949448,0,0,0
57,-9.86045184912381,0.163674834541908,-0.717664284764388,0,0,0
58,-9.86489874380885,0.15775972823276,-0.662627225538881,0,0,0
59,-9.86771609388662,0.118661149841127,-0.621018552929245,0,0,0
60,-9.87364318126413,0.0697376481939059,-0.589843034473365,0,0,0
61,-9.87845273502602,0.0350869560821612,-0.577246994602959,0,0,0
62,-9.87847817876612,0.0275028822676467,-0.580976647486647,0,0,0
63,-9.87843297321258,0.0320436028578284,-0.59584928072633,0,0,0
64,-9.88224290890247,0.0576633408712941,-0.60475193750738,0,0,0
65,-9.87859055528799,0.0818258387349852,-0.622569715038367,0,0,0
66,-9.87407110779104,0.0885620191134892,-0.623297877936938,0,0,0
