Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.52965876941909,-0.654967375091643,-0.774294741341681,0,0,0
1,-9.5154216857672,-0.672793395355404,-0.783124388534109,0,0,0
2,-9.51150357810777,-0.662006219984775,-0.774299313899513,0,0,0
3,-9.50996107401969,-0.660285169685814,-0.772404382090451,0,0,0
4,-9.52142113845355,-0.648857863612243,-0.774667575523606,0,0,0
5,-9.52530131625273,-0.646059771026282,-0.763013984795724,0,0,0
6,-9.53263871637872,-0.637308235830646,-0.763233123862946,0,0,0
7,-9.52571738749394,-0.6327464176255,-0.772160076600269,0,0,0
8,-9.5276887229945,-0.650709934502544,-0.758587829254355,0,0,0
9,-9.52778265541802,-0.632542991511921,-0.753992222087264,0,0,0
10,-9.53710902065077,-0.639475807587451,-0.770003742158645,0,0,0
11,-9.52964132310966,-0.643542790610877,-0.771950639472515,0,0,0
12,-9.52250534730008,-0.641031037802797,-0.774021366025991,0,0,0
13,-9.51189030989515,-0.650952950831819,-0.772149868035876,0,0,0
14,-9.51443430945385,-0.662457495447131,-0.774657727730625,0,0,0
15,-9.52076640773103,-0.659798906272068,-0.772134536670817,0,0,0
16,-9.51403651554705,-0.671313944891004,-0.774502421603734,0,0,0
17,-9.52294733152848,-0.66425626025748,-0.774386967283234,0,0,0
18,-9.52746597000148,-0.664194655143725,-0.763090868844011,0,0,0
19,-9.52760520795141,-0.655189752391879,-0.774393532577268,0,0,0
20,-9.52790609694071,-0.650868791390467,-0.765480452362617,0,0,0
21,-9.52736072988823,-0.645846878304646,-0.753880679918695,0,0,0
22,-9.52078542340321,-0.65982987841161,-0.742772277990392,0,0,0
23,-9.53224692487303,-0.648404846735713,-0.74277683207834,0,0,0
24,-9.52715424520676,-0.645654065127639,-0.760559255951645,0,0,0
25,-9.53044234719616,-0.648708445827065,-0.776920370939514,0,0,0
26,-9.51272444423357,-0.644647412610028,-0.77256534065986,0,0,0
27,-9.52490005381403,-0.64569320619649,-0.758302087966615,0,0,0
28,-9.52122407901176,-0.646501654043486,-0.747420479996996,0,0,0
29,-9.52990774745347,-0.652921423362606,-0.75858399641309,0,0,0
30,-9.52520017842559,-0.652818841197556,-0.749455070157602,0,0,0
31,-9.52421595112242,-0.64684602132225,-0.774960124663536,0,0,0
32,-9.53930018676612,-0.643949817141895,-0.756445713227249,0,0,0
33,-9.5278250354564,-0.641700266806153,-0.774407763553832,0,0,0
34,-9.53203183114474,-0.634493895008147,-0.790027714583312,0,0,0
35,-9.52600721207252,-0.64429027665019,-0.772410757628371,0,0,0
36,-9.52740603527587,-0.655008898724541,-0.769778935979907,0,0,0
37,-9.54246192843988,-0.649514874710577,-0.767125525627748,0,0,0
38,-9.52853835546913,-0.660784192354427,-0.773800977253714,0,0,0
39,-9.52746011902543,-0.664185125254635,-0.77212540997645,0,0,0
40,-9.52507563671597,-0.659539791847866,-0.772034286494128,0,0,0
41,-9.51952454832888,-0.660945520983915,-0.760255085058676,0,0,0
42,-9.5184683748917,-0.650678476355525,-0.751720458214567,0,0,0
43,-9.52028906938407,-0.652528241129384,-0.742487491447594,0,0,0
44,-9.52751869810313,-0.6619726147411,-0.738248252559232,0,0,0
45,-9.51826628856471,-0.650492833970455,-0.751623149158434,0,0,0
46,-9.51178198590809,-0.64630414788355,-0.740436418996915,0,0,0
47,-9.51577191015899,-0.652592228473272,-0.7515249294267,0,0,0
48,-9.53398261018646,-0.654732062040453,-0.751608178395837,0,0,0
49,-9.51833779497516,-0.671093580303639,-0.756313691553751,0,0,0
50,-9.52339330394653,-0.650939926480661,-0.767742011770155,0,0,0
51,-9.52549364163614,-0.659881819831165,-0.781282887766448,0,0,0
52,-9.51852409816854,-0.646153369814193,-0.778828800127307,0,0,0
