Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.40884052101035,-0.370164236230553,-3.26564618424138,0,0,0
1,-9.41252612852615,-0.370010979847985,-3.2619293825197,0,0,0
2,-9.4171101776537,-0.368427169257717,-3.26193465768538,0,0,0
3,-9.41716739638594,-0.371533045367568,-3.26045340762679,0,0,0
4,-9.41620696013137,-0.38056264076543,-3.26046178049638,0,0,0
5,-9.41220254313447,-0.38504915763808,-3.24557938280532,0,0,0
6,-9.41401413405752,-0.382200589013062,-3.22773060964349,0,0,0
7,-9.41835061965315,-0.3788875855934,-3.22698273379211,0,0,0
8,-9.42087729207964,-0.377519687854608,-3.23071009829608,0,0,0
9,-9.42014515380006,-0.364549872527172,-3.25449380406068,0,0,0
10,-9.410132637587,-0.379900301333489,-3.25598766282167,0,0,0
11,-9.41365014964337,-0.396439878710067,-3.24708642185154,0,0,0
12,-9.406883949387,-0.382840686724898,-3.2574700509195,0,0,0
13,-9.41303043455172,-0.379737652984291,-3.23441486184596,0,0,0
14,-9.41763887997242,-0.375114433927101,-3.21879348543523,0,0,0
15,-9.41382495027229,-0.383578083682899,-3.22624013164313,0,0,0
16,-9.4137809778743,-0.388897276375781,-3.2180645746914,0,0,0
17,-9.41382351717846,-0.390460986598182,-3.22625135729626,0,0,0
18,-9.41298080623999,-0.388876843076714,-3.22698933977154,0,0,0
19,-9.41226442124275,-0.38510010170949,-3.21582427838009,0,0,0
20,-9.41754581455418,-0.377334248044952,-3.21730687706392,0,0,0
21,-9.4139399292238,-0.376021815353617,-3.22176721857755,0,0,0
22,-9.41537545494551,-0.378988472721955,-3.23367502281468,0,0,0
23,-9.41230359278918,-0.377481935187708,-3.23217906188016,0,0,0
24,-9.41477477579984,-0.372245008425388,-3.23069122162201,0,0,0
25,-9.41775516262241,-0.372912775099061,-3.23515912035485,0,0,0
26,-9.42009248248179,-0.369097803666715,-3.23292622267511,0,0,0
27,-9.42005009466428,-0.371358529857262,-3.22920922745522,0,0,0
28,-9.41846834414896,-0.368273541504131,-3.22771232759326,0,0,0
29,-9.41927099157107,-0.372120449240989,-3.22474525425283,0,0,0
30,-9.41998928771414,-0.377429264154346,-3.21805878931364,0,0,0
31,-9.41989838758412,-0.375826358673047,-3.21359030706303,0,0,0
32,-9.41986065379833,-0.376561502000932,-3.19722430640467,0,0,0
33,-9.42142698501678,-0.375044002588842,-3.21135990578833,0,0,0
34,-9.42306465406469,-0.377409307320107,-3.20616177103846,0,0,0
35,-9.42059809893784,-0.382649887886994,-3.21062543733913,0,0,0
36,-9.41979444109707,-0.38262670409384,-3.21731834518938,0,0,0
37,-9.41971994726343,-0.38486106207034,-3.22773494783646,0,0,0
38,-9.41834379753094,-0.384235866843646,-3.24261362449241,0,0,0
39,-9.41369920044599,-0.386535698940919,-3.24632754646988,0,0,0
40,-9.41371487761052,-0.3857833287464,-3.24855847896578,0,0,0
41,-9.41288277877072,-0.386502559621037,-3.24483697964687,0,0,0
42,-9.41585329653889,-0.386398081910514,-3.2351688902333,0,0,0
43,-9.41307645455028,-0.381304151232852,-3.24483349493239,0,0,0
44,-9.41224609200364,-0.382789327022949,-3.25004032742525,0,0,0
45,-9.41680660585099,-0.375067504714311,-3.24185182355146,0,0,0
46,-9.41774138513137,-0.376726413651423,-3.23070148773642,0,0,0
47,-9.4192444351353,-0.377453323900342,-3.22772897377649,0,0,0
48,-9.42001673934461,-0.37898125083884,-3.21657419415265,0,0,0
49,-9.41782183447189,-0.378321135053557,-3.22847441813562,0,0,0
50,-9.41769054425585,-0.374390170725511,-3.24408689756463,0,0,0
51,-9.41933020679033,-0.37063747651575,-3.24706195144983,0,0,0
52,-9.41259206231811,-0.370829843616519,-3.24259052620482,0,0,0
53,-9.41160650662474,-0.378309257651913,-3.24557139276058,0,0,0
54,-9.4168806624621,-0.377421897865961,-3.2433454421137,0,0,0
55,-9.41010752623734,-0.37682091041296,-3.24333532626592,0,0,0
56,-9.41690737329194,-0.375913530768158,-3.24483150328181,0,0,0
57,-9.41392597781434,-0.379069346996561,-3.24408944721474,0,0,0
58,-9.41679108007433,-0.379644443092015,-3.24409067551966,0,0,0
59,-9.41233333859089,-0.382094177621162,-3.2634320109261,0,0,0
60,-9.40773709498297,-0.384433074737558,-3.26342765612777,0,0,0
61,-9.41062109912484,-0.389613311593089,-3.25302204263077,0,0,0
62,-9.40699357027834,-0.385224092712247,-3.24706194254987,0,0,0
63,-9.40927936460844,-0.387487049449448,-3.23963022262168,0,0,0
64,-9.40758525113109,-0.385076468740045,-3.24333893572861,0,0,0
65,-9.41456629932357,-0.386609715681336,-3.24558773997322,0,0,0
66,-9.41372083263197,-0.389612336938329,-3.2567480251869,0,0,0
67,-9.41380866666117,-0.388153007859088,-3.26269928089036,0,0,0
68,-9.41313554636652,-0.390529473629475,-3.27237520707779,0,0,0
69,-9.41310693815015,-0.388976643513862,-3.27311582792466,0,0,0
70,-9.4137233057169,-0.393438587642224,-3.26270572343025,0,0,0
71,-9.41357186423698,-0.39255189169272,-3.26195639353067,0,0,0
72,-9.41284518399098,-0.392591413694506,-3.24856557633007,0,0,0
73,-9.41132065497481,-0.392612332812279,-3.24558740054148,0,0,0
74,-9.41914993224028,-0.388085300358521,-3.24187841643263,0,0,0
75,-9.41756047273106,-0.381934726246102,-3.2388884445918,0,0,0
76,-9.41285460933893,-0.380360949726153,-3.23366740824737,0,0,0
77,-9.41292951341613,-0.376596323208969,-3.2425902066865,0,0,0
78,-9.40622201755688,-0.38522729886555,-3.23962124083693,0,0,0
79,-9.41073945313384,-0.389709607376721,-3.2247563180406,0,0,0
80,-9.41220038134167,-0.3873426095238,-3.23293645165757,0,0,0
81,-9.40688642644952,-0.385137788062539,-3.24780293379588,0,0,0
82,-9.4016817858738,-0.380725797477752,-3.27457134410061,0,0,0
83,-9.39487843393818,-0.383159648380922,-3.28646814287139,0,0,0
84,-9.39560729670813,-0.392300997975067,-3.29094707684853,0,0,0
85,-9.39551758279121,-0.39222836067793,-3.30284730107959,0,0,0
86,-9.39407492072474,-0.388490167379237,-3.3132556449775,0,0,0
