Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.49777572401827,-0.0407986145244245,-2.91938043700814,0,0,0
1,-9.50005894987521,-0.0407645171355111,-2.92161580419628,0,0,0
2,-9.49831867907477,-0.0377233986919906,-2.92978770300152,0,0,0
3,-9.49769860514075,-0.0377620548365962,-2.9290452552337,0,0,0
4,-9.49710140012861,-0.0408363034125554,-2.9290517616974,0,0,0
5,-9.49617725350472,-0.0423327582941223,-2.92979367973365,0,0,0
6,-9.50342502966987,-0.042142825523809,-2.93054278879253,0,0,0
7,-9.49847906811033,-0.0407835919886931,-2.92830752407027,0,0,0
8,-9.50141162815396,-0.0429866866667777,-2.92831369322461,0,0,0
9,-9.50077841365923,-0.0490918723532122,-2.93650718542846,0,0,0
10,-9.50288555833585,-0.0467502859800348,-2.93799183399265,0,0,0
11,-9.49739009740802,-0.0445286358774381,-2.93723281467498,0,0,0
12,-9.49751309544628,-0.0453066019154311,-2.93351673770625,0,0,0
13,-9.4968054554842,-0.0423004934198055,-2.93574367597854,0,0,0
14,-9.4962022202817,-0.0415874637202999,-2.93797605678786,0,0,0
15,-9.49696816424154,-0.0453624182365112,-2.93575137664428,0,0,0
16,-9.4932367671839,-0.0454355749066227,-2.93425891284117,0,0,0
17,-9.49545240675788,-0.0446253524070476,-2.9305405289794,0,0,0
18,-9.49839193650929,-0.0468338945164333,-2.93501031412084,0,0,0
19,-9.49452767367745,-0.0468861894387732,-2.93872272453341,0,0,0
20,-9.49518782629957,-0.0445845052067799,-2.94169420826289,0,0,0
21,-9.49702856215749,-0.0423504283338786,-2.94318705888692,0,0,0
22,-9.5007201078669,-0.048323019114753,-2.93650492512863,0,0,0
23,-9.49365893795397,-0.0483845316540359,-2.9297948127566,0,0,0
24,-9.49839716880739,-0.0460731867371291,-2.93054577663657,0,0,0
25,-9.49677083801828,-0.0475856038199136,-2.92310455027749,0,0,0
26,-9.49683821857046,-0.0430494413797017,-2.91937934751616,0,0,0
27,-9.49538577266635,-0.0385378238122113,-2.9156517728821,0,0,0
28,-9.49398311696401,-0.0408654167606882,-2.92383812606364,0,0,0
29,-9.49619199787755,-0.0453619974590306,-2.92533508029693,0,0,0
30,-9.49489911789931,-0.040892190503098,-2.93351316300158,0,0,0
31,-9.4976922119288,-0.03852185965484,-2.9327658550308,0,0,0
32,-9.49664903652519,-0.0393935092083429,-2.92979801933653,0,0,0
33,-9.49544811070939,-0.0416042694621234,-2.94169455159716,0,0,0
34,-9.49704190355692,-0.043125638967824,-2.95955458154219,0,0,0
35,-9.4917798624646,-0.0477621640921765,-2.95285906835738,0,0,0
36,-9.49996715854652,-0.048340731527711,-2.94096735793714,0,0,0
37,-9.49924593012043,-0.0423063349883977,-2.94839682721595,0,0,0
38,-9.49378205689255,-0.0423622763438347,-2.94615402969015,0,0,0
39,-9.4962109351349,-0.0408294759184336,-2.93574332775156,0,0,0
40,-9.49429762598404,-0.0394157833849932,-2.92904918682619,0,0,0
41,-9.49691233970262,-0.0347359546170929,-2.92606330808406,0,0,0
42,-9.49848951577562,-0.0407917519210069,-2.93500294941417,0,0,0
43,-9.49924535816003,-0.0415410939133635,-2.94021260898507,0,0,0
44,-9.49553045919589,-0.0438800767218687,-2.92756519860374,0,0,0
45,-9.4951684579843,-0.0400219708038387,-2.92755257933538,0,0,0
46,-9.49517426223316,-0.0400265040920498,-2.93127225391257,0,0,0
47,-9.49615786630202,-0.0392998627344151,-2.9312765320692,0,0,0
48,-9.49944932490689,-0.0408113023691551,-2.9275687820445,0,0,0
49,-9.5021451845357,-0.0399360675428159,-2.92533411828117,0,0,0
50,-9.50149468872784,-0.0376979726784823,-2.926819377393,0,0,0
51,-9.49841400962247,-0.0453215455492847,-2.93352060064553,0,0,0
52,-9.49204558686311,-0.0552192467440396,-2.94021582371526,0,0,0
53,-9.4937520804276,-0.0476510134232174,-2.93649065166733,0,0,0
54,-9.49563347822689,-0.0423895248165968,-2.93277225301658,0,0,0
55,-9.5007084993451,-0.0483139525195337,-2.9290655605507,0,0,0
56,-9.4953005978891,-0.0491370012051947,-2.9253371621954,0,0,0
57,-9.49394499926907,-0.0476772971358841,-2.92459168255687,0,0,0
58,-9.49385395467723,-0.0446299391508121,-2.92532926679078,0,0,0
59,-9.49681787808337,-0.0453279491756632,-2.92979721106662,0,0,0
60,-9.49774689615503,-0.0476177481278836,-2.92608548578537,0,0,0
61,-9.49673554539084,-0.0415225248313658,-2.92830206369404,0,0,0
62,-9.49604845358062,-0.0415502373549217,-2.92979008518671,0,0,0
63,-9.49855769464316,-0.0408035685995147,-2.93351641564446,0,0,0
64,-9.49550932211729,-0.0416106425258492,-2.93574440184866,0,0,0
65,-9.49466300667716,-0.0385791093292135,-2.93945653385298,0,0,0
66,-9.49931564894598,-0.0362424325734676,-2.93053499492554,0,0,0
67,-9.49923099186394,-0.0324351249809205,-2.92755197516305,0,0,0
68,-9.49559099705379,-0.0325383355915459,-2.93945169608918,0,0,0
69,-9.49458147282335,-0.0393216497526182,-2.94020004897712,0,0,0
70,-9.49606682073216,-0.0362523780680819,-2.93201410966605,0,0,0
71,-9.49531503466111,-0.0362709970911041,-2.93722047029893,0,0,0
72,-9.49348114274255,-0.0394252989669051,-2.93797391280221,0,0,0
73,-9.49354443897883,-0.0430658129300432,-2.93722370374221,0,0,0
74,-9.49447902632746,-0.0415774752424143,-2.94317721036877,0,0,0
75,-9.49306280842311,-0.0393471012642681,-2.94094161263864,0,0,0
76,-9.49384442781122,-0.0423695527050824,-2.94094782256253,0,0,0
77,-9.49440968996454,-0.0415647549277088,-2.94391980275424,0,0,0
78,-9.494663802062,-0.0431270775570736,-2.94169520683651,0,0,0
79,-9.49445114860159,-0.0430853131170083,-2.94094724590076,0,0,0
80,-9.49450596595508,-0.0438514877819836,-2.93871770149648,0,0,0
81,-9.48999876286556,-0.0409067414194977,-2.94093871009162,0,0,0
82,-9.49490085090799,-0.0416583271509161,-2.9424413284732,0,0,0
83,-9.49610557681566,-0.0438478117386376,-2.94467290076159,0,0,0
84,-9.49756093337808,-0.047596904511574,-2.942448068076,0,0,0
85,-9.49613484009045,-0.0461236039625996,-2.94170126106447,0,0,0
86,-9.49377995791735,-0.0461431903507403,-2.93872061800419,0,0,0
87,-9.49517853949753,-0.0445772519426346,-2.93574272647161,0,0,0
88,-9.49931237684117,-0.0415520002252829,-2.9379821409133,0,0,0
89,-9.49984917755879,-0.0414897818801762,-2.93053995039625,0,0,0
90,-9.50053569458999,-0.0406968172423845,-2.92086772052553,0,0,0
91,-9.49452689564861,-0.0408086270830895,-2.92085956632993,0,0,0
92,-9.50208769663906,-0.0421855733647989,-2.91194604049038,0,0,0
93,-9.50196295932485,-0.0406414153496858,-2.9067339957114,0,0,0
94,-9.50367861553553,-0.0414103132282668,-2.90450946294079,0,0,0
95,-9.50445072623172,-0.0406427692675125,-2.90450972828432,0,0,0
96,-9.49964895382197,-0.0429458937593258,-2.90822106956075,0,0,0
97,-9.49783984772633,-0.0400424773854602,-2.90747786083563,0,0,0
98,-9.49436848852226,-0.0407677660518774,-2.90969787603766,0,0,0
99,-9.49533350024051,-0.0415561899334757,-2.91342364773092,0,0,0
100,-9.49772611938972,-0.0408013043896625,-2.93276995502889,0,0,0
101,-9.49160787788408,-0.0446930496043264,-2.94689985730919,0,0,0
102,-9.49543322749497,-0.0469047446732654,-2.94170233759777,0,0,0
103,-9.49611777428371,-0.0430925402142439,-2.94467198016875,0,0,0
